Education,Educational Attainment,Population 25 years and over,478951,(+/- 1792 )
Education,Educational Attainment,Less than 9th grade,10392,(+/- 1761 )
Education,Educational Attainment,"9th to 12th grade, no diploma",22585,(+/- 1782 )
Education,Educational Attainment,High school graduate (includes equivalency),133928,(+/- 4871 )
Education,Educational Attainment,"Some college, no degree",129650,(+/- 5031 )
Education,Educational Attainment,Associate's degree,40819,(+/- 3685 )
Education,Educational Attainment,Bachelor's degree,90861,(+/- 4162 )
Education,Educational Attainment,Graduate or professional degree,50716,(+/- 3438 )
Education,Educational Attainment,Percent high school graduate or higher,93.1,(+/- 0.5 )
Education,Educational Attainment,Percent bachelor's degree or higher,29.6,(+/- 1.1 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District (At Large) Estimate,District (At Large) Flag
Business,Paid employees for pay period including March 12,Total for all sectors,267999,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",819,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",13566,G
Business,Paid employees for pay period including March 12,Utilities,2081,G
Business,Paid employees for pay period including March 12,Construction,18581,G
Business,Paid employees for pay period including March 12,Manufacturing,12294,H
Business,Paid employees for pay period including March 12,Wholesale trade,9125,G
Business,Paid employees for pay period including March 12,Retail trade,35221,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,18736,G
Business,Paid employees for pay period including March 12,Information,6711,G
Business,Paid employees for pay period including March 12,Finance and insurance,7340,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,4455,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",18662,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,7821,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,17628,G
Business,Paid employees for pay period including March 12,Educational services,3025,G
Business,Paid employees for pay period including March 12,Health care and social assistance,49240,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",4639,G
Business,Paid employees for pay period including March 12,Accommodation and food services,28112,G
Business,Paid employees for pay period including March 12,Other services (except public administration),9867,G
Business,Paid employees for pay period including March 12,Industries not classified,76,J
Business,"Annual payroll ($1,000)",Total for all sectors,15643303,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",55610,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",1718501,G
Business,"Annual payroll ($1,000)",Utilities,198990,G
Business,"Annual payroll ($1,000)",Construction,1637062,G
Business,"Annual payroll ($1,000)",Manufacturing,587868,G
Business,"Annual payroll ($1,000)",Wholesale trade,587903,G
Business,"Annual payroll ($1,000)",Retail trade,1104539,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,1356522,G
Business,"Annual payroll ($1,000)",Information,472658,H
Business,"Annual payroll ($1,000)",Finance and insurance,481883,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,219341,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1427159,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,800913,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,841051,G
Business,"Annual payroll ($1,000)",Educational services,85641,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2880597,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",107368,G
Business,"Annual payroll ($1,000)",Accommodation and food services,738347,G
Business,"Annual payroll ($1,000)",Other services (except public administration),340445,G
Business,"Annual payroll ($1,000)",Industries not classified,905,G
Business,Total Establishments,Total for all sectors,20907,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",444,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",180,X
Business,Total Establishments,Utilities,100,X
Business,Total Establishments,Construction,2537,X
Business,Total Establishments,Manufacturing,535,X
Business,Total Establishments,Wholesale trade,729,X
Business,Total Establishments,Retail trade,2514,X
Business,Total Establishments,Transportation and warehousing,1144,X
Business,Total Establishments,Information,403,X
Business,Total Establishments,Finance and insurance,764,X
Business,Total Establishments,Real estate and rental and leasing,913,X
Business,Total Establishments,"Professional, scientific, and technical services",1920,X
Business,Total Establishments,Management of companies and enterprises,193,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1131,X
Business,Total Establishments,Educational services,292,X
Business,Total Establishments,Health care and social assistance,2578,X
Business,Total Establishments,"Arts, entertainment, and recreation",566,X
Business,Total Establishments,Accommodation and food services,2125,X
Business,Total Establishments,Other services (except public administration),1795,X
Business,Total Establishments,Industries not classified,44,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
