Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE
People,Hispanic or Latino and Race,Total population,761869,(+/- 8594 ),703246,(+/- 8723 ),684619,(+/- 6153 ),716552,(+/- 6805 ),704256,(+/- 5234 ),680469,(+/- 12932 ),710108,(+/- 3147 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),49421,(+/- 2786 ),37106,(+/- 2396 ),32669,(+/- 2253 ),59921,(+/- 2111 ),29087,(+/- 2699 ),34741,(+/- 4626 ),29846,(+/- 1792 )
People,Hispanic or Latino and Race,Mexican,22980,(+/- 4325 ),22763,(+/- 2856 ),19720,(+/- 2478 ),33266,(+/- 3495 ),15201,(+/- 2592 ),23369,(+/- 4796 ),13663,(+/- 3332 )
People,Hispanic or Latino and Race,Puerto Rican,5870,(+/- 1947 ),5793,(+/- 1836 ),3568,(+/- 1672 ),4989,(+/- 1975 ),3561,(+/- 1559 ),3581,(+/- 1049 ),5486,(+/- 1598 )
People,Hispanic or Latino and Race,Cuban,1133,(+/- 719 ),1264,(+/- 700 ),809,(+/- 818 ),1379,(+/- 896 ),1902,(+/- 1603 ),1701,(+/- 714 ),1075,(+/- 805 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,19438,(+/- 3893 ),7286,(+/- 2142 ),8572,(+/- 2336 ),20287,(+/- 2938 ),8423,(+/- 2885 ),6090,(+/- 2310 ),9622,(+/- 2755 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,712448,(+/- 8389 ),666140,(+/- 8510 ),651950,(+/- 6253 ),656631,(+/- 6690 ),675169,(+/- 5674 ),645728,(+/- 12249 ),680262,(+/- 3691 )
People,Place of Birth,Total population,761869,(+/- 8594 ),703246,(+/- 8723 ),684619,(+/- 6153 ),716552,(+/- 6805 ),704256,(+/- 5234 ),680469,(+/- 12932 ),710108,(+/- 3147 )
People,Place of Birth,Native,719192,(+/- 8772 ),669147,(+/- 8352 ),656422,(+/- 6752 ),665276,(+/- 7583 ),680946,(+/- 6347 ),652832,(+/- 12634 ),679340,(+/- 4331 )
People,Place of Birth,Born in United States,708355,(+/- 8624 ),659563,(+/- 8552 ),651699,(+/- 6981 ),656799,(+/- 7672 ),674409,(+/- 6570 ),647010,(+/- 12714 ),674213,(+/- 4516 )
People,Place of Birth,State of residence,331301,(+/- 12538 ),368523,(+/- 9716 ),438132,(+/- 8992 ),404530,(+/- 8824 ),399726,(+/- 10158 ),480416,(+/- 12292 ),403709,(+/- 9508 )
People,Place of Birth,Different state,377054,(+/- 11049 ),291040,(+/- 8765 ),213567,(+/- 8099 ),252269,(+/- 7659 ),274683,(+/- 8033 ),166594,(+/- 7111 ),270504,(+/- 8916 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",10837,(+/- 1967 ),9584,(+/- 1823 ),4723,(+/- 1386 ),8477,(+/- 1732 ),6537,(+/- 1449 ),5822,(+/- 1383 ),5127,(+/- 1315 )
People,Place of Birth,Foreign born,42677,(+/- 3278 ),34099,(+/- 3152 ),28197,(+/- 3546 ),51276,(+/- 3538 ),23310,(+/- 2918 ),27637,(+/- 4145 ),30768,(+/- 3024 )
People,Ancestry,Total population,761869,(+/- 8594 ),703246,(+/- 8723 ),684619,(+/- 6153 ),716552,(+/- 6805 ),704256,(+/- 5234 ),680469,(+/- 12932 ),710108,(+/- 3147 )
People,Ancestry,American,81381,(+/- 10030 ),97107,(+/- 6407 ),83999,(+/- 6993 ),67203,(+/- 4355 ),86961,(+/- 7813 ),46385,(+/- 5348 ),79437,(+/- 7026 )
People,Ancestry,Arab,3310,(+/- 1421 ),1854,(+/- 1013 ),1875,(+/- 1859 ),1058,(+/- 512 ),789,(+/- 465 ),1087,(+/- 584 ),680,(+/- 416 )
People,Ancestry,Czech,1004,(+/- 455 ),1675,(+/- 1063 ),1567,(+/- 1037 ),1416,(+/- 579 ),1411,(+/- 677 ),190,(+/- 122 ),570,(+/- 344 )
People,Ancestry,Danish,1844,(+/- 785 ),736,(+/- 501 ),986,(+/- 391 ),1041,(+/- 524 ),1337,(+/- 1061 ),319,(+/- 339 ),505,(+/- 285 )
People,Ancestry,Dutch,8672,(+/- 2273 ),5839,(+/- 1773 ),5603,(+/- 1352 ),8247,(+/- 1828 ),6776,(+/- 1504 ),2022,(+/- 647 ),4718,(+/- 1393 )
People,Ancestry,English,78794,(+/- 5899 ),69073,(+/- 6303 ),55249,(+/- 4262 ),70917,(+/- 6134 ),46868,(+/- 4654 ),30672,(+/- 3343 ),79521,(+/- 7369 )
People,Ancestry,French (except Basque),17850,(+/- 2875 ),13582,(+/- 2261 ),13395,(+/- 2907 ),15601,(+/- 3045 ),10673,(+/- 1897 ),6262,(+/- 1153 ),10228,(+/- 1947 )
People,Ancestry,French Canadian,5556,(+/- 1625 ),2366,(+/- 1226 ),1607,(+/- 694 ),2619,(+/- 901 ),2752,(+/- 982 ),1334,(+/- 480 ),3029,(+/- 1035 )
People,Ancestry,German,104126,(+/- 7089 ),88009,(+/- 6036 ),64937,(+/- 6406 ),75551,(+/- 5250 ),65271,(+/- 4992 ),38984,(+/- 4645 ),70336,(+/- 6169 )
People,Ancestry,Greek,2594,(+/- 1117 ),2021,(+/- 852 ),3205,(+/- 1728 ),3052,(+/- 1803 ),1064,(+/- 674 ),681,(+/- 303 ),2463,(+/- 1906 )
People,Ancestry,Hungarian,4670,(+/- 1317 ),1490,(+/- 665 ),1315,(+/- 757 ),2277,(+/- 972 ),1211,(+/- 656 ),1115,(+/- 563 ),1481,(+/- 602 )
People,Ancestry,Irish,90200,(+/- 5842 ),66232,(+/- 5123 ),71142,(+/- 6635 ),70641,(+/- 5757 ),63259,(+/- 5474 ),30870,(+/- 3785 ),66738,(+/- 4922 )
People,Ancestry,Italian,31805,(+/- 3047 ),17411,(+/- 2659 ),15095,(+/- 2650 ),21084,(+/- 3219 ),20420,(+/- 3708 ),9609,(+/- 1840 ),29611,(+/- 3643 )
People,Ancestry,Lithuanian,1157,(+/- 512 ),954,(+/- 506 ),379,(+/- 264 ),1179,(+/- 709 ),317,(+/- 323 ),338,(+/- 244 ),740,(+/- 428 )
People,Ancestry,Norwegian,3398,(+/- 790 ),4083,(+/- 1642 ),1521,(+/- 615 ),4489,(+/- 1625 ),2627,(+/- 903 ),772,(+/- 317 ),2631,(+/- 811 )
People,Ancestry,Polish,17209,(+/- 5869 ),10665,(+/- 2081 ),7936,(+/- 1720 ),9427,(+/- 1890 ),9587,(+/- 2001 ),4462,(+/- 1615 ),13620,(+/- 2556 )
People,Ancestry,Portuguese,3413,(+/- 1845 ),1355,(+/- 1055 ),1035,(+/- 669 ),770,(+/- 575 ),527,(+/- 364 ),1082,(+/- 1160 ),864,(+/- 511 )
People,Ancestry,Russian,2848,(+/- 975 ),2910,(+/- 1320 ),1648,(+/- 947 ),2883,(+/- 1182 ),2233,(+/- 1304 ),1111,(+/- 514 ),3291,(+/- 1557 )
People,Ancestry,Scotch-Irish,15089,(+/- 2400 ),15369,(+/- 2184 ),18910,(+/- 3022 ),22418,(+/- 4211 ),23916,(+/- 3092 ),6574,(+/- 1933 ),22646,(+/- 3427 )
People,Ancestry,Scottish,23657,(+/- 3153 ),17136,(+/- 2651 ),17394,(+/- 2720 ),24215,(+/- 3558 ),12022,(+/- 1930 ),8915,(+/- 1775 ),19212,(+/- 3623 )
People,Ancestry,Slovak,872,(+/- 540 ),894,(+/- 570 ),246,(+/- 222 ),782,(+/- 630 ),377,(+/- 468 ),90,(+/- 143 ),941,(+/- 568 )
People,Ancestry,Subsaharan African,3355,(+/- 1448 ),7657,(+/- 2085 ),2125,(+/- 876 ),2903,(+/- 1380 ),22146,(+/- 4335 ),13244,(+/- 3506 ),4938,(+/- 1673 )
People,Ancestry,Swedish,5965,(+/- 1446 ),2607,(+/- 798 ),2792,(+/- 1069 ),3306,(+/- 1015 ),2745,(+/- 1080 ),1765,(+/- 862 ),1824,(+/- 528 )
People,Ancestry,Swiss,2149,(+/- 797 ),1431,(+/- 620 ),2219,(+/- 1408 ),1332,(+/- 643 ),394,(+/- 289 ),852,(+/- 500 ),1074,(+/- 540 )
People,Ancestry,Ukrainian,1815,(+/- 765 ),1176,(+/- 704 ),1232,(+/- 913 ),2329,(+/- 1491 ),1679,(+/- 889 ),363,(+/- 359 ),1347,(+/- 642 )
People,Ancestry,Welsh,5706,(+/- 1622 ),4129,(+/- 1105 ),3786,(+/- 1625 ),4931,(+/- 1715 ),3003,(+/- 1233 ),2175,(+/- 682 ),4559,(+/- 1179 )
People,Ancestry,West Indian (excluding Hispanic origin groups),2733,(+/- 1321 ),3472,(+/- 2047 ),1037,(+/- 720 ),1896,(+/- 819 ),974,(+/- 518 ),3563,(+/- 1223 ),3073,(+/- 1276 )
People,Veteran Status,Civilian population 18 years and over,586134,(+/- 6537 ),534337,(+/- 6833 ),532552,(+/- 5080 ),551488,(+/- 4799 ),538479,(+/- 3744 ),524171,(+/- 9686 ),561290,(+/- 2760 )
People,Veteran Status,Civilian veterans,74444,(+/- 4505 ),56287,(+/- 3400 ),46698,(+/- 2690 ),42123,(+/- 2781 ),52015,(+/- 3140 ),45694,(+/- 3210 ),50243,(+/- 2354 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,748249,(+/- 8583 ),682969,(+/- 8579 ),673820,(+/- 6426 ),709003,(+/- 6871 ),692824,(+/- 5581 ),652319,(+/- 12954 ),702004,(+/- 3498 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,96238,(+/- 5825 ),98803,(+/- 5112 ),115127,(+/- 6432 ),99151,(+/- 4619 ),101168,(+/- 5576 ),109912,(+/- 6037 ),116420,(+/- 6155 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,165190,(+/- 4160 ),158120,(+/- 4000 ),150783,(+/- 3169 ),164095,(+/- 3818 ),161821,(+/- 2978 ),148781,(+/- 6035 ),148595,(+/- 2452 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7452,(+/- 1298 ),7049,(+/- 1515 ),9823,(+/- 1609 ),8267,(+/- 1715 ),6933,(+/- 1431 ),7999,(+/- 1527 ),6674,(+/- 1594 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,453956,(+/- 6590 ),420568,(+/- 6021 ),405872,(+/- 4819 ),434869,(+/- 4564 ),420359,(+/- 4233 ),402145,(+/- 9615 ),413736,(+/- 3141 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,48090,(+/- 3912 ),54188,(+/- 4327 ),58046,(+/- 4763 ),50227,(+/- 3744 ),54506,(+/- 4378 ),62127,(+/- 4764 ),61067,(+/- 4732 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,129103,(+/- 2544 ),104281,(+/- 2319 ),117165,(+/- 1953 ),110039,(+/- 1867 ),110644,(+/- 1985 ),101393,(+/- 3301 ),139673,(+/- 1834 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,40696,(+/- 3755 ),37566,(+/- 3048 ),47258,(+/- 2849 ),40657,(+/- 2282 ),39729,(+/- 2658 ),39786,(+/- 2946 ),48679,(+/- 2590 )
People,Residence 1 Year Ago,Population 1 year and over,753054,(+/- 8533 ),694952,(+/- 8327 ),676451,(+/- 6103 ),707805,(+/- 6858 ),696207,(+/- 5490 ),673109,(+/- 12954 ),702210,(+/- 3088 )
People,Residence 1 Year Ago,Same house,636717,(+/- 12390 ),585848,(+/- 11204 ),577235,(+/- 9851 ),579971,(+/- 11019 ),616012,(+/- 8301 ),570660,(+/- 14423 ),610511,(+/- 8508 )
People,Residence 1 Year Ago,Different house in the U.S.,112653,(+/- 9996 ),106764,(+/- 9166 ),96987,(+/- 8230 ),122775,(+/- 8299 ),78731,(+/- 6756 ),99568,(+/- 8580 ),90167,(+/- 8151 )
People,Residence 1 Year Ago,Same county,54933,(+/- 6842 ),47473,(+/- 6492 ),46984,(+/- 5642 ),79439,(+/- 7337 ),41954,(+/- 4685 ),49967,(+/- 5762 ),54420,(+/- 7110 )
People,Residence 1 Year Ago,Different county,57720,(+/- 6479 ),59291,(+/- 5838 ),50003,(+/- 5434 ),43336,(+/- 5146 ),36777,(+/- 4455 ),49601,(+/- 6958 ),35747,(+/- 4602 )
People,Residence 1 Year Ago,Same state,23930,(+/- 4152 ),26923,(+/- 4927 ),33299,(+/- 4317 ),22282,(+/- 3796 ),14880,(+/- 2501 ),29770,(+/- 6165 ),16161,(+/- 2784 )
People,Residence 1 Year Ago,Different state,33790,(+/- 5091 ),32368,(+/- 4177 ),16704,(+/- 2829 ),21054,(+/- 3352 ),21897,(+/- 3769 ),19831,(+/- 2992 ),19586,(+/- 3418 )
People,Residence 1 Year Ago,Abroad,3684,(+/- 1446 ),2340,(+/- 1057 ),2229,(+/- 1020 ),5059,(+/- 2158 ),1464,(+/- 603 ),2881,(+/- 1783 ),1532,(+/- 980 )
Workers,Employment Status,Population 16 years and over,614780,(+/- 6763 ),563297,(+/- 7180 ),551412,(+/- 5533 ),569579,(+/- 5090 ),561509,(+/- 3824 ),547757,(+/- 10203 ),578450,(+/- 3218 )
Workers,Employment Status,In labor force,394623,(+/- 7195 ),358128,(+/- 7277 ),321409,(+/- 6505 ),359904,(+/- 5885 ),333399,(+/- 7502 ),309904,(+/- 7580 ),333967,(+/- 6576 )
Workers,Employment Status,Civilian labor force,384172,(+/- 7347 ),347696,(+/- 7048 ),320739,(+/- 6428 ),359332,(+/- 5931 ),329743,(+/- 7613 ),302968,(+/- 7504 ),333837,(+/- 6610 )
Workers,Employment Status,Employed,367598,(+/- 7424 ),327274,(+/- 6890 ),301971,(+/- 6445 ),342383,(+/- 6406 ),308001,(+/- 7644 ),274910,(+/- 7210 ),307137,(+/- 6937 )
Workers,Employment Status,Unemployed,16574,(+/- 2319 ),20422,(+/- 2234 ),18768,(+/- 2130 ),16949,(+/- 2324 ),21742,(+/- 3140 ),28058,(+/- 3552 ),26700,(+/- 2916 )
Workers,Employment Status,Armed Forces,10451,(+/- 1954 ),10432,(+/- 1531 ),670,(+/- 526 ),572,(+/- 365 ),3656,(+/- 985 ),6936,(+/- 1761 ),130,(+/- 141 )
Workers,Employment Status,Not in labor force,220157,(+/- 7179 ),205169,(+/- 6191 ),230003,(+/- 7324 ),209675,(+/- 5711 ),228110,(+/- 8056 ),237853,(+/- 7543 ),244483,(+/- 6438 )
Workers,Employment Status,Civilian labor force,384172,(+/- 7347 ),347696,(+/- 7048 ),320739,(+/- 6428 ),359332,(+/- 5931 ),329743,(+/- 7613 ),302968,(+/- 7504 ),333837,(+/- 6610 )
Workers,Employment Status,Unemployment Rate,4.3,(+/- 0.6 ),5.9,(+/- 0.6 ),5.9,(+/- 0.7 ),4.7,(+/- 0.7 ),6.6,(+/- 0.9 ),9.3,(+/- 1.1 ),8.0,(+/- 0.9 )
Workers,Commuting to Work,Workers 16 years and over,373240,(+/- 7295 ),328781,(+/- 7444 ),293880,(+/- 6862 ),336975,(+/- 6419 ),305116,(+/- 7467 ),276945,(+/- 7270 ),301921,(+/- 7056 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",303977,(+/- 7806 ),269910,(+/- 6538 ),246221,(+/- 6751 ),281239,(+/- 7060 ),260290,(+/- 7801 ),217378,(+/- 6252 ),250660,(+/- 7323 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",31726,(+/- 3827 ),28196,(+/- 3507 ),29246,(+/- 3013 ),31559,(+/- 4030 ),25824,(+/- 3368 ),29618,(+/- 3613 ),30027,(+/- 3325 )
Workers,Commuting to Work,Public transportation (excluding taxicab),2129,(+/- 938 ),436,(+/- 228 ),1944,(+/- 847 ),2041,(+/- 1003 ),710,(+/- 385 ),3953,(+/- 1116 ),1042,(+/- 424 )
Workers,Commuting to Work,Walked,4949,(+/- 1074 ),13675,(+/- 1480 ),3481,(+/- 853 ),4704,(+/- 826 ),3932,(+/- 1218 ),10783,(+/- 2000 ),5042,(+/- 1749 )
Workers,Commuting to Work,Other means,5811,(+/- 1481 ),4869,(+/- 1157 ),2946,(+/- 933 ),4160,(+/- 1219 ),2037,(+/- 707 ),7737,(+/- 2149 ),4167,(+/- 1145 )
Workers,Commuting to Work,Worked at home,24648,(+/- 3583 ),11695,(+/- 1706 ),10042,(+/- 1815 ),13272,(+/- 1877 ),12323,(+/- 2069 ),7476,(+/- 1646 ),10983,(+/- 2083 )
Workers,Commuting to Work,Mean travel time to work (minutes),25.4,(+/- 0.6 ),25.7,(+/- 0.6 ),25.0,(+/- 0.8 ),22.4,(+/- 0.6 ),27.0,(+/- 0.7 ),25.5,(+/- 0.6 ),22.0,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,367598,(+/- 7424 ),327274,(+/- 6890 ),301971,(+/- 6445 ),342383,(+/- 6406 ),308001,(+/- 7644 ),274910,(+/- 7210 ),307137,(+/- 6937 )
Workers,Occupation,"Management, business, science, and arts occupations",148566,(+/- 5636 ),127020,(+/- 5115 ),90362,(+/- 4477 ),127149,(+/- 5825 ),98904,(+/- 5444 ),75178,(+/- 4702 ),89624,(+/- 5229 )
Workers,Occupation,Service occupations,61898,(+/- 4808 ),46368,(+/- 3576 ),53479,(+/- 4271 ),54292,(+/- 3604 ),47368,(+/- 3911 ),60360,(+/- 4800 ),65947,(+/- 5302 )
Workers,Occupation,Sales and office occupations,92795,(+/- 4415 ),81766,(+/- 4960 ),70052,(+/- 4106 ),78141,(+/- 4301 ),79470,(+/- 5072 ),65009,(+/- 4338 ),77740,(+/- 4572 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30141,(+/- 3635 ),28531,(+/- 2378 ),29250,(+/- 3097 ),26434,(+/- 2740 ),28063,(+/- 2904 ),27888,(+/- 3274 ),29569,(+/- 3332 )
Workers,Occupation,"Production, transportation, and material moving occupations",34198,(+/- 2988 ),43589,(+/- 3697 ),58828,(+/- 4962 ),56367,(+/- 4194 ),54196,(+/- 4299 ),46475,(+/- 4249 ),44257,(+/- 4048 )
Workers,Industry,Civilian employed population 16 years and over,367598,(+/- 7424 ),327274,(+/- 6890 ),301971,(+/- 6445 ),342383,(+/- 6406 ),308001,(+/- 7644 ),274910,(+/- 7210 ),307137,(+/- 6937 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1613,(+/- 983 ),2409,(+/- 911 ),5046,(+/- 1598 ),3428,(+/- 2112 ),3695,(+/- 868 ),3694,(+/- 1156 ),5590,(+/- 1888 )
Workers,Industry,Construction,25824,(+/- 3307 ),23118,(+/- 2325 ),19727,(+/- 2423 ),18829,(+/- 2364 ),15970,(+/- 2273 ),20315,(+/- 2660 ),20384,(+/- 2900 )
Workers,Industry,Manufacturing,31303,(+/- 3063 ),32993,(+/- 3133 ),62277,(+/- 4152 ),61588,(+/- 4168 ),52898,(+/- 3840 ),29769,(+/- 3418 ),35968,(+/- 3299 )
Workers,Industry,Wholesale trade,6987,(+/- 1454 ),7837,(+/- 1384 ),6769,(+/- 1432 ),10319,(+/- 1771 ),10324,(+/- 1929 ),5371,(+/- 1296 ),5672,(+/- 1437 )
Workers,Industry,Retail trade,43814,(+/- 3568 ),38858,(+/- 3672 ),37792,(+/- 3753 ),36540,(+/- 3093 ),43113,(+/- 4094 ),36057,(+/- 3359 ),45897,(+/- 3331 )
Workers,Industry,"Transportation and warehousing, and utilities",18182,(+/- 2626 ),20282,(+/- 2894 ),13275,(+/- 2138 ),15553,(+/- 1864 ),18046,(+/- 2429 ),16481,(+/- 2608 ),11947,(+/- 1979 )
Workers,Industry,Information,7350,(+/- 1424 ),5041,(+/- 1062 ),4073,(+/- 1026 ),5946,(+/- 1228 ),5168,(+/- 1017 ),3968,(+/- 1211 ),3457,(+/- 1152 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",20944,(+/- 2733 ),28017,(+/- 2759 ),13105,(+/- 1740 ),17735,(+/- 1907 ),18814,(+/- 2338 ),12268,(+/- 2019 ),19698,(+/- 2351 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",49016,(+/- 4106 ),31275,(+/- 2945 ),25205,(+/- 2309 ),40057,(+/- 3136 ),30687,(+/- 3135 ),23557,(+/- 3092 ),25661,(+/- 2998 )
Workers,Industry,"Educational services, and health care and social assistance",80134,(+/- 4709 ),73441,(+/- 4575 ),65193,(+/- 3478 ),73467,(+/- 3468 ),58281,(+/- 4715 ),63271,(+/- 4445 ),59933,(+/- 4307 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",41135,(+/- 3686 ),24606,(+/- 3285 ),25421,(+/- 3143 ),31958,(+/- 3010 ),22763,(+/- 3260 ),31537,(+/- 3217 ),43750,(+/- 3955 )
Workers,Industry,"Other services, except public administration",21749,(+/- 2636 ),17300,(+/- 2174 ),14930,(+/- 2200 ),18366,(+/- 2287 ),15723,(+/- 2205 ),13050,(+/- 1944 ),17478,(+/- 3297 )
Workers,Industry,Public administration,19547,(+/- 2664 ),22097,(+/- 2959 ),9158,(+/- 1608 ),8597,(+/- 1689 ),12519,(+/- 2174 ),15572,(+/- 2199 ),11702,(+/- 2100 )
Workers,Class of Worker,Civilian employed population 16 years and over,367598,(+/- 7424 ),327274,(+/- 6890 ),301971,(+/- 6445 ),342383,(+/- 6406 ),308001,(+/- 7644 ),274910,(+/- 7210 ),307137,(+/- 6937 )
