People,Residence 1 Year Ago,Elsewhere,3479,(+/- 1053 )
Workers,Employment Status,Population 16 years and over,2809340,(+/- 2920 )
Workers,Employment Status,In labor force,1256664,(+/- 11328 )
Workers,Employment Status,Civilian labor force,1254914,(+/- 11437 )
Workers,Employment Status,Employed,1052154,(+/- 12753 )
Workers,Employment Status,Unemployed,202760,(+/- 8681 )
Workers,Employment Status,Armed Forces,1750,(+/- 818 )
Workers,Employment Status,Not in labor force,1552676,(+/- 12067 )
Workers,Employment Status,Civilian labor force,1254914,(+/- 11437 )
Workers,Employment Status,Unemployment Rate,16.2,(+/- 0.7 )
Workers,Commuting to Work,Workers 16 years and over,1024738,(+/- 12938 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",844468,(+/- 13368 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",86836,(+/- 5684 )
Workers,Commuting to Work,Public transportation (excluding taxicab),18948,(+/- 2233 )
Workers,Commuting to Work,Walked,31596,(+/- 3003 )
Workers,Commuting to Work,Other means,18206,(+/- 1872 )
Workers,Commuting to Work,Worked at home,24684,(+/- 2593 )
Workers,Commuting to Work,Mean travel time to work (minutes),29.1,(+/- 0.4 )
Workers,Occupation,Civilian employed population 16 years and over,1052154,(+/- 12753 )
Workers,Occupation,"Management, business, science, and arts occupations",336337,(+/- 9827 )
Workers,Occupation,Service occupations,210221,(+/- 7139 )
Workers,Occupation,Sales and office occupations,296031,(+/- 9351 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",100098,(+/- 5175 )
Workers,Occupation,"Production, transportation, and material moving occupations",109467,(+/- 6814 )
Workers,Industry,Civilian employed population 16 years and over,1052154,(+/- 12753 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",15348,(+/- 2047 )
Workers,Industry,Construction,56056,(+/- 3957 )
Workers,Industry,Manufacturing,99750,(+/- 6586 )
Workers,Industry,Wholesale trade,28504,(+/- 3648 )
Workers,Industry,Retail trade,143596,(+/- 6253 )
Workers,Industry,"Transportation and warehousing, and utilities",39582,(+/- 3684 )
Workers,Industry,Information,20238,(+/- 2405 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",51170,(+/- 3937 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",101633,(+/- 5017 )
Workers,Industry,"Educational services, and health care and social assistance",242745,(+/- 8457 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",109712,(+/- 5951 )
Workers,Industry,"Other services, except public administration",55001,(+/- 3646 )
Workers,Industry,Public administration,88819,(+/- 5504 )
Workers,Class of Worker,Civilian employed population 16 years and over,1052154,(+/- 12753 )
Workers,Class of Worker,Private wage and salary workers,725905,(+/- 13005 )
Workers,Class of Worker,Government workers,222613,(+/- 9315 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,101208,(+/- 5408 )
Workers,Class of Worker,Unpaid family workers,2428,(+/- 799 )
Housing,Housing Occupancy,Total housing units,1555880,(+/- 8239 )
Housing,Housing Occupancy,Occupied housing units,1208438,(+/- 9900 )
Housing,Housing Occupancy,Vacant housing units,347442,(+/- 9511 )
Housing,Housing Occupancy,Homeowner vacancy rate,3.6,(+/- 0.3 )
Housing,Housing Occupancy,Rental vacancy rate,7.7,(+/- 0.7 )
Housing,Housing Tenure,Occupied housing units,1208438,(+/- 9900 )
Housing,Housing Tenure,Owner-occupied,821672,(+/- 8711 )
Housing,Housing Tenure,Renter-occupied,386766,(+/- 8157 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.85,(+/- 0.03 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.67,(+/- 0.04 )
Housing,Year Householder Moved into Unit,Occupied housing units,1208438,(+/- 9900 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,115549,(+/- 4710 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,213515,(+/- 7707 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,299656,(+/- 6830 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,196936,(+/- 6261 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,157252,(+/- 5683 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,225530,(+/- 5592 )
Housing,Value,Owner-occupied units,821672,(+/- 8711 )
Housing,Value,"Less than $50,000",64134,(+/- 3597 )
Housing,Value,"$50,000 to $99,999",277706,(+/- 6741 )
Housing,Value,"$100,000 to $149,999",237100,(+/- 6231 )
Housing,Value,"$150,000 to $199,999",131827,(+/- 5669 )
Housing,Value,"$200,000 to $299,999",72626,(+/- 3850 )
Housing,Value,"$300,000 to $499,999",28152,(+/- 2310 )
Housing,Value,"$500,000 to $999,999",6229,(+/- 1113 )
Housing,Value,"$1,000,000 or more",3898,(+/- 1012 )
Housing,Value,Median (dollars),111900,(+/- 1100 )
Housing,Mortgage Status,Owner-occupied units,821672,(+/- 8711 )
Housing,Mortgage Status,Housing units with a mortgage,325055,(+/- 7989 )
Housing,Mortgage Status,Housing units without a mortgage,496617,(+/- 8108 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,325055,(+/- 7989 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,34741,(+/- 3309 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,178397,(+/- 6730 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",72544,(+/- 4636 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",21724,(+/- 2652 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",9260,(+/- 1802 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",3673,(+/- 1003 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",4716,(+/- 884 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),846,(+/- 12 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,496617,(+/- 8108 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,415772,(+/- 7263 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,57750,(+/- 4102 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,15703,(+/- 1927 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,4633,(+/- 1021 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,1638,(+/- 649 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",1121,(+/- 488 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),138,(+/- 2 )
Housing,Gross Rent,Occupied units paying rent,234074,(+/- 6431 )
Housing,Gross Rent,Less than $500,128910,(+/- 4590 )
Housing,Gross Rent,$500 to $999,90074,(+/- 4385 )
Housing,Gross Rent,"$1,000 to $1,499",11123,(+/- 2019 )
Housing,Gross Rent,"$1,500 to $1,999",2840,(+/- 1028 )
Housing,Gross Rent,"$2,000 to $2,499",539,(+/- 360 )
Housing,Gross Rent,"$2,500 to $2,999",121,(+/- 140 )
Housing,Gross Rent,"$3,000 or more",467,(+/- 430 )
Housing,Gross Rent,Median (dollars),463,(+/- 12 )
Housing,Gross Rent,No rent paid,152692,(+/- 5608 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Total households,1208438,(+/- 9900 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",342334,(+/- 7352 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",140713,(+/- 6002 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",218725,(+/- 6142 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",149536,(+/- 5494 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",145068,(+/- 5492 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",116024,(+/- 5673 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",45000,(+/- 3311 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",31810,(+/- 2947 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",11004,(+/- 1682 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",8224,(+/- 1424 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),20078,(+/- 354 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),31262,(+/- 694 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,3384148,(+/- 818 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,3175967,(+/- 10546 )
Socioeconomic,Health Insurance Coverage,With private health insurance,1331048,(+/- 26354 )
Socioeconomic,Health Insurance Coverage,With public coverage,2083627,(+/- 23148 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,208181,(+/- 10502 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,695620,(+/- 241 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,19605,(+/- 2983 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,39.4,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,51.6,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,56.7,(+/- 3.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,26.6,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,30.3,(+/- 2.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,33.8,(+/- 5.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",58.0,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,69.9,(+/- 1.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,73.6,(+/- 4.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,43.5,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,56.4,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,56.2,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,64.0,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,53.9,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,40.2,(+/- 0.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,38.1,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,41.1,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,56.9,(+/- 1.1 )
Education,School Enrollment,Population 3 years and over enrolled in school,846874,(+/- 8391 )
Education,School Enrollment,"Nursery school, preschool",48916,(+/- 3265 )
Education,School Enrollment,Kindergarten,36227,(+/- 3175 )
Education,School Enrollment,Elementary school (grades 1-8),320223,(+/- 5488 )
Education,School Enrollment,High school (grades 9-12),179748,(+/- 5830 )
Education,School Enrollment,College or graduate school,261760,(+/- 7417 )
Education,Educational Attainment,Population 25 years and over,2372197,(+/- 3159 )
Education,Educational Attainment,Less than 9th grade,370922,(+/- 8466 )
Education,Educational Attainment,"9th to 12th grade, no diploma",207689,(+/- 7998 )
Education,Educational Attainment,High school graduate (includes equivalency),657523,(+/- 15010 )
Education,Educational Attainment,"Some college, no degree",298426,(+/- 8006 )
Education,Educational Attainment,Associate's degree,237746,(+/- 7256 )
Education,Educational Attainment,Bachelor's degree,433120,(+/- 11357 )
Education,Educational Attainment,Graduate or professional degree,166771,(+/- 7420 )
Education,Educational Attainment,Percent high school graduate or higher,75.6,(+/- 0.5 )
Education,Educational Attainment,Percent bachelor's degree or higher,25.3,(+/- 0.6 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District (At Large) Estimate,District (At Large) Flag
Business,Paid employees for pay period including March 12,Total for all sectors,677974,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",172,H
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",516,G
Business,Paid employees for pay period including March 12,Utilities,344,G
Business,Paid employees for pay period including March 12,Construction,24510,G
Business,Paid employees for pay period including March 12,Manufacturing,73706,G
Business,Paid employees for pay period including March 12,Wholesale trade,29568,G
Business,Paid employees for pay period including March 12,Retail trade,130558,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,14312,G
Business,Paid employees for pay period including March 12,Information,18019,G
Business,Paid employees for pay period including March 12,Finance and insurance,31708,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,10414,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",32389,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,7129,H
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,77062,G
Business,Paid employees for pay period including March 12,Educational services,40866,G
Business,Paid employees for pay period including March 12,Health care and social assistance,84261,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",3543,G
Business,Paid employees for pay period including March 12,Accommodation and food services,79246,G
Business,Paid employees for pay period including March 12,Other services (except public administration),18841,G
Business,Paid employees for pay period including March 12,Industries not classified,810,H
Business,"Annual payroll ($1,000)",Total for all sectors,17315903,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",1417,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",10707,H
Business,"Annual payroll ($1,000)",Utilities,21650,G
Business,"Annual payroll ($1,000)",Construction,527896,G
Business,"Annual payroll ($1,000)",Manufacturing,2885248,G
Business,"Annual payroll ($1,000)",Wholesale trade,1129035,G
Business,"Annual payroll ($1,000)",Retail trade,2388446,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,414799,G
Business,"Annual payroll ($1,000)",Information,749673,G
Business,"Annual payroll ($1,000)",Finance and insurance,1432372,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,257470,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1218929,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,341322,H
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,1469218,G
Business,"Annual payroll ($1,000)",Educational services,853944,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2065345,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",71374,G
Business,"Annual payroll ($1,000)",Accommodation and food services,1100317,G
Business,"Annual payroll ($1,000)",Other services (except public administration),363810,G
Business,"Annual payroll ($1,000)",Industries not classified,12931,G
Business,Total Establishments,Total for all sectors,43620,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",14,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",43,X
Business,Total Establishments,Utilities,26,X
Business,Total Establishments,Construction,1773,X
Business,Total Establishments,Manufacturing,1730,X
Business,Total Establishments,Wholesale trade,1986,X
Business,Total Establishments,Retail trade,9569,X
Business,Total Establishments,Transportation and warehousing,988,X
Business,Total Establishments,Information,681,X
Business,Total Establishments,Finance and insurance,1814,X
Business,Total Establishments,Real estate and rental and leasing,1581,X
Business,Total Establishments,"Professional, scientific, and technical services",4327,X
Business,Total Establishments,Management of companies and enterprises,102,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1928,X
Business,Total Establishments,Educational services,920,X
Business,Total Establishments,Health care and social assistance,7646,X
Business,Total Establishments,"Arts, entertainment, and recreation",452,X
Business,Total Establishments,Accommodation and food services,4434,X
Business,Total Establishments,Other services (except public administration),3313,X
Business,Total Establishments,Industries not classified,293,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
