Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE
People,Sex and Age,45 to 54 years,87375,(+/- 2612 ),98891,(+/- 6925 ),130133,(+/- 2246 ),94388,(+/- 2704 ),96116,(+/- 3739 ),106480,(+/- 5035 ),99055,(+/- 6532 ),111444,(+/- 3850 ),96051,(+/- 5848 ),110761,(+/- 6710 ),86528,(+/- 1933 ),99088,(+/- 4439 ),81882,(+/- 2391 ),96495,(+/- 2735 ),84757,(+/- 3405 ),82153,(+/- 2531 ),86390,(+/- 3489 ),97321,(+/- 5184 ),79535,(+/- 2279 ),92549,(+/- 4706 ),101826,(+/- 5786 ),123642,(+/- 4835 ),93955,(+/- 5083 ),110379,(+/- 4987 ),99649,(+/- 4379 ),126126,(+/- 4266 ),90658,(+/- 2895 ),85227,(+/- 4024 ),91694,(+/- 5290 ),93139,(+/- 4813 ),104389,(+/- 1662 ),101558,(+/- 4867 ),90488,(+/- 4503 ),82922,(+/- 2868 ),91526,(+/- 5729 ),96094,(+/- 4899 )
People,Sex and Age,55 to 59 years,50284,(+/- 2698 ),48457,(+/- 5332 ),51634,(+/- 3041 ),52646,(+/- 3711 ),42139,(+/- 2934 ),48496,(+/- 3394 ),48780,(+/- 4545 ),56016,(+/- 4049 ),46235,(+/- 3559 ),52631,(+/- 3642 ),45069,(+/- 2582 ),47580,(+/- 3855 ),46592,(+/- 2789 ),50786,(+/- 3145 ),32898,(+/- 2897 ),39620,(+/- 2763 ),41377,(+/- 3205 ),41895,(+/- 3669 ),41168,(+/- 2289 ),43907,(+/- 3597 ),53706,(+/- 4502 ),56198,(+/- 4042 ),40136,(+/- 3288 ),53047,(+/- 3733 ),51628,(+/- 2947 ),51337,(+/- 2953 ),49674,(+/- 2621 ),35968,(+/- 2720 ),43646,(+/- 4163 ),46994,(+/- 3497 ),45340,(+/- 2728 ),46806,(+/- 3112 ),34955,(+/- 2855 ),38427,(+/- 2697 ),43729,(+/- 3858 ),48758,(+/- 3268 )
People,Sex and Age,60 to 64 years,39751,(+/- 2424 ),42695,(+/- 3666 ),41410,(+/- 2910 ),44086,(+/- 2601 ),43382,(+/- 3222 ),41334,(+/- 3802 ),39516,(+/- 3885 ),44525,(+/- 3883 ),38550,(+/- 3431 ),40505,(+/- 3701 ),46080,(+/- 2742 ),46733,(+/- 3623 ),40688,(+/- 2295 ),49057,(+/- 2817 ),35895,(+/- 3037 ),36180,(+/- 2436 ),38309,(+/- 2826 ),33547,(+/- 2898 ),38987,(+/- 2636 ),34406,(+/- 2770 ),50244,(+/- 3385 ),43229,(+/- 3968 ),38410,(+/- 3089 ),40752,(+/- 3094 ),44017,(+/- 2907 ),39462,(+/- 2394 ),41948,(+/- 3056 ),33513,(+/- 2797 ),36334,(+/- 3637 ),38043,(+/- 2670 ),39377,(+/- 2720 ),40818,(+/- 3281 ),30265,(+/- 2656 ),31021,(+/- 2998 ),35468,(+/- 3576 ),44249,(+/- 3155 )
People,Sex and Age,65 to 74 years,65949,(+/- 1676 ),54278,(+/- 4030 ),56362,(+/- 1660 ),71823,(+/- 1956 ),60179,(+/- 2693 ),59222,(+/- 2949 ),49311,(+/- 3587 ),68054,(+/- 2643 ),46777,(+/- 3767 ),59464,(+/- 4096 ),64551,(+/- 2054 ),58269,(+/- 3470 ),61797,(+/- 1917 ),59933,(+/- 1755 ),51501,(+/- 2680 ),49243,(+/- 1412 ),54219,(+/- 2718 ),45134,(+/- 3011 ),55041,(+/- 1668 ),50363,(+/- 2805 ),74411,(+/- 3791 ),58932,(+/- 2806 ),55801,(+/- 3275 ),49438,(+/- 3566 ),66090,(+/- 2875 ),52647,(+/- 2282 ),64066,(+/- 2055 ),49209,(+/- 2522 ),39645,(+/- 2878 ),46295,(+/- 2801 ),60220,(+/- 1110 ),51482,(+/- 2666 ),36845,(+/- 2914 ),58865,(+/- 2769 ),44572,(+/- 3394 ),61719,(+/- 2885 )
People,Sex and Age,75 to 84 years,33452,(+/- 2209 ),20760,(+/- 2346 ),25731,(+/- 1477 ),38037,(+/- 2038 ),30897,(+/- 2226 ),24608,(+/- 2186 ),22261,(+/- 2213 ),29276,(+/- 2514 ),19988,(+/- 1945 ),26230,(+/- 2283 ),36674,(+/- 1872 ),27576,(+/- 2298 ),31569,(+/- 1611 ),28263,(+/- 1871 ),26490,(+/- 2235 ),27334,(+/- 1609 ),27068,(+/- 1810 ),21568,(+/- 2208 ),30312,(+/- 1846 ),24783,(+/- 2062 ),35910,(+/- 2851 ),24521,(+/- 1891 ),30452,(+/- 2697 ),24468,(+/- 2380 ),29200,(+/- 2233 ),19810,(+/- 1817 ),34130,(+/- 1976 ),26367,(+/- 2636 ),14906,(+/- 2208 ),21775,(+/- 2220 ),27111,(+/- 1678 ),24865,(+/- 2146 ),16266,(+/- 1953 ),31661,(+/- 2674 ),22844,(+/- 2053 ),28475,(+/- 2143 )
People,Sex and Age,85 years and over,15811,(+/- 1706 ),7333,(+/- 1285 ),6687,(+/- 1324 ),14146,(+/- 1667 ),10809,(+/- 1589 ),6914,(+/- 1145 ),11845,(+/- 1821 ),11578,(+/- 2192 ),8445,(+/- 1378 ),11296,(+/- 2073 ),15332,(+/- 1543 ),11697,(+/- 1566 ),14057,(+/- 1276 ),10575,(+/- 1585 ),10051,(+/- 1747 ),12333,(+/- 1725 ),10400,(+/- 1245 ),6989,(+/- 1205 ),13751,(+/- 1725 ),9784,(+/- 1484 ),14834,(+/- 1961 ),10255,(+/- 2065 ),10247,(+/- 1521 ),8953,(+/- 1496 ),11022,(+/- 1855 ),6477,(+/- 1298 ),13049,(+/- 1753 ),8710,(+/- 1351 ),5689,(+/- 1450 ),8333,(+/- 1442 ),10568,(+/- 1862 ),10019,(+/- 1221 ),7501,(+/- 1306 ),10754,(+/- 1727 ),8784,(+/- 1368 ),10470,(+/- 1503 )
People,Sex and Age,Median age (years),36.8,(+/- 0.3 ),35.0,(+/- 0.7 ),36.7,(+/- 0.3 ),39.6,(+/- 0.6 ),35.6,(+/- 0.6 ),35.2,(+/- 0.9 ),34.9,(+/- 0.7 ),37.2,(+/- 0.5 ),32.0,(+/- 0.7 ),35.8,(+/- 0.6 ),34.9,(+/- 0.4 ),35.7,(+/- 0.7 ),36.1,(+/- 0.3 ),36.6,(+/- 0.4 ),30.7,(+/- 0.6 ),32.1,(+/- 0.4 ),32.3,(+/- 0.5 ),32.4,(+/- 0.6 ),33.1,(+/- 0.4 ),32.2,(+/- 0.7 ),37.8,(+/- 0.9 ),35.8,(+/- 0.6 ),33.5,(+/- 0.6 ),35.6,(+/- 0.7 ),37.1,(+/- 0.7 ),35.2,(+/- 0.4 ),36.4,(+/- 0.4 ),31.4,(+/- 0.8 ),31.2,(+/- 0.7 ),33.0,(+/- 0.9 ),34.6,(+/- 0.3 ),35.2,(+/- 0.5 ),29.7,(+/- 0.7 ),32.3,(+/- 0.5 ),31.2,(+/- 0.6 ),36.5,(+/- 0.7 )
People,Sex and Age,18 years and over,542239,(+/- 3170 ),585891,(+/- 19011 ),621464,(+/- 4326 ),556302,(+/- 4393 ),563525,(+/- 8483 ),571430,(+/- 10670 ),574812,(+/- 19187 ),612471,(+/- 8027 ),582886,(+/- 16305 ),615596,(+/- 15464 ),565231,(+/- 4150 ),578915,(+/- 11140 ),532858,(+/- 3792 ),566908,(+/- 6819 ),529986,(+/- 9247 ),534012,(+/- 5116 ),584431,(+/- 8250 ),573666,(+/- 15349 ),551266,(+/- 4995 ),589637,(+/- 14658 ),641372,(+/- 13487 ),639094,(+/- 12775 ),556851,(+/- 13211 ),606830,(+/- 12270 ),581785,(+/- 11721 ),614541,(+/- 7283 ),551600,(+/- 4681 ),506919,(+/- 10967 ),531037,(+/- 15655 ),544945,(+/- 10490 ),610363,(+/- 3190 ),567220,(+/- 9332 ),522402,(+/- 14894 ),510113,(+/- 7076 ),605315,(+/- 16247 ),546989,(+/- 9699 )
People,Sex and Age,65 years and over,115212,(+/- 1894 ),82371,(+/- 4728 ),88780,(+/- 1974 ),124006,(+/- 2303 ),101885,(+/- 3375 ),90744,(+/- 4011 ),83417,(+/- 4562 ),108908,(+/- 2740 ),75210,(+/- 3797 ),96990,(+/- 4267 ),116557,(+/- 2523 ),97542,(+/- 4235 ),107423,(+/- 2022 ),98771,(+/- 2206 ),88042,(+/- 3218 ),88910,(+/- 1743 ),91687,(+/- 3109 ),73691,(+/- 4171 ),99104,(+/- 1781 ),84930,(+/- 3961 ),125155,(+/- 4428 ),93708,(+/- 3627 ),96500,(+/- 4181 ),82859,(+/- 5062 ),106312,(+/- 3199 ),78934,(+/- 2985 ),111245,(+/- 2536 ),84286,(+/- 3855 ),60240,(+/- 3768 ),76403,(+/- 3538 ),97899,(+/- 724 ),86366,(+/- 3689 ),60612,(+/- 3715 ),101280,(+/- 3749 ),76200,(+/- 4299 ),100664,(+/- 3652 )
People,Race,Total population,717735,(+/- 3914 ),779662,(+/- 27763 ),842800,(+/- 5868 ),735554,(+/- 6569 ),764456,(+/- 11537 ),770255,(+/- 13806 ),770606,(+/- 28103 ),813519,(+/- 10510 ),793923,(+/- 24052 ),823296,(+/- 24329 ),759136,(+/- 5753 ),770350,(+/- 16870 ),707421,(+/- 5033 ),753147,(+/- 9960 ),776887,(+/- 14120 ),735784,(+/- 7298 ),761922,(+/- 11615 ),787352,(+/- 21789 ),734532,(+/- 6047 ),791141,(+/- 22187 ),804470,(+/- 17282 ),881407,(+/- 20047 ),772944,(+/- 18777 ),790319,(+/- 14242 ),762897,(+/- 15976 ),845376,(+/- 10550 ),736778,(+/- 6082 ),736150,(+/- 15678 ),765403,(+/- 23377 ),749289,(+/- 17031 ),830908,(+/- 5176 ),753715,(+/- 12321 ),764730,(+/- 25130 ),723156,(+/- 10670 ),822601,(+/- 23973 ),732975,(+/- 13220 )
People,Race,One race,706688,(+/- 4756 ),763770,(+/- 27700 ),813556,(+/- 7446 ),717945,(+/- 6887 ),747458,(+/- 12539 ),742422,(+/- 13529 ),746039,(+/- 28858 ),794422,(+/- 11767 ),782488,(+/- 23819 ),801526,(+/- 24256 ),744285,(+/- 5987 ),746056,(+/- 16688 ),684932,(+/- 6136 ),740640,(+/- 10595 ),764604,(+/- 14213 ),715819,(+/- 9168 ),737522,(+/- 11051 ),767156,(+/- 22201 ),715796,(+/- 5926 ),772744,(+/- 21847 ),782568,(+/- 17013 ),859097,(+/- 19448 ),756034,(+/- 18387 ),760404,(+/- 14391 ),734378,(+/- 16771 ),812715,(+/- 11502 ),722164,(+/- 6561 ),723157,(+/- 15866 ),754969,(+/- 23372 ),733409,(+/- 17315 ),790617,(+/- 7263 ),728004,(+/- 12418 ),747002,(+/- 24592 ),716508,(+/- 10542 ),801881,(+/- 23851 ),719107,(+/- 13277 )
People,Race,White,548138,(+/- 6216 ),519314,(+/- 22524 ),580112,(+/- 8018 ),600780,(+/- 7573 ),581587,(+/- 12339 ),506922,(+/- 14746 ),518515,(+/- 21497 ),675178,(+/- 9886 ),294780,(+/- 18222 ),605730,(+/- 20438 ),671305,(+/- 8568 ),608659,(+/- 16238 ),605427,(+/- 6621 ),545161,(+/- 9165 ),621756,(+/- 19797 ),601497,(+/- 11980 ),569015,(+/- 10298 ),379834,(+/- 19699 ),614355,(+/- 7410 ),654066,(+/- 21973 ),694123,(+/- 15795 ),532428,(+/- 16995 ),620655,(+/- 16082 ),495045,(+/- 13652 ),637706,(+/- 14834 ),662384,(+/- 11823 ),621318,(+/- 7669 ),647918,(+/- 14507 ),590819,(+/- 22542 ),365296,(+/- 16723 ),627321,(+/- 7814 ),518302,(+/- 15078 ),510928,(+/- 20033 ),667875,(+/- 11323 ),599752,(+/- 17944 ),608708,(+/- 13408 )
People,Race,Black or African American,129794,(+/- 3103 ),98647,(+/- 11786 ),81354,(+/- 3103 ),77019,(+/- 3086 ),114144,(+/- 9827 ),156540,(+/- 9716 ),98677,(+/- 11235 ),73354,(+/- 6947 ),294728,(+/- 14932 ),89491,(+/- 10710 ),31355,(+/- 2525 ),66350,(+/- 8389 ),36046,(+/- 2409 ),150526,(+/- 4284 ),12246,(+/- 2449 ),29397,(+/- 2247 ),99936,(+/- 5393 ),286167,(+/- 11399 ),44849,(+/- 2367 ),42816,(+/- 6046 ),30006,(+/- 5273 ),117562,(+/- 11029 ),29792,(+/- 5043 ),92917,(+/- 8620 ),57573,(+/- 6757 ),60804,(+/- 5409 ),40305,(+/- 2805 ),29559,(+/- 5195 ),81208,(+/- 9948 ),326398,(+/- 12012 ),93422,(+/- 5525 ),108449,(+/- 10585 ),120217,(+/- 9226 ),9560,(+/- 1603 ),83699,(+/- 8128 ),67376,(+/- 6225 )
People,Race,American Indian and Alaska Native,4141,(+/- 2110 ),2275,(+/- 1073 ),3171,(+/- 927 ),4710,(+/- 979 ),5073,(+/- 2086 ),4581,(+/- 1972 ),1210,(+/- 592 ),5201,(+/- 2334 ),1403,(+/- 815 ),4979,(+/- 2129 ),3276,(+/- 1329 ),4637,(+/- 1618 ),5461,(+/- 1480 ),4437,(+/- 1320 ),2206,(+/- 1320 ),3608,(+/- 1249 ),3752,(+/- 2006 ),798,(+/- 514 ),6824,(+/- 2093 ),4974,(+/- 1889 ),4197,(+/- 1683 ),5666,(+/- 3254 ),9997,(+/- 3864 ),4599,(+/- 1372 ),4142,(+/- 1589 ),4326,(+/- 1225 ),2394,(+/- 1276 ),1198,(+/- 593 ),4455,(+/- 1935 ),1212,(+/- 583 ),3623,(+/- 1496 ),1511,(+/- 592 ),1586,(+/- 1048 ),1173,(+/- 578 ),4138,(+/- 1809 ),4341,(+/- 1661 )
People,Race,Asian,8172,(+/- 1414 ),52196,(+/- 7164 ),129578,(+/- 3695 ),8111,(+/- 780 ),17322,(+/- 3313 ),37335,(+/- 5131 ),78345,(+/- 9262 ),22079,(+/- 3701 ),100545,(+/- 10073 ),43861,(+/- 5832 ),8687,(+/- 971 ),27968,(+/- 4935 ),14824,(+/- 1698 ),23581,(+/- 1462 ),9053,(+/- 2052 ),11085,(+/- 1125 ),38245,(+/- 5396 ),31012,(+/- 5362 ),10504,(+/- 1111 ),24037,(+/- 3331 ),30081,(+/- 4585 ),167924,(+/- 6009 ),12336,(+/- 2644 ),110203,(+/- 7696 ),19755,(+/- 3033 ),49939,(+/- 5937 ),11886,(+/- 2080 ),7043,(+/- 2400 ),17308,(+/- 3516 ),12398,(+/- 2804 ),43196,(+/- 1840 ),63166,(+/- 6595 ),19468,(+/- 4256 ),6423,(+/- 1836 ),15610,(+/- 3910 ),17024,(+/- 3883 )
People,Race,Native Hawaiian and Other Pacific Islander,422,(+/- 411 ),1160,(+/- 978 ),822,(+/- 85 ),384,(+/- 460 ),467,(+/- 533 ),1731,(+/- 818 ),205,(+/- 335 ),358,(+/- 430 ),316,(+/- 296 ),604,(+/- 871 ),146,(+/- 162 ),1090,(+/- 1133 ),700,(+/- 435 ),298,(+/- 252 ),1684,(+/- 1436 ),299,(+/- 316 ),786,(+/- 575 ),1950,(+/- 1526 ),1084,(+/- 1098 ),560,(+/- 577 ),412,(+/- 367 ),301,(+/- 360 ),347,(+/- 294 ),767,(+/- 584 ),2907,(+/- 707 ),613,(+/- 253 ),545,(+/- 400 ),316,(+/- 307 ),0,(+/- 220 ),110,(+/- 121 ),2360,(+/- 501 ),253,(+/- 384 ),602,(+/- 545 ),157,(+/- 165 ),203,(+/- 228 ),269,(+/- 405 )
