Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE
People,Race,American Indian and Alaska Native,806,(+/- 545 ),621,(+/- 209 ),2277,(+/- 1078 ),4398,(+/- 1875 ),1552,(+/- 910 ),684,(+/- 435 ),1315,(+/- 770 ),2737,(+/- 1191 ),2369,(+/- 1095 ),1274,(+/- 589 ),2646,(+/- 1779 ),1092,(+/- 398 ),1376,(+/- 696 ),1422,(+/- 755 ),1693,(+/- 740 ),848,(+/- 446 ),1761,(+/- 794 ),1599,(+/- 612 )
People,Race,Asian,12254,(+/- 2187 ),5436,(+/- 1519 ),30281,(+/- 5503 ),25740,(+/- 3506 ),50171,(+/- 5596 ),65830,(+/- 6246 ),53760,(+/- 5512 ),92202,(+/- 7859 ),93906,(+/- 6438 ),80123,(+/- 5070 ),62504,(+/- 6291 ),10412,(+/- 1398 ),27069,(+/- 1308 ),33119,(+/- 4116 ),4540,(+/- 939 ),9120,(+/- 1482 ),10007,(+/- 1621 ),18309,(+/- 1668 )
People,Race,Native Hawaiian and Other Pacific Islander,127,(+/- 148 ),165,(+/- 230 ),170,(+/- 190 ),290,(+/- 244 ),406,(+/- 425 ),193,(+/- 244 ),650,(+/- 464 ),169,(+/- 158 ),213,(+/- 170 ),310,(+/- 434 ),171,(+/- 168 ),200,(+/- 191 ),370,(+/- 342 ),414,(+/- 685 ),251,(+/- 236 ),256,(+/- 273 ),436,(+/- 349 ),60,(+/- 106 )
People,Race,Some other race,26617,(+/- 5166 ),23507,(+/- 4753 ),104678,(+/- 10596 ),235506,(+/- 14517 ),34357,(+/- 4830 ),16399,(+/- 5807 ),53663,(+/- 8148 ),102625,(+/- 12290 ),17837,(+/- 4903 ),56158,(+/- 7326 ),84802,(+/- 8633 ),6030,(+/- 1740 ),3212,(+/- 944 ),23337,(+/- 6139 ),3811,(+/- 1527 ),15228,(+/- 3409 ),10919,(+/- 2848 ),4098,(+/- 1889 )
People,Race,Two or more races,13153,(+/- 2757 ),12738,(+/- 2764 ),15617,(+/- 3596 ),17937,(+/- 2684 ),25008,(+/- 3607 ),20797,(+/- 3893 ),16182,(+/- 2793 ),20725,(+/- 3752 ),22556,(+/- 4084 ),18495,(+/- 2988 ),24061,(+/- 4339 ),17042,(+/- 2861 ),21311,(+/- 2525 ),15884,(+/- 2588 ),10117,(+/- 2327 ),15444,(+/- 2563 ),21604,(+/- 3365 ),12740,(+/- 2089 )
People,Hispanic or Latino and Race,Total population,691474,(+/- 15480 ),713917,(+/- 12291 ),720930,(+/- 14494 ),695098,(+/- 16697 ),723373,(+/- 12713 ),722323,(+/- 13209 ),723481,(+/- 15876 ),717789,(+/- 12657 ),724071,(+/- 16066 ),710610,(+/- 7793 ),730480,(+/- 9077 ),693736,(+/- 3049 ),704699,(+/- 7382 ),736397,(+/- 9581 ),700549,(+/- 4872 ),687998,(+/- 6074 ),691212,(+/- 7398 ),713402,(+/- 7888 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),72236,(+/- 8949 ),99610,(+/- 8551 ),238646,(+/- 13030 ),487383,(+/- 15313 ),139326,(+/- 9669 ),67177,(+/- 8049 ),119971,(+/- 9606 ),210817,(+/- 15293 ),78549,(+/- 9672 ),159809,(+/- 6803 ),196939,(+/- 8110 ),23528,(+/- 1207 ),23987,(+/- 2077 ),93109,(+/- 8417 ),18784,(+/- 1687 ),64186,(+/- 3246 ),64640,(+/- 2780 ),20093,(+/- 2414 )
People,Hispanic or Latino and Race,Mexican,63805,(+/- 8349 ),90549,(+/- 8377 ),207371,(+/- 12510 ),379412,(+/- 13955 ),81605,(+/- 8609 ),53129,(+/- 8335 ),83805,(+/- 7565 ),168575,(+/- 14734 ),49750,(+/- 7395 ),131840,(+/- 8585 ),169420,(+/- 8960 ),18814,(+/- 1647 ),15521,(+/- 2028 ),76437,(+/- 8330 ),13728,(+/- 1710 ),54404,(+/- 3767 ),52769,(+/- 3509 ),12789,(+/- 1749 )
People,Hispanic or Latino and Race,Puerto Rican,4821,(+/- 2054 ),4823,(+/- 1262 ),14564,(+/- 4093 ),60034,(+/- 6065 ),24359,(+/- 4328 ),4244,(+/- 1302 ),17287,(+/- 3675 ),19295,(+/- 4860 ),9788,(+/- 4097 ),7721,(+/- 2184 ),13851,(+/- 3477 ),1987,(+/- 773 ),3333,(+/- 1105 ),7558,(+/- 2424 ),1370,(+/- 552 ),5395,(+/- 1735 ),6755,(+/- 1816 ),2453,(+/- 1230 )
People,Hispanic or Latino and Race,Cuban,303,(+/- 212 ),724,(+/- 1026 ),732,(+/- 467 ),4039,(+/- 1281 ),4816,(+/- 2116 ),1393,(+/- 821 ),1673,(+/- 631 ),2421,(+/- 1095 ),2816,(+/- 858 ),2383,(+/- 1084 ),774,(+/- 512 ),288,(+/- 254 ),999,(+/- 651 ),606,(+/- 374 ),642,(+/- 686 ),695,(+/- 475 ),1222,(+/- 833 ),706,(+/- 658 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,3307,(+/- 1089 ),3514,(+/- 1263 ),15979,(+/- 4465 ),43898,(+/- 6619 ),28546,(+/- 3781 ),8411,(+/- 2357 ),17206,(+/- 5549 ),20526,(+/- 4420 ),16195,(+/- 3544 ),17865,(+/- 4114 ),12894,(+/- 3089 ),2439,(+/- 1087 ),4134,(+/- 1227 ),8508,(+/- 2480 ),3044,(+/- 930 ),3692,(+/- 1249 ),3894,(+/- 1324 ),4145,(+/- 1303 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,619238,(+/- 14702 ),614307,(+/- 11701 ),482284,(+/- 13356 ),207715,(+/- 8891 ),584047,(+/- 10953 ),655146,(+/- 11500 ),603510,(+/- 15359 ),506972,(+/- 13883 ),645522,(+/- 13746 ),550801,(+/- 9535 ),533541,(+/- 10208 ),670208,(+/- 3100 ),680712,(+/- 7314 ),643288,(+/- 9617 ),681765,(+/- 4928 ),623812,(+/- 5596 ),626572,(+/- 6595 ),693309,(+/- 7378 )
People,Place of Birth,Total population,691474,(+/- 15480 ),713917,(+/- 12291 ),720930,(+/- 14494 ),695098,(+/- 16697 ),723373,(+/- 12713 ),722323,(+/- 13209 ),723481,(+/- 15876 ),717789,(+/- 12657 ),724071,(+/- 16066 ),710610,(+/- 7793 ),730480,(+/- 9077 ),693736,(+/- 3049 ),704699,(+/- 7382 ),736397,(+/- 9581 ),700549,(+/- 4872 ),687998,(+/- 6074 ),691212,(+/- 7398 ),713402,(+/- 7888 )
People,Place of Birth,Native,639564,(+/- 15533 ),660565,(+/- 12338 ),569615,(+/- 12444 ),462301,(+/- 14341 ),563921,(+/- 11654 ),616070,(+/- 11578 ),623726,(+/- 16401 ),515522,(+/- 10720 ),540756,(+/- 15333 ),536299,(+/- 8582 ),596111,(+/- 8282 ),674428,(+/- 3620 ),669273,(+/- 7563 ),662296,(+/- 9626 ),688859,(+/- 5179 ),654181,(+/- 6292 ),659882,(+/- 7006 ),684696,(+/- 7677 )
People,Place of Birth,Born in United States,635267,(+/- 15337 ),656293,(+/- 12270 ),560901,(+/- 12117 ),438547,(+/- 14157 ),549170,(+/- 11596 ),609513,(+/- 11624 ),614174,(+/- 16248 ),506357,(+/- 10802 ),531212,(+/- 15100 ),527761,(+/- 8521 ),587857,(+/- 8306 ),669296,(+/- 3822 ),665226,(+/- 7681 ),655719,(+/- 9746 ),685751,(+/- 5150 ),649593,(+/- 6521 ),655064,(+/- 6818 ),681209,(+/- 7484 )
People,Place of Birth,State of residence,523279,(+/- 13635 ),540619,(+/- 13131 ),510188,(+/- 11967 ),370970,(+/- 13618 ),399509,(+/- 9746 ),474241,(+/- 10894 ),453068,(+/- 14752 ),423760,(+/- 10010 ),395032,(+/- 13620 ),401205,(+/- 9557 ),478296,(+/- 9462 ),473071,(+/- 7394 ),519759,(+/- 8197 ),516431,(+/- 9501 ),535829,(+/- 7238 ),526613,(+/- 6655 ),499448,(+/- 8973 ),554675,(+/- 7919 )
People,Place of Birth,Different state,111988,(+/- 6301 ),115674,(+/- 5586 ),50713,(+/- 3973 ),67577,(+/- 4636 ),149661,(+/- 6309 ),135272,(+/- 6359 ),161106,(+/- 7542 ),82597,(+/- 5437 ),136180,(+/- 5535 ),126556,(+/- 6446 ),109561,(+/- 6125 ),196225,(+/- 7218 ),145467,(+/- 6342 ),139288,(+/- 6588 ),149922,(+/- 6296 ),122980,(+/- 6299 ),155616,(+/- 6340 ),126534,(+/- 4917 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4297,(+/- 1414 ),4272,(+/- 1338 ),8714,(+/- 1791 ),23754,(+/- 2797 ),14751,(+/- 2101 ),6557,(+/- 1338 ),9552,(+/- 1869 ),9165,(+/- 1992 ),9544,(+/- 2029 ),8538,(+/- 1419 ),8254,(+/- 1919 ),5132,(+/- 1065 ),4047,(+/- 1025 ),6577,(+/- 1709 ),3108,(+/- 602 ),4588,(+/- 1154 ),4818,(+/- 1359 ),3487,(+/- 875 )
People,Place of Birth,Foreign born,51910,(+/- 5113 ),53352,(+/- 5177 ),151315,(+/- 7340 ),232797,(+/- 8587 ),159452,(+/- 7890 ),106253,(+/- 7182 ),99755,(+/- 6460 ),202267,(+/- 10393 ),183315,(+/- 10101 ),174311,(+/- 8126 ),134369,(+/- 7791 ),19308,(+/- 2602 ),35426,(+/- 3213 ),74101,(+/- 5836 ),11690,(+/- 2146 ),33817,(+/- 2643 ),31330,(+/- 3193 ),28706,(+/- 3038 )
People,Ancestry,Total population,691474,(+/- 15480 ),713917,(+/- 12291 ),720930,(+/- 14494 ),695098,(+/- 16697 ),723373,(+/- 12713 ),722323,(+/- 13209 ),723481,(+/- 15876 ),717789,(+/- 12657 ),724071,(+/- 16066 ),710610,(+/- 7793 ),730480,(+/- 9077 ),693736,(+/- 3049 ),704699,(+/- 7382 ),736397,(+/- 9581 ),700549,(+/- 4872 ),687998,(+/- 6074 ),691212,(+/- 7398 ),713402,(+/- 7888 )
People,Ancestry,American,13817,(+/- 2988 ),17974,(+/- 3113 ),18014,(+/- 3177 ),11254,(+/- 2313 ),25986,(+/- 3816 ),27094,(+/- 3840 ),12260,(+/- 3355 ),19343,(+/- 3001 ),22156,(+/- 2813 ),21465,(+/- 2981 ),18364,(+/- 2628 ),38948,(+/- 3195 ),45801,(+/- 3706 ),22233,(+/- 3679 ),79105,(+/- 4552 ),29591,(+/- 3157 ),48017,(+/- 5850 ),54629,(+/- 3800 )
People,Ancestry,Arab,7644,(+/- 3543 ),1011,(+/- 609 ),21847,(+/- 5950 ),4041,(+/- 2030 ),9399,(+/- 2345 ),6802,(+/- 5184 ),3901,(+/- 1478 ),2904,(+/- 1470 ),15052,(+/- 5414 ),3639,(+/- 1378 ),5687,(+/- 2614 ),297,(+/- 233 ),3192,(+/- 2020 ),2125,(+/- 1096 ),1149,(+/- 782 ),1984,(+/- 1568 ),1084,(+/- 624 ),3130,(+/- 1660 )
People,Ancestry,Czech,5883,(+/- 1449 ),1492,(+/- 605 ),11315,(+/- 2589 ),4662,(+/- 1252 ),7140,(+/- 1501 ),13248,(+/- 2274 ),3952,(+/- 2372 ),8778,(+/- 1913 ),4511,(+/- 1169 ),4320,(+/- 1087 ),13497,(+/- 2441 ),1440,(+/- 484 ),2947,(+/- 885 ),11066,(+/- 2468 ),2939,(+/- 1011 ),6478,(+/- 1392 ),2972,(+/- 877 ),2601,(+/- 851 )
People,Ancestry,Danish,1639,(+/- 749 ),1072,(+/- 446 ),3072,(+/- 1363 ),993,(+/- 487 ),2339,(+/- 775 ),4112,(+/- 1210 ),948,(+/- 397 ),3173,(+/- 1112 ),3180,(+/- 943 ),3821,(+/- 991 ),2599,(+/- 1444 ),1143,(+/- 562 ),3145,(+/- 1585 ),5521,(+/- 1341 ),606,(+/- 237 ),5762,(+/- 1822 ),2287,(+/- 626 ),2009,(+/- 677 )
People,Ancestry,Dutch,9926,(+/- 2358 ),10043,(+/- 2566 ),9838,(+/- 2102 ),1557,(+/- 562 ),7337,(+/- 1556 ),9584,(+/- 1867 ),3887,(+/- 930 ),5667,(+/- 1590 ),6216,(+/- 1403 ),6883,(+/- 1354 ),7137,(+/- 1674 ),7109,(+/- 1382 ),10072,(+/- 1587 ),8507,(+/- 2067 ),10150,(+/- 1479 ),13907,(+/- 2411 ),17247,(+/- 2389 ),12175,(+/- 1733 )
People,Ancestry,English,15413,(+/- 2352 ),13193,(+/- 1575 ),19067,(+/- 2405 ),8227,(+/- 1296 ),33962,(+/- 2975 ),50551,(+/- 4339 ),15599,(+/- 2572 ),28080,(+/- 3609 ),37650,(+/- 3035 ),36818,(+/- 3608 ),28824,(+/- 3667 ),50567,(+/- 4129 ),63353,(+/- 4170 ),58140,(+/- 5712 ),57217,(+/- 3947 ),56684,(+/- 4464 ),48997,(+/- 3845 ),72944,(+/- 5152 )
People,Ancestry,French (except Basque),5122,(+/- 1181 ),12874,(+/- 2265 ),7904,(+/- 1637 ),3997,(+/- 900 ),12822,(+/- 1983 ),18571,(+/- 2551 ),7286,(+/- 1591 ),9704,(+/- 2038 ),13026,(+/- 2611 ),9490,(+/- 1529 ),11338,(+/- 2026 ),18927,(+/- 2272 ),15104,(+/- 2236 ),21250,(+/- 4073 ),13238,(+/- 1864 ),22901,(+/- 3200 ),15865,(+/- 2806 ),17831,(+/- 2718 )
People,Ancestry,French Canadian,521,(+/- 277 ),2320,(+/- 707 ),1589,(+/- 570 ),722,(+/- 306 ),2495,(+/- 674 ),2481,(+/- 888 ),1434,(+/- 810 ),1915,(+/- 714 ),2622,(+/- 804 ),1951,(+/- 635 ),2363,(+/- 974 ),1918,(+/- 934 ),1523,(+/- 829 ),4315,(+/- 1230 ),1093,(+/- 445 ),2765,(+/- 1089 ),1800,(+/- 812 ),866,(+/- 400 )
People,Ancestry,German,67001,(+/- 5897 ),51420,(+/- 4561 ),92452,(+/- 6472 ),37041,(+/- 3792 ),111881,(+/- 5931 ),173546,(+/- 8319 ),49178,(+/- 3799 ),101927,(+/- 6454 ),105866,(+/- 6490 ),108690,(+/- 7051 ),109793,(+/- 6732 ),159206,(+/- 6833 ),162428,(+/- 7971 ),212982,(+/- 9314 ),182052,(+/- 8064 ),199612,(+/- 7581 ),162876,(+/- 6515 ),217074,(+/- 8998 )
People,Ancestry,Greek,2131,(+/- 845 ),1903,(+/- 763 ),9805,(+/- 2495 ),2814,(+/- 1322 ),10683,(+/- 2045 ),8154,(+/- 1745 ),3437,(+/- 1142 ),10376,(+/- 2846 ),12482,(+/- 2974 ),8496,(+/- 2650 ),6085,(+/- 2051 ),2385,(+/- 953 ),2601,(+/- 771 ),4280,(+/- 1636 ),1536,(+/- 1019 ),2592,(+/- 1140 ),2454,(+/- 868 ),2872,(+/- 1005 )
