Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
People,Place of Birth,Born in United States,685405,(+/- 7972 ),696984,(+/- 11308 ),765075,(+/- 10063 ),729765,(+/- 5734 ),712965,(+/- 7645 ),739124,(+/- 7378 ),744566,(+/- 4218 ),726803,(+/- 4701 )
People,Place of Birth,State of residence,511711,(+/- 10214 ),501227,(+/- 11125 ),595681,(+/- 10107 ),473027,(+/- 8621 ),463436,(+/- 9443 ),496609,(+/- 8568 ),451717,(+/- 8957 ),544029,(+/- 6556 )
People,Place of Birth,Different state,173694,(+/- 7461 ),195757,(+/- 8194 ),169394,(+/- 6866 ),256738,(+/- 7698 ),249529,(+/- 7498 ),242515,(+/- 7203 ),292849,(+/- 8812 ),182774,(+/- 6039 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6919,(+/- 1780 ),4714,(+/- 1129 ),4160,(+/- 874 ),5751,(+/- 1063 ),6490,(+/- 1749 ),4841,(+/- 1618 ),6381,(+/- 1323 ),3855,(+/- 1266 )
People,Place of Birth,Foreign born,43086,(+/- 3688 ),61478,(+/- 5677 ),14444,(+/- 2158 ),26344,(+/- 3150 ),43833,(+/- 4303 ),23913,(+/- 3234 ),25639,(+/- 2246 ),10465,(+/- 1399 )
People,Ancestry,Total population,735410,(+/- 8211 ),763176,(+/- 11571 ),783679,(+/- 10619 ),761860,(+/- 4848 ),763288,(+/- 6821 ),767878,(+/- 7043 ),776586,(+/- 3086 ),741123,(+/- 4752 )
People,Ancestry,American,28152,(+/- 4669 ),58366,(+/- 5323 ),80166,(+/- 6989 ),72477,(+/- 6022 ),36357,(+/- 3568 ),70844,(+/- 4549 ),58501,(+/- 5330 ),116235,(+/- 8849 )
People,Ancestry,Arab,4659,(+/- 1881 ),8670,(+/- 4005 ),868,(+/- 592 ),1025,(+/- 682 ),4627,(+/- 1729 ),2937,(+/- 2121 ),1364,(+/- 971 ),2302,(+/- 1279 )
People,Ancestry,Czech,2803,(+/- 830 ),6931,(+/- 1504 ),2797,(+/- 1046 ),2940,(+/- 1509 ),2446,(+/- 680 ),2706,(+/- 1090 ),2082,(+/- 851 ),1095,(+/- 477 )
People,Ancestry,Danish,919,(+/- 454 ),2150,(+/- 822 ),1991,(+/- 1056 ),2089,(+/- 830 ),2555,(+/- 1545 ),3799,(+/- 1791 ),3405,(+/- 1315 ),1081,(+/- 593 )
People,Ancestry,Dutch,4762,(+/- 1652 ),10341,(+/- 2064 ),14189,(+/- 2905 ),13014,(+/- 2240 ),10121,(+/- 1850 ),13102,(+/- 2706 ),13043,(+/- 2405 ),12065,(+/- 2271 )
People,Ancestry,English,31246,(+/- 2727 ),73341,(+/- 5057 ),66305,(+/- 5213 ),70663,(+/- 5492 ),62563,(+/- 4287 ),74370,(+/- 5424 ),76244,(+/- 5412 ),54904,(+/- 5671 )
People,Ancestry,French (except Basque),15021,(+/- 2161 ),29621,(+/- 3318 ),29627,(+/- 3196 ),17343,(+/- 2361 ),14883,(+/- 1807 ),18483,(+/- 3073 ),21413,(+/- 2934 ),29851,(+/- 4107 )
People,Ancestry,French Canadian,607,(+/- 338 ),1982,(+/- 751 ),2080,(+/- 748 ),2227,(+/- 727 ),1616,(+/- 430 ),2618,(+/- 1228 ),2416,(+/- 1012 ),1399,(+/- 604 )
People,Ancestry,German,108448,(+/- 6826 ),249357,(+/- 10827 ),274284,(+/- 11784 ),185125,(+/- 8939 ),134215,(+/- 7176 ),189855,(+/- 7666 ),158298,(+/- 8474 ),151427,(+/- 8054 )
People,Ancestry,Greek,2212,(+/- 833 ),4176,(+/- 1324 ),626,(+/- 407 ),1235,(+/- 726 ),1723,(+/- 692 ),1780,(+/- 738 ),1018,(+/- 782 ),706,(+/- 481 )
People,Ancestry,Hungarian,2833,(+/- 1143 ),5542,(+/- 2050 ),2711,(+/- 1129 ),1664,(+/- 837 ),1296,(+/- 959 ),2373,(+/- 1206 ),877,(+/- 469 ),759,(+/- 403 )
People,Ancestry,Irish,70154,(+/- 5471 ),128055,(+/- 6479 ),106524,(+/- 7478 ),99070,(+/- 7728 ),79765,(+/- 5280 ),103376,(+/- 5455 ),97074,(+/- 6375 ),95231,(+/- 6466 )
People,Ancestry,Italian,22579,(+/- 3258 ),49604,(+/- 4237 ),38115,(+/- 5370 ),18037,(+/- 2695 ),21747,(+/- 2470 ),25253,(+/- 3694 ),20183,(+/- 3411 ),14409,(+/- 2414 )
People,Ancestry,Lithuanian,1075,(+/- 558 ),1388,(+/- 675 ),619,(+/- 327 ),536,(+/- 318 ),735,(+/- 519 ),416,(+/- 553 ),446,(+/- 340 ),358,(+/- 272 )
People,Ancestry,Norwegian,3888,(+/- 1214 ),4679,(+/- 983 ),4251,(+/- 1635 ),4905,(+/- 1200 ),7069,(+/- 1634 ),6118,(+/- 1405 ),6006,(+/- 1530 ),2230,(+/- 734 )
People,Ancestry,Polish,13219,(+/- 1770 ),24082,(+/- 3318 ),16395,(+/- 2359 ),8175,(+/- 2046 ),8730,(+/- 1706 ),10434,(+/- 1955 ),10603,(+/- 2524 ),9186,(+/- 2032 )
People,Ancestry,Portuguese,195,(+/- 211 ),1494,(+/- 956 ),684,(+/- 511 ),903,(+/- 568 ),417,(+/- 298 ),1217,(+/- 711 ),1396,(+/- 902 ),247,(+/- 176 )
People,Ancestry,Russian,3807,(+/- 1098 ),8821,(+/- 1906 ),2895,(+/- 1290 ),2950,(+/- 1232 ),2875,(+/- 1660 ),2025,(+/- 867 ),1745,(+/- 603 ),994,(+/- 563 )
People,Ancestry,Scotch-Irish,4388,(+/- 907 ),7575,(+/- 1660 ),6934,(+/- 1506 ),9131,(+/- 1297 ),7759,(+/- 1266 ),10289,(+/- 1669 ),15052,(+/- 2284 ),6998,(+/- 1458 )
People,Ancestry,Scottish,7514,(+/- 1620 ),15984,(+/- 2937 ),12834,(+/- 1859 ),14203,(+/- 2450 ),11322,(+/- 1554 ),15855,(+/- 2050 ),15879,(+/- 2659 ),13988,(+/- 2601 )
People,Ancestry,Slovak,870,(+/- 516 ),1390,(+/- 766 ),569,(+/- 348 ),302,(+/- 238 ),716,(+/- 777 ),651,(+/- 506 ),304,(+/- 282 ),292,(+/- 291 )
People,Ancestry,Subsaharan African,10657,(+/- 2856 ),4649,(+/- 2131 ),1578,(+/- 1318 ),2551,(+/- 924 ),8503,(+/- 2471 ),4983,(+/- 1930 ),2853,(+/- 1306 ),459,(+/- 302 )
People,Ancestry,Swedish,5374,(+/- 1705 ),7585,(+/- 1688 ),6259,(+/- 1625 ),9214,(+/- 2098 ),7960,(+/- 1352 ),9834,(+/- 1970 ),9322,(+/- 1893 ),4087,(+/- 1468 )
People,Ancestry,Swiss,1190,(+/- 553 ),3827,(+/- 1171 ),2896,(+/- 1330 ),5394,(+/- 1452 ),1927,(+/- 620 ),4063,(+/- 1290 ),2219,(+/- 1065 ),2931,(+/- 1255 )
People,Ancestry,Ukrainian,561,(+/- 326 ),1941,(+/- 773 ),1059,(+/- 677 ),2502,(+/- 1260 ),447,(+/- 280 ),499,(+/- 370 ),368,(+/- 272 ),828,(+/- 1035 )
People,Ancestry,Welsh,2177,(+/- 898 ),5740,(+/- 1322 ),5097,(+/- 2002 ),3874,(+/- 875 ),6112,(+/- 1715 ),5223,(+/- 1247 ),7434,(+/- 1623 ),4028,(+/- 1426 )
People,Ancestry,West Indian (excluding Hispanic origin groups),2408,(+/- 1340 ),227,(+/- 181 ),83,(+/- 88 ),1040,(+/- 463 ),2349,(+/- 1341 ),782,(+/- 368 ),1033,(+/- 687 ),715,(+/- 468 )
People,Veteran Status,Civilian population 18 years and over,574493,(+/- 6370 ),596140,(+/- 8242 ),596867,(+/- 7540 ),572892,(+/- 4341 ),585154,(+/- 5420 ),585536,(+/- 5708 ),597667,(+/- 2189 ),572974,(+/- 3546 )
People,Veteran Status,Civilian veterans,40249,(+/- 2833 ),48530,(+/- 2819 ),55420,(+/- 3168 ),59017,(+/- 3338 ),47697,(+/- 2736 ),54788,(+/- 2652 ),57481,(+/- 2804 ),56940,(+/- 3342 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,726925,(+/- 8405 ),753636,(+/- 11567 ),772279,(+/- 10739 ),731162,(+/- 5336 ),755498,(+/- 6888 ),747738,(+/- 7210 ),768510,(+/- 3568 ),721451,(+/- 5060 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,108697,(+/- 6251 ),78128,(+/- 4691 ),93771,(+/- 4646 ),113462,(+/- 5107 ),106702,(+/- 5053 ),99736,(+/- 5024 ),119401,(+/- 4853 ),154199,(+/- 5871 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,159685,(+/- 3897 ),166606,(+/- 5851 ),186196,(+/- 5130 ),170426,(+/- 2649 ),177258,(+/- 4043 ),181184,(+/- 4012 ),178131,(+/- 2009 ),166985,(+/- 2905 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7719,(+/- 1814 ),5816,(+/- 1349 ),7015,(+/- 1314 ),8007,(+/- 1604 ),8266,(+/- 1804 ),6164,(+/- 1314 ),8578,(+/- 1699 ),10775,(+/- 1534 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,476044,(+/- 6110 ),452982,(+/- 7908 ),470425,(+/- 7219 ),442112,(+/- 4152 ),469566,(+/- 4835 ),451093,(+/- 5320 ),463132,(+/- 2156 ),427820,(+/- 3232 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,68291,(+/- 4558 ),32069,(+/- 3692 ),49418,(+/- 3791 ),58939,(+/- 3909 ),58518,(+/- 4071 ),50651,(+/- 3556 ),65393,(+/- 3298 ),84861,(+/- 4258 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,91196,(+/- 2639 ),134048,(+/- 3369 ),115658,(+/- 3129 ),118624,(+/- 2064 ),108674,(+/- 2400 ),115461,(+/- 2486 ),127247,(+/- 1752 ),126646,(+/- 2039 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,32687,(+/- 2316 ),40243,(+/- 2497 ),37338,(+/- 2026 ),46516,(+/- 2547 ),39918,(+/- 2159 ),42921,(+/- 2661 ),45430,(+/- 2667 ),58563,(+/- 2893 )
People,Residence 1 Year Ago,Population 1 year and over,727800,(+/- 8107 ),756451,(+/- 11422 ),772197,(+/- 10138 ),751701,(+/- 4795 ),754887,(+/- 6792 ),760090,(+/- 7098 ),767469,(+/- 3364 ),731570,(+/- 4843 )
People,Residence 1 Year Ago,Same house,597655,(+/- 11658 ),663090,(+/- 12085 ),669557,(+/- 11117 ),614852,(+/- 8608 ),643735,(+/- 8972 ),638007,(+/- 10697 ),632801,(+/- 7737 ),618972,(+/- 8118 )
People,Residence 1 Year Ago,Different house in the U.S.,127306,(+/- 9807 ),90202,(+/- 8236 ),101877,(+/- 9980 ),131166,(+/- 7441 ),108929,(+/- 6965 ),119050,(+/- 9026 ),132940,(+/- 7716 ),110130,(+/- 6843 )
People,Residence 1 Year Ago,Same county,78574,(+/- 9008 ),49960,(+/- 6737 ),59819,(+/- 8410 ),64701,(+/- 5877 ),66775,(+/- 5894 ),59241,(+/- 5881 ),69389,(+/- 5941 ),64788,(+/- 5628 )
People,Residence 1 Year Ago,Different county,48732,(+/- 5032 ),40242,(+/- 5336 ),42058,(+/- 5229 ),66465,(+/- 5511 ),42154,(+/- 5027 ),59809,(+/- 5779 ),63551,(+/- 6426 ),45342,(+/- 4240 )
People,Residence 1 Year Ago,Same state,24622,(+/- 3471 ),25671,(+/- 5146 ),33170,(+/- 4897 ),34911,(+/- 3650 ),18165,(+/- 2993 ),37421,(+/- 4175 ),40719,(+/- 4953 ),30865,(+/- 3271 )
People,Residence 1 Year Ago,Different state,24110,(+/- 3530 ),14571,(+/- 3286 ),8888,(+/- 1745 ),31554,(+/- 3868 ),23989,(+/- 3907 ),22388,(+/- 4261 ),22832,(+/- 4062 ),14477,(+/- 2515 )
People,Residence 1 Year Ago,Abroad,2839,(+/- 907 ),3159,(+/- 1728 ),763,(+/- 401 ),5683,(+/- 2056 ),2223,(+/- 742 ),3033,(+/- 1316 ),1728,(+/- 830 ),2468,(+/- 881 )
Workers,Employment Status,Population 16 years and over,593594,(+/- 6760 ),616720,(+/- 8624 ),618649,(+/- 7815 ),611204,(+/- 4310 ),604682,(+/- 5825 ),608158,(+/- 6191 ),618788,(+/- 2352 ),593449,(+/- 3840 )
Workers,Employment Status,In labor force,392928,(+/- 7812 ),409028,(+/- 8259 ),400117,(+/- 7367 ),369081,(+/- 5961 ),401786,(+/- 6161 ),388685,(+/- 6390 ),379080,(+/- 5386 ),323050,(+/- 5354 )
Workers,Employment Status,Civilian labor force,392217,(+/- 7845 ),408752,(+/- 8202 ),399893,(+/- 7389 ),351069,(+/- 5995 ),401499,(+/- 6144 ),387735,(+/- 6455 ),378682,(+/- 5349 ),322462,(+/- 5468 )
Workers,Employment Status,Employed,362548,(+/- 7786 ),395785,(+/- 8048 ),384872,(+/- 7375 ),335064,(+/- 6049 ),379040,(+/- 6388 ),372410,(+/- 6267 ),360221,(+/- 5065 ),302924,(+/- 5686 )
Workers,Employment Status,Unemployed,29669,(+/- 3277 ),12967,(+/- 2271 ),15021,(+/- 2107 ),16005,(+/- 2045 ),22459,(+/- 2572 ),15325,(+/- 2037 ),18461,(+/- 2393 ),19538,(+/- 2383 )
Workers,Employment Status,Armed Forces,711,(+/- 505 ),276,(+/- 219 ),224,(+/- 196 ),18012,(+/- 1471 ),287,(+/- 230 ),950,(+/- 489 ),398,(+/- 239 ),588,(+/- 548 )
Workers,Employment Status,Not in labor force,200666,(+/- 6375 ),207692,(+/- 5359 ),218532,(+/- 5568 ),242123,(+/- 6062 ),202896,(+/- 4893 ),219473,(+/- 5466 ),239708,(+/- 5286 ),270399,(+/- 5363 )
Workers,Employment Status,Civilian labor force,392217,(+/- 7845 ),408752,(+/- 8202 ),399893,(+/- 7389 ),351069,(+/- 5995 ),401499,(+/- 6144 ),387735,(+/- 6455 ),378682,(+/- 5349 ),322462,(+/- 5468 )
Workers,Employment Status,Unemployment Rate,7.6,(+/- 0.8 ),3.2,(+/- 0.5 ),3.8,(+/- 0.5 ),4.6,(+/- 0.6 ),5.6,(+/- 0.6 ),4.0,(+/- 0.5 ),4.9,(+/- 0.6 ),6.1,(+/- 0.7 )
Workers,Commuting to Work,Workers 16 years and over,357297,(+/- 8033 ),388785,(+/- 8065 ),377809,(+/- 7325 ),348045,(+/- 6002 ),372125,(+/- 6222 ),368407,(+/- 6187 ),354635,(+/- 5063 ),296270,(+/- 5626 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",268805,(+/- 6625 ),334248,(+/- 7352 ),321945,(+/- 8019 ),272357,(+/- 6241 ),308133,(+/- 6251 ),306695,(+/- 6223 ),285966,(+/- 5204 ),242364,(+/- 5979 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",31692,(+/- 3819 ),20106,(+/- 2757 ),30818,(+/- 3622 ),36611,(+/- 3362 ),30532,(+/- 3034 ),30380,(+/- 2738 ),37581,(+/- 3777 ),30359,(+/- 2823 )
Workers,Commuting to Work,Public transportation (excluding taxicab),26353,(+/- 3154 ),2692,(+/- 905 ),1175,(+/- 521 ),499,(+/- 316 ),7275,(+/- 1390 ),835,(+/- 455 ),1099,(+/- 513 ),1076,(+/- 536 )
Workers,Commuting to Work,Walked,10475,(+/- 1844 ),3784,(+/- 1295 ),3566,(+/- 1040 ),8038,(+/- 1829 ),5577,(+/- 1166 ),7927,(+/- 1248 ),6101,(+/- 999 ),7068,(+/- 1232 )
Workers,Commuting to Work,Other means,5567,(+/- 1298 ),3082,(+/- 935 ),2398,(+/- 735 ),5747,(+/- 1339 ),3598,(+/- 964 ),3879,(+/- 957 ),5936,(+/- 1508 ),2937,(+/- 780 )
Workers,Commuting to Work,Worked at home,14405,(+/- 2320 ),24873,(+/- 2945 ),17907,(+/- 2383 ),24793,(+/- 2022 ),17010,(+/- 2170 ),18691,(+/- 2398 ),17952,(+/- 2313 ),12466,(+/- 2166 )
Workers,Commuting to Work,Mean travel time to work (minutes),25.2,(+/- 0.7 ),24.6,(+/- 0.4 ),26.7,(+/- 0.6 ),22.3,(+/- 0.6 ),23.0,(+/- 0.5 ),22.7,(+/- 0.6 ),20.7,(+/- 0.6 ),24.0,(+/- 0.8 )
Workers,Occupation,Civilian employed population 16 years and over,362548,(+/- 7786 ),395785,(+/- 8048 ),384872,(+/- 7375 ),335064,(+/- 6049 ),379040,(+/- 6388 ),372410,(+/- 6267 ),360221,(+/- 5065 ),302924,(+/- 5686 )
Workers,Occupation,"Management, business, science, and arts occupations",132705,(+/- 5623 ),192506,(+/- 6173 ),131385,(+/- 5788 ),111052,(+/- 5482 ),129588,(+/- 4830 ),137129,(+/- 4986 ),110901,(+/- 4937 ),85539,(+/- 4528 )
Workers,Occupation,Service occupations,80534,(+/- 5595 ),54810,(+/- 4320 ),66913,(+/- 4225 ),62432,(+/- 4977 ),67784,(+/- 4548 ),57994,(+/- 4058 ),64116,(+/- 4955 ),61214,(+/- 4196 )
Workers,Occupation,Sales and office occupations,88713,(+/- 4903 ),97234,(+/- 5085 ),93675,(+/- 5255 ),76100,(+/- 3955 ),92490,(+/- 3833 ),87041,(+/- 4437 ),95740,(+/- 4386 ),65099,(+/- 4009 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",17814,(+/- 2317 ),22346,(+/- 2387 ),38998,(+/- 3089 ),35424,(+/- 2948 ),33626,(+/- 2884 ),33412,(+/- 2225 ),36004,(+/- 3300 ),34421,(+/- 3153 )
Workers,Occupation,"Production, transportation, and material moving occupations",42782,(+/- 3097 ),28889,(+/- 2712 ),53901,(+/- 3662 ),50056,(+/- 3252 ),55552,(+/- 3487 ),56834,(+/- 3299 ),53460,(+/- 3198 ),56651,(+/- 3510 )
Workers,Industry,Civilian employed population 16 years and over,362548,(+/- 7786 ),395785,(+/- 8048 ),384872,(+/- 7375 ),335064,(+/- 6049 ),379040,(+/- 6388 ),372410,(+/- 6267 ),360221,(+/- 5065 ),302924,(+/- 5686 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",769,(+/- 497 ),1826,(+/- 688 ),3045,(+/- 704 ),9481,(+/- 1233 ),2437,(+/- 855 ),9706,(+/- 1189 ),6589,(+/- 1619 ),10753,(+/- 1716 )
