Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
People,Hispanic or Latino and Race,Puerto Rican,2696,(+/- 1043 ),2667,(+/- 784 )
People,Hispanic or Latino and Race,Cuban,1157,(+/- 887 ),103,(+/- 146 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,5324,(+/- 1145 ),3650,(+/- 827 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,664831,(+/- 3276 ),645934,(+/- 3213 )
People,Place of Birth,Total population,676165,(+/- 3279 ),655314,(+/- 3279 )
People,Place of Birth,Native,644868,(+/- 4276 ),635843,(+/- 3725 )
People,Place of Birth,Born in United States,637465,(+/- 4470 ),627843,(+/- 3771 )
People,Place of Birth,State of residence,377518,(+/- 8025 ),455912,(+/- 7100 )
People,Place of Birth,Different state,259947,(+/- 8016 ),171931,(+/- 6319 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7403,(+/- 1469 ),8000,(+/- 1236 )
People,Place of Birth,Foreign born,31297,(+/- 2855 ),19471,(+/- 2102 )
People,Ancestry,Total population,676165,(+/- 3279 ),655314,(+/- 3279 )
People,Ancestry,American,36372,(+/- 4167 ),58052,(+/- 5042 )
People,Ancestry,Arab,2164,(+/- 962 ),1414,(+/- 590 )
People,Ancestry,Czech,1050,(+/- 489 ),1234,(+/- 573 )
People,Ancestry,Danish,4352,(+/- 1345 ),2230,(+/- 765 )
People,Ancestry,Dutch,6545,(+/- 1594 ),5110,(+/- 1117 )
People,Ancestry,English,139753,(+/- 7213 ),119620,(+/- 5626 )
People,Ancestry,French (except Basque),90859,(+/- 6657 ),110278,(+/- 6700 )
People,Ancestry,French Canadian,45280,(+/- 4717 ),53639,(+/- 4487 )
People,Ancestry,German,63703,(+/- 5821 ),43681,(+/- 4285 )
People,Ancestry,Greek,5127,(+/- 1870 ),3474,(+/- 1235 )
People,Ancestry,Hungarian,2126,(+/- 806 ),1477,(+/- 588 )
People,Ancestry,Irish,128312,(+/- 7138 ),96294,(+/- 5972 )
People,Ancestry,Italian,50603,(+/- 6193 ),28462,(+/- 3334 )
People,Ancestry,Lithuanian,2731,(+/- 912 ),2499,(+/- 840 )
People,Ancestry,Norwegian,7325,(+/- 1653 ),3163,(+/- 712 )
People,Ancestry,Polish,18470,(+/- 3279 ),12493,(+/- 2101 )
People,Ancestry,Portuguese,4515,(+/- 1369 ),4114,(+/- 1066 )
People,Ancestry,Russian,5820,(+/- 1471 ),4525,(+/- 1295 )
People,Ancestry,Scotch-Irish,10448,(+/- 2091 ),11540,(+/- 1757 )
People,Ancestry,Scottish,36796,(+/- 4172 ),35211,(+/- 4093 )
People,Ancestry,Slovak,784,(+/- 434 ),909,(+/- 550 )
People,Ancestry,Subsaharan African,8550,(+/- 1996 ),2663,(+/- 1112 )
People,Ancestry,Swedish,12792,(+/- 1916 ),8805,(+/- 1726 )
People,Ancestry,Swiss,1752,(+/- 640 ),817,(+/- 377 )
People,Ancestry,Ukrainian,1413,(+/- 702 ),701,(+/- 398 )
People,Ancestry,Welsh,7586,(+/- 2153 ),5416,(+/- 1755 )
People,Ancestry,West Indian (excluding Hispanic origin groups),912,(+/- 662 ),1455,(+/- 768 )
People,Veteran Status,Civilian population 18 years and over,546233,(+/- 2374 ),528461,(+/- 2283 )
People,Veteran Status,Civilian veterans,49314,(+/- 2762 ),53634,(+/- 2749 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,667643,(+/- 3150 ),649505,(+/- 3148 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,89987,(+/- 3976 ),118625,(+/- 4824 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,128446,(+/- 1780 ),126277,(+/- 2066 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,5941,(+/- 1572 ),10023,(+/- 1689 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,414254,(+/- 2444 ),398688,(+/- 2379 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,45390,(+/- 2891 ),63986,(+/- 3619 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,124943,(+/- 1351 ),124540,(+/- 1259 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,38656,(+/- 2251 ),44616,(+/- 2260 )
People,Residence 1 Year Ago,Population 1 year and over,670378,(+/- 3347 ),648914,(+/- 3708 )
People,Residence 1 Year Ago,Same house,584328,(+/- 6290 ),561892,(+/- 6047 )
People,Residence 1 Year Ago,Different house in the U.S.,84160,(+/- 6073 ),84322,(+/- 5177 )
People,Residence 1 Year Ago,Same county,47072,(+/- 4426 ),46460,(+/- 4351 )
People,Residence 1 Year Ago,Different county,37088,(+/- 4331 ),37862,(+/- 3802 )
People,Residence 1 Year Ago,Same state,16011,(+/- 2743 ),20349,(+/- 3107 )
People,Residence 1 Year Ago,Different state,21077,(+/- 3774 ),17513,(+/- 2696 )
People,Residence 1 Year Ago,Abroad,1890,(+/- 1071 ),2700,(+/- 1180 )
Workers,Employment Status,Population 16 years and over,563311,(+/- 2727 ),545400,(+/- 2454 )
Workers,Employment Status,In labor force,366898,(+/- 5411 ),323972,(+/- 4857 )
Workers,Employment Status,Civilian labor force,365524,(+/- 5282 ),323512,(+/- 4859 )
Workers,Employment Status,Employed,353986,(+/- 6065 ),304490,(+/- 5057 )
Workers,Employment Status,Unemployed,11538,(+/- 2067 ),19022,(+/- 2179 )
Workers,Employment Status,Armed Forces,1374,(+/- 533 ),460,(+/- 223 )
Workers,Employment Status,Not in labor force,196413,(+/- 5355 ),221428,(+/- 4383 )
Workers,Employment Status,Civilian labor force,365524,(+/- 5282 ),323512,(+/- 4859 )
Workers,Employment Status,Unemployment Rate,3.2,(+/- 0.6 ),5.9,(+/- 0.7 )
Workers,Commuting to Work,Workers 16 years and over,346082,(+/- 6165 ),298360,(+/- 4861 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",273844,(+/- 6076 ),237168,(+/- 4913 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",28079,(+/- 3581 ),29624,(+/- 3044 )
Workers,Commuting to Work,Public transportation (excluding taxicab),3537,(+/- 1156 ),695,(+/- 356 )
Workers,Commuting to Work,Walked,14373,(+/- 2186 ),11447,(+/- 1796 )
Workers,Commuting to Work,Other means,4576,(+/- 1231 ),3848,(+/- 1054 )
Workers,Commuting to Work,Worked at home,21673,(+/- 2421 ),15578,(+/- 1969 )
Workers,Commuting to Work,Mean travel time to work (minutes),24.6,(+/- 0.9 ),23.1,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,353986,(+/- 6065 ),304490,(+/- 5057 )
Workers,Occupation,"Management, business, science, and arts occupations",144964,(+/- 5130 ),99897,(+/- 4101 )
Workers,Occupation,Service occupations,60561,(+/- 4214 ),60183,(+/- 4094 )
Workers,Occupation,Sales and office occupations,81525,(+/- 4511 ),69537,(+/- 3931 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",32481,(+/- 2975 ),38533,(+/- 2873 )
Workers,Occupation,"Production, transportation, and material moving occupations",34455,(+/- 3308 ),36340,(+/- 2725 )
Workers,Industry,Civilian employed population 16 years and over,353986,(+/- 6065 ),304490,(+/- 5057 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4597,(+/- 919 ),9810,(+/- 1523 )
Workers,Industry,Construction,23040,(+/- 2852 ),23262,(+/- 2599 )
Workers,Industry,Manufacturing,31048,(+/- 2781 ),24892,(+/- 2313 )
Workers,Industry,Wholesale trade,8694,(+/- 2102 ),5925,(+/- 1037 )
Workers,Industry,Retail trade,46547,(+/- 3609 ),42063,(+/- 3598 )
Workers,Industry,"Transportation and warehousing, and utilities",11625,(+/- 1858 ),13944,(+/- 1536 )
Workers,Industry,Information,6215,(+/- 1069 ),3769,(+/- 761 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24600,(+/- 2461 ),12697,(+/- 1559 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",36724,(+/- 3353 ),22523,(+/- 2739 )
Workers,Industry,"Educational services, and health care and social assistance",95361,(+/- 4130 ),89782,(+/- 3790 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",34099,(+/- 3831 ),27205,(+/- 3070 )
Workers,Industry,"Other services, except public administration",16442,(+/- 2626 ),15038,(+/- 1765 )
Workers,Industry,Public administration,14994,(+/- 1886 ),13580,(+/- 1869 )
Workers,Class of Worker,Civilian employed population 16 years and over,353986,(+/- 6065 ),304490,(+/- 5057 )
Workers,Class of Worker,Private wage and salary workers,276925,(+/- 5198 ),237726,(+/- 4955 )
Workers,Class of Worker,Government workers,46829,(+/- 3275 ),39954,(+/- 2727 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,30089,(+/- 3085 ),26363,(+/- 2166 )
Workers,Class of Worker,Unpaid family workers,143,(+/- 147 ),447,(+/- 254 )
Housing,Housing Occupancy,Total housing units,352103,(+/- 1336 ),378683,(+/- 1316 )
Housing,Housing Occupancy,Occupied housing units,276441,(+/- 4238 ),255219,(+/- 3389 )
Housing,Housing Occupancy,Vacant housing units,75662,(+/- 4072 ),123464,(+/- 3390 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.7,(+/- 0.5 ),2.7,(+/- 0.6 )
Housing,Housing Occupancy,Rental vacancy rate,6.0,(+/- 1.8 ),7.6,(+/- 1.6 )
Housing,Housing Tenure,Occupied housing units,276441,(+/- 4238 ),255219,(+/- 3389 )
Housing,Housing Tenure,Owner-occupied,194065,(+/- 4432 ),188051,(+/- 3571 )
Housing,Housing Tenure,Renter-occupied,82376,(+/- 3760 ),67168,(+/- 3508 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.52,(+/- 0.04 ),2.58,(+/- 0.04 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.06,(+/- 0.07 ),2.26,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,276441,(+/- 4238 ),255219,(+/- 3389 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,44796,(+/- 2979 ),35073,(+/- 2648 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,73888,(+/- 3515 ),59464,(+/- 3256 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,76307,(+/- 3757 ),75301,(+/- 3202 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,40546,(+/- 2860 ),36377,(+/- 2344 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,19934,(+/- 1896 ),24594,(+/- 2035 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,20970,(+/- 1595 ),24410,(+/- 1824 )
Housing,Value,Owner-occupied units,194065,(+/- 4432 ),188051,(+/- 3571 )
Housing,Value,"Less than $50,000",6878,(+/- 1238 ),21487,(+/- 1931 )
Housing,Value,"$50,000 to $99,999",11176,(+/- 1451 ),37524,(+/- 2249 )
Housing,Value,"$100,000 to $149,999",19826,(+/- 2334 ),43516,(+/- 2641 )
Housing,Value,"$150,000 to $199,999",32935,(+/- 2509 ),34789,(+/- 2271 )
Housing,Value,"$200,000 to $299,999",62460,(+/- 3644 ),30391,(+/- 2077 )
Housing,Value,"$300,000 to $499,999",43421,(+/- 2350 ),13998,(+/- 1523 )
Housing,Value,"$500,000 to $999,999",14664,(+/- 1538 ),4663,(+/- 820 )
Housing,Value,"$1,000,000 or more",2705,(+/- 613 ),1683,(+/- 457 )
Housing,Value,Median (dollars),238900,(+/- 3823 ),139100,(+/- 3330 )
Housing,Mortgage Status,Owner-occupied units,194065,(+/- 4432 ),188051,(+/- 3571 )
Housing,Mortgage Status,Housing units with a mortgage,129556,(+/- 3963 ),107354,(+/- 3440 )
Housing,Mortgage Status,Housing units without a mortgage,64509,(+/- 2846 ),80697,(+/- 2846 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,129556,(+/- 3963 ),107354,(+/- 3440 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,814,(+/- 325 ),4961,(+/- 1063 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,20637,(+/- 2224 ),37201,(+/- 2345 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",41466,(+/- 2551 ),40737,(+/- 2067 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",35850,(+/- 2246 ),15042,(+/- 1537 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",15890,(+/- 1676 ),5059,(+/- 1217 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",7375,(+/- 1230 ),2335,(+/- 770 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",7524,(+/- 1086 ),2019,(+/- 637 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1523,(+/- 27 ),1127,(+/- 22 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,64509,(+/- 2846 ),80697,(+/- 2846 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,3874,(+/- 1035 ),13581,(+/- 1681 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,12257,(+/- 1589 ),27270,(+/- 1610 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,24944,(+/- 2112 ),25373,(+/- 2152 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,12708,(+/- 1262 ),9762,(+/- 1159 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,5232,(+/- 830 ),2986,(+/- 867 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",5494,(+/- 964 ),1725,(+/- 483 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),523,(+/- 15 ),397,(+/- 10 )
Housing,Gross Rent,Occupied units paying rent,78007,(+/- 3613 ),61303,(+/- 3324 )
Housing,Gross Rent,Less than $500,13279,(+/- 1945 ),14859,(+/- 1522 )
Housing,Gross Rent,$500 to $999,33957,(+/- 3299 ),37277,(+/- 2802 )
Housing,Gross Rent,"$1,000 to $1,499",22817,(+/- 2531 ),7557,(+/- 1243 )
Housing,Gross Rent,"$1,500 to $1,999",5467,(+/- 1269 ),1338,(+/- 619 )
Housing,Gross Rent,"$2,000 to $2,499",1651,(+/- 657 ),0,(+/- 172 )
Housing,Gross Rent,"$2,500 to $2,999",523,(+/- 282 ),0,(+/- 172 )
Housing,Gross Rent,"$3,000 or more",313,(+/- 397 ),272,(+/- 244 )
Housing,Gross Rent,Median (dollars),900,(+/- 33 ),711,(+/- 16 )
Housing,Gross Rent,No rent paid,4369,(+/- 1178 ),5865,(+/- 980 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,276441,(+/- 4238 ),255219,(+/- 3389 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",15361,(+/- 2091 ),17557,(+/- 2143 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",12478,(+/- 1948 ),17487,(+/- 1738 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",24296,(+/- 2527 ),33655,(+/- 2637 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",26495,(+/- 2523 ),30089,(+/- 2561 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",35007,(+/- 3073 ),36248,(+/- 2411 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",52453,(+/- 3543 ),49973,(+/- 2703 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",38319,(+/- 3203 ),29461,(+/- 2059 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",43839,(+/- 3241 ),27034,(+/- 1968 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",14632,(+/- 1702 ),7477,(+/- 1196 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",13561,(+/- 1720 ),6238,(+/- 1005 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),61173,(+/- 1521 ),46638,(+/- 1139 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),78857,(+/- 2074 ),61224,(+/- 1782 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,667643,(+/- 3150 ),649505,(+/- 3148 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,625201,(+/- 6319 ),585974,(+/- 5253 )
Socioeconomic,Health Insurance Coverage,With private health insurance,504522,(+/- 8478 ),421894,(+/- 8104 )
Socioeconomic,Health Insurance Coverage,With public coverage,216787,(+/- 6894 ),263238,(+/- 7157 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,42442,(+/- 5006 ),63531,(+/- 4514 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,128446,(+/- 1780 ),126277,(+/- 2066 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,5903,(+/- 1913 ),5716,(+/- 1333 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,6.3,(+/- 1.0 ),9.1,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,10.6,(+/- 2.1 ),17.4,(+/- 2.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,7.6,(+/- 4.1 ),15.8,(+/- 5.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,3.5,(+/- 0.8 ),4.7,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,4.5,(+/- 1.5 ),7.3,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,1.6,(+/- 1.8 ),4.9,(+/- 2.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",20.3,(+/- 4.5 ),24.3,(+/- 4.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,27.7,(+/- 6.2 ),35.0,(+/- 6.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,32.5,(+/- 20.8 ),41.0,(+/- 15.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,10.2,(+/- 1.0 ),14.9,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,12.7,(+/- 2.4 ),21.8,(+/- 2.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,12.3,(+/- 2.4 ),21.1,(+/- 2.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,12.0,(+/- 3.7 ),26.4,(+/- 5.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,12.4,(+/- 2.5 ),19.3,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,9.6,(+/- 0.8 ),13.2,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,9.1,(+/- 1.4 ),9.1,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,6.6,(+/- 1.0 ),10.6,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,21.8,(+/- 1.9 ),29.4,(+/- 2.0 )
Education,School Enrollment,Population 3 years and over enrolled in school,149556,(+/- 4070 ),144301,(+/- 3483 )
Education,School Enrollment,"Nursery school, preschool",9976,(+/- 1909 ),8108,(+/- 1198 )
Education,School Enrollment,Kindergarten,7398,(+/- 1283 ),8172,(+/- 1297 )
Education,School Enrollment,Elementary school (grades 1-8),57108,(+/- 2269 ),54648,(+/- 1908 )
Education,School Enrollment,High school (grades 9-12),31533,(+/- 1462 ),32286,(+/- 1858 )
Education,School Enrollment,College or graduate school,43541,(+/- 2945 ),41087,(+/- 2615 )
Education,Educational Attainment,Population 25 years and over,493039,(+/- 2247 ),473530,(+/- 2319 )
Education,Educational Attainment,Less than 9th grade,9954,(+/- 1649 ),15686,(+/- 1929 )
Education,Educational Attainment,"9th to 12th grade, no diploma",20021,(+/- 2429 ),28477,(+/- 2686 )
Education,Educational Attainment,High school graduate (includes equivalency),142220,(+/- 6448 ),176149,(+/- 4673 )
Education,Educational Attainment,"Some college, no degree",91720,(+/- 4165 ),96220,(+/- 4389 )
Education,Educational Attainment,Associate's degree,46992,(+/- 3550 ),47992,(+/- 3206 )
Education,Educational Attainment,Bachelor's degree,111473,(+/- 5095 ),69961,(+/- 3608 )
Education,Educational Attainment,Graduate or professional degree,70659,(+/- 4405 ),39045,(+/- 2536 )
Education,Educational Attainment,Percent high school graduate or higher,93.9,(+/- 0.6 ),90.7,(+/- 0.7 )
Education,Educational Attainment,Percent bachelor's degree or higher,36.9,(+/- 1.4 ),23.0,(+/- 0.9 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,292515,G,205095,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",602,G,2756,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",15,J,62,J
Business,Paid employees for pay period including March 12,Utilities,1092,J,1027,H
Business,Paid employees for pay period including March 12,Construction,13413,G,10081,G
Business,Paid employees for pay period including March 12,Manufacturing,26246,G,24067,G
Business,Paid employees for pay period including March 12,Wholesale trade,10357,G,6668,H
Business,Paid employees for pay period including March 12,Retail trade,45888,G,36412,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,8008,G,7152,G
Business,Paid employees for pay period including March 12,Information,6615,H,4579,G
Business,Paid employees for pay period including March 12,Finance and insurance,17023,G,9305,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,4051,G,2272,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",15078,G,7068,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,6368,H,2507,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,13829,G,9334,G
Business,Paid employees for pay period including March 12,Educational services,12306,G,6207,G
Business,Paid employees for pay period including March 12,Health care and social assistance,63075,G,46278,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",4567,G,3381,H
Business,Paid employees for pay period including March 12,Accommodation and food services,32150,G,19226,G
Business,Paid employees for pay period including March 12,Other services (except public administration),11759,G,6651,G
Business,Paid employees for pay period including March 12,Industries not classified,73,G,62,H
Business,"Annual payroll ($1,000)",Total for all sectors,12615563,G,7583853,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",37088,H,115338,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",1681,H,3339,J
Business,"Annual payroll ($1,000)",Utilities,91677,J,79182,H
Business,"Annual payroll ($1,000)",Construction,701749,G,494309,G
Business,"Annual payroll ($1,000)",Manufacturing,1411979,H,1157823,G
Business,"Annual payroll ($1,000)",Wholesale trade,593125,G,303842,G
Business,"Annual payroll ($1,000)",Retail trade,1233673,G,929233,G
