Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
People,Sex and Age,55 to 59 years,55752,(+/- 2993 ),48390,(+/- 2865 ),54919,(+/- 3835 ),50689,(+/- 3236 ),55298,(+/- 3099 ),52524,(+/- 3446 ),51165,(+/- 3116 ),52987,(+/- 3082 )
People,Sex and Age,60 to 64 years,51390,(+/- 3198 ),42669,(+/- 3133 ),48795,(+/- 3734 ),44881,(+/- 2901 ),44513,(+/- 2861 ),46502,(+/- 3026 ),45842,(+/- 3143 ),47274,(+/- 3155 )
People,Sex and Age,65 to 74 years,78584,(+/- 1906 ),61082,(+/- 2730 ),61484,(+/- 3124 ),59222,(+/- 2392 ),64561,(+/- 2367 ),63462,(+/- 2134 ),62090,(+/- 2141 ),67916,(+/- 2157 )
People,Sex and Age,75 to 84 years,37706,(+/- 1988 ),28984,(+/- 2666 ),32016,(+/- 2489 ),26594,(+/- 2345 ),27259,(+/- 1811 ),30323,(+/- 2022 ),29653,(+/- 1999 ),35058,(+/- 1768 )
People,Sex and Age,85 years and over,15076,(+/- 1663 ),14456,(+/- 1742 ),16778,(+/- 1874 ),9893,(+/- 1348 ),8795,(+/- 1343 ),13892,(+/- 1728 ),14467,(+/- 1755 ),17097,(+/- 1715 )
People,Sex and Age,Median age (years),42.5,(+/- 0.5 ),36.2,(+/- 0.6 ),38.2,(+/- 0.6 ),36.8,(+/- 0.4 ),38.3,(+/- 0.5 ),38.9,(+/- 0.5 ),37.7,(+/- 0.6 ),40.4,(+/- 0.6 )
People,Sex and Age,18 years and over,579023,(+/- 5548 ),583921,(+/- 11948 ),605805,(+/- 11620 ),574133,(+/- 9755 ),589542,(+/- 8452 ),583178,(+/- 8864 ),567867,(+/- 10648 ),586826,(+/- 9397 )
People,Sex and Age,65 years and over,131366,(+/- 2133 ),104522,(+/- 4162 ),110278,(+/- 4506 ),95709,(+/- 3214 ),100615,(+/- 3001 ),107677,(+/- 2853 ),106210,(+/- 3183 ),120071,(+/- 3165 )
People,Race,Total population,735590,(+/- 8368 ),764948,(+/- 15791 ),764166,(+/- 16478 ),755108,(+/- 13531 ),758857,(+/- 11397 ),757889,(+/- 12668 ),722745,(+/- 14322 ),757144,(+/- 12165 )
People,Race,One race,713332,(+/- 7969 ),737653,(+/- 15583 ),737767,(+/- 16524 ),737238,(+/- 13325 ),724233,(+/- 11913 ),730154,(+/- 12772 ),705232,(+/- 14043 ),729797,(+/- 12074 )
People,Race,White,600511,(+/- 7076 ),421691,(+/- 11902 ),480300,(+/- 13951 ),230153,(+/- 10713 ),371890,(+/- 7067 ),526311,(+/- 10690 ),259420,(+/- 9364 ),506979,(+/- 11260 )
People,Race,Black or African American,89143,(+/- 4813 ),261405,(+/- 11502 ),169607,(+/- 10307 ),395026,(+/- 9072 ),293872,(+/- 8333 ),107650,(+/- 7558 ),382414,(+/- 11274 ),94476,(+/- 6842 )
People,Race,American Indian and Alaska Native,1244,(+/- 800 ),1702,(+/- 875 ),1344,(+/- 723 ),2005,(+/- 1015 ),2541,(+/- 1384 ),1857,(+/- 730 ),2613,(+/- 1146 ),1928,(+/- 666 )
People,Race,Asian,15060,(+/- 2667 ),42004,(+/- 4518 ),60095,(+/- 6821 ),22266,(+/- 3226 ),32665,(+/- 2903 ),80157,(+/- 4993 ),54780,(+/- 4415 ),69491,(+/- 4979 )
People,Race,Native Hawaiian and Other Pacific Islander,246,(+/- 274 ),213,(+/- 216 ),330,(+/- 303 ),340,(+/- 345 ),0,(+/- 198 ),338,(+/- 393 ),774,(+/- 734 ),239,(+/- 360 )
People,Race,Some other race,7128,(+/- 1854 ),10638,(+/- 3158 ),26091,(+/- 5822 ),87448,(+/- 8000 ),23265,(+/- 5137 ),13841,(+/- 4427 ),5231,(+/- 1875 ),56684,(+/- 8007 )
People,Race,Two or more races,22258,(+/- 3586 ),27295,(+/- 4156 ),26399,(+/- 4197 ),17870,(+/- 3187 ),34624,(+/- 5000 ),27735,(+/- 4107 ),17513,(+/- 3041 ),27347,(+/- 3894 )
People,Hispanic or Latino and Race,Total population,735590,(+/- 8368 ),764948,(+/- 15791 ),764166,(+/- 16478 ),755108,(+/- 13531 ),758857,(+/- 11397 ),757889,(+/- 12668 ),722745,(+/- 14322 ),757144,(+/- 12165 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),28618,(+/- 2085 ),54268,(+/- 6318 ),67469,(+/- 7776 ),130870,(+/- 7135 ),59788,(+/- 6772 ),101535,(+/- 8840 ),28968,(+/- 4480 ),115214,(+/- 8414 )
People,Hispanic or Latino and Race,Mexican,10622,(+/- 1802 ),15466,(+/- 3884 ),11824,(+/- 3432 ),18035,(+/- 4858 ),13632,(+/- 3720 ),10064,(+/- 3228 ),5126,(+/- 2130 ),10100,(+/- 2223 )
People,Hispanic or Latino and Race,Puerto Rican,5817,(+/- 1506 ),10615,(+/- 3080 ),7752,(+/- 2046 ),4972,(+/- 1583 ),4955,(+/- 1526 ),6313,(+/- 1991 ),3189,(+/- 1344 ),6930,(+/- 2057 )
People,Hispanic or Latino and Race,Cuban,352,(+/- 362 ),1098,(+/- 584 ),2397,(+/- 1169 ),2436,(+/- 1334 ),535,(+/- 383 ),2725,(+/- 1478 ),1773,(+/- 970 ),3564,(+/- 1226 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,11827,(+/- 2473 ),27089,(+/- 4898 ),45496,(+/- 6663 ),105427,(+/- 7661 ),40666,(+/- 6077 ),82433,(+/- 9472 ),18880,(+/- 4930 ),94620,(+/- 8151 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,706972,(+/- 7984 ),710680,(+/- 15728 ),696697,(+/- 14670 ),624238,(+/- 12155 ),699069,(+/- 9760 ),656354,(+/- 10370 ),693777,(+/- 13776 ),641930,(+/- 10858 )
People,Place of Birth,Total population,735590,(+/- 8368 ),764948,(+/- 15791 ),764166,(+/- 16478 ),755108,(+/- 13531 ),758857,(+/- 11397 ),757889,(+/- 12668 ),722745,(+/- 14322 ),757144,(+/- 12165 )
People,Place of Birth,Native,694751,(+/- 9116 ),673060,(+/- 14943 ),639366,(+/- 15349 ),605310,(+/- 13164 ),674504,(+/- 10774 ),596808,(+/- 11463 ),637373,(+/- 12509 ),573405,(+/- 10625 )
People,Place of Birth,Born in United States,686668,(+/- 9150 ),658740,(+/- 14590 ),625513,(+/- 15468 ),594214,(+/- 12934 ),660375,(+/- 10554 ),584633,(+/- 10761 ),629852,(+/- 12494 ),561242,(+/- 10604 )
People,Place of Birth,State of residence,457671,(+/- 8557 ),468605,(+/- 14193 ),380527,(+/- 14653 ),231754,(+/- 10312 ),301414,(+/- 9354 ),333657,(+/- 8326 ),440930,(+/- 11037 ),251440,(+/- 7779 )
People,Place of Birth,Different state,228997,(+/- 7207 ),190135,(+/- 8347 ),244986,(+/- 7105 ),362460,(+/- 10175 ),358961,(+/- 10651 ),250976,(+/- 7901 ),188922,(+/- 7982 ),309802,(+/- 9449 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8083,(+/- 1765 ),14320,(+/- 2366 ),13853,(+/- 2075 ),11096,(+/- 2034 ),14129,(+/- 2089 ),12175,(+/- 2218 ),7521,(+/- 1696 ),12163,(+/- 2059 )
People,Place of Birth,Foreign born,40839,(+/- 4169 ),91888,(+/- 8224 ),124800,(+/- 8406 ),149798,(+/- 7018 ),84353,(+/- 5518 ),161081,(+/- 8636 ),85372,(+/- 6642 ),183739,(+/- 8765 )
People,Ancestry,Total population,735590,(+/- 8368 ),764948,(+/- 15791 ),764166,(+/- 16478 ),755108,(+/- 13531 ),758857,(+/- 11397 ),757889,(+/- 12668 ),722745,(+/- 14322 ),757144,(+/- 12165 )
People,Ancestry,American,54708,(+/- 5273 ),27592,(+/- 3159 ),28711,(+/- 4100 ),25480,(+/- 3535 ),32491,(+/- 3505 ),39771,(+/- 3999 ),20034,(+/- 2635 ),38358,(+/- 4371 )
People,Ancestry,Arab,2248,(+/- 997 ),7155,(+/- 3669 ),4186,(+/- 1933 ),1122,(+/- 591 ),2805,(+/- 1664 ),4808,(+/- 1934 ),2158,(+/- 984 ),7261,(+/- 2484 )
People,Ancestry,Czech,5224,(+/- 1676 ),3927,(+/- 1190 ),3476,(+/- 1521 ),1748,(+/- 680 ),1868,(+/- 919 ),1153,(+/- 413 ),1447,(+/- 674 ),2800,(+/- 889 )
People,Ancestry,Danish,956,(+/- 591 ),1204,(+/- 611 ),1596,(+/- 799 ),769,(+/- 374 ),1313,(+/- 627 ),1255,(+/- 598 ),1241,(+/- 666 ),1646,(+/- 507 )
People,Ancestry,Dutch,7478,(+/- 1773 ),6043,(+/- 1523 ),5141,(+/- 1416 ),2573,(+/- 792 ),5483,(+/- 1427 ),8088,(+/- 1510 ),3288,(+/- 957 ),8701,(+/- 1512 )
People,Ancestry,English,90309,(+/- 5450 ),40265,(+/- 3051 ),57387,(+/- 4495 ),31034,(+/- 3879 ),56864,(+/- 4923 ),58157,(+/- 4558 ),36769,(+/- 3444 ),58612,(+/- 4415 )
People,Ancestry,French (except Basque),16430,(+/- 2698 ),9532,(+/- 1983 ),16388,(+/- 2731 ),5988,(+/- 1455 ),12516,(+/- 2779 ),11369,(+/- 1808 ),8034,(+/- 1727 ),14832,(+/- 2297 )
People,Ancestry,French Canadian,3335,(+/- 1490 ),2586,(+/- 978 ),3109,(+/- 1018 ),1219,(+/- 745 ),3004,(+/- 889 ),2487,(+/- 823 ),1984,(+/- 1007 ),2727,(+/- 763 )
People,Ancestry,German,150307,(+/- 7858 ),109386,(+/- 7375 ),115900,(+/- 6776 ),50423,(+/- 5543 ),73764,(+/- 5774 ),113105,(+/- 6359 ),57969,(+/- 4530 ),105672,(+/- 7154 )
People,Ancestry,Greek,5866,(+/- 1927 ),5068,(+/- 1940 ),7775,(+/- 1956 ),2253,(+/- 979 ),4359,(+/- 1315 ),5652,(+/- 2102 ),2142,(+/- 721 ),4722,(+/- 1318 )
People,Ancestry,Hungarian,2825,(+/- 1203 ),2667,(+/- 914 ),3926,(+/- 1042 ),1723,(+/- 721 ),1794,(+/- 697 ),2642,(+/- 807 ),1873,(+/- 761 ),4338,(+/- 1048 )
People,Ancestry,Irish,122243,(+/- 8399 ),81079,(+/- 6055 ),102173,(+/- 7838 ),47770,(+/- 5094 ),71030,(+/- 6955 ),64248,(+/- 4259 ),52183,(+/- 5085 ),84660,(+/- 5172 )
People,Ancestry,Italian,57403,(+/- 5278 ),45635,(+/- 4942 ),38254,(+/- 3778 ),22274,(+/- 3197 ),38510,(+/- 4604 ),34038,(+/- 4164 ),26963,(+/- 4062 ),40467,(+/- 3720 )
People,Ancestry,Lithuanian,1943,(+/- 688 ),1713,(+/- 655 ),2902,(+/- 754 ),2326,(+/- 1520 ),1271,(+/- 550 ),1947,(+/- 860 ),2495,(+/- 842 ),3643,(+/- 1195 )
People,Ancestry,Norwegian,3899,(+/- 1390 ),2251,(+/- 887 ),4663,(+/- 1284 ),1365,(+/- 545 ),3743,(+/- 1225 ),4340,(+/- 1189 ),2705,(+/- 1091 ),5681,(+/- 1817 )
People,Ancestry,Polish,36206,(+/- 4006 ),34649,(+/- 4798 ),35520,(+/- 3767 ),9128,(+/- 1513 ),12984,(+/- 2329 ),19031,(+/- 2942 ),13229,(+/- 1997 ),25468,(+/- 2683 )
People,Ancestry,Portuguese,840,(+/- 627 ),333,(+/- 279 ),1646,(+/- 801 ),588,(+/- 343 ),1520,(+/- 773 ),1466,(+/- 683 ),1044,(+/- 562 ),1901,(+/- 796 )
People,Ancestry,Russian,6803,(+/- 2182 ),6216,(+/- 1797 ),18263,(+/- 3432 ),2510,(+/- 1370 ),4818,(+/- 1276 ),12876,(+/- 2615 ),5580,(+/- 1588 ),18447,(+/- 1973 )
People,Ancestry,Scotch-Irish,7392,(+/- 1845 ),4310,(+/- 1168 ),6832,(+/- 1724 ),4254,(+/- 1577 ),5972,(+/- 1378 ),6885,(+/- 1425 ),4260,(+/- 1301 ),7506,(+/- 1350 )
People,Ancestry,Scottish,16377,(+/- 2622 ),9142,(+/- 1954 ),11362,(+/- 1771 ),7643,(+/- 1901 ),11643,(+/- 2343 ),15953,(+/- 2072 ),7797,(+/- 1443 ),14742,(+/- 2145 )
People,Ancestry,Slovak,2538,(+/- 887 ),1495,(+/- 561 ),1226,(+/- 522 ),841,(+/- 615 ),1351,(+/- 578 ),1478,(+/- 530 ),1023,(+/- 459 ),2410,(+/- 850 )
People,Ancestry,Subsaharan African,12329,(+/- 3642 ),53447,(+/- 7500 ),30082,(+/- 6960 ),49136,(+/- 6637 ),27902,(+/- 5026 ),32047,(+/- 6183 ),52015,(+/- 7619 ),35264,(+/- 5798 )
People,Ancestry,Swedish,4050,(+/- 1216 ),3254,(+/- 899 ),3953,(+/- 921 ),2954,(+/- 814 ),3883,(+/- 1212 ),4364,(+/- 1073 ),3857,(+/- 1454 ),6433,(+/- 1134 )
People,Ancestry,Swiss,1413,(+/- 618 ),1014,(+/- 503 ),1518,(+/- 460 ),973,(+/- 499 ),3145,(+/- 3296 ),3049,(+/- 1247 ),842,(+/- 539 ),2408,(+/- 736 )
People,Ancestry,Ukrainian,2834,(+/- 1144 ),3735,(+/- 1961 ),5873,(+/- 1452 ),1617,(+/- 773 ),896,(+/- 410 ),2797,(+/- 1149 ),1960,(+/- 1131 ),3175,(+/- 678 )
People,Ancestry,Welsh,8341,(+/- 2062 ),4590,(+/- 1098 ),5292,(+/- 1338 ),2257,(+/- 829 ),4098,(+/- 1472 ),7313,(+/- 1595 ),2853,(+/- 901 ),4752,(+/- 913 )
People,Ancestry,West Indian (excluding Hispanic origin groups),7849,(+/- 2784 ),12756,(+/- 3735 ),9993,(+/- 2490 ),17206,(+/- 3338 ),11139,(+/- 2997 ),8055,(+/- 2643 ),12321,(+/- 3277 ),7341,(+/- 2503 )
People,Veteran Status,Civilian population 18 years and over,577999,(+/- 5544 ),577124,(+/- 11982 ),599828,(+/- 11786 ),570655,(+/- 9787 ),584249,(+/- 8514 ),581735,(+/- 8809 ),566840,(+/- 10628 ),583336,(+/- 9452 )
People,Veteran Status,Civilian veterans,51160,(+/- 3222 ),48765,(+/- 3147 ),44928,(+/- 3059 ),48384,(+/- 3307 ),63093,(+/- 3609 ),40440,(+/- 2730 ),35753,(+/- 3232 ),37936,(+/- 2627 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,724637,(+/- 8088 ),742824,(+/- 15712 ),754363,(+/- 16591 ),747843,(+/- 13666 ),748648,(+/- 11174 ),739529,(+/- 13062 ),712468,(+/- 14660 ),748223,(+/- 12522 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,93713,(+/- 5385 ),93739,(+/- 5501 ),79953,(+/- 5421 ),72332,(+/- 3304 ),79678,(+/- 5090 ),86271,(+/- 5267 ),89881,(+/- 4870 ),60553,(+/- 2950 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,156414,(+/- 4129 ),180773,(+/- 6951 ),158151,(+/- 7711 ),180940,(+/- 6303 ),169244,(+/- 5222 ),174291,(+/- 5791 ),154546,(+/- 6158 ),170229,(+/- 6014 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9187,(+/- 1534 ),8198,(+/- 1954 ),6456,(+/- 1346 ),6667,(+/- 1850 ),5941,(+/- 1611 ),7763,(+/- 1515 ),6177,(+/- 1549 ),4776,(+/- 1005 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,439974,(+/- 5374 ),460813,(+/- 10925 ),488452,(+/- 11650 ),472911,(+/- 9480 ),481158,(+/- 8023 ),461712,(+/- 8962 ),455684,(+/- 10555 ),461062,(+/- 9783 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,46451,(+/- 3946 ),48155,(+/- 4380 ),39334,(+/- 3808 ),36466,(+/- 2591 ),42046,(+/- 3607 ),45742,(+/- 3914 ),50414,(+/- 3778 ),25897,(+/- 2427 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,128249,(+/- 2162 ),101238,(+/- 4140 ),107760,(+/- 4555 ),93992,(+/- 3211 ),98246,(+/- 3065 ),103526,(+/- 2978 ),102238,(+/- 2890 ),116932,(+/- 3079 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,38075,(+/- 2607 ),37386,(+/- 2846 ),34163,(+/- 2797 ),29199,(+/- 2359 ),31691,(+/- 2441 ),32766,(+/- 2314 ),33290,(+/- 2426 ),29880,(+/- 2067 )
People,Residence 1 Year Ago,Population 1 year and over,729041,(+/- 8152 ),754028,(+/- 15818 ),756884,(+/- 16196 ),745146,(+/- 13261 ),751029,(+/- 11133 ),749399,(+/- 12474 ),716190,(+/- 14115 ),747849,(+/- 11841 )
People,Residence 1 Year Ago,Same house,640818,(+/- 8890 ),646927,(+/- 13997 ),638946,(+/- 15170 ),643610,(+/- 14110 ),659331,(+/- 12510 ),641247,(+/- 12503 ),613785,(+/- 14802 ),655714,(+/- 13647 )
People,Residence 1 Year Ago,Different house in the U.S.,85903,(+/- 7046 ),100531,(+/- 7596 ),113057,(+/- 8678 ),96904,(+/- 8124 ),86562,(+/- 8584 ),101107,(+/- 8469 ),97518,(+/- 8397 ),83488,(+/- 6495 )
People,Residence 1 Year Ago,Same county,48279,(+/- 5989 ),57234,(+/- 7313 ),66431,(+/- 7312 ),60220,(+/- 6674 ),44960,(+/- 6603 ),58618,(+/- 6527 ),57671,(+/- 6861 ),41227,(+/- 5486 )
People,Residence 1 Year Ago,Different county,37624,(+/- 4480 ),43297,(+/- 4534 ),46626,(+/- 5705 ),36684,(+/- 4007 ),41602,(+/- 4891 ),42489,(+/- 6305 ),39847,(+/- 4933 ),42261,(+/- 4542 )
People,Residence 1 Year Ago,Same state,20047,(+/- 3149 ),24538,(+/- 3778 ),25851,(+/- 4199 ),12564,(+/- 2546 ),21155,(+/- 3297 ),23569,(+/- 5709 ),27455,(+/- 4471 ),16604,(+/- 3272 )
People,Residence 1 Year Ago,Different state,17577,(+/- 2982 ),18759,(+/- 3400 ),20775,(+/- 3569 ),24120,(+/- 3294 ),20447,(+/- 3209 ),18920,(+/- 3117 ),12392,(+/- 2295 ),25657,(+/- 3388 )
People,Residence 1 Year Ago,Abroad,2320,(+/- 1050 ),6570,(+/- 2980 ),4881,(+/- 1594 ),4632,(+/- 1427 ),5136,(+/- 1496 ),7045,(+/- 1775 ),4887,(+/- 1210 ),8647,(+/- 2161 )
Workers,Employment Status,Population 16 years and over,597947,(+/- 6099 ),602579,(+/- 12230 ),621863,(+/- 12632 ),592499,(+/- 10074 ),612157,(+/- 8952 ),603825,(+/- 9232 ),584236,(+/- 11256 ),604850,(+/- 9377 )
Workers,Employment Status,In labor force,385542,(+/- 6740 ),404644,(+/- 9197 ),436795,(+/- 11261 ),431478,(+/- 10253 ),417108,(+/- 8296 ),400716,(+/- 9048 ),372951,(+/- 10003 ),428453,(+/- 9134 )
Workers,Employment Status,Civilian labor force,384518,(+/- 6739 ),397847,(+/- 9452 ),430818,(+/- 11432 ),428000,(+/- 10110 ),411815,(+/- 8352 ),399273,(+/- 9000 ),371924,(+/- 9920 ),424963,(+/- 9214 )
Workers,Employment Status,Employed,363980,(+/- 6488 ),377034,(+/- 9342 ),411145,(+/- 11815 ),402971,(+/- 9492 ),390677,(+/- 8142 ),379277,(+/- 9303 ),343283,(+/- 9000 ),405556,(+/- 8577 )
Workers,Employment Status,Unemployed,20538,(+/- 2338 ),20813,(+/- 2098 ),19673,(+/- 2624 ),25029,(+/- 2796 ),21138,(+/- 2689 ),19996,(+/- 2756 ),28641,(+/- 2916 ),19407,(+/- 2628 )
Workers,Employment Status,Armed Forces,1024,(+/- 437 ),6797,(+/- 1328 ),5977,(+/- 1183 ),3478,(+/- 1174 ),5293,(+/- 1356 ),1443,(+/- 500 ),1027,(+/- 457 ),3490,(+/- 1382 )
Workers,Employment Status,Not in labor force,212405,(+/- 5452 ),197935,(+/- 7802 ),185068,(+/- 7149 ),161021,(+/- 6048 ),195049,(+/- 6227 ),203109,(+/- 5719 ),211285,(+/- 6844 ),176397,(+/- 4499 )
Workers,Employment Status,Civilian labor force,384518,(+/- 6739 ),397847,(+/- 9452 ),430818,(+/- 11432 ),428000,(+/- 10110 ),411815,(+/- 8352 ),399273,(+/- 9000 ),371924,(+/- 9920 ),424963,(+/- 9214 )
Workers,Employment Status,Unemployment Rate,5.3,(+/- 0.6 ),5.2,(+/- 0.5 ),4.6,(+/- 0.6 ),5.8,(+/- 0.6 ),5.1,(+/- 0.6 ),5.0,(+/- 0.7 ),7.7,(+/- 0.7 ),4.6,(+/- 0.6 )
Workers,Commuting to Work,Workers 16 years and over,357731,(+/- 6582 ),374655,(+/- 8949 ),410878,(+/- 11392 ),397707,(+/- 9597 ),388120,(+/- 8431 ),376158,(+/- 9242 ),338727,(+/- 9103 ),401010,(+/- 8080 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",296673,(+/- 6230 ),292472,(+/- 8218 ),310440,(+/- 9383 ),274491,(+/- 8502 ),297724,(+/- 7104 ),276584,(+/- 7771 ),231359,(+/- 7666 ),267965,(+/- 7438 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",29750,(+/- 2667 ),34778,(+/- 3707 ),32182,(+/- 3815 ),41423,(+/- 3833 ),35611,(+/- 3828 ),37985,(+/- 3570 ),30431,(+/- 4570 ),31808,(+/- 3135 )
Workers,Commuting to Work,Public transportation (excluding taxicab),3906,(+/- 1031 ),20589,(+/- 3369 ),25752,(+/- 2982 ),54966,(+/- 3796 ),29088,(+/- 3117 ),26169,(+/- 3353 ),41086,(+/- 3741 ),57394,(+/- 4408 )
Workers,Commuting to Work,Walked,7262,(+/- 1523 ),8056,(+/- 1778 ),11774,(+/- 1942 ),5691,(+/- 1559 ),7342,(+/- 1801 ),9226,(+/- 1552 ),13996,(+/- 2118 ),11500,(+/- 2023 )
Workers,Commuting to Work,Other means,3466,(+/- 1007 ),6698,(+/- 1989 ),7336,(+/- 1632 ),6894,(+/- 1435 ),4544,(+/- 1507 ),5345,(+/- 1580 ),4739,(+/- 1202 ),6082,(+/- 1119 )
Workers,Commuting to Work,Worked at home,16674,(+/- 2028 ),12062,(+/- 1932 ),23394,(+/- 2477 ),14242,(+/- 1883 ),13811,(+/- 1952 ),20849,(+/- 2151 ),17116,(+/- 2518 ),26261,(+/- 2292 )
Workers,Commuting to Work,Mean travel time to work (minutes),29.1,(+/- 0.7 ),29.6,(+/- 0.8 ),30.3,(+/- 0.7 ),35.6,(+/- 0.6 ),39.4,(+/- 0.9 ),32.0,(+/- 0.8 ),31.3,(+/- 0.7 ),34.7,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,363980,(+/- 6488 ),377034,(+/- 9342 ),411145,(+/- 11815 ),402971,(+/- 9492 ),390677,(+/- 8142 ),379277,(+/- 9303 ),343283,(+/- 9000 ),405556,(+/- 8577 )
Workers,Occupation,"Management, business, science, and arts occupations",137593,(+/- 5445 ),154710,(+/- 6052 ),207297,(+/- 7391 ),161201,(+/- 6678 ),169165,(+/- 6667 ),175234,(+/- 6999 ),156926,(+/- 5288 ),225386,(+/- 6415 )
Workers,Occupation,Service occupations,61726,(+/- 3594 ),71276,(+/- 4763 ),61923,(+/- 5782 ),79895,(+/- 4155 ),63066,(+/- 5041 ),67604,(+/- 4642 ),67691,(+/- 4817 ),62691,(+/- 4705 )
Workers,Occupation,Sales and office occupations,90515,(+/- 4765 ),83839,(+/- 4570 ),88123,(+/- 5685 ),88812,(+/- 5086 ),91021,(+/- 5407 ),76605,(+/- 4307 ),73633,(+/- 4629 ),71761,(+/- 4270 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36664,(+/- 3154 ),29781,(+/- 2946 ),25558,(+/- 2908 ),39283,(+/- 3766 ),38681,(+/- 3092 ),28223,(+/- 3142 ),12974,(+/- 1994 ),25686,(+/- 3018 )
Workers,Occupation,"Production, transportation, and material moving occupations",37482,(+/- 3481 ),37428,(+/- 3222 ),28244,(+/- 3326 ),33780,(+/- 3711 ),28744,(+/- 2737 ),31611,(+/- 3385 ),32059,(+/- 4129 ),20032,(+/- 2309 )
Workers,Industry,Civilian employed population 16 years and over,363980,(+/- 6488 ),377034,(+/- 9342 ),411145,(+/- 11815 ),402971,(+/- 9492 ),390677,(+/- 8142 ),379277,(+/- 9303 ),343283,(+/- 9000 ),405556,(+/- 8577 )
