Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE
People,Sex and Age,55 to 59 years,42060,(+/- 2976 ),44930,(+/- 3426 ),54708,(+/- 2483 ),54786,(+/- 3033 ),48141,(+/- 2552 ),59491,(+/- 2994 ),52409,(+/- 2980 ),57568,(+/- 2113 ),53809,(+/- 2640 ),53960,(+/- 2438 ),56080,(+/- 2901 ),56651,(+/- 2860 ),48835,(+/- 3698 ),53282,(+/- 2857 ),50864,(+/- 2802 ),47383,(+/- 3044 ),52366,(+/- 2689 ),54851,(+/- 2998 )
People,Sex and Age,60 to 64 years,41118,(+/- 3436 ),40214,(+/- 3725 ),50146,(+/- 2047 ),46205,(+/- 2690 ),51517,(+/- 2796 ),45729,(+/- 3216 ),50023,(+/- 3325 ),52440,(+/- 2248 ),51262,(+/- 2460 ),47704,(+/- 2480 ),49092,(+/- 2475 ),53869,(+/- 3140 ),44424,(+/- 3352 ),47533,(+/- 2290 ),48347,(+/- 2500 ),43702,(+/- 2578 ),49172,(+/- 2849 ),52508,(+/- 2835 )
People,Sex and Age,65 to 74 years,48077,(+/- 2839 ),56473,(+/- 2519 ),72586,(+/- 1322 ),69937,(+/- 1360 ),71008,(+/- 1457 ),64856,(+/- 2636 ),68668,(+/- 2583 ),71427,(+/- 1290 ),75665,(+/- 1557 ),78794,(+/- 2018 ),74064,(+/- 2410 ),77335,(+/- 2745 ),62993,(+/- 3021 ),64826,(+/- 2587 ),70068,(+/- 2029 ),63831,(+/- 1887 ),70997,(+/- 2716 ),77969,(+/- 2727 )
People,Sex and Age,75 to 84 years,22570,(+/- 1998 ),29200,(+/- 2038 ),37664,(+/- 1590 ),36081,(+/- 2310 ),38016,(+/- 1988 ),34890,(+/- 2099 ),40606,(+/- 2223 ),36323,(+/- 1848 ),40382,(+/- 1575 ),38849,(+/- 1699 ),35945,(+/- 2109 ),43393,(+/- 2643 ),32351,(+/- 2537 ),34806,(+/- 2383 ),36625,(+/- 2405 ),33812,(+/- 2058 ),35751,(+/- 2411 ),41406,(+/- 2349 )
People,Sex and Age,85 years and over,10013,(+/- 1750 ),14491,(+/- 1699 ),19524,(+/- 1414 ),17708,(+/- 1957 ),17602,(+/- 1857 ),16548,(+/- 1919 ),18832,(+/- 1916 ),18133,(+/- 1791 ),19006,(+/- 1485 ),18745,(+/- 1542 ),19124,(+/- 1684 ),21939,(+/- 1879 ),19346,(+/- 2048 ),19788,(+/- 1987 ),19213,(+/- 2264 ),18495,(+/- 1984 ),22004,(+/- 2080 ),23006,(+/- 2137 )
People,Sex and Age,Median age (years),33.7,(+/- 0.7 ),34.1,(+/- 0.7 ),43.3,(+/- 0.5 ),40.8,(+/- 0.4 ),40.6,(+/- 0.4 ),40.8,(+/- 0.7 ),42.6,(+/- 0.6 ),43.6,(+/- 0.4 ),43.5,(+/- 0.5 ),43.8,(+/- 0.6 ),42.5,(+/- 0.8 ),45.2,(+/- 0.7 ),37.7,(+/- 0.7 ),38.4,(+/- 0.9 ),40.3,(+/- 0.6 ),37.6,(+/- 0.5 ),42.2,(+/- 0.7 ),44.4,(+/- 0.7 )
People,Sex and Age,18 years and over,552958,(+/- 12790 ),570951,(+/- 11258 ),553098,(+/- 3156 ),570301,(+/- 3916 ),568182,(+/- 3581 ),573372,(+/- 8019 ),554247,(+/- 7496 ),561151,(+/- 4304 ),550505,(+/- 3549 ),547385,(+/- 5521 ),563297,(+/- 6320 ),556476,(+/- 6311 ),562151,(+/- 9870 ),579104,(+/- 6378 ),567582,(+/- 5985 ),550091,(+/- 5779 ),561780,(+/- 7167 ),566751,(+/- 6801 )
People,Sex and Age,65 years and over,80660,(+/- 3904 ),100164,(+/- 3039 ),129774,(+/- 1704 ),123726,(+/- 1984 ),126626,(+/- 1721 ),116294,(+/- 3479 ),128106,(+/- 3135 ),125883,(+/- 1623 ),135053,(+/- 2073 ),136388,(+/- 2596 ),129133,(+/- 3440 ),142667,(+/- 3846 ),114690,(+/- 3825 ),119420,(+/- 3784 ),125906,(+/- 2739 ),116138,(+/- 2502 ),128752,(+/- 3756 ),142381,(+/- 3772 )
People,Race,Total population,721901,(+/- 19220 ),711404,(+/- 16934 ),693850,(+/- 4569 ),726738,(+/- 4737 ),700472,(+/- 4591 ),737397,(+/- 11534 ),712330,(+/- 12061 ),709746,(+/- 6045 ),689669,(+/- 5402 ),689108,(+/- 7525 ),707150,(+/- 8282 ),697773,(+/- 8275 ),731754,(+/- 15317 ),696529,(+/- 8106 ),725473,(+/- 8109 ),725915,(+/- 8849 ),699918,(+/- 9688 ),707100,(+/- 9522 )
People,Race,One race,698262,(+/- 18289 ),692278,(+/- 16984 ),681885,(+/- 4752 ),710097,(+/- 5242 ),688116,(+/- 4887 ),718129,(+/- 11436 ),696366,(+/- 12622 ),695134,(+/- 6758 ),679048,(+/- 5810 ),673461,(+/- 7635 ),695430,(+/- 8839 ),682476,(+/- 8062 ),706344,(+/- 14698 ),669922,(+/- 8290 ),706647,(+/- 8238 ),689696,(+/- 10152 ),683258,(+/- 10243 ),693924,(+/- 8957 )
People,Race,White,335417,(+/- 12981 ),225072,(+/- 7703 ),637132,(+/- 4931 ),615250,(+/- 6039 ),654366,(+/- 4722 ),636242,(+/- 10429 ),613745,(+/- 10912 ),622195,(+/- 6716 ),649653,(+/- 5426 ),637125,(+/- 6894 ),628731,(+/- 8935 ),645157,(+/- 8206 ),453831,(+/- 12150 ),500892,(+/- 7167 ),611339,(+/- 9742 ),603670,(+/- 9375 ),613333,(+/- 9566 ),657727,(+/- 8328 )
People,Race,Black or African American,255923,(+/- 12663 ),401447,(+/- 13156 ),31997,(+/- 2476 ),58343,(+/- 4055 ),19557,(+/- 2059 ),30587,(+/- 4514 ),41498,(+/- 5029 ),25086,(+/- 2800 ),21341,(+/- 2038 ),22391,(+/- 3654 ),40530,(+/- 3619 ),19519,(+/- 2612 ),146967,(+/- 10078 ),144644,(+/- 5330 ),38886,(+/- 3551 ),47383,(+/- 4518 ),42771,(+/- 3988 ),18177,(+/- 3399 )
People,Race,American Indian and Alaska Native,2657,(+/- 1089 ),1705,(+/- 843 ),823,(+/- 371 ),1362,(+/- 582 ),895,(+/- 533 ),1299,(+/- 1143 ),758,(+/- 473 ),1033,(+/- 501 ),978,(+/- 704 ),787,(+/- 410 ),740,(+/- 454 ),354,(+/- 212 ),2795,(+/- 1301 ),530,(+/- 325 ),1251,(+/- 539 ),3915,(+/- 2359 ),1082,(+/- 504 ),592,(+/- 394 )
People,Race,Asian,49714,(+/- 5474 ),43363,(+/- 4534 ),8672,(+/- 953 ),19157,(+/- 1762 ),11462,(+/- 1552 ),36875,(+/- 3134 ),34428,(+/- 4014 ),37881,(+/- 2994 ),4445,(+/- 820 ),6402,(+/- 1381 ),13108,(+/- 2169 ),14755,(+/- 2350 ),61885,(+/- 5115 ),20143,(+/- 2711 ),19936,(+/- 2356 ),13648,(+/- 1769 ),12248,(+/- 1687 ),15058,(+/- 2757 )
People,Race,Native Hawaiian and Other Pacific Islander,79,(+/- 97 ),245,(+/- 247 ),256,(+/- 277 ),231,(+/- 303 ),152,(+/- 154 ),268,(+/- 265 ),40,(+/- 69 ),0,(+/- 174 ),476,(+/- 405 ),96,(+/- 105 ),77,(+/- 130 ),419,(+/- 378 ),397,(+/- 426 ),373,(+/- 448 ),0,(+/- 174 ),53,(+/- 87 ),221,(+/- 291 ),34,(+/- 66 )
People,Race,Some other race,54472,(+/- 7945 ),20446,(+/- 4322 ),3005,(+/- 1267 ),15754,(+/- 3161 ),1684,(+/- 499 ),12858,(+/- 2977 ),5897,(+/- 1391 ),8939,(+/- 3047 ),2155,(+/- 1050 ),6660,(+/- 2641 ),12244,(+/- 2589 ),2272,(+/- 981 ),40469,(+/- 6621 ),3340,(+/- 1157 ),35235,(+/- 5557 ),21027,(+/- 3307 ),13603,(+/- 3688 ),2336,(+/- 1163 )
People,Race,Two or more races,23639,(+/- 4601 ),19126,(+/- 4195 ),11965,(+/- 1668 ),16641,(+/- 2198 ),12356,(+/- 2116 ),19268,(+/- 2941 ),15964,(+/- 2795 ),14612,(+/- 3058 ),10621,(+/- 1766 ),15647,(+/- 2458 ),11720,(+/- 1990 ),15297,(+/- 2586 ),25410,(+/- 4636 ),26607,(+/- 4292 ),18826,(+/- 3018 ),36219,(+/- 5340 ),16660,(+/- 3852 ),13176,(+/- 2521 )
People,Hispanic or Latino and Race,Total population,721901,(+/- 19220 ),711404,(+/- 16934 ),693850,(+/- 4569 ),726738,(+/- 4737 ),700472,(+/- 4591 ),737397,(+/- 11534 ),712330,(+/- 12061 ),709746,(+/- 6045 ),689669,(+/- 5402 ),689108,(+/- 7525 ),707150,(+/- 8282 ),697773,(+/- 8275 ),731754,(+/- 15317 ),696529,(+/- 8106 ),725473,(+/- 8109 ),725915,(+/- 8849 ),699918,(+/- 9688 ),707100,(+/- 9522 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),129600,(+/- 8848 ),41506,(+/- 5006 ),15991,(+/- 956 ),50841,(+/- 2415 ),13947,(+/- 1448 ),43568,(+/- 4800 ),26784,(+/- 3307 ),37380,(+/- 1902 ),15405,(+/- 777 ),30543,(+/- 3250 ),47004,(+/- 3264 ),9765,(+/- 1513 ),89762,(+/- 8510 ),18639,(+/- 1877 ),120733,(+/- 3570 ),135980,(+/- 4169 ),64286,(+/- 5088 ),8268,(+/- 1406 )
People,Hispanic or Latino and Race,Mexican,14087,(+/- 5421 ),5321,(+/- 1976 ),4057,(+/- 1286 ),17324,(+/- 2958 ),4528,(+/- 1079 ),10340,(+/- 3582 ),6981,(+/- 2099 ),9598,(+/- 3092 ),6229,(+/- 2350 ),3988,(+/- 791 ),6844,(+/- 2613 ),2701,(+/- 1074 ),12783,(+/- 2995 ),4320,(+/- 1480 ),8247,(+/- 2363 ),29521,(+/- 5344 ),8990,(+/- 2949 ),3296,(+/- 921 )
People,Hispanic or Latino and Race,Puerto Rican,82984,(+/- 8285 ),21216,(+/- 4141 ),7033,(+/- 1839 ),18957,(+/- 3497 ),3841,(+/- 867 ),20827,(+/- 3113 ),9752,(+/- 2146 ),12169,(+/- 2776 ),4999,(+/- 1833 ),15156,(+/- 3073 ),19432,(+/- 3493 ),2572,(+/- 871 ),41170,(+/- 6730 ),5322,(+/- 1429 ),70175,(+/- 6959 ),72488,(+/- 5899 ),33972,(+/- 4104 ),2198,(+/- 822 )
People,Hispanic or Latino and Race,Cuban,1769,(+/- 1358 ),1671,(+/- 1036 ),285,(+/- 223 ),1120,(+/- 804 ),340,(+/- 268 ),1062,(+/- 685 ),1475,(+/- 778 ),1885,(+/- 943 ),238,(+/- 272 ),1261,(+/- 769 ),711,(+/- 431 ),608,(+/- 519 ),2427,(+/- 1354 ),1276,(+/- 1178 ),2458,(+/- 1350 ),1888,(+/- 922 ),1614,(+/- 871 ),145,(+/- 172 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,30760,(+/- 6586 ),13298,(+/- 3586 ),4616,(+/- 1630 ),13440,(+/- 3156 ),5238,(+/- 1218 ),11339,(+/- 2466 ),8576,(+/- 1671 ),13728,(+/- 2685 ),3939,(+/- 1379 ),10138,(+/- 2507 ),20017,(+/- 2957 ),3884,(+/- 1518 ),33382,(+/- 6711 ),7721,(+/- 1990 ),39853,(+/- 5546 ),32083,(+/- 4855 ),19710,(+/- 4206 ),2629,(+/- 878 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,592301,(+/- 15920 ),669898,(+/- 15257 ),677859,(+/- 4743 ),675897,(+/- 4853 ),686525,(+/- 4690 ),693829,(+/- 11986 ),685546,(+/- 12672 ),672366,(+/- 5639 ),674264,(+/- 5385 ),658565,(+/- 6281 ),660146,(+/- 8255 ),688008,(+/- 8223 ),641992,(+/- 13997 ),677890,(+/- 7792 ),604740,(+/- 8105 ),589935,(+/- 8928 ),635632,(+/- 8329 ),698832,(+/- 9184 )
People,Place of Birth,Total population,721901,(+/- 19220 ),711404,(+/- 16934 ),693850,(+/- 4569 ),726738,(+/- 4737 ),700472,(+/- 4591 ),737397,(+/- 11534 ),712330,(+/- 12061 ),709746,(+/- 6045 ),689669,(+/- 5402 ),689108,(+/- 7525 ),707150,(+/- 8282 ),697773,(+/- 8275 ),731754,(+/- 15317 ),696529,(+/- 8106 ),725473,(+/- 8109 ),725915,(+/- 8849 ),699918,(+/- 9688 ),707100,(+/- 9522 )
People,Place of Birth,Native,620536,(+/- 17322 ),639373,(+/- 15618 ),673115,(+/- 4758 ),687708,(+/- 6317 ),678586,(+/- 4696 ),686327,(+/- 10049 ),658542,(+/- 11805 ),637781,(+/- 7663 ),678913,(+/- 5348 ),667485,(+/- 7018 ),674465,(+/- 8957 ),676913,(+/- 8176 ),592231,(+/- 13545 ),658642,(+/- 8451 ),669531,(+/- 9311 ),672798,(+/- 10614 ),658279,(+/- 10098 ),682089,(+/- 8785 )
People,Place of Birth,Born in United States,584461,(+/- 17136 ),626676,(+/- 15608 ),668505,(+/- 4866 ),677234,(+/- 6590 ),674808,(+/- 4806 ),676415,(+/- 10069 ),651358,(+/- 11989 ),631098,(+/- 7575 ),675026,(+/- 5304 ),658147,(+/- 6985 ),663618,(+/- 8551 ),673510,(+/- 8052 ),573368,(+/- 13202 ),651925,(+/- 8276 ),638189,(+/- 9226 ),638285,(+/- 10629 ),642246,(+/- 9406 ),677523,(+/- 8954 )
People,Place of Birth,State of residence,471597,(+/- 16968 ),465368,(+/- 14813 ),563155,(+/- 5266 ),473846,(+/- 9818 ),556515,(+/- 7092 ),528631,(+/- 10279 ),515446,(+/- 11806 ),477089,(+/- 9212 ),553915,(+/- 7681 ),472856,(+/- 7640 ),553236,(+/- 8902 ),580721,(+/- 8299 ),481131,(+/- 12201 ),538733,(+/- 8216 ),477539,(+/- 9844 ),500661,(+/- 11021 ),467870,(+/- 9597 ),573114,(+/- 9972 )
People,Place of Birth,Different state,112864,(+/- 6357 ),161308,(+/- 7991 ),105350,(+/- 4988 ),203388,(+/- 8052 ),118293,(+/- 5805 ),147784,(+/- 6589 ),135912,(+/- 5940 ),154009,(+/- 7246 ),121111,(+/- 5784 ),185291,(+/- 6434 ),110382,(+/- 6466 ),92789,(+/- 4983 ),92237,(+/- 5721 ),113192,(+/- 6068 ),160650,(+/- 8195 ),137624,(+/- 6613 ),174376,(+/- 8383 ),104409,(+/- 5266 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",36075,(+/- 4779 ),12697,(+/- 1983 ),4610,(+/- 1158 ),10474,(+/- 2341 ),3778,(+/- 852 ),9912,(+/- 1965 ),7184,(+/- 1580 ),6683,(+/- 1435 ),3887,(+/- 1078 ),9338,(+/- 1509 ),10847,(+/- 2181 ),3403,(+/- 902 ),18863,(+/- 3328 ),6717,(+/- 1211 ),31342,(+/- 3862 ),34513,(+/- 4188 ),16033,(+/- 2993 ),4566,(+/- 1064 )
People,Place of Birth,Foreign born,101365,(+/- 9612 ),72031,(+/- 5755 ),20735,(+/- 2260 ),39030,(+/- 4180 ),21886,(+/- 2197 ),51070,(+/- 4817 ),53788,(+/- 4446 ),71965,(+/- 5556 ),10756,(+/- 2015 ),21623,(+/- 2767 ),32685,(+/- 3359 ),20860,(+/- 2810 ),139523,(+/- 11040 ),37887,(+/- 3454 ),55942,(+/- 4732 ),53117,(+/- 4933 ),41639,(+/- 4440 ),25011,(+/- 3419 )
People,Ancestry,Total population,721901,(+/- 19220 ),711404,(+/- 16934 ),693850,(+/- 4569 ),726738,(+/- 4737 ),700472,(+/- 4591 ),737397,(+/- 11534 ),712330,(+/- 12061 ),709746,(+/- 6045 ),689669,(+/- 5402 ),689108,(+/- 7525 ),707150,(+/- 8282 ),697773,(+/- 8275 ),731754,(+/- 15317 ),696529,(+/- 8106 ),725473,(+/- 8109 ),725915,(+/- 8849 ),699918,(+/- 9688 ),707100,(+/- 9522 )
People,Ancestry,American,16818,(+/- 3277 ),15848,(+/- 2501 ),29815,(+/- 3033 ),46686,(+/- 4134 ),38207,(+/- 2947 ),35185,(+/- 4296 ),34152,(+/- 4842 ),22347,(+/- 2678 ),44750,(+/- 3696 ),52972,(+/- 5195 ),38097,(+/- 4364 ),29781,(+/- 3758 ),18027,(+/- 2601 ),32445,(+/- 4932 ),32905,(+/- 5079 ),35940,(+/- 4259 ),27324,(+/- 3303 ),23951,(+/- 3137 )
People,Ancestry,Arab,6435,(+/- 2760 ),2884,(+/- 829 ),3686,(+/- 1469 ),3413,(+/- 1529 ),1711,(+/- 787 ),3579,(+/- 1499 ),4996,(+/- 1966 ),3908,(+/- 1367 ),1515,(+/- 627 ),739,(+/- 339 ),3315,(+/- 1258 ),3926,(+/- 1288 ),8299,(+/- 3282 ),6963,(+/- 2723 ),12062,(+/- 3089 ),4194,(+/- 2718 ),4364,(+/- 1641 ),6008,(+/- 1681 )
People,Ancestry,Czech,527,(+/- 391 ),674,(+/- 378 ),3623,(+/- 836 ),1688,(+/- 753 ),2108,(+/- 605 ),1763,(+/- 628 ),2071,(+/- 718 ),2058,(+/- 658 ),3987,(+/- 1250 ),1689,(+/- 629 ),2087,(+/- 965 ),6334,(+/- 1572 ),1186,(+/- 555 ),3434,(+/- 1009 ),2496,(+/- 781 ),1629,(+/- 735 ),2011,(+/- 933 ),5140,(+/- 1292 )
People,Ancestry,Danish,1137,(+/- 558 ),864,(+/- 408 ),915,(+/- 403 ),1291,(+/- 878 ),1227,(+/- 406 ),970,(+/- 566 ),803,(+/- 408 ),1144,(+/- 517 ),535,(+/- 300 ),1066,(+/- 670 ),928,(+/- 630 ),558,(+/- 293 ),637,(+/- 319 ),577,(+/- 360 ),2047,(+/- 1058 ),441,(+/- 264 ),556,(+/- 342 ),651,(+/- 405 )
People,Ancestry,Dutch,3662,(+/- 1462 ),3692,(+/- 1143 ),10327,(+/- 1668 ),10739,(+/- 1930 ),14061,(+/- 1909 ),10345,(+/- 1695 ),10665,(+/- 2931 ),8874,(+/- 2009 ),13336,(+/- 1901 ),15584,(+/- 1758 ),18055,(+/- 2154 ),6939,(+/- 1200 ),5768,(+/- 2020 ),3534,(+/- 861 ),14018,(+/- 2636 ),7951,(+/- 1964 ),18448,(+/- 3018 ),7744,(+/- 1629 )
People,Ancestry,English,23538,(+/- 3278 ),22132,(+/- 2713 ),58645,(+/- 4044 ),52493,(+/- 4009 ),61460,(+/- 4697 ),63523,(+/- 4812 ),67724,(+/- 4708 ),67255,(+/- 4756 ),50702,(+/- 4103 ),58104,(+/- 4023 ),41711,(+/- 3550 ),52594,(+/- 3675 ),37592,(+/- 4104 ),43290,(+/- 3523 ),42419,(+/- 5266 ),44717,(+/- 4310 ),38961,(+/- 3606 ),68480,(+/- 4808 )
People,Ancestry,French (except Basque),7152,(+/- 1674 ),5241,(+/- 1180 ),13727,(+/- 1704 ),14763,(+/- 2667 ),13753,(+/- 1956 ),14184,(+/- 2428 ),15889,(+/- 2998 ),14184,(+/- 2700 ),9967,(+/- 1540 ),11193,(+/- 1492 ),9745,(+/- 1972 ),11864,(+/- 2059 ),7261,(+/- 1346 ),8569,(+/- 1529 ),14199,(+/- 2417 ),10351,(+/- 1884 ),9420,(+/- 4297 ),12783,(+/- 2157 )
People,Ancestry,French Canadian,507,(+/- 276 ),551,(+/- 459 ),2110,(+/- 805 ),2272,(+/- 746 ),2583,(+/- 831 ),2840,(+/- 961 ),1461,(+/- 518 ),2767,(+/- 996 ),1162,(+/- 443 ),1461,(+/- 591 ),1516,(+/- 548 ),696,(+/- 321 ),1750,(+/- 703 ),761,(+/- 384 ),2242,(+/- 764 ),1110,(+/- 425 ),1143,(+/- 550 ),1730,(+/- 716 )
People,Ancestry,German,59115,(+/- 5204 ),38641,(+/- 3181 ),215845,(+/- 7647 ),247964,(+/- 8855 ),202062,(+/- 7415 ),205082,(+/- 9324 ),146495,(+/- 6956 ),184274,(+/- 8239 ),199260,(+/- 7490 ),186976,(+/- 8096 ),182057,(+/- 7020 ),215891,(+/- 7362 ),99093,(+/- 6438 ),146847,(+/- 5842 ),203200,(+/- 7197 ),207737,(+/- 9011 ),150301,(+/- 6983 ),193899,(+/- 6644 )
People,Ancestry,Greek,1901,(+/- 815 ),1915,(+/- 745 ),3628,(+/- 1539 ),3159,(+/- 1284 ),1457,(+/- 699 ),4953,(+/- 1744 ),3992,(+/- 1143 ),3032,(+/- 805 ),2223,(+/- 807 ),2957,(+/- 1279 ),3115,(+/- 753 ),4304,(+/- 1565 ),3448,(+/- 1235 ),3785,(+/- 976 ),2571,(+/- 904 ),4302,(+/- 1276 ),3695,(+/- 1269 ),4043,(+/- 1250 )
People,Ancestry,Hungarian,2244,(+/- 781 ),2455,(+/- 818 ),6420,(+/- 1294 ),2644,(+/- 703 ),6659,(+/- 1531 ),5629,(+/- 1205 ),3753,(+/- 901 ),7556,(+/- 1763 ),7619,(+/- 1517 ),3821,(+/- 840 ),5269,(+/- 1653 ),10609,(+/- 2130 ),5060,(+/- 1376 ),12450,(+/- 2068 ),14361,(+/- 2169 ),2776,(+/- 986 ),8601,(+/- 1821 ),14087,(+/- 1965 )
