Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE,District 37 Estimate,District 37 MOE,District 38 Estimate,District 38 MOE,District 39 Estimate,District 39 MOE,District 40 Estimate,District 40 MOE,District 41 Estimate,District 41 MOE,District 42 Estimate,District 42 MOE,District 43 Estimate,District 43 MOE,District 44 Estimate,District 44 MOE,District 45 Estimate,District 45 MOE,District 46 Estimate,District 46 MOE,District 47 Estimate,District 47 MOE,District 48 Estimate,District 48 MOE,District 49 Estimate,District 49 MOE,District 50 Estimate,District 50 MOE,District 51 Estimate,District 51 MOE,District 52 Estimate,District 52 MOE,District 53 Estimate,District 53 MOE
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,137803,(+/- 2554 ),142218,(+/- 3213 ),173650,(+/- 4299 ),158617,(+/- 3171 ),150562,(+/- 4891 ),184418,(+/- 6927 ),175885,(+/- 5813 ),197776,(+/- 7347 ),203957,(+/- 5525 ),201436,(+/- 3446 ),171670,(+/- 4998 ),98566,(+/- 2340 ),142127,(+/- 4844 ),150143,(+/- 4275 ),177631,(+/- 4756 ),219911,(+/- 7085 ),166944,(+/- 6146 ),159825,(+/- 7068 ),184085,(+/- 7518 ),182056,(+/- 2574 ),230607,(+/- 8426 ),213919,(+/- 6939 ),193814,(+/- 9121 ),152673,(+/- 1419 ),187666,(+/- 7302 ),174081,(+/- 2743 ),136898,(+/- 6904 ),108610,(+/- 5980 ),171210,(+/- 8215 ),150045,(+/- 8424 ),198701,(+/- 7185 ),162425,(+/- 7765 ),125504,(+/- 6729 ),160599,(+/- 8845 ),195940,(+/- 7181 ),172959,(+/- 7962 ),138415,(+/- 8441 ),165967,(+/- 6923 ),157057,(+/- 6704 ),209337,(+/- 7785 ),207544,(+/- 7680 ),208331,(+/- 6878 ),169554,(+/- 7451 ),201975,(+/- 7832 ),166073,(+/- 5761 ),192480,(+/- 6672 ),160642,(+/- 6954 ),143178,(+/- 6064 ),175030,(+/- 8163 ),182488,(+/- 9047 ),187488,(+/- 8215 ),146704,(+/- 7617 ),152584,(+/- 8977 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6146,(+/- 1324 ),5836,(+/- 1158 ),8198,(+/- 1491 ),6483,(+/- 1643 ),4839,(+/- 1290 ),4611,(+/- 1217 ),7987,(+/- 1941 ),8709,(+/- 1846 ),8796,(+/- 1463 ),7909,(+/- 1712 ),7742,(+/- 1891 ),2562,(+/- 859 ),5194,(+/- 1055 ),4021,(+/- 1240 ),4005,(+/- 1001 ),10098,(+/- 1821 ),3047,(+/- 791 ),3429,(+/- 858 ),4860,(+/- 1209 ),7363,(+/- 1620 ),9229,(+/- 2829 ),9482,(+/- 2142 ),6971,(+/- 1974 ),4543,(+/- 1460 ),6487,(+/- 1168 ),7425,(+/- 1623 ),3845,(+/- 1015 ),2232,(+/- 755 ),7984,(+/- 1789 ),5122,(+/- 1191 ),8308,(+/- 1872 ),5521,(+/- 1397 ),2987,(+/- 874 ),4864,(+/- 1095 ),8825,(+/- 1845 ),6317,(+/- 1379 ),3643,(+/- 881 ),4049,(+/- 1058 ),4531,(+/- 1547 ),6077,(+/- 1240 ),8422,(+/- 1747 ),8279,(+/- 1871 ),5521,(+/- 1215 ),6186,(+/- 1394 ),2848,(+/- 883 ),7138,(+/- 1277 ),5620,(+/- 1287 ),4554,(+/- 1210 ),4713,(+/- 1110 ),6392,(+/- 1571 ),7442,(+/- 1445 ),3651,(+/- 1056 ),4743,(+/- 1261 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,402315,(+/- 3625 ),422048,(+/- 4363 ),447148,(+/- 5160 ),422365,(+/- 4385 ),458707,(+/- 6776 ),483535,(+/- 7580 ),446312,(+/- 7629 ),415536,(+/- 6821 ),455079,(+/- 5829 ),447885,(+/- 4185 ),460504,(+/- 5205 ),545879,(+/- 6240 ),506797,(+/- 5339 ),482356,(+/- 7111 ),491172,(+/- 6262 ),425175,(+/- 8109 ),516738,(+/- 8964 ),464946,(+/- 9537 ),484093,(+/- 9399 ),449838,(+/- 4371 ),394468,(+/- 10766 ),444733,(+/- 9325 ),425723,(+/- 10445 ),454293,(+/- 3238 ),451514,(+/- 8629 ),441005,(+/- 4415 ),457290,(+/- 9778 ),488839,(+/- 11458 ),479661,(+/- 13252 ),491217,(+/- 15386 ),454122,(+/- 10613 ),458676,(+/- 10481 ),464371,(+/- 10731 ),503095,(+/- 15000 ),464194,(+/- 9551 ),409562,(+/- 7402 ),495273,(+/- 14208 ),445866,(+/- 10577 ),464639,(+/- 7715 ),449185,(+/- 11908 ),479507,(+/- 7702 ),484159,(+/- 8932 ),469512,(+/- 13175 ),441938,(+/- 10237 ),495453,(+/- 7220 ),466094,(+/- 8198 ),463366,(+/- 10377 ),459786,(+/- 7115 ),428261,(+/- 8909 ),457308,(+/- 10081 ),442011,(+/- 11347 ),473054,(+/- 12341 ),505245,(+/- 14052 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,60602,(+/- 4172 ),42182,(+/- 3364 ),47702,(+/- 3524 ),46004,(+/- 3531 ),49637,(+/- 3657 ),49461,(+/- 4063 ),41193,(+/- 3180 ),50897,(+/- 4166 ),54296,(+/- 4303 ),46362,(+/- 3653 ),41046,(+/- 3546 ),41759,(+/- 4235 ),43540,(+/- 3515 ),26080,(+/- 3045 ),28841,(+/- 2894 ),53914,(+/- 4686 ),20846,(+/- 2344 ),26248,(+/- 3599 ),29226,(+/- 2274 ),37586,(+/- 3248 ),33807,(+/- 2868 ),50701,(+/- 4473 ),47163,(+/- 4126 ),35409,(+/- 3444 ),40062,(+/- 3753 ),40254,(+/- 3135 ),27461,(+/- 2687 ),31781,(+/- 3346 ),45924,(+/- 3456 ),35705,(+/- 3209 ),45786,(+/- 2979 ),32315,(+/- 3014 ),23531,(+/- 3002 ),41802,(+/- 3121 ),35997,(+/- 2756 ),46514,(+/- 3953 ),37519,(+/- 3832 ),35995,(+/- 3016 ),26121,(+/- 2368 ),31359,(+/- 2707 ),43218,(+/- 3231 ),41281,(+/- 3887 ),38154,(+/- 3645 ),35344,(+/- 3160 ),21308,(+/- 2657 ),28536,(+/- 2445 ),35815,(+/- 3294 ),28742,(+/- 2465 ),22610,(+/- 2723 ),41625,(+/- 4081 ),43174,(+/- 4038 ),25679,(+/- 2959 ),35600,(+/- 3814 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,146653,(+/- 2527 ),140873,(+/- 3009 ),100007,(+/- 3418 ),146087,(+/- 2991 ),120371,(+/- 3798 ),91442,(+/- 4506 ),108746,(+/- 3948 ),92484,(+/- 4247 ),96046,(+/- 3789 ),89600,(+/- 2346 ),119863,(+/- 3195 ),108479,(+/- 2115 ),102198,(+/- 4118 ),113053,(+/- 2934 ),96413,(+/- 4092 ),71469,(+/- 2667 ),86878,(+/- 4558 ),110548,(+/- 3621 ),91315,(+/- 3425 ),94599,(+/- 1578 ),61290,(+/- 3064 ),91850,(+/- 3238 ),88311,(+/- 3198 ),118415,(+/- 1051 ),83383,(+/- 4807 ),105031,(+/- 2507 ),125156,(+/- 5803 ),108162,(+/- 5481 ),71777,(+/- 3991 ),114753,(+/- 5562 ),76016,(+/- 4766 ),94909,(+/- 4526 ),120221,(+/- 4667 ),83203,(+/- 4357 ),63710,(+/- 3843 ),157313,(+/- 5274 ),93134,(+/- 5132 ),93509,(+/- 4150 ),105984,(+/- 4957 ),62936,(+/- 3938 ),69207,(+/- 4594 ),94246,(+/- 5212 ),82432,(+/- 4273 ),74750,(+/- 3630 ),110741,(+/- 5332 ),67718,(+/- 4305 ),87349,(+/- 4829 ),122264,(+/- 5445 ),108192,(+/- 5619 ),102913,(+/- 4957 ),84041,(+/- 3583 ),106531,(+/- 4857 ),95618,(+/- 5008 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,55454,(+/- 2511 ),42609,(+/- 2512 ),39700,(+/- 2792 ),47370,(+/- 2857 ),42675,(+/- 3586 ),37883,(+/- 2687 ),38785,(+/- 2982 ),39471,(+/- 2984 ),40241,(+/- 2589 ),37943,(+/- 2475 ),40885,(+/- 2209 ),40313,(+/- 2428 ),37745,(+/- 2773 ),34742,(+/- 2509 ),29224,(+/- 2630 ),34351,(+/- 2797 ),26863,(+/- 2935 ),32507,(+/- 2490 ),29907,(+/- 2328 ),28876,(+/- 1814 ),25621,(+/- 2102 ),35387,(+/- 2745 ),33104,(+/- 2494 ),36241,(+/- 2779 ),31099,(+/- 3066 ),34250,(+/- 2212 ),42064,(+/- 2991 ),45715,(+/- 3630 ),31471,(+/- 2888 ),39872,(+/- 3099 ),29006,(+/- 2550 ),33565,(+/- 2656 ),34487,(+/- 3133 ),33593,(+/- 2737 ),25265,(+/- 2241 ),59243,(+/- 3773 ),34389,(+/- 2936 ),29649,(+/- 2414 ),34160,(+/- 2847 ),24271,(+/- 2498 ),30361,(+/- 2979 ),34731,(+/- 3530 ),30095,(+/- 2404 ),29020,(+/- 2388 ),31144,(+/- 2897 ),24087,(+/- 3648 ),31026,(+/- 2596 ),34982,(+/- 2888 ),33871,(+/- 3353 ),35077,(+/- 2883 ),37347,(+/- 2584 ),30470,(+/- 2377 ),35211,(+/- 3096 )
People,Residence 1 Year Ago,Population 1 year and over,695927,(+/- 4397 ),709110,(+/- 5316 ),733024,(+/- 5495 ),729630,(+/- 6330 ),728767,(+/- 8245 ),754430,(+/- 8788 ),728702,(+/- 8319 ),715224,(+/- 9047 ),750447,(+/- 7893 ),733950,(+/- 5536 ),749094,(+/- 6937 ),747667,(+/- 7908 ),746870,(+/- 4430 ),742049,(+/- 9554 ),762545,(+/- 7117 ),717039,(+/- 11802 ),766207,(+/- 10204 ),730945,(+/- 13551 ),754132,(+/- 13598 ),734447,(+/- 5991 ),716684,(+/- 16776 ),744587,(+/- 12044 ),716983,(+/- 16629 ),731054,(+/- 2921 ),720645,(+/- 11155 ),718176,(+/- 3764 ),717744,(+/- 10436 ),703214,(+/- 13397 ),717283,(+/- 18748 ),753790,(+/- 19906 ),731632,(+/- 11848 ),711773,(+/- 12160 ),706384,(+/- 13880 ),749022,(+/- 20616 ),735104,(+/- 11574 ),741441,(+/- 10371 ),720795,(+/- 19397 ),700337,(+/- 13256 ),721576,(+/- 8366 ),713739,(+/- 16701 ),748076,(+/- 8960 ),783154,(+/- 11418 ),712106,(+/- 15887 ),713402,(+/- 14077 ),765112,(+/- 8096 ),726874,(+/- 8534 ),705486,(+/- 11830 ),720777,(+/- 8116 ),729697,(+/- 10506 ),741407,(+/- 12053 ),737099,(+/- 17467 ),741498,(+/- 14851 ),756579,(+/- 19824 )
People,Residence 1 Year Ago,Same house,585462,(+/- 9658 ),609454,(+/- 9332 ),601730,(+/- 9088 ),616905,(+/- 10025 ),633258,(+/- 11247 ),627749,(+/- 10526 ),624888,(+/- 11622 ),593442,(+/- 12579 ),635576,(+/- 13970 ),633953,(+/- 11585 ),647465,(+/- 10105 ),645817,(+/- 9778 ),631555,(+/- 7883 ),654125,(+/- 11168 ),682392,(+/- 9849 ),605423,(+/- 13046 ),635966,(+/- 13006 ),633063,(+/- 14126 ),656872,(+/- 14965 ),647461,(+/- 8229 ),614005,(+/- 16643 ),641508,(+/- 13291 ),593465,(+/- 18271 ),591991,(+/- 8818 ),639286,(+/- 13219 ),640747,(+/- 7267 ),644991,(+/- 11701 ),621016,(+/- 14325 ),657154,(+/- 18335 ),666737,(+/- 18939 ),616257,(+/- 15160 ),647340,(+/- 13188 ),591709,(+/- 13420 ),657503,(+/- 20032 ),643493,(+/- 13552 ),650080,(+/- 12137 ),639621,(+/- 19932 ),642151,(+/- 14333 ),639838,(+/- 11010 ),662777,(+/- 17661 ),649438,(+/- 12476 ),676729,(+/- 13062 ),632373,(+/- 14412 ),657425,(+/- 14552 ),643685,(+/- 12261 ),637757,(+/- 11863 ),623648,(+/- 12319 ),630967,(+/- 9667 ),617918,(+/- 12498 ),624707,(+/- 15160 ),653033,(+/- 17207 ),606835,(+/- 15021 ),636073,(+/- 20387 )
People,Residence 1 Year Ago,Different house in the U.S.,108472,(+/- 7910 ),95486,(+/- 7658 ),122612,(+/- 8834 ),110716,(+/- 8514 ),91455,(+/- 8910 ),121828,(+/- 8007 ),99586,(+/- 8461 ),116494,(+/- 10338 ),111127,(+/- 11871 ),95792,(+/- 9355 ),94860,(+/- 7462 ),90594,(+/- 6818 ),103390,(+/- 6270 ),78607,(+/- 7256 ),69327,(+/- 6751 ),109283,(+/- 9580 ),103817,(+/- 7968 ),86202,(+/- 7422 ),90827,(+/- 9316 ),80739,(+/- 6962 ),99216,(+/- 10709 ),99705,(+/- 8257 ),118242,(+/- 10412 ),131273,(+/- 8369 ),78213,(+/- 8797 ),73013,(+/- 6543 ),62772,(+/- 5017 ),72048,(+/- 6206 ),56791,(+/- 6336 ),82518,(+/- 7110 ),112004,(+/- 11154 ),59365,(+/- 5741 ),105832,(+/- 7948 ),86418,(+/- 7285 ),88019,(+/- 9980 ),88827,(+/- 7104 ),73786,(+/- 6737 ),54807,(+/- 5831 ),74465,(+/- 7443 ),48235,(+/- 5483 ),94411,(+/- 9189 ),104506,(+/- 7876 ),73022,(+/- 7888 ),53395,(+/- 6221 ),109346,(+/- 9080 ),84364,(+/- 8077 ),76474,(+/- 7390 ),84589,(+/- 6844 ),105074,(+/- 10299 ),110319,(+/- 10643 ),76035,(+/- 6910 ),123950,(+/- 9453 ),109761,(+/- 8396 )
People,Residence 1 Year Ago,Same county,64020,(+/- 5555 ),55780,(+/- 6570 ),66352,(+/- 6891 ),50660,(+/- 6613 ),53332,(+/- 6744 ),78339,(+/- 7164 ),65850,(+/- 7138 ),77069,(+/- 8643 ),75209,(+/- 10647 ),63080,(+/- 7983 ),49920,(+/- 6115 ),49209,(+/- 5335 ),52111,(+/- 5498 ),36777,(+/- 5270 ),38589,(+/- 5290 ),84252,(+/- 8657 ),64668,(+/- 6755 ),45888,(+/- 5569 ),67746,(+/- 7985 ),42674,(+/- 5409 ),68610,(+/- 9797 ),80854,(+/- 8249 ),91331,(+/- 9915 ),84593,(+/- 7278 ),61931,(+/- 8012 ),47364,(+/- 5296 ),46770,(+/- 4500 ),53340,(+/- 5426 ),48757,(+/- 5962 ),61327,(+/- 5956 ),70169,(+/- 8321 ),48862,(+/- 5811 ),71129,(+/- 5966 ),69790,(+/- 7200 ),49165,(+/- 7772 ),57358,(+/- 6798 ),55469,(+/- 6327 ),39415,(+/- 5231 ),46336,(+/- 5639 ),43786,(+/- 5382 ),59706,(+/- 7042 ),60409,(+/- 6914 ),61989,(+/- 7361 ),47383,(+/- 6062 ),73584,(+/- 8657 ),64682,(+/- 7967 ),54637,(+/- 6839 ),59522,(+/- 5413 ),69068,(+/- 9572 ),86561,(+/- 9456 ),65451,(+/- 6991 ),86827,(+/- 8032 ),85253,(+/- 7591 )
People,Residence 1 Year Ago,Different county,44452,(+/- 5089 ),39706,(+/- 4419 ),56260,(+/- 6473 ),60056,(+/- 6156 ),38123,(+/- 5291 ),43489,(+/- 5047 ),33736,(+/- 5269 ),39425,(+/- 6625 ),35918,(+/- 5558 ),32712,(+/- 5573 ),44940,(+/- 4961 ),41385,(+/- 3598 ),51279,(+/- 4958 ),41830,(+/- 5433 ),30738,(+/- 4006 ),25031,(+/- 3850 ),39149,(+/- 4047 ),40314,(+/- 4286 ),23081,(+/- 3487 ),38065,(+/- 4251 ),30606,(+/- 3999 ),18851,(+/- 3117 ),26911,(+/- 4510 ),46680,(+/- 4218 ),16282,(+/- 3481 ),25649,(+/- 3518 ),16002,(+/- 2834 ),18708,(+/- 2770 ),8034,(+/- 2160 ),21191,(+/- 4129 ),41835,(+/- 7154 ),10503,(+/- 2258 ),34703,(+/- 5166 ),16628,(+/- 2230 ),38854,(+/- 4587 ),31469,(+/- 3767 ),18317,(+/- 2923 ),15392,(+/- 2982 ),28129,(+/- 4304 ),4449,(+/- 1370 ),34705,(+/- 4810 ),44097,(+/- 5832 ),11033,(+/- 2203 ),6012,(+/- 1722 ),35762,(+/- 4928 ),19682,(+/- 3498 ),21837,(+/- 2983 ),25067,(+/- 3720 ),36006,(+/- 5963 ),23758,(+/- 4894 ),10584,(+/- 2338 ),37123,(+/- 4827 ),24508,(+/- 3507 )
People,Residence 1 Year Ago,Same state,35814,(+/- 5002 ),28524,(+/- 4050 ),44371,(+/- 5701 ),47828,(+/- 5251 ),28329,(+/- 4258 ),29741,(+/- 3581 ),23565,(+/- 4328 ),25692,(+/- 5548 ),30539,(+/- 5454 ),27033,(+/- 5225 ),35018,(+/- 4876 ),22881,(+/- 2852 ),35875,(+/- 4301 ),31466,(+/- 4755 ),22352,(+/- 3571 ),21138,(+/- 3615 ),21560,(+/- 2869 ),21585,(+/- 2996 ),16473,(+/- 2794 ),25225,(+/- 3630 ),25008,(+/- 3453 ),14621,(+/- 2847 ),18234,(+/- 3747 ),34601,(+/- 3212 ),8630,(+/- 2317 ),17848,(+/- 3024 ),10025,(+/- 2241 ),7168,(+/- 1840 ),3992,(+/- 1415 ),10269,(+/- 3085 ),34063,(+/- 7267 ),7113,(+/- 1711 ),14280,(+/- 2378 ),8074,(+/- 1524 ),34645,(+/- 4160 ),19667,(+/- 3142 ),8046,(+/- 1551 ),11493,(+/- 2152 ),23771,(+/- 3908 ),2383,(+/- 939 ),27655,(+/- 4122 ),36097,(+/- 5539 ),6039,(+/- 1572 ),2946,(+/- 1133 ),23722,(+/- 3702 ),13424,(+/- 2945 ),14501,(+/- 2341 ),16179,(+/- 2838 ),12875,(+/- 4093 ),11580,(+/- 2604 ),5924,(+/- 1732 ),14786,(+/- 2829 ),9630,(+/- 1934 )
People,Residence 1 Year Ago,Different state,8638,(+/- 1890 ),11182,(+/- 2429 ),11889,(+/- 2862 ),12228,(+/- 3022 ),9794,(+/- 2377 ),13748,(+/- 3553 ),10171,(+/- 2576 ),13733,(+/- 3497 ),5379,(+/- 1685 ),5679,(+/- 2243 ),9922,(+/- 2536 ),18504,(+/- 2711 ),15404,(+/- 2344 ),10364,(+/- 2183 ),8386,(+/- 2452 ),3893,(+/- 1251 ),17589,(+/- 3075 ),18729,(+/- 3437 ),6608,(+/- 2373 ),12840,(+/- 2455 ),5598,(+/- 2317 ),4230,(+/- 1523 ),8677,(+/- 2634 ),12079,(+/- 3309 ),7652,(+/- 2881 ),7801,(+/- 2160 ),5977,(+/- 1516 ),11540,(+/- 2086 ),4042,(+/- 1510 ),10922,(+/- 2771 ),7772,(+/- 2718 ),3390,(+/- 1235 ),20423,(+/- 4170 ),8554,(+/- 1833 ),4209,(+/- 1862 ),11802,(+/- 2745 ),10271,(+/- 2274 ),3899,(+/- 1699 ),4358,(+/- 1308 ),2066,(+/- 1128 ),7050,(+/- 2164 ),8000,(+/- 2091 ),4994,(+/- 1492 ),3066,(+/- 1200 ),12040,(+/- 3454 ),6258,(+/- 1929 ),7336,(+/- 2460 ),8888,(+/- 2306 ),23131,(+/- 4427 ),12178,(+/- 3905 ),4660,(+/- 1503 ),22337,(+/- 3481 ),14878,(+/- 2832 )
People,Residence 1 Year Ago,Abroad,1993,(+/- 667 ),4170,(+/- 1363 ),8682,(+/- 2061 ),2009,(+/- 822 ),4054,(+/- 1485 ),4853,(+/- 1394 ),4228,(+/- 1338 ),5288,(+/- 2571 ),3744,(+/- 1716 ),4205,(+/- 2389 ),6769,(+/- 2132 ),11256,(+/- 2111 ),11925,(+/- 2963 ),9317,(+/- 2164 ),10826,(+/- 2884 ),2333,(+/- 881 ),26424,(+/- 4623 ),11680,(+/- 2329 ),6433,(+/- 1546 ),6247,(+/- 2329 ),3463,(+/- 1291 ),3374,(+/- 1626 ),5276,(+/- 2966 ),7790,(+/- 2770 ),3146,(+/- 1082 ),4416,(+/- 1917 ),9981,(+/- 2589 ),10150,(+/- 2768 ),3338,(+/- 880 ),4535,(+/- 1811 ),3371,(+/- 1319 ),5068,(+/- 1495 ),8843,(+/- 2086 ),5101,(+/- 1764 ),3592,(+/- 1447 ),2534,(+/- 875 ),7388,(+/- 2030 ),3379,(+/- 1137 ),7273,(+/- 2477 ),2727,(+/- 1015 ),4227,(+/- 1398 ),1919,(+/- 949 ),6711,(+/- 2484 ),2582,(+/- 1014 ),12081,(+/- 3341 ),4753,(+/- 1951 ),5364,(+/- 1711 ),5221,(+/- 1446 ),6705,(+/- 2029 ),6381,(+/- 2831 ),8031,(+/- 2329 ),10713,(+/- 2213 ),10745,(+/- 3768 )
Workers,Employment Status,Population 16 years and over,580764,(+/- 4294 ),589166,(+/- 5170 ),584581,(+/- 5278 ),598067,(+/- 5460 ),602111,(+/- 7167 ),598990,(+/- 7361 ),583555,(+/- 7493 ),548242,(+/- 7610 ),578874,(+/- 6534 ),566160,(+/- 5143 ),604138,(+/- 5926 ),666034,(+/- 7057 ),627357,(+/- 5918 ),614458,(+/- 7943 ),610275,(+/- 7185 ),531498,(+/- 8343 ),624000,(+/- 10170 ),596203,(+/- 10763 ),599368,(+/- 10449 ),581468,(+/- 4827 ),520912,(+/- 11730 ),565311,(+/- 9369 ),549923,(+/- 11470 ),601929,(+/- 2171 ),564436,(+/- 8762 ),573846,(+/- 3944 ),603085,(+/- 10881 ),613973,(+/- 12372 ),575224,(+/- 14621 ),627706,(+/- 16612 ),566305,(+/- 10041 ),578407,(+/- 10458 ),603966,(+/- 11327 ),613756,(+/- 15267 ),571637,(+/- 10083 ),595530,(+/- 8591 ),604906,(+/- 15408 ),564108,(+/- 11637 ),592882,(+/- 8326 ),539308,(+/- 13319 ),576022,(+/- 7759 ),610414,(+/- 9233 ),573235,(+/- 13901 ),544045,(+/- 11810 ),629996,(+/- 7081 ),565640,(+/- 8376 ),573470,(+/- 10843 ),601442,(+/- 7543 ),583202,(+/- 8988 ),590497,(+/- 10773 ),582143,(+/- 12884 ),619517,(+/- 12302 ),629448,(+/- 15864 )
Workers,Employment Status,In labor force,298937,(+/- 4618 ),362409,(+/- 6489 ),346755,(+/- 7737 ),338943,(+/- 7247 ),394825,(+/- 7789 ),370423,(+/- 6642 ),363402,(+/- 7254 ),306103,(+/- 8896 ),350095,(+/- 7055 ),350604,(+/- 6580 ),385763,(+/- 6645 ),471935,(+/- 7754 ),418376,(+/- 5748 ),425523,(+/- 7765 ),407018,(+/- 6850 ),308230,(+/- 6992 ),420911,(+/- 8743 ),386586,(+/- 9133 ),408869,(+/- 8644 ),364486,(+/- 6221 ),294888,(+/- 9748 ),347128,(+/- 9781 ),317532,(+/- 9708 ),379732,(+/- 5852 ),351105,(+/- 8209 ),372207,(+/- 5862 ),369547,(+/- 9665 ),418589,(+/- 10831 ),377123,(+/- 11041 ),421347,(+/- 13296 ),349760,(+/- 10753 ),368664,(+/- 9818 ),393681,(+/- 11182 ),402003,(+/- 11796 ),365494,(+/- 9072 ),314050,(+/- 7278 ),393398,(+/- 12159 ),343580,(+/- 9838 ),377271,(+/- 6651 ),344158,(+/- 9925 ),359084,(+/- 7390 ),379903,(+/- 8707 ),369796,(+/- 12320 ),345124,(+/- 9386 ),413296,(+/- 7521 ),380643,(+/- 7764 ),370886,(+/- 8983 ),390905,(+/- 7245 ),385375,(+/- 8914 ),380394,(+/- 9980 ),351723,(+/- 11208 ),410676,(+/- 9951 ),425134,(+/- 12120 )
Workers,Employment Status,Civilian labor force,298622,(+/- 4619 ),361084,(+/- 6417 ),340397,(+/- 7787 ),337515,(+/- 7240 ),394127,(+/- 7795 ),370024,(+/- 6650 ),363019,(+/- 7244 ),296223,(+/- 8803 ),349565,(+/- 7068 ),350240,(+/- 6641 ),385292,(+/- 6654 ),471797,(+/- 7776 ),417180,(+/- 5773 ),425359,(+/- 7751 ),406651,(+/- 6832 ),307886,(+/- 6973 ),420696,(+/- 8794 ),386348,(+/- 9115 ),408869,(+/- 8644 ),358622,(+/- 6338 ),290123,(+/- 9567 ),346063,(+/- 9768 ),316145,(+/- 9625 ),376162,(+/- 6305 ),350747,(+/- 8197 ),368896,(+/- 5931 ),369435,(+/- 9673 ),418270,(+/- 10849 ),377007,(+/- 11035 ),420992,(+/- 13280 ),349533,(+/- 10758 ),368518,(+/- 9835 ),393125,(+/- 11187 ),401900,(+/- 11807 ),365307,(+/- 9036 ),313511,(+/- 7311 ),393398,(+/- 12159 ),343080,(+/- 9928 ),376907,(+/- 6606 ),343929,(+/- 9921 ),358392,(+/- 7423 ),378356,(+/- 8718 ),369746,(+/- 12321 ),344745,(+/- 9407 ),413296,(+/- 7521 ),380589,(+/- 7757 ),370657,(+/- 8979 ),390554,(+/- 7242 ),359773,(+/- 8553 ),376402,(+/- 9949 ),337739,(+/- 10423 ),391720,(+/- 10027 ),416056,(+/- 12181 )
Workers,Employment Status,Employed,276541,(+/- 5373 ),339652,(+/- 6183 ),318838,(+/- 7567 ),319276,(+/- 7397 ),369609,(+/- 7530 ),341766,(+/- 6832 ),342321,(+/- 7142 ),268075,(+/- 8663 ),319957,(+/- 7253 ),317890,(+/- 6670 ),361737,(+/- 6952 ),451411,(+/- 7512 ),395526,(+/- 5803 ),409163,(+/- 7546 ),390440,(+/- 7097 ),269384,(+/- 7304 ),402653,(+/- 8685 ),372806,(+/- 9265 ),386082,(+/- 8041 ),339446,(+/- 6382 ),257410,(+/- 8466 ),318193,(+/- 9806 ),285049,(+/- 9494 ),356882,(+/- 6843 ),328318,(+/- 7794 ),350067,(+/- 5958 ),351584,(+/- 9489 ),387813,(+/- 10229 ),351753,(+/- 10435 ),393313,(+/- 12480 ),319969,(+/- 9571 ),345826,(+/- 9381 ),372187,(+/- 10855 ),375471,(+/- 11204 ),334328,(+/- 8747 ),284429,(+/- 7712 ),368277,(+/- 12189 ),322034,(+/- 9434 ),356657,(+/- 6318 ),316673,(+/- 9289 ),327314,(+/- 7368 ),351730,(+/- 8400 ),344851,(+/- 12003 ),316332,(+/- 9260 ),392853,(+/- 7430 ),359782,(+/- 7726 ),348747,(+/- 8524 ),373302,(+/- 6955 ),344722,(+/- 8538 ),352978,(+/- 10304 ),300511,(+/- 8819 ),372893,(+/- 9850 ),388437,(+/- 12365 )
