Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",28326,(+/- 3353 ),25853,(+/- 3498 )
Workers,Industry,"Other services, except public administration",11165,(+/- 1733 ),12947,(+/- 2394 )
Workers,Industry,Public administration,8962,(+/- 1882 ),10869,(+/- 1918 )
Workers,Class of Worker,Civilian employed population 16 years and over,259160,(+/- 6995 ),262719,(+/- 5864 )
Workers,Class of Worker,Private wage and salary workers,218169,(+/- 6621 ),212079,(+/- 6055 )
Workers,Class of Worker,Government workers,27176,(+/- 3225 ),36006,(+/- 3502 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,13612,(+/- 1779 ),14417,(+/- 1935 )
Workers,Class of Worker,Unpaid family workers,203,(+/- 176 ),217,(+/- 182 )
Housing,Housing Occupancy,Total housing units,230632,(+/- 3485 ),231966,(+/- 3489 )
Housing,Housing Occupancy,Occupied housing units,205952,(+/- 4191 ),202287,(+/- 3883 )
Housing,Housing Occupancy,Vacant housing units,24680,(+/- 3104 ),29679,(+/- 2966 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.7,(+/- 0.8 ),1.9,(+/- 0.9 )
Housing,Housing Occupancy,Rental vacancy rate,4.9,(+/- 1.2 ),4.1,(+/- 1.1 )
Housing,Housing Tenure,Occupied housing units,205952,(+/- 4191 ),202287,(+/- 3883 )
Housing,Housing Tenure,Owner-occupied,107304,(+/- 3812 ),129578,(+/- 3617 )
Housing,Housing Tenure,Renter-occupied,98648,(+/- 4616 ),72709,(+/- 3913 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.70,(+/- 0.05 ),2.62,(+/- 0.06 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.27,(+/- 0.08 ),2.19,(+/- 0.10 )
Housing,Year Householder Moved into Unit,Occupied housing units,205952,(+/- 4191 ),202287,(+/- 3883 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,38842,(+/- 3170 ),30699,(+/- 2923 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,59294,(+/- 3721 ),56166,(+/- 3578 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,51114,(+/- 3074 ),50504,(+/- 2634 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,24762,(+/- 2306 ),27230,(+/- 2225 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,14333,(+/- 1421 ),17741,(+/- 1811 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,17607,(+/- 1783 ),19947,(+/- 1700 )
Housing,Value,Owner-occupied units,107304,(+/- 3812 ),129578,(+/- 3617 )
Housing,Value,"Less than $50,000",2431,(+/- 708 ),3725,(+/- 880 )
Housing,Value,"$50,000 to $99,999",2385,(+/- 687 ),3120,(+/- 1116 )
Housing,Value,"$100,000 to $149,999",8365,(+/- 1176 ),11726,(+/- 1521 )
Housing,Value,"$150,000 to $199,999",20390,(+/- 1881 ),26541,(+/- 2644 )
Housing,Value,"$200,000 to $299,999",32226,(+/- 2547 ),41266,(+/- 2450 )
Housing,Value,"$300,000 to $499,999",27399,(+/- 2231 ),32536,(+/- 1881 )
Housing,Value,"$500,000 to $999,999",11895,(+/- 1287 ),9254,(+/- 1150 )
Housing,Value,"$1,000,000 or more",2213,(+/- 530 ),1410,(+/- 450 )
Housing,Value,Median (dollars),255400,(+/- 7973 ),242600,(+/- 5038 )
Housing,Mortgage Status,Owner-occupied units,107304,(+/- 3812 ),129578,(+/- 3617 )
Housing,Mortgage Status,Housing units with a mortgage,70961,(+/- 3649 ),88345,(+/- 3529 )
Housing,Mortgage Status,Housing units without a mortgage,36343,(+/- 2666 ),41233,(+/- 2546 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,70961,(+/- 3649 ),88345,(+/- 3529 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,203,(+/- 217 ),302,(+/- 249 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,5291,(+/- 1005 ),6804,(+/- 1370 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",17080,(+/- 2198 ),25186,(+/- 2679 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",21968,(+/- 2169 ),27864,(+/- 2675 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",14313,(+/- 1874 ),14481,(+/- 1650 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",5402,(+/- 1016 ),6981,(+/- 1141 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",6704,(+/- 1173 ),6727,(+/- 977 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1786,(+/- 53 ),1706,(+/- 40 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,36343,(+/- 2666 ),41233,(+/- 2546 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,337,(+/- 238 ),287,(+/- 265 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,1842,(+/- 585 ),2830,(+/- 573 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,9295,(+/- 1186 ),12551,(+/- 1579 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,12042,(+/- 1681 ),13021,(+/- 1712 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,6799,(+/- 969 ),6310,(+/- 1380 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",6028,(+/- 998 ),6234,(+/- 1138 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),711,(+/- 21 ),668,(+/- 17 )
Housing,Gross Rent,Occupied units paying rent,96488,(+/- 4608 ),69365,(+/- 3804 )
Housing,Gross Rent,Less than $500,17238,(+/- 2108 ),9820,(+/- 1448 )
Housing,Gross Rent,$500 to $999,39021,(+/- 2817 ),26471,(+/- 2958 )
Housing,Gross Rent,"$1,000 to $1,499",28692,(+/- 2511 ),23912,(+/- 2646 )
Housing,Gross Rent,"$1,500 to $1,999",8479,(+/- 1706 ),6169,(+/- 1368 )
Housing,Gross Rent,"$2,000 to $2,499",2139,(+/- 643 ),2075,(+/- 879 )
Housing,Gross Rent,"$2,500 to $2,999",682,(+/- 327 ),284,(+/- 180 )
Housing,Gross Rent,"$3,000 or more",237,(+/- 215 ),634,(+/- 433 )
Housing,Gross Rent,Median (dollars),918,(+/- 26 ),982,(+/- 27 )
Housing,Gross Rent,No rent paid,2160,(+/- 712 ),3344,(+/- 927 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,205952,(+/- 4191 ),202287,(+/- 3883 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",16505,(+/- 2462 ),13108,(+/- 1861 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",14235,(+/- 1924 ),9824,(+/- 1760 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",18385,(+/- 2041 ),18108,(+/- 1904 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",18000,(+/- 1877 ),18271,(+/- 2361 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",26352,(+/- 2606 ),23842,(+/- 2683 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",33481,(+/- 2714 ),33136,(+/- 2446 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",24945,(+/- 2734 ),25149,(+/- 2184 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",28962,(+/- 2887 ),37890,(+/- 2609 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",13373,(+/- 1767 ),12540,(+/- 1772 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",11714,(+/- 1436 ),10419,(+/- 1425 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),56547,(+/- 2574 ),63976,(+/- 2518 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),79458,(+/- 3029 ),83003,(+/- 3227 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,527744,(+/- 7540 ),512515,(+/- 7507 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,502650,(+/- 7104 ),492643,(+/- 7918 )
Socioeconomic,Health Insurance Coverage,With private health insurance,364518,(+/- 7775 ),381109,(+/- 9222 )
Socioeconomic,Health Insurance Coverage,With public coverage,205646,(+/- 8630 ),183038,(+/- 8512 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,25094,(+/- 3694 ),19872,(+/- 3436 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,111491,(+/- 3420 ),96777,(+/- 3307 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,2606,(+/- 857 ),1393,(+/- 831 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,10.3,(+/- 1.5 ),8.1,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,17.0,(+/- 2.5 ),13.9,(+/- 2.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,16.8,(+/- 7.4 ),15.4,(+/- 7.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,4.3,(+/- 1.2 ),3.9,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,7.5,(+/- 2.4 ),5.2,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,12.6,(+/- 8.8 ),1.9,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",26.8,(+/- 4.3 ),21.1,(+/- 4.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,36.7,(+/- 6.7 ),29.6,(+/- 5.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,29.7,(+/- 16.2 ),36.0,(+/- 16.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,13.8,(+/- 1.3 ),11.8,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,17.8,(+/- 2.8 ),16.1,(+/- 3.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,17.4,(+/- 2.9 ),15.1,(+/- 2.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,22.0,(+/- 6.5 ),14.2,(+/- 5.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,15.7,(+/- 2.6 ),15.4,(+/- 3.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,12.6,(+/- 1.1 ),10.8,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,9.4,(+/- 1.8 ),8.9,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,10.8,(+/- 1.5 ),8.5,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,24.3,(+/- 2.6 ),23.1,(+/- 2.7 )
Education,School Enrollment,Population 3 years and over enrolled in school,138752,(+/- 5455 ),126016,(+/- 5616 )
Education,School Enrollment,"Nursery school, preschool",7347,(+/- 1697 ),7967,(+/- 1446 )
Education,School Enrollment,Kindergarten,6164,(+/- 1330 ),3125,(+/- 1001 )
Education,School Enrollment,Elementary school (grades 1-8),48018,(+/- 2946 ),43869,(+/- 3127 )
Education,School Enrollment,High school (grades 9-12),28695,(+/- 2485 ),23874,(+/- 2140 )
Education,School Enrollment,College or graduate school,48528,(+/- 3669 ),47181,(+/- 3409 )
Education,Educational Attainment,Population 25 years and over,369960,(+/- 5552 ),364085,(+/- 5453 )
Education,Educational Attainment,Less than 9th grade,24954,(+/- 2735 ),13451,(+/- 2470 )
Education,Educational Attainment,"9th to 12th grade, no diploma",25093,(+/- 2347 ),20685,(+/- 3409 )
Education,Educational Attainment,High school graduate (includes equivalency),97936,(+/- 4875 ),106109,(+/- 5381 )
Education,Educational Attainment,"Some college, no degree",66110,(+/- 3762 ),69259,(+/- 4945 )
Education,Educational Attainment,Associate's degree,29338,(+/- 2736 ),30845,(+/- 2894 )
Education,Educational Attainment,Bachelor's degree,76918,(+/- 4047 ),74277,(+/- 4378 )
Education,Educational Attainment,Graduate or professional degree,49611,(+/- 3424 ),49459,(+/- 4013 )
Education,Educational Attainment,Percent high school graduate or higher,86.5,(+/- 0.9 ),90.6,(+/- 1.1 )
Education,Educational Attainment,Percent bachelor's degree or higher,34.2,(+/- 1.2 ),34.0,(+/- 1.5 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,201213,G,219642,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",30,H,108,J
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",67,H,97,J
Business,Paid employees for pay period including March 12,Utilities,f,D,303,G
Business,Paid employees for pay period including March 12,Construction,8312,G,8121,G
Business,Paid employees for pay period including March 12,Manufacturing,18982,G,20176,G
Business,Paid employees for pay period including March 12,Wholesale trade,10227,G,10366,G
Business,Paid employees for pay period including March 12,Retail trade,19287,G,30544,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,4558,G,5966,G
Business,Paid employees for pay period including March 12,Information,2519,H,4097,H
Business,Paid employees for pay period including March 12,Finance and insurance,11219,G,13997,H
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,2607,G,2773,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",10383,G,11275,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,6922,J,4538,H
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,10381,G,11302,G
Business,Paid employees for pay period including March 12,Educational services,19548,H,10106,H
Business,Paid employees for pay period including March 12,Health care and social assistance,39772,G,46669,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",5890,G,4725,G
Business,Paid employees for pay period including March 12,Accommodation and food services,21357,G,25748,G
Business,Paid employees for pay period including March 12,Other services (except public administration),8363,G,8695,G
Business,Paid employees for pay period including March 12,Industries not classified,36,H,36,J
Business,"Annual payroll ($1,000)",Total for all sectors,9067082,G,10375533,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",1543,H,5227,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",4451,G,7107,H
Business,"Annual payroll ($1,000)",Utilities,D,D,29989,G
Business,"Annual payroll ($1,000)",Construction,511756,G,533388,G
Business,"Annual payroll ($1,000)",Manufacturing,991883,G,1219510,G
Business,"Annual payroll ($1,000)",Wholesale trade,756767,G,709782,G
Business,"Annual payroll ($1,000)",Retail trade,523862,G,873300,G
