Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE
People,Race,Some other race,1614,(+/- 883 ),3233,(+/- 1154 ),2647,(+/- 1141 )
People,Race,Two or more races,9092,(+/- 1822 ),12108,(+/- 2105 ),10104,(+/- 2069 )
People,Hispanic or Latino and Race,Total population,617131,(+/- 4104 ),622850,(+/- 3835 ),591121,(+/- 1378 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),9120,(+/- 1770 ),11974,(+/- 618 ),5689,(+/- 1171 )
People,Hispanic or Latino and Race,Mexican,3338,(+/- 1007 ),5802,(+/- 1211 ),3056,(+/- 1117 )
People,Hispanic or Latino and Race,Puerto Rican,2777,(+/- 1786 ),1618,(+/- 897 ),1667,(+/- 904 )
People,Hispanic or Latino and Race,Cuban,629,(+/- 475 ),549,(+/- 533 ),78,(+/- 130 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,2376,(+/- 701 ),4005,(+/- 1205 ),888,(+/- 447 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,608011,(+/- 4462 ),610876,(+/- 3763 ),585432,(+/- 1741 )
People,Place of Birth,Total population,617131,(+/- 4104 ),622850,(+/- 3835 ),591121,(+/- 1378 )
People,Place of Birth,Native,605116,(+/- 4566 ),608784,(+/- 4121 ),585432,(+/- 1902 )
People,Place of Birth,Born in United States,601062,(+/- 4806 ),605250,(+/- 4089 ),583318,(+/- 2123 )
People,Place of Birth,State of residence,416126,(+/- 7026 ),390721,(+/- 7446 ),454466,(+/- 6209 )
People,Place of Birth,Different state,184936,(+/- 7052 ),214529,(+/- 6116 ),128852,(+/- 6175 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4054,(+/- 1371 ),3534,(+/- 1085 ),2114,(+/- 780 )
People,Place of Birth,Foreign born,12015,(+/- 1919 ),14066,(+/- 1964 ),5689,(+/- 1191 )
People,Ancestry,Total population,617131,(+/- 4104 ),622850,(+/- 3835 ),591121,(+/- 1378 )
People,Ancestry,American,60534,(+/- 4610 ),77109,(+/- 7333 ),66505,(+/- 5735 )
People,Ancestry,Arab,1582,(+/- 983 ),1985,(+/- 718 ),719,(+/- 364 )
People,Ancestry,Czech,2367,(+/- 1056 ),930,(+/- 633 ),352,(+/- 257 )
People,Ancestry,Danish,256,(+/- 188 ),705,(+/- 631 ),105,(+/- 154 )
People,Ancestry,Dutch,11182,(+/- 1973 ),10555,(+/- 1929 ),9395,(+/- 1940 )
People,Ancestry,English,61432,(+/- 4202 ),64673,(+/- 5987 ),55812,(+/- 5511 )
People,Ancestry,French (except Basque),8029,(+/- 1945 ),10232,(+/- 2233 ),7078,(+/- 1818 )
People,Ancestry,French Canadian,1197,(+/- 425 ),977,(+/- 483 ),512,(+/- 294 )
People,Ancestry,German,127495,(+/- 6370 ),116585,(+/- 7725 ),70795,(+/- 5897 )
People,Ancestry,Greek,2402,(+/- 1105 ),1121,(+/- 438 ),1613,(+/- 715 )
People,Ancestry,Hungarian,3337,(+/- 1053 ),3028,(+/- 1399 ),3823,(+/- 1719 )
People,Ancestry,Irish,98503,(+/- 5916 ),78902,(+/- 5562 ),72712,(+/- 5138 )
People,Ancestry,Italian,43031,(+/- 4247 ),25472,(+/- 3806 ),15309,(+/- 2732 )
People,Ancestry,Lithuanian,310,(+/- 204 ),551,(+/- 366 ),154,(+/- 234 )
People,Ancestry,Norwegian,1957,(+/- 791 ),2417,(+/- 1135 ),1176,(+/- 697 )
People,Ancestry,Polish,16975,(+/- 2411 ),9185,(+/- 2409 ),6957,(+/- 1857 )
People,Ancestry,Portuguese,437,(+/- 415 ),145,(+/- 151 ),197,(+/- 226 )
People,Ancestry,Russian,2425,(+/- 860 ),1829,(+/- 666 ),1100,(+/- 641 )
People,Ancestry,Scotch-Irish,10712,(+/- 1920 ),12105,(+/- 2296 ),11267,(+/- 1933 )
People,Ancestry,Scottish,14546,(+/- 2263 ),14907,(+/- 2699 ),9569,(+/- 2290 )
People,Ancestry,Slovak,4031,(+/- 1388 ),628,(+/- 289 ),436,(+/- 439 )
People,Ancestry,Subsaharan African,2422,(+/- 951 ),4656,(+/- 2236 ),1256,(+/- 637 )
People,Ancestry,Swedish,1817,(+/- 673 ),2823,(+/- 1183 ),1566,(+/- 790 )
People,Ancestry,Swiss,850,(+/- 375 ),1993,(+/- 794 ),357,(+/- 311 )
People,Ancestry,Ukrainian,605,(+/- 272 ),438,(+/- 255 ),279,(+/- 270 )
People,Ancestry,Welsh,4739,(+/- 1149 ),6551,(+/- 2770 ),2932,(+/- 1269 )
People,Ancestry,West Indian (excluding Hispanic origin groups),413,(+/- 371 ),1443,(+/- 1134 ),213,(+/- 209 )
People,Veteran Status,Civilian population 18 years and over,496482,(+/- 3235 ),488033,(+/- 3437 ),468872,(+/- 2104 )
People,Veteran Status,Civilian veterans,45527,(+/- 2532 ),47719,(+/- 2798 ),44693,(+/- 2626 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,605651,(+/- 4296 ),616219,(+/- 4217 ),580702,(+/- 2152 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,109247,(+/- 4778 ),109925,(+/- 4986 ),142356,(+/- 5189 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,120035,(+/- 2224 ),134114,(+/- 2149 ),121641,(+/- 1901 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9326,(+/- 1586 ),6363,(+/- 1369 ),7218,(+/- 1416 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,374240,(+/- 2981 ),372224,(+/- 3550 ),344980,(+/- 2328 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,56529,(+/- 3983 ),59133,(+/- 4008 ),79007,(+/- 4239 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,111376,(+/- 2271 ),109881,(+/- 2362 ),114081,(+/- 1712 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,43392,(+/- 2579 ),44429,(+/- 2615 ),56131,(+/- 2569 )
People,Residence 1 Year Ago,Population 1 year and over,610710,(+/- 4186 ),616164,(+/- 4213 ),583835,(+/- 1939 )
People,Residence 1 Year Ago,Same house,529778,(+/- 6683 ),538785,(+/- 7830 ),514255,(+/- 6374 )
People,Residence 1 Year Ago,Different house in the U.S.,78727,(+/- 5936 ),76108,(+/- 6654 ),69314,(+/- 6121 )
People,Residence 1 Year Ago,Same county,42932,(+/- 4783 ),42119,(+/- 4252 ),42136,(+/- 5279 )
People,Residence 1 Year Ago,Different county,35795,(+/- 3609 ),33989,(+/- 4665 ),27178,(+/- 3697 )
People,Residence 1 Year Ago,Same state,18105,(+/- 2327 ),17215,(+/- 2998 ),14446,(+/- 2617 )
People,Residence 1 Year Ago,Different state,17690,(+/- 2662 ),16774,(+/- 4110 ),12732,(+/- 2702 )
People,Residence 1 Year Ago,Abroad,2205,(+/- 879 ),1271,(+/- 539 ),266,(+/- 191 )
Workers,Employment Status,Population 16 years and over,512135,(+/- 3322 ),503066,(+/- 3695 ),483899,(+/- 2223 )
Workers,Employment Status,In labor force,285409,(+/- 5074 ),285105,(+/- 4569 ),231622,(+/- 5395 )
Workers,Employment Status,Civilian labor force,285235,(+/- 5055 ),284698,(+/- 4571 ),231371,(+/- 5385 )
Workers,Employment Status,Employed,265914,(+/- 5166 ),265124,(+/- 4902 ),209475,(+/- 5038 )
Workers,Employment Status,Unemployed,19321,(+/- 2448 ),19574,(+/- 2150 ),21896,(+/- 2602 )
Workers,Employment Status,Armed Forces,174,(+/- 157 ),407,(+/- 262 ),251,(+/- 266 )
Workers,Employment Status,Not in labor force,226726,(+/- 5650 ),217961,(+/- 5057 ),252277,(+/- 5198 )
Workers,Employment Status,Civilian labor force,285235,(+/- 5055 ),284698,(+/- 4571 ),231371,(+/- 5385 )
Workers,Employment Status,Unemployment Rate,6.8,(+/- 0.8 ),6.9,(+/- 0.8 ),9.5,(+/- 1.1 )
Workers,Commuting to Work,Workers 16 years and over,260815,(+/- 5396 ),261122,(+/- 5104 ),203813,(+/- 4981 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",211489,(+/- 5634 ),212121,(+/- 5519 ),168355,(+/- 5374 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",24085,(+/- 2355 ),25266,(+/- 3029 ),17749,(+/- 2446 )
Workers,Commuting to Work,Public transportation (excluding taxicab),3053,(+/- 856 ),3976,(+/- 1311 ),851,(+/- 411 )
Workers,Commuting to Work,Walked,10619,(+/- 1655 ),5948,(+/- 1356 ),6468,(+/- 1230 )
Workers,Commuting to Work,Other means,1856,(+/- 569 ),2531,(+/- 817 ),2472,(+/- 836 )
Workers,Commuting to Work,Worked at home,9713,(+/- 1832 ),11280,(+/- 1839 ),7918,(+/- 1673 )
Workers,Commuting to Work,Mean travel time to work (minutes),23.3,(+/- 0.7 ),27.2,(+/- 0.8 ),25.7,(+/- 0.9 )
Workers,Occupation,Civilian employed population 16 years and over,265914,(+/- 5166 ),265124,(+/- 4902 ),209475,(+/- 5038 )
Workers,Occupation,"Management, business, science, and arts occupations",93794,(+/- 4565 ),93623,(+/- 4069 ),63012,(+/- 4376 )
Workers,Occupation,Service occupations,54297,(+/- 3080 ),48055,(+/- 4140 ),44971,(+/- 3752 )
Workers,Occupation,Sales and office occupations,56363,(+/- 3543 ),63007,(+/- 3814 ),52101,(+/- 3693 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",26649,(+/- 2233 ),27528,(+/- 2864 ),23032,(+/- 2644 )
Workers,Occupation,"Production, transportation, and material moving occupations",34811,(+/- 2638 ),32911,(+/- 3221 ),26359,(+/- 2494 )
Workers,Industry,Civilian employed population 16 years and over,265914,(+/- 5166 ),265124,(+/- 4902 ),209475,(+/- 5038 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",10237,(+/- 1481 ),6356,(+/- 1078 ),11023,(+/- 1643 )
Workers,Industry,Construction,15135,(+/- 2026 ),20868,(+/- 2743 ),11399,(+/- 1859 )
Workers,Industry,Manufacturing,24548,(+/- 2185 ),23907,(+/- 2467 ),13557,(+/- 1837 )
Workers,Industry,Wholesale trade,5259,(+/- 1001 ),5339,(+/- 1292 ),3725,(+/- 1034 )
Workers,Industry,Retail trade,30011,(+/- 2639 ),28723,(+/- 2392 ),25427,(+/- 2677 )
Workers,Industry,"Transportation and warehousing, and utilities",13050,(+/- 1850 ),12100,(+/- 1827 ),12601,(+/- 1975 )
Workers,Industry,Information,2966,(+/- 766 ),6245,(+/- 1493 ),2354,(+/- 746 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",10165,(+/- 1566 ),14053,(+/- 2082 ),10049,(+/- 1974 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",19438,(+/- 2036 ),22130,(+/- 1832 ),14074,(+/- 1824 )
Workers,Industry,"Educational services, and health care and social assistance",77080,(+/- 4219 ),66636,(+/- 4138 ),64147,(+/- 3957 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",28347,(+/- 2737 ),21715,(+/- 2887 ),17895,(+/- 2250 )
Workers,Industry,"Other services, except public administration",11268,(+/- 1788 ),12498,(+/- 1687 ),11891,(+/- 1693 )
Workers,Industry,Public administration,18410,(+/- 1797 ),24554,(+/- 2641 ),11333,(+/- 1719 )
Workers,Class of Worker,Civilian employed population 16 years and over,265914,(+/- 5166 ),265124,(+/- 4902 ),209475,(+/- 5038 )
Workers,Class of Worker,Private wage and salary workers,204195,(+/- 5303 ),199616,(+/- 4919 ),159638,(+/- 5209 )
Workers,Class of Worker,Government workers,50123,(+/- 3664 ),52440,(+/- 3548 ),40257,(+/- 2916 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,11293,(+/- 1717 ),12631,(+/- 1869 ),9237,(+/- 1593 )
Workers,Class of Worker,Unpaid family workers,303,(+/- 245 ),437,(+/- 390 ),343,(+/- 283 )
Housing,Housing Occupancy,Total housing units,290927,(+/- 1903 ),297359,(+/- 2144 ),298424,(+/- 1454 )
Housing,Housing Occupancy,Occupied housing units,240041,(+/- 3727 ),245164,(+/- 4137 ),236920,(+/- 3557 )
Housing,Housing Occupancy,Vacant housing units,50886,(+/- 3463 ),52195,(+/- 3547 ),61504,(+/- 3706 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.9,(+/- 0.6 ),2.6,(+/- 0.7 ),1.8,(+/- 0.6 )
Housing,Housing Occupancy,Rental vacancy rate,9.2,(+/- 2.0 ),5.9,(+/- 1.9 ),8.6,(+/- 1.8 )
Housing,Housing Tenure,Occupied housing units,240041,(+/- 3727 ),245164,(+/- 4137 ),236920,(+/- 3557 )
Housing,Housing Tenure,Owner-occupied,172240,(+/- 3833 ),179276,(+/- 4290 ),171562,(+/- 3800 )
Housing,Housing Tenure,Renter-occupied,67801,(+/- 3706 ),65888,(+/- 3932 ),65358,(+/- 3782 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.53,(+/- 0.05 ),2.54,(+/- 0.05 ),2.46,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.35,(+/- 0.08 ),2.37,(+/- 0.10 ),2.35,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,240041,(+/- 3727 ),245164,(+/- 4137 ),236920,(+/- 3557 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,34008,(+/- 2649 ),34972,(+/- 2965 ),32120,(+/- 2532 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,55353,(+/- 2788 ),57430,(+/- 3455 ),49202,(+/- 3230 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,60459,(+/- 3228 ),74074,(+/- 3904 ),63253,(+/- 3332 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,34554,(+/- 2341 ),33693,(+/- 2904 ),37428,(+/- 2738 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,21507,(+/- 1867 ),18758,(+/- 1865 ),24172,(+/- 2154 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,34160,(+/- 2154 ),26237,(+/- 2167 ),30745,(+/- 2337 )
Housing,Value,Owner-occupied units,172240,(+/- 3833 ),179276,(+/- 4290 ),171562,(+/- 3800 )
Housing,Value,"Less than $50,000",26642,(+/- 2215 ),23864,(+/- 2236 ),37851,(+/- 2788 )
Housing,Value,"$50,000 to $99,999",44546,(+/- 2616 ),38299,(+/- 2645 ),51712,(+/- 3541 )
Housing,Value,"$100,000 to $149,999",31864,(+/- 2365 ),31712,(+/- 2695 ),31545,(+/- 2372 )
Housing,Value,"$150,000 to $199,999",28184,(+/- 2502 ),33518,(+/- 3003 ),25978,(+/- 2315 )
Housing,Value,"$200,000 to $299,999",23866,(+/- 1988 ),31947,(+/- 2597 ),15031,(+/- 2099 )
Housing,Value,"$300,000 to $499,999",12819,(+/- 1415 ),16041,(+/- 1739 ),5935,(+/- 1301 )
Housing,Value,"$500,000 to $999,999",3646,(+/- 776 ),3230,(+/- 855 ),2072,(+/- 662 )
Housing,Value,"$1,000,000 or more",673,(+/- 286 ),665,(+/- 300 ),1438,(+/- 592 )
Housing,Value,Median (dollars),119500,(+/- 3274 ),142600,(+/- 4912 ),94700,(+/- 4435 )
Housing,Mortgage Status,Owner-occupied units,172240,(+/- 3833 ),179276,(+/- 4290 ),171562,(+/- 3800 )
Housing,Mortgage Status,Housing units with a mortgage,83482,(+/- 3031 ),95848,(+/- 3957 ),71300,(+/- 3693 )
Housing,Mortgage Status,Housing units without a mortgage,88758,(+/- 2969 ),83428,(+/- 3813 ),100262,(+/- 3422 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,83482,(+/- 3031 ),95848,(+/- 3957 ),71300,(+/- 3693 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,6434,(+/- 1086 ),3291,(+/- 791 ),5337,(+/- 1239 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,39509,(+/- 2618 ),35130,(+/- 3050 ),36247,(+/- 3011 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",22828,(+/- 2044 ),33015,(+/- 2867 ),21676,(+/- 2346 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",8933,(+/- 1213 ),14138,(+/- 1806 ),5127,(+/- 984 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",2877,(+/- 640 ),5931,(+/- 1047 ),1363,(+/- 535 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",1582,(+/- 533 ),2052,(+/- 633 ),504,(+/- 233 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",1319,(+/- 465 ),2291,(+/- 770 ),1046,(+/- 540 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),945,(+/- 26 ),1119,(+/- 27 ),913,(+/- 31 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,88758,(+/- 2969 ),83428,(+/- 3813 ),100262,(+/- 3422 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,27919,(+/- 1864 ),26296,(+/- 2234 ),34816,(+/- 2546 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,37105,(+/- 1943 ),33967,(+/- 2686 ),40202,(+/- 2925 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,18830,(+/- 2023 ),18176,(+/- 2051 ),18297,(+/- 1707 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,3037,(+/- 666 ),3592,(+/- 831 ),5324,(+/- 1041 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,988,(+/- 407 ),973,(+/- 445 ),1029,(+/- 441 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",879,(+/- 408 ),424,(+/- 249 ),594,(+/- 391 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),310,(+/- 7 ),313,(+/- 9 ),301,(+/- 8 )
Housing,Gross Rent,Occupied units paying rent,59210,(+/- 3382 ),57755,(+/- 3626 ),52849,(+/- 3325 )
Housing,Gross Rent,Less than $500,15008,(+/- 1872 ),11814,(+/- 1714 ),15693,(+/- 1945 )
Housing,Gross Rent,$500 to $999,34346,(+/- 2806 ),34006,(+/- 2846 ),31846,(+/- 2864 )
Housing,Gross Rent,"$1,000 to $1,499",7693,(+/- 1408 ),9474,(+/- 1781 ),4412,(+/- 1214 )
Housing,Gross Rent,"$1,500 to $1,999",1794,(+/- 705 ),1916,(+/- 672 ),479,(+/- 448 )
Housing,Gross Rent,"$2,000 to $2,499",264,(+/- 205 ),497,(+/- 295 ),0,(+/- 193 )
Housing,Gross Rent,"$2,500 to $2,999",36,(+/- 60 ),48,(+/- 87 ),0,(+/- 193 )
Housing,Gross Rent,"$3,000 or more",69,(+/- 115 ),0,(+/- 193 ),419,(+/- 404 )
Housing,Gross Rent,Median (dollars),682,(+/- 24 ),731,(+/- 21 ),626,(+/- 21 )
Housing,Gross Rent,No rent paid,8591,(+/- 1363 ),8133,(+/- 1450 ),12509,(+/- 1668 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,240041,(+/- 3727 ),245164,(+/- 4137 ),236920,(+/- 3557 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",21292,(+/- 1902 ),20372,(+/- 2235 ),28582,(+/- 2635 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",13899,(+/- 1555 ),14871,(+/- 1729 ),18620,(+/- 2512 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",29145,(+/- 2249 ),28216,(+/- 2821 ),35777,(+/- 2899 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",29118,(+/- 2157 ),27199,(+/- 2371 ),29226,(+/- 2530 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",35270,(+/- 2802 ),34750,(+/- 2707 ),33507,(+/- 2903 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",42388,(+/- 3060 ),45055,(+/- 3485 ),39888,(+/- 2598 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",25778,(+/- 1910 ),30605,(+/- 2514 ),23648,(+/- 2161 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",28346,(+/- 2065 ),27535,(+/- 2621 ),19338,(+/- 2090 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",8114,(+/- 1197 ),8259,(+/- 1243 ),5099,(+/- 1318 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",6691,(+/- 1081 ),8302,(+/- 1344 ),3235,(+/- 731 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),45611,(+/- 1223 ),48358,(+/- 1898 ),37728,(+/- 1604 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),63509,(+/- 2322 ),65212,(+/- 2308 ),51553,(+/- 1840 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,605651,(+/- 4296 ),616219,(+/- 4217 ),580702,(+/- 2152 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,573993,(+/- 4526 ),580869,(+/- 5971 ),551828,(+/- 3699 )
Socioeconomic,Health Insurance Coverage,With private health insurance,402130,(+/- 7704 ),393774,(+/- 9614 ),327300,(+/- 9061 )
Socioeconomic,Health Insurance Coverage,With public coverage,270713,(+/- 7685 ),278191,(+/- 7726 ),322845,(+/- 7959 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,31658,(+/- 3175 ),35350,(+/- 4102 ),28874,(+/- 3286 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,120035,(+/- 2224 ),134114,(+/- 2149 ),121641,(+/- 1901 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,2772,(+/- 1208 ),2709,(+/- 1126 ),2302,(+/- 1097 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,11.1,(+/- 1.1 ),10.9,(+/- 1.2 ),16.7,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,20.4,(+/- 2.4 ),17.4,(+/- 2.7 ),27.1,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,23.5,(+/- 6.2 ),18.8,(+/- 7.1 ),35.2,(+/- 7.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,5.7,(+/- 1.0 ),4.7,(+/- 1.0 ),9.9,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,9.6,(+/- 2.2 ),5.4,(+/- 1.9 ),15.2,(+/- 3.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,7.0,(+/- 4.5 ),7.5,(+/- 5.7 ),7.8,(+/- 5.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",32.0,(+/- 4.8 ),31.7,(+/- 5.1 ),39.7,(+/- 4.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,47.2,(+/- 6.0 ),42.0,(+/- 7.0 ),51.1,(+/- 6.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,64.8,(+/- 11.9 ),43.9,(+/- 17.0 ),66.9,(+/- 11.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,17.4,(+/- 1.3 ),15.5,(+/- 1.2 ),21.0,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,24.7,(+/- 2.9 ),19.4,(+/- 3.0 ),28.2,(+/- 3.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,24.2,(+/- 2.8 ),19.2,(+/- 3.0 ),28.0,(+/- 3.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,27.4,(+/- 4.7 ),22.8,(+/- 5.3 ),33.2,(+/- 4.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,23.0,(+/- 3.2 ),17.9,(+/- 3.1 ),25.9,(+/- 3.3 )
