Workers,Commuting to Work,"Car, truck, or van -- carpooled",45455,(+/- 3765 )
Workers,Commuting to Work,Public transportation (excluding taxicab),3352,(+/- 976 )
Workers,Commuting to Work,Walked,28169,(+/- 2516 )
Workers,Commuting to Work,Other means,10726,(+/- 1831 )
Workers,Commuting to Work,Worked at home,31581,(+/- 2917 )
Workers,Commuting to Work,Mean travel time to work (minutes),17.5,(+/- 0.4 )
Workers,Occupation,Civilian employed population 16 years and over,503850,(+/- 5556 )
Workers,Occupation,"Management, business, science, and arts occupations",182781,(+/- 6379 )
Workers,Occupation,Service occupations,101649,(+/- 5391 )
Workers,Occupation,Sales and office occupations,109008,(+/- 4480 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",59998,(+/- 3839 )
Workers,Occupation,"Production, transportation, and material moving occupations",50414,(+/- 3583 )
Workers,Industry,Civilian employed population 16 years and over,503850,(+/- 5556 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",32422,(+/- 2639 )
Workers,Industry,Construction,42296,(+/- 3316 )
Workers,Industry,Manufacturing,21685,(+/- 2153 )
Workers,Industry,Wholesale trade,13461,(+/- 1928 )
Workers,Industry,Retail trade,59818,(+/- 3667 )
Workers,Industry,"Transportation and warehousing, and utilities",24833,(+/- 2383 )
Workers,Industry,Information,8859,(+/- 1675 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",28096,(+/- 2736 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41735,(+/- 3307 )
Workers,Industry,"Educational services, and health care and social assistance",117124,(+/- 5069 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",61623,(+/- 4905 )
Workers,Industry,"Other services, except public administration",23834,(+/- 2353 )
Workers,Industry,Public administration,28064,(+/- 2269 )
Workers,Class of Worker,Civilian employed population 16 years and over,503850,(+/- 5556 )
Workers,Class of Worker,Private wage and salary workers,375994,(+/- 6542 )
Workers,Class of Worker,Government workers,82664,(+/- 4424 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,43163,(+/- 3473 )
Workers,Class of Worker,Unpaid family workers,2029,(+/- 616 )
Housing,Housing Occupancy,Total housing units,497749,(+/- 127 )
Housing,Housing Occupancy,Occupied housing units,416125,(+/- 4426 )
Housing,Housing Occupancy,Vacant housing units,81624,(+/- 4426 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.4,(+/- 0.4 )
Housing,Housing Occupancy,Rental vacancy rate,6.2,(+/- 1.2 )
Housing,Housing Tenure,Occupied housing units,416125,(+/- 4426 )
Housing,Housing Tenure,Owner-occupied,282995,(+/- 5662 )
Housing,Housing Tenure,Renter-occupied,133130,(+/- 5202 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.52,(+/- 0.04 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.25,(+/- 0.05 )
Housing,Year Householder Moved into Unit,Occupied housing units,416125,(+/- 4426 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,78702,(+/- 4212 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,112164,(+/- 4392 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,111461,(+/- 4063 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,54942,(+/- 2969 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,28592,(+/- 2145 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,30264,(+/- 1841 )
Housing,Value,Owner-occupied units,282995,(+/- 5662 )
Housing,Value,"Less than $50,000",23731,(+/- 1870 )
Housing,Value,"$50,000 to $99,999",26772,(+/- 2044 )
Housing,Value,"$100,000 to $149,999",31621,(+/- 2222 )
Housing,Value,"$150,000 to $199,999",44305,(+/- 2783 )
Housing,Value,"$200,000 to $299,999",74904,(+/- 3792 )
Housing,Value,"$300,000 to $499,999",56721,(+/- 2826 )
Housing,Value,"$500,000 to $999,999",19707,(+/- 2136 )
Housing,Value,"$1,000,000 or more",5234,(+/- 800 )
Housing,Value,Median (dollars),217200,(+/- 3862 )
Housing,Mortgage Status,Owner-occupied units,282995,(+/- 5662 )
Housing,Mortgage Status,Housing units with a mortgage,160134,(+/- 5182 )
Housing,Mortgage Status,Housing units without a mortgage,122861,(+/- 4013 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,160134,(+/- 5182 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,3330,(+/- 864 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,38182,(+/- 2540 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",57496,(+/- 3548 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",35125,(+/- 2835 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",14876,(+/- 2071 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",5433,(+/- 1160 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",5692,(+/- 968 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1327,(+/- 23 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,122861,(+/- 4013 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,21467,(+/- 1691 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,40505,(+/- 2818 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,40552,(+/- 2818 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,14031,(+/- 1676 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,3517,(+/- 832 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",2789,(+/- 671 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),399,(+/- 9 )
Housing,Gross Rent,Occupied units paying rent,120429,(+/- 5252 )
Housing,Gross Rent,Less than $500,23340,(+/- 2381 )
Housing,Gross Rent,$500 to $999,67661,(+/- 3617 )
Housing,Gross Rent,"$1,000 to $1,499",23948,(+/- 2384 )
Housing,Gross Rent,"$1,500 to $1,999",4024,(+/- 1227 )
Housing,Gross Rent,"$2,000 to $2,499",918,(+/- 321 )
Housing,Gross Rent,"$2,500 to $2,999",388,(+/- 266 )
Housing,Gross Rent,"$3,000 or more",150,(+/- 102 )
Housing,Gross Rent,Median (dollars),741,(+/- 17 )
Housing,Gross Rent,No rent paid,12701,(+/- 1434 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,416125,(+/- 4426 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",26734,(+/- 2183 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",24786,(+/- 2391 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",44523,(+/- 3264 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",47017,(+/- 2959 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",64889,(+/- 3719 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",77482,(+/- 3948 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",50902,(+/- 2878 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",48525,(+/- 2938 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",15669,(+/- 1603 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",15598,(+/- 1511 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),50027,(+/- 1096 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),69308,(+/- 1642 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,1027510,(+/- 634 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,944094,(+/- 5664 )
Socioeconomic,Health Insurance Coverage,With private health insurance,702358,(+/- 9108 )
Socioeconomic,Health Insurance Coverage,With public coverage,388177,(+/- 7815 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,83416,(+/- 5613 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,227631,(+/- 1693 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,10628,(+/- 1922 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,8.0,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,13.1,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,17.0,(+/- 4.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,4.7,(+/- 0.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,6.3,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,9.3,(+/- 4.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",26.7,(+/- 3.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,37.4,(+/- 4.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,39.7,(+/- 14.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,13.3,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,15.1,(+/- 1.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,14.8,(+/- 1.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,16.1,(+/- 2.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,14.3,(+/- 2.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,12.8,(+/- 0.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.9,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,9.0,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,27.9,(+/- 1.7 )
Education,School Enrollment,Population 3 years and over enrolled in school,242914,(+/- 4813 )
Education,School Enrollment,"Nursery school, preschool",14701,(+/- 1732 )
Education,School Enrollment,Kindergarten,13292,(+/- 1642 )
Education,School Enrollment,Elementary school (grades 1-8),102640,(+/- 2584 )
Education,School Enrollment,High school (grades 9-12),50892,(+/- 2430 )
Education,School Enrollment,College or graduate school,61389,(+/- 3874 )
Education,Educational Attainment,Population 25 years and over,712616,(+/- 2841 )
Education,Educational Attainment,Less than 9th grade,13453,(+/- 1860 )
Education,Educational Attainment,"9th to 12th grade, no diploma",37785,(+/- 3195 )
Education,Educational Attainment,High school graduate (includes equivalency),206415,(+/- 6968 )
Education,Educational Attainment,"Some college, no degree",168223,(+/- 5150 )
Education,Educational Attainment,Associate's degree,66134,(+/- 3776 )
Education,Educational Attainment,Bachelor's degree,148944,(+/- 4923 )
Education,Educational Attainment,Graduate or professional degree,71662,(+/- 3903 )
Education,Educational Attainment,Percent high school graduate or higher,92.8,(+/- 0.5 )
Education,Educational Attainment,Percent bachelor's degree or higher,31.0,(+/- 0.8 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District (At Large) Estimate,District (At Large) Flag
Business,Paid employees for pay period including March 12,Total for all sectors,375041,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",1061,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",7141,H
Business,Paid employees for pay period including March 12,Utilities,3094,H
Business,Paid employees for pay period including March 12,Construction,24836,G
Business,Paid employees for pay period including March 12,Manufacturing,17937,G
Business,Paid employees for pay period including March 12,Wholesale trade,16366,G
Business,Paid employees for pay period including March 12,Retail trade,59901,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,13838,G
Business,Paid employees for pay period including March 12,Information,8724,G
Business,Paid employees for pay period including March 12,Finance and insurance,16728,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,5755,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",19801,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,3686,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,24787,H
Business,Paid employees for pay period including March 12,Educational services,6151,G
Business,Paid employees for pay period including March 12,Health care and social assistance,67806,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",11352,G
Business,Paid employees for pay period including March 12,Accommodation and food services,49771,G
Business,Paid employees for pay period including March 12,Other services (except public administration),16232,G
Business,Paid employees for pay period including March 12,Industries not classified,74,J
Business,"Annual payroll ($1,000)",Total for all sectors,14227065,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",43990,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",605417,H
Business,"Annual payroll ($1,000)",Utilities,266622,H
Business,"Annual payroll ($1,000)",Construction,1272034,G
Business,"Annual payroll ($1,000)",Manufacturing,851006,G
Business,"Annual payroll ($1,000)",Wholesale trade,805316,G
Business,"Annual payroll ($1,000)",Retail trade,1587205,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,642043,G
Business,"Annual payroll ($1,000)",Information,419152,G
Business,"Annual payroll ($1,000)",Finance and insurance,922759,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,190300,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",959956,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,282674,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,882209,H
Business,"Annual payroll ($1,000)",Educational services,144521,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2872826,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",209122,G
Business,"Annual payroll ($1,000)",Accommodation and food services,826483,G
Business,"Annual payroll ($1,000)",Other services (except public administration),442261,G
Business,"Annual payroll ($1,000)",Industries not classified,1169,G
Business,Total Establishments,Total for all sectors,37270,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",360,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",397,X
Business,Total Establishments,Utilities,215,X
Business,Total Establishments,Construction,5291,X
Business,Total Establishments,Manufacturing,1276,X
Business,Total Establishments,Wholesale trade,1594,X
Business,Total Establishments,Retail trade,4791,X
Business,Total Establishments,Transportation and warehousing,1381,X
Business,Total Establishments,Information,638,X
Business,Total Establishments,Finance and insurance,1945,X
Business,Total Establishments,Real estate and rental and leasing,1910,X
Business,Total Establishments,"Professional, scientific, and technical services",3711,X
Business,Total Establishments,Management of companies and enterprises,134,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1770,X
Business,Total Establishments,Educational services,390,X
Business,Total Establishments,Health care and social assistance,3575,X
Business,Total Establishments,"Arts, entertainment, and recreation",1194,X
Business,Total Establishments,Accommodation and food services,3480,X
Business,Total Establishments,Other services (except public administration),3141,X
Business,Total Establishments,Industries not classified,77,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
