Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE
People,Race,One race,707285,(+/- 5947 ),655380,(+/- 7147 ),708846,(+/- 10785 ),737831,(+/- 16029 ),726034,(+/- 14175 ),730911,(+/- 13357 ),770056,(+/- 17084 ),694779,(+/- 6023 ),720904,(+/- 7297 ),724480,(+/- 12806 ),744328,(+/- 12329 ),707578,(+/- 6158 ),726290,(+/- 15850 ),697213,(+/- 4183 )
People,Race,White,462488,(+/- 4973 ),284006,(+/- 5887 ),502554,(+/- 8203 ),226266,(+/- 11787 ),238907,(+/- 8762 ),511912,(+/- 11186 ),424829,(+/- 13492 ),450574,(+/- 4722 ),641704,(+/- 7407 ),509454,(+/- 11150 ),556071,(+/- 11381 ),419272,(+/- 6238 ),227609,(+/- 8601 ),599215,(+/- 6132 )
People,Race,Black or African American,217769,(+/- 4745 ),348632,(+/- 6898 ),179905,(+/- 6964 ),446019,(+/- 11767 ),431485,(+/- 14116 ),112868,(+/- 9874 ),166522,(+/- 9339 ),219329,(+/- 5962 ),52938,(+/- 3913 ),184353,(+/- 10074 ),125955,(+/- 8712 ),256413,(+/- 4291 ),444523,(+/- 12511 ),67784,(+/- 3709 )
People,Race,American Indian and Alaska Native,2504,(+/- 718 ),1952,(+/- 719 ),1035,(+/- 587 ),1980,(+/- 958 ),3908,(+/- 2582 ),9026,(+/- 3358 ),1302,(+/- 961 ),2096,(+/- 725 ),1466,(+/- 877 ),743,(+/- 671 ),4478,(+/- 2400 ),1984,(+/- 1039 ),1052,(+/- 643 ),4413,(+/- 2760 )
People,Race,Asian,10248,(+/- 1976 ),8691,(+/- 2117 ),12957,(+/- 2605 ),33605,(+/- 4127 ),34455,(+/- 3970 ),84963,(+/- 6440 ),113049,(+/- 4038 ),9141,(+/- 1599 ),8383,(+/- 1669 ),15874,(+/- 2942 ),26279,(+/- 3304 ),12690,(+/- 1155 ),21112,(+/- 4056 ),7450,(+/- 1871 )
People,Race,Native Hawaiian and Other Pacific Islander,910,(+/- 679 ),526,(+/- 414 ),672,(+/- 550 ),161,(+/- 189 ),209,(+/- 286 ),404,(+/- 399 ),0,(+/- 218 ),185,(+/- 150 ),196,(+/- 224 ),923,(+/- 1131 ),629,(+/- 965 ),848,(+/- 932 ),335,(+/- 538 ),505,(+/- 574 )
People,Race,Some other race,13366,(+/- 3489 ),11573,(+/- 2549 ),11723,(+/- 3331 ),29800,(+/- 7445 ),17070,(+/- 4603 ),11738,(+/- 3764 ),64354,(+/- 9317 ),13454,(+/- 2555 ),16217,(+/- 3443 ),13133,(+/- 3204 ),30916,(+/- 7978 ),16371,(+/- 3551 ),31659,(+/- 6170 ),17846,(+/- 4831 )
People,Race,Two or more races,26887,(+/- 4016 ),16864,(+/- 3592 ),20964,(+/- 3537 ),14442,(+/- 2584 ),21775,(+/- 3370 ),25093,(+/- 5103 ),19808,(+/- 3666 ),15329,(+/- 3589 ),15171,(+/- 3098 ),16984,(+/- 4778 ),19856,(+/- 4027 ),12392,(+/- 2803 ),19928,(+/- 5235 ),12963,(+/- 2265 )
People,Hispanic or Latino and Race,Total population,734172,(+/- 4597 ),672244,(+/- 6510 ),729810,(+/- 9806 ),752273,(+/- 15861 ),747809,(+/- 14620 ),756004,(+/- 13076 ),789864,(+/- 16970 ),710108,(+/- 4898 ),736075,(+/- 6883 ),741464,(+/- 13916 ),764184,(+/- 12736 ),719970,(+/- 5454 ),746218,(+/- 16596 ),710176,(+/- 3491 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),48221,(+/- 2124 ),33043,(+/- 2430 ),41914,(+/- 3109 ),76556,(+/- 8106 ),47775,(+/- 5729 ),92695,(+/- 7559 ),147115,(+/- 7963 ),43611,(+/- 2204 ),91529,(+/- 3574 ),43499,(+/- 5776 ),92708,(+/- 6054 ),44361,(+/- 1302 ),77062,(+/- 7341 ),82245,(+/- 886 )
People,Hispanic or Latino and Race,Mexican,23708,(+/- 3446 ),20755,(+/- 2941 ),21233,(+/- 3875 ),39515,(+/- 6202 ),28235,(+/- 5459 ),53837,(+/- 6869 ),65837,(+/- 7327 ),29474,(+/- 3203 ),68141,(+/- 5289 ),18423,(+/- 3767 ),50954,(+/- 6473 ),23957,(+/- 3582 ),47574,(+/- 6665 ),60861,(+/- 4257 )
People,Hispanic or Latino and Race,Puerto Rican,12302,(+/- 2693 ),4654,(+/- 1974 ),5012,(+/- 2007 ),7550,(+/- 2425 ),5867,(+/- 1948 ),6187,(+/- 2202 ),13891,(+/- 4588 ),3196,(+/- 1308 ),4399,(+/- 1907 ),6258,(+/- 2900 ),8617,(+/- 3945 ),9542,(+/- 2532 ),9587,(+/- 3148 ),3336,(+/- 1745 )
People,Hispanic or Latino and Race,Cuban,860,(+/- 525 ),1122,(+/- 1070 ),1107,(+/- 745 ),2552,(+/- 957 ),2745,(+/- 1156 ),3658,(+/- 1279 ),3851,(+/- 1631 ),2594,(+/- 1126 ),1936,(+/- 853 ),2092,(+/- 1180 ),3619,(+/- 1773 ),931,(+/- 715 ),1784,(+/- 1171 ),932,(+/- 941 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,11351,(+/- 2421 ),6512,(+/- 1871 ),14562,(+/- 3019 ),26939,(+/- 5663 ),10928,(+/- 2346 ),29013,(+/- 5146 ),63536,(+/- 8598 ),8347,(+/- 2071 ),17053,(+/- 4035 ),16726,(+/- 5516 ),29518,(+/- 5676 ),9931,(+/- 2622 ),18117,(+/- 4839 ),17116,(+/- 3640 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,685951,(+/- 4211 ),639201,(+/- 5985 ),687896,(+/- 9489 ),675717,(+/- 14297 ),700034,(+/- 13618 ),663309,(+/- 13813 ),642749,(+/- 13216 ),666497,(+/- 5070 ),644546,(+/- 6685 ),697965,(+/- 11850 ),671476,(+/- 11649 ),675609,(+/- 5271 ),669156,(+/- 14476 ),627931,(+/- 3380 )
People,Place of Birth,Total population,734172,(+/- 4597 ),672244,(+/- 6510 ),729810,(+/- 9806 ),752273,(+/- 15861 ),747809,(+/- 14620 ),756004,(+/- 13076 ),789864,(+/- 16970 ),710108,(+/- 4898 ),736075,(+/- 6883 ),741464,(+/- 13916 ),764184,(+/- 12736 ),719970,(+/- 5454 ),746218,(+/- 16596 ),710176,(+/- 3491 )
People,Place of Birth,Native,699565,(+/- 5922 ),648174,(+/- 6663 ),691014,(+/- 10199 ),632140,(+/- 15840 ),679618,(+/- 13014 ),591339,(+/- 12265 ),590427,(+/- 15411 ),680912,(+/- 5584 ),679802,(+/- 7060 ),695890,(+/- 12201 ),670169,(+/- 11897 ),686874,(+/- 5962 ),666958,(+/- 16083 ),659177,(+/- 5065 )
People,Place of Birth,Born in United States,684769,(+/- 6153 ),640455,(+/- 7005 ),682243,(+/- 10486 ),622488,(+/- 15825 ),670894,(+/- 13141 ),580842,(+/- 12412 ),572024,(+/- 14888 ),672914,(+/- 5886 ),673575,(+/- 7187 ),686488,(+/- 12344 ),661183,(+/- 11987 ),673956,(+/- 6378 ),655226,(+/- 16268 ),652818,(+/- 5063 )
People,Place of Birth,State of residence,411086,(+/- 9926 ),481741,(+/- 9628 ),457374,(+/- 12426 ),350428,(+/- 12317 ),395697,(+/- 12962 ),247760,(+/- 10136 ),275432,(+/- 11817 ),490141,(+/- 9522 ),447768,(+/- 10478 ),485756,(+/- 10816 ),333803,(+/- 11077 ),470909,(+/- 10451 ),372077,(+/- 16565 ),414589,(+/- 9778 )
People,Place of Birth,Different state,273683,(+/- 8444 ),158714,(+/- 7584 ),224869,(+/- 8853 ),272060,(+/- 11588 ),275197,(+/- 10899 ),333082,(+/- 9838 ),296592,(+/- 10937 ),182773,(+/- 8491 ),225807,(+/- 7599 ),200732,(+/- 9255 ),327380,(+/- 9572 ),203047,(+/- 9363 ),283149,(+/- 12598 ),238229,(+/- 10142 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",14796,(+/- 2627 ),7719,(+/- 1868 ),8771,(+/- 2199 ),9652,(+/- 2133 ),8724,(+/- 1787 ),10497,(+/- 2023 ),18403,(+/- 4745 ),7998,(+/- 1949 ),6227,(+/- 1315 ),9402,(+/- 2529 ),8986,(+/- 1760 ),12918,(+/- 2522 ),11732,(+/- 2182 ),6359,(+/- 1709 )
People,Place of Birth,Foreign born,34607,(+/- 3718 ),24070,(+/- 3098 ),38796,(+/- 5125 ),120133,(+/- 9263 ),68191,(+/- 4814 ),164665,(+/- 9179 ),199437,(+/- 9588 ),29196,(+/- 2963 ),56273,(+/- 4094 ),45574,(+/- 6400 ),94015,(+/- 7130 ),33096,(+/- 3685 ),79260,(+/- 8137 ),50999,(+/- 3757 )
People,Ancestry,Total population,734172,(+/- 4597 ),672244,(+/- 6510 ),729810,(+/- 9806 ),752273,(+/- 15861 ),747809,(+/- 14620 ),756004,(+/- 13076 ),789864,(+/- 16970 ),710108,(+/- 4898 ),736075,(+/- 6883 ),741464,(+/- 13916 ),764184,(+/- 12736 ),719970,(+/- 5454 ),746218,(+/- 16596 ),710176,(+/- 3491 )
People,Ancestry,American,70217,(+/- 6225 ),75212,(+/- 7173 ),124606,(+/- 8740 ),40200,(+/- 6823 ),39206,(+/- 4394 ),51544,(+/- 5898 ),44050,(+/- 6600 ),129941,(+/- 8358 ),114015,(+/- 7659 ),91737,(+/- 8886 ),70804,(+/- 8355 ),81302,(+/- 6873 ),65359,(+/- 9324 ),137631,(+/- 11326 )
People,Ancestry,Arab,1123,(+/- 729 ),1082,(+/- 583 ),294,(+/- 312 ),3267,(+/- 2345 ),2211,(+/- 975 ),7093,(+/- 2343 ),7102,(+/- 5381 ),1724,(+/- 907 ),386,(+/- 240 ),1013,(+/- 652 ),3739,(+/- 2037 ),3243,(+/- 2205 ),1036,(+/- 642 ),1159,(+/- 870 )
People,Ancestry,Czech,1262,(+/- 626 ),535,(+/- 442 ),915,(+/- 500 ),457,(+/- 438 ),1050,(+/- 484 ),2236,(+/- 1014 ),1600,(+/- 681 ),287,(+/- 326 ),611,(+/- 309 ),1169,(+/- 659 ),1194,(+/- 837 ),811,(+/- 472 ),533,(+/- 411 ),309,(+/- 235 )
People,Ancestry,Danish,394,(+/- 293 ),495,(+/- 323 ),1040,(+/- 629 ),2046,(+/- 1965 ),1032,(+/- 525 ),2160,(+/- 1033 ),1129,(+/- 638 ),1047,(+/- 670 ),843,(+/- 488 ),617,(+/- 292 ),2049,(+/- 786 ),920,(+/- 845 ),322,(+/- 236 ),497,(+/- 378 )
People,Ancestry,Dutch,3216,(+/- 812 ),3398,(+/- 973 ),5199,(+/- 1573 ),1886,(+/- 817 ),3205,(+/- 742 ),6839,(+/- 1870 ),5897,(+/- 1760 ),4180,(+/- 1137 ),6335,(+/- 1593 ),4433,(+/- 1386 ),8017,(+/- 1785 ),3819,(+/- 1395 ),4675,(+/- 1406 ),5384,(+/- 1288 )
People,Ancestry,English,50928,(+/- 4381 ),30208,(+/- 3358 ),58393,(+/- 5875 ),30250,(+/- 3563 ),37314,(+/- 3881 ),83158,(+/- 6303 ),50468,(+/- 5317 ),45984,(+/- 4809 ),68786,(+/- 6122 ),57278,(+/- 5646 ),90095,(+/- 8118 ),39590,(+/- 4332 ),24641,(+/- 3533 ),75756,(+/- 6934 )
People,Ancestry,French (except Basque),12974,(+/- 2907 ),6185,(+/- 2032 ),9253,(+/- 2165 ),5558,(+/- 1580 ),8740,(+/- 1820 ),15706,(+/- 3303 ),9991,(+/- 1879 ),8756,(+/- 2192 ),13327,(+/- 2381 ),14031,(+/- 3851 ),16473,(+/- 2719 ),7563,(+/- 1554 ),6619,(+/- 1785 ),7160,(+/- 1756 )
People,Ancestry,French Canadian,3197,(+/- 1094 ),462,(+/- 313 ),1557,(+/- 903 ),1262,(+/- 715 ),1746,(+/- 648 ),2480,(+/- 862 ),2506,(+/- 754 ),1612,(+/- 933 ),2370,(+/- 1173 ),2014,(+/- 1198 ),2990,(+/- 1142 ),2077,(+/- 1047 ),710,(+/- 401 ),1538,(+/- 1176 )
People,Ancestry,German,64169,(+/- 5938 ),30644,(+/- 3166 ),50412,(+/- 5405 ),27281,(+/- 4121 ),36800,(+/- 3237 ),74860,(+/- 6208 ),59324,(+/- 5936 ),36724,(+/- 4217 ),64332,(+/- 5970 ),58038,(+/- 6217 ),80081,(+/- 7104 ),39989,(+/- 4540 ),23607,(+/- 3236 ),55627,(+/- 5094 )
People,Ancestry,Greek,1326,(+/- 762 ),788,(+/- 557 ),687,(+/- 446 ),1184,(+/- 690 ),1516,(+/- 666 ),3226,(+/- 1585 ),1405,(+/- 644 ),1409,(+/- 839 ),1229,(+/- 628 ),1206,(+/- 667 ),3881,(+/- 1890 ),623,(+/- 375 ),394,(+/- 403 ),428,(+/- 290 )
People,Ancestry,Hungarian,1762,(+/- 768 ),354,(+/- 239 ),755,(+/- 416 ),766,(+/- 760 ),1012,(+/- 475 ),2999,(+/- 1194 ),1930,(+/- 1110 ),1127,(+/- 742 ),2550,(+/- 972 ),1644,(+/- 772 ),2948,(+/- 1340 ),1442,(+/- 750 ),329,(+/- 315 ),603,(+/- 332 )
People,Ancestry,Irish,73403,(+/- 6460 ),32384,(+/- 3245 ),58629,(+/- 4600 ),31343,(+/- 6195 ),31824,(+/- 3133 ),61816,(+/- 4807 ),59598,(+/- 5792 ),52423,(+/- 5011 ),74649,(+/- 6758 ),61847,(+/- 7231 ),83078,(+/- 8041 ),48874,(+/- 5636 ),32485,(+/- 4544 ),76618,(+/- 7129 )
People,Ancestry,Italian,24298,(+/- 3931 ),7438,(+/- 1783 ),12721,(+/- 2870 ),7334,(+/- 2028 ),13266,(+/- 1856 ),32022,(+/- 3289 ),22542,(+/- 3231 ),11512,(+/- 2522 ),16904,(+/- 3282 ),12798,(+/- 2069 ),34157,(+/- 5553 ),9205,(+/- 2152 ),9466,(+/- 2293 ),10460,(+/- 2811 )
People,Ancestry,Lithuanian,431,(+/- 278 ),376,(+/- 514 ),232,(+/- 221 ),41,(+/- 71 ),718,(+/- 383 ),1577,(+/- 661 ),294,(+/- 202 ),191,(+/- 232 ),622,(+/- 477 ),311,(+/- 222 ),684,(+/- 466 ),393,(+/- 384 ),0,(+/- 218 ),0,(+/- 218 )
People,Ancestry,Norwegian,2684,(+/- 1113 ),1920,(+/- 982 ),2030,(+/- 729 ),1601,(+/- 776 ),2087,(+/- 720 ),4406,(+/- 1488 ),3672,(+/- 1552 ),2099,(+/- 1142 ),2826,(+/- 1164 ),2883,(+/- 1584 ),6465,(+/- 3392 ),1586,(+/- 655 ),1157,(+/- 695 ),3147,(+/- 1272 )
People,Ancestry,Polish,6815,(+/- 1523 ),3299,(+/- 1047 ),7491,(+/- 2108 ),4164,(+/- 920 ),9389,(+/- 2054 ),15595,(+/- 2478 ),10564,(+/- 2631 ),4077,(+/- 1216 ),7106,(+/- 1509 ),6268,(+/- 1351 ),14982,(+/- 3064 ),6083,(+/- 1628 ),3373,(+/- 1363 ),3259,(+/- 1315 )
People,Ancestry,Portuguese,1398,(+/- 649 ),328,(+/- 267 ),425,(+/- 314 ),237,(+/- 203 ),489,(+/- 388 ),2128,(+/- 1098 ),478,(+/- 300 ),523,(+/- 312 ),338,(+/- 305 ),1857,(+/- 1222 ),2642,(+/- 1232 ),1046,(+/- 681 ),1056,(+/- 880 ),2063,(+/- 1172 )
People,Ancestry,Russian,1501,(+/- 607 ),556,(+/- 396 ),899,(+/- 468 ),1068,(+/- 678 ),4795,(+/- 1237 ),11899,(+/- 2904 ),4951,(+/- 1910 ),318,(+/- 258 ),1991,(+/- 809 ),1492,(+/- 552 ),4777,(+/- 1094 ),2843,(+/- 1300 ),937,(+/- 571 ),782,(+/- 592 )
People,Ancestry,Scotch-Irish,9333,(+/- 1961 ),5639,(+/- 1137 ),13152,(+/- 2706 ),5185,(+/- 1152 ),6979,(+/- 1593 ),13970,(+/- 2632 ),8725,(+/- 1853 ),7731,(+/- 1821 ),12401,(+/- 2411 ),10573,(+/- 1784 ),17915,(+/- 3143 ),8285,(+/- 1903 ),3436,(+/- 1223 ),8873,(+/- 2586 )
People,Ancestry,Scottish,16372,(+/- 2368 ),6646,(+/- 1353 ),12879,(+/- 2437 ),8587,(+/- 2323 ),10646,(+/- 2030 ),21917,(+/- 3820 ),15271,(+/- 2361 ),11317,(+/- 2796 ),18096,(+/- 2653 ),16129,(+/- 2529 ),21916,(+/- 3110 ),10030,(+/- 2289 ),6831,(+/- 1935 ),18334,(+/- 3552 )
People,Ancestry,Slovak,646,(+/- 454 ),170,(+/- 195 ),132,(+/- 161 ),215,(+/- 229 ),380,(+/- 322 ),1804,(+/- 736 ),944,(+/- 643 ),131,(+/- 141 ),460,(+/- 311 ),123,(+/- 158 ),763,(+/- 628 ),374,(+/- 412 ),76,(+/- 126 ),0,(+/- 218 )
People,Ancestry,Subsaharan African,6831,(+/- 1911 ),4230,(+/- 1600 ),9003,(+/- 2876 ),40037,(+/- 7519 ),17365,(+/- 3158 ),16205,(+/- 4060 ),26256,(+/- 6502 ),4785,(+/- 1932 ),1974,(+/- 1301 ),9021,(+/- 4932 ),14629,(+/- 4411 ),10552,(+/- 3686 ),28949,(+/- 7396 ),5960,(+/- 2952 )
People,Ancestry,Swedish,3638,(+/- 1434 ),1228,(+/- 518 ),2795,(+/- 1011 ),991,(+/- 434 ),2439,(+/- 735 ),7479,(+/- 1949 ),3968,(+/- 1407 ),2072,(+/- 1121 ),3951,(+/- 1670 ),3920,(+/- 1692 ),5354,(+/- 1715 ),3439,(+/- 1149 ),471,(+/- 326 ),3389,(+/- 1479 )
People,Ancestry,Swiss,477,(+/- 356 ),67,(+/- 113 ),827,(+/- 557 ),616,(+/- 370 ),759,(+/- 504 ),1697,(+/- 872 ),1084,(+/- 766 ),255,(+/- 311 ),1810,(+/- 877 ),497,(+/- 258 ),946,(+/- 815 ),609,(+/- 519 ),550,(+/- 441 ),1571,(+/- 1090 )
People,Ancestry,Ukrainian,952,(+/- 681 ),159,(+/- 160 ),629,(+/- 433 ),977,(+/- 949 ),485,(+/- 292 ),2409,(+/- 1016 ),2100,(+/- 947 ),246,(+/- 307 ),709,(+/- 391 ),327,(+/- 263 ),1119,(+/- 549 ),826,(+/- 756 ),399,(+/- 351 ),242,(+/- 224 )
People,Ancestry,Welsh,3987,(+/- 1059 ),2649,(+/- 1139 ),3157,(+/- 1093 ),2127,(+/- 912 ),3566,(+/- 941 ),4941,(+/- 1388 ),3723,(+/- 1536 ),2425,(+/- 884 ),5060,(+/- 1632 ),2947,(+/- 972 ),4880,(+/- 1362 ),2364,(+/- 835 ),1387,(+/- 689 ),2543,(+/- 1069 )
