Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE
People,Sex and Age,45 to 54 years,90662,(+/- 972 ),93295,(+/- 2007 ),96521,(+/- 1978 ),92701,(+/- 1598 ),91089,(+/- 1510 ),91955,(+/- 1451 ),99177,(+/- 1897 ),104425,(+/- 2794 ),95895,(+/- 3623 ),112798,(+/- 3205 ),109657,(+/- 4000 ),90894,(+/- 3806 ),86749,(+/- 3092 ),93322,(+/- 3177 )
People,Sex and Age,55 to 59 years,57477,(+/- 1982 ),47195,(+/- 2428 ),51941,(+/- 2663 ),53108,(+/- 1958 ),50415,(+/- 2361 ),50545,(+/- 1940 ),52809,(+/- 2393 ),52353,(+/- 2274 ),55357,(+/- 3361 ),58373,(+/- 2758 ),59422,(+/- 3129 ),46597,(+/- 3118 ),46261,(+/- 3241 ),47769,(+/- 3083 )
People,Sex and Age,60 to 64 years,57561,(+/- 1889 ),47783,(+/- 2695 ),46286,(+/- 2786 ),49201,(+/- 2105 ),48250,(+/- 2491 ),48301,(+/- 1792 ),52059,(+/- 2591 ),44847,(+/- 2181 ),48007,(+/- 3123 ),49339,(+/- 2835 ),48941,(+/- 3033 ),41227,(+/- 2826 ),43783,(+/- 2663 ),40420,(+/- 2673 )
People,Sex and Age,65 to 74 years,90499,(+/- 654 ),63436,(+/- 1739 ),60898,(+/- 1629 ),73534,(+/- 1099 ),69234,(+/- 1094 ),69304,(+/- 870 ),71383,(+/- 1462 ),64951,(+/- 2303 ),66706,(+/- 3351 ),73318,(+/- 2232 ),67491,(+/- 3209 ),58451,(+/- 3271 ),50470,(+/- 2635 ),60535,(+/- 3078 )
People,Sex and Age,75 to 84 years,44879,(+/- 1488 ),30397,(+/- 1985 ),30455,(+/- 1835 ),38946,(+/- 1352 ),36183,(+/- 1590 ),32830,(+/- 1474 ),32853,(+/- 1546 ),28296,(+/- 1893 ),31721,(+/- 2378 ),37460,(+/- 2232 ),31828,(+/- 2446 ),28119,(+/- 1733 ),23718,(+/- 1654 ),30432,(+/- 2086 )
People,Sex and Age,85 years and over,20459,(+/- 1362 ),16213,(+/- 1579 ),12868,(+/- 1448 ),14749,(+/- 1471 ),15230,(+/- 1545 ),15209,(+/- 1350 ),14964,(+/- 1468 ),10949,(+/- 1330 ),18412,(+/- 1955 ),14357,(+/- 1790 ),15381,(+/- 1719 ),11634,(+/- 1363 ),13094,(+/- 1444 ),17219,(+/- 1739 )
People,Sex and Age,Median age (years),46.4,(+/- 0.2 ),36.8,(+/- 0.5 ),37.2,(+/- 0.5 ),41.4,(+/- 0.5 ),41.0,(+/- 0.4 ),38.8,(+/- 0.3 ),41.9,(+/- 0.4 ),38.1,(+/- 0.5 ),40.5,(+/- 0.9 ),43.6,(+/- 0.7 ),41.5,(+/- 0.7 ),35.3,(+/- 0.6 ),36.3,(+/- 0.9 ),37.7,(+/- 0.9 )
People,Sex and Age,18 years and over,568100,(+/- 1141 ),558545,(+/- 3688 ),557730,(+/- 3763 ),555300,(+/- 3098 ),529785,(+/- 3026 ),554023,(+/- 991 ),546457,(+/- 2878 ),573301,(+/- 4044 ),568166,(+/- 6372 ),562828,(+/- 4859 ),571377,(+/- 5624 ),558312,(+/- 5941 ),497548,(+/- 8603 ),535645,(+/- 8912 )
People,Sex and Age,65 years and over,155837,(+/- 855 ),110046,(+/- 2469 ),104221,(+/- 2292 ),127229,(+/- 1326 ),120647,(+/- 1569 ),117343,(+/- 886 ),119200,(+/- 1594 ),104196,(+/- 3077 ),116839,(+/- 4046 ),125135,(+/- 2938 ),114700,(+/- 4584 ),98204,(+/- 4180 ),87282,(+/- 3909 ),108186,(+/- 4336 )
People,Race,Total population,699621,(+/- 945 ),734965,(+/- 3659 ),733618,(+/- 3526 ),700487,(+/- 3783 ),681278,(+/- 4207 ),716163,(+/- 1333 ),700983,(+/- 3621 ),734008,(+/- 4332 ),711069,(+/- 6696 ),714802,(+/- 5467 ),732690,(+/- 5868 ),708880,(+/- 6475 ),658383,(+/- 12653 ),701353,(+/- 12708 )
People,Race,One race,679253,(+/- 1705 ),707945,(+/- 4847 ),707424,(+/- 5068 ),683833,(+/- 3836 ),660455,(+/- 5254 ),686497,(+/- 3231 ),683951,(+/- 4085 ),711109,(+/- 4820 ),690432,(+/- 7074 ),699934,(+/- 5482 ),712691,(+/- 6832 ),680364,(+/- 8222 ),639476,(+/- 13139 ),678716,(+/- 12998 )
People,Race,White,645443,(+/- 1342 ),622641,(+/- 6621 ),617675,(+/- 6055 ),657934,(+/- 3628 ),526471,(+/- 4473 ),604729,(+/- 3411 ),637876,(+/- 4135 ),624088,(+/- 5572 ),549342,(+/- 7570 ),665867,(+/- 6236 ),601872,(+/- 7803 ),557103,(+/- 8959 ),248084,(+/- 7989 ),234356,(+/- 8684 )
People,Race,Black or African American,9521,(+/- 1113 ),47411,(+/- 3785 ),58558,(+/- 3881 ),12155,(+/- 1473 ),118690,(+/- 2845 ),57049,(+/- 2206 ),30593,(+/- 1928 ),41615,(+/- 3409 ),100828,(+/- 4367 ),17570,(+/- 3351 ),36890,(+/- 4061 ),77203,(+/- 5031 ),361585,(+/- 12527 ),393668,(+/- 12690 )
People,Race,American Indian and Alaska Native,18035,(+/- 1392 ),3358,(+/- 869 ),2230,(+/- 751 ),3854,(+/- 820 ),2901,(+/- 822 ),3314,(+/- 1517 ),3819,(+/- 1107 ),1539,(+/- 588 ),1667,(+/- 722 ),1782,(+/- 595 ),1130,(+/- 483 ),2309,(+/- 889 ),3151,(+/- 1533 ),2072,(+/- 645 )
People,Race,Asian,4544,(+/- 618 ),16671,(+/- 2025 ),13020,(+/- 1770 ),7574,(+/- 957 ),5991,(+/- 1244 ),11301,(+/- 956 ),7446,(+/- 1956 ),36177,(+/- 2942 ),33294,(+/- 3270 ),11007,(+/- 2399 ),68653,(+/- 4536 ),34308,(+/- 2616 ),8814,(+/- 1964 ),33714,(+/- 4438 )
People,Race,Native Hawaiian and Other Pacific Islander,467,(+/- 266 ),165,(+/- 217 ),122,(+/- 163 ),25,(+/- 38 ),395,(+/- 276 ),216,(+/- 248 ),374,(+/- 303 ),266,(+/- 268 ),0,(+/- 168 ),106,(+/- 117 ),294,(+/- 306 ),179,(+/- 292 ),201,(+/- 223 ),157,(+/- 243 )
People,Race,Some other race,1243,(+/- 576 ),17699,(+/- 5887 ),15819,(+/- 4064 ),2291,(+/- 778 ),6007,(+/- 1876 ),9888,(+/- 2725 ),3843,(+/- 1235 ),7424,(+/- 1830 ),5301,(+/- 1718 ),3602,(+/- 1405 ),3852,(+/- 2024 ),9262,(+/- 2316 ),17641,(+/- 3441 ),14749,(+/- 3158 )
People,Race,Two or more races,20368,(+/- 1470 ),27020,(+/- 3374 ),26194,(+/- 3667 ),16654,(+/- 1500 ),20823,(+/- 2855 ),29666,(+/- 3166 ),17032,(+/- 2598 ),22899,(+/- 2778 ),20637,(+/- 3567 ),14868,(+/- 1928 ),19999,(+/- 3221 ),28516,(+/- 4560 ),18907,(+/- 4275 ),22637,(+/- 4416 )
People,Hispanic or Latino and Race,Total population,699621,(+/- 945 ),734965,(+/- 3659 ),733618,(+/- 3526 ),700487,(+/- 3783 ),681278,(+/- 4207 ),716163,(+/- 1333 ),700983,(+/- 3621 ),734008,(+/- 4332 ),711069,(+/- 6696 ),714802,(+/- 5467 ),732690,(+/- 5868 ),708880,(+/- 6475 ),658383,(+/- 12653 ),701353,(+/- 12708 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),12252,(+/- 728 ),73225,(+/- 4519 ),50526,(+/- 4423 ),21657,(+/- 954 ),34071,(+/- 1031 ),43549,(+/- 821 ),30007,(+/- 1037 ),38761,(+/- 2742 ),18979,(+/- 2530 ),21923,(+/- 1974 ),21521,(+/- 2580 ),43954,(+/- 3815 ),48395,(+/- 4129 ),32610,(+/- 4063 )
People,Hispanic or Latino and Race,Mexican,9271,(+/- 1079 ),57415,(+/- 5029 ),35110,(+/- 4549 ),16608,(+/- 1318 ),28038,(+/- 1538 ),35032,(+/- 2098 ),23156,(+/- 1942 ),27299,(+/- 2866 ),10211,(+/- 1799 ),17701,(+/- 2188 ),13492,(+/- 2397 ),29068,(+/- 3606 ),36198,(+/- 4501 ),23031,(+/- 3676 )
People,Hispanic or Latino and Race,Puerto Rican,740,(+/- 405 ),4966,(+/- 1577 ),4814,(+/- 1906 ),1803,(+/- 656 ),2085,(+/- 1070 ),2439,(+/- 950 ),1806,(+/- 708 ),3044,(+/- 1169 ),1271,(+/- 599 ),1500,(+/- 690 ),2920,(+/- 1889 ),6815,(+/- 2888 ),6012,(+/- 2046 ),5611,(+/- 1989 )
People,Hispanic or Latino and Race,Cuban,238,(+/- 247 ),3408,(+/- 1490 ),575,(+/- 421 ),735,(+/- 486 ),861,(+/- 348 ),383,(+/- 330 ),1486,(+/- 1165 ),1425,(+/- 656 ),621,(+/- 440 ),414,(+/- 281 ),296,(+/- 234 ),1208,(+/- 673 ),446,(+/- 427 ),687,(+/- 384 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,2003,(+/- 644 ),7436,(+/- 2195 ),10027,(+/- 2759 ),2511,(+/- 746 ),3087,(+/- 1026 ),5695,(+/- 1545 ),3559,(+/- 1404 ),6993,(+/- 1695 ),6876,(+/- 2286 ),2308,(+/- 729 ),4813,(+/- 1457 ),6863,(+/- 1607 ),5739,(+/- 2380 ),3281,(+/- 1152 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,687369,(+/- 1069 ),661740,(+/- 4147 ),683092,(+/- 4266 ),678830,(+/- 3343 ),647207,(+/- 3811 ),672614,(+/- 810 ),670976,(+/- 3702 ),695247,(+/- 5164 ),692090,(+/- 7005 ),692879,(+/- 5388 ),711169,(+/- 6247 ),664926,(+/- 7682 ),609988,(+/- 12330 ),668743,(+/- 12803 )
People,Place of Birth,Total population,699621,(+/- 945 ),734965,(+/- 3659 ),733618,(+/- 3526 ),700487,(+/- 3783 ),681278,(+/- 4207 ),716163,(+/- 1333 ),700983,(+/- 3621 ),734008,(+/- 4332 ),711069,(+/- 6696 ),714802,(+/- 5467 ),732690,(+/- 5868 ),708880,(+/- 6475 ),658383,(+/- 12653 ),701353,(+/- 12708 )
People,Place of Birth,Native,685052,(+/- 2442 ),692758,(+/- 4663 ),694072,(+/- 5146 ),687202,(+/- 3804 ),666781,(+/- 4480 ),683139,(+/- 3104 ),681120,(+/- 4322 ),672503,(+/- 6622 ),629467,(+/- 7737 ),673362,(+/- 6008 ),633119,(+/- 7161 ),624199,(+/- 7503 ),609236,(+/- 12274 ),634011,(+/- 12218 )
People,Place of Birth,Born in United States,680541,(+/- 2689 ),687258,(+/- 4874 ),689065,(+/- 5338 ),684499,(+/- 3799 ),664537,(+/- 4531 ),678105,(+/- 3234 ),676876,(+/- 4086 ),667231,(+/- 6722 ),623719,(+/- 7785 ),667964,(+/- 6074 ),627353,(+/- 7311 ),608971,(+/- 8425 ),604720,(+/- 12256 ),626244,(+/- 11825 )
People,Place of Birth,State of residence,555470,(+/- 4735 ),576304,(+/- 7096 ),564143,(+/- 7480 ),602811,(+/- 5177 ),577067,(+/- 5862 ),500605,(+/- 6284 ),518476,(+/- 6807 ),546333,(+/- 7642 ),539942,(+/- 8086 ),595984,(+/- 6900 ),514694,(+/- 8419 ),477141,(+/- 9499 ),502275,(+/- 12119 ),507518,(+/- 10461 )
People,Place of Birth,Different state,125071,(+/- 4162 ),110954,(+/- 5378 ),124922,(+/- 6019 ),81688,(+/- 3587 ),87470,(+/- 4397 ),177500,(+/- 5847 ),158400,(+/- 5650 ),120898,(+/- 5595 ),83777,(+/- 4662 ),71980,(+/- 4417 ),112659,(+/- 5318 ),131830,(+/- 5372 ),102445,(+/- 5058 ),118726,(+/- 6146 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4511,(+/- 902 ),5500,(+/- 1242 ),5007,(+/- 1333 ),2703,(+/- 626 ),2244,(+/- 669 ),5034,(+/- 1284 ),4244,(+/- 1995 ),5272,(+/- 934 ),5748,(+/- 1148 ),5398,(+/- 1242 ),5766,(+/- 1518 ),15228,(+/- 3066 ),4516,(+/- 878 ),7767,(+/- 1956 )
People,Place of Birth,Foreign born,14569,(+/- 2173 ),42207,(+/- 3454 ),39546,(+/- 4315 ),13285,(+/- 1345 ),14497,(+/- 2356 ),33024,(+/- 2935 ),19863,(+/- 2946 ),61505,(+/- 4404 ),81602,(+/- 6042 ),41440,(+/- 4742 ),99571,(+/- 4994 ),84681,(+/- 5011 ),49147,(+/- 4803 ),67342,(+/- 5105 )
People,Ancestry,Total population,699621,(+/- 945 ),734965,(+/- 3659 ),733618,(+/- 3526 ),700487,(+/- 3783 ),681278,(+/- 4207 ),716163,(+/- 1333 ),700983,(+/- 3621 ),734008,(+/- 4332 ),711069,(+/- 6696 ),714802,(+/- 5467 ),732690,(+/- 5868 ),708880,(+/- 6475 ),658383,(+/- 12653 ),701353,(+/- 12708 )
People,Ancestry,American,39735,(+/- 4043 ),25880,(+/- 2747 ),31687,(+/- 3846 ),35770,(+/- 3470 ),60601,(+/- 5000 ),57652,(+/- 5792 ),47168,(+/- 4190 ),34942,(+/- 3578 ),33597,(+/- 4257 ),47634,(+/- 5273 ),26999,(+/- 2959 ),56207,(+/- 6936 ),37386,(+/- 6037 ),21345,(+/- 3529 )
People,Ancestry,Arab,2203,(+/- 775 ),2539,(+/- 1106 ),5809,(+/- 2370 ),2202,(+/- 858 ),5735,(+/- 2027 ),3840,(+/- 1686 ),4325,(+/- 2008 ),7692,(+/- 1962 ),22370,(+/- 4349 ),9451,(+/- 2344 ),17243,(+/- 3046 ),53975,(+/- 5208 ),31205,(+/- 4939 ),21800,(+/- 4877 )
People,Ancestry,Czech,5283,(+/- 1019 ),2620,(+/- 792 ),2583,(+/- 890 ),6334,(+/- 1177 ),3325,(+/- 1436 ),3336,(+/- 976 ),4001,(+/- 1160 ),3872,(+/- 1295 ),3386,(+/- 1216 ),1899,(+/- 588 ),3960,(+/- 989 ),3018,(+/- 801 ),953,(+/- 587 ),830,(+/- 435 )
People,Ancestry,Danish,3456,(+/- 909 ),3884,(+/- 865 ),5158,(+/- 1092 ),4663,(+/- 874 ),1560,(+/- 691 ),2212,(+/- 541 ),1522,(+/- 599 ),3579,(+/- 1202 ),1773,(+/- 689 ),1964,(+/- 1082 ),1884,(+/- 666 ),1738,(+/- 618 ),608,(+/- 502 ),773,(+/- 312 )
People,Ancestry,Dutch,21541,(+/- 2222 ),141298,(+/- 7331 ),96898,(+/- 7095 ),28905,(+/- 2599 ),10796,(+/- 1640 ),65174,(+/- 5601 ),19755,(+/- 3120 ),17058,(+/- 2308 ),9558,(+/- 2223 ),10112,(+/- 2356 ),10100,(+/- 1485 ),9732,(+/- 1502 ),3725,(+/- 1064 ),3138,(+/- 763 )
People,Ancestry,English,75733,(+/- 4018 ),60209,(+/- 4594 ),78024,(+/- 6238 ),78025,(+/- 4645 ),55001,(+/- 3793 ),73590,(+/- 5562 ),79950,(+/- 4593 ),76087,(+/- 4659 ),50430,(+/- 3497 ),62509,(+/- 4127 ),69947,(+/- 4285 ),49772,(+/- 3546 ),15099,(+/- 2179 ),17670,(+/- 2504 )
People,Ancestry,French (except Basque),54937,(+/- 3446 ),27122,(+/- 3426 ),25880,(+/- 2985 ),31076,(+/- 2941 ),38390,(+/- 3621 ),21760,(+/- 2836 ),33040,(+/- 2865 ),29595,(+/- 2425 ),25424,(+/- 2748 ),40623,(+/- 4065 ),28841,(+/- 3131 ),24774,(+/- 2856 ),8893,(+/- 1601 ),8676,(+/- 1649 )
People,Ancestry,French Canadian,24413,(+/- 2662 ),9593,(+/- 2189 ),6311,(+/- 1558 ),13244,(+/- 1511 ),14507,(+/- 2731 ),5066,(+/- 1311 ),9345,(+/- 1807 ),13414,(+/- 1880 ),12007,(+/- 1835 ),15509,(+/- 2114 ),15354,(+/- 2500 ),9237,(+/- 1493 ),5868,(+/- 1631 ),4170,(+/- 830 )
People,Ancestry,German,162824,(+/- 5787 ),144614,(+/- 6776 ),157849,(+/- 7382 ),193500,(+/- 7830 ),130984,(+/- 6007 ),156781,(+/- 7136 ),189552,(+/- 8439 ),166733,(+/- 5621 ),121810,(+/- 5770 ),185657,(+/- 7431 ),137598,(+/- 6645 ),111573,(+/- 6808 ),38113,(+/- 3587 ),42221,(+/- 3092 )
People,Ancestry,Greek,1244,(+/- 504 ),2485,(+/- 962 ),2949,(+/- 1493 ),935,(+/- 433 ),1752,(+/- 968 ),1487,(+/- 611 ),2246,(+/- 893 ),6244,(+/- 1720 ),5681,(+/- 2041 ),3097,(+/- 1154 ),6288,(+/- 1649 ),6073,(+/- 1468 ),357,(+/- 218 ),2725,(+/- 803 )
People,Ancestry,Hungarian,4605,(+/- 956 ),5046,(+/- 1281 ),4234,(+/- 1290 ),6537,(+/- 1362 ),5648,(+/- 1547 ),5470,(+/- 1082 ),6041,(+/- 1406 ),9306,(+/- 1745 ),7691,(+/- 1580 ),7450,(+/- 1307 ),10803,(+/- 2028 ),13913,(+/- 2533 ),3790,(+/- 1216 ),4422,(+/- 1124 )
People,Ancestry,Irish,81497,(+/- 4247 ),68757,(+/- 4907 ),81340,(+/- 5381 ),87399,(+/- 4825 ),69036,(+/- 5194 ),78131,(+/- 5690 ),91756,(+/- 5658 ),92954,(+/- 6615 ),73224,(+/- 4200 ),87565,(+/- 5387 ),98634,(+/- 6020 ),78681,(+/- 5842 ),33073,(+/- 3587 ),26479,(+/- 3095 )
People,Ancestry,Italian,31511,(+/- 2840 ),19562,(+/- 2875 ),23990,(+/- 3302 ),18902,(+/- 2310 ),19056,(+/- 3111 ),25348,(+/- 3371 ),26055,(+/- 3175 ),45271,(+/- 4080 ),68863,(+/- 5189 ),66286,(+/- 5498 ),52629,(+/- 4393 ),37374,(+/- 3675 ),15350,(+/- 2577 ),16651,(+/- 2117 )
People,Ancestry,Lithuanian,1792,(+/- 678 ),1675,(+/- 687 ),3087,(+/- 972 ),1051,(+/- 409 ),821,(+/- 359 ),1721,(+/- 599 ),1456,(+/- 597 ),2359,(+/- 847 ),2273,(+/- 470 ),2276,(+/- 939 ),3310,(+/- 1099 ),1989,(+/- 841 ),1143,(+/- 625 ),1895,(+/- 953 )
People,Ancestry,Norwegian,12447,(+/- 1845 ),9171,(+/- 1607 ),5006,(+/- 998 ),5143,(+/- 1166 ),4949,(+/- 1341 ),5616,(+/- 1264 ),4608,(+/- 1046 ),5571,(+/- 1320 ),3990,(+/- 939 ),2760,(+/- 870 ),7146,(+/- 1399 ),4440,(+/- 1517 ),1135,(+/- 561 ),910,(+/- 494 )
People,Ancestry,Polish,60459,(+/- 3650 ),41692,(+/- 3456 ),46774,(+/- 4530 ),40787,(+/- 3451 ),52518,(+/- 4906 ),36736,(+/- 4077 ),52672,(+/- 4181 ),69915,(+/- 5304 ),93290,(+/- 5893 ),110694,(+/- 6874 ),84874,(+/- 5730 ),68603,(+/- 4826 ),29753,(+/- 3157 ),28473,(+/- 3253 )
People,Ancestry,Portuguese,272,(+/- 238 ),217,(+/- 223 ),991,(+/- 808 ),333,(+/- 257 ),125,(+/- 158 ),693,(+/- 480 ),187,(+/- 156 ),1535,(+/- 686 ),256,(+/- 231 ),348,(+/- 253 ),1089,(+/- 987 ),740,(+/- 375 ),640,(+/- 674 ),457,(+/- 324 )
People,Ancestry,Russian,3142,(+/- 759 ),3250,(+/- 1053 ),3137,(+/- 939 ),3302,(+/- 893 ),3599,(+/- 1614 ),3136,(+/- 715 ),4706,(+/- 1317 ),6621,(+/- 1438 ),9354,(+/- 1897 ),3468,(+/- 1098 ),10514,(+/- 1564 ),6619,(+/- 1177 ),1797,(+/- 676 ),10458,(+/- 2255 )
People,Ancestry,Scotch-Irish,5599,(+/- 1021 ),4410,(+/- 1105 ),4415,(+/- 1200 ),6331,(+/- 1184 ),4079,(+/- 1048 ),6331,(+/- 1408 ),6240,(+/- 1366 ),7194,(+/- 1272 ),6040,(+/- 1673 ),7009,(+/- 1236 ),7622,(+/- 1379 ),5988,(+/- 1502 ),1521,(+/- 501 ),1897,(+/- 582 )
People,Ancestry,Scottish,18360,(+/- 1707 ),10309,(+/- 1537 ),18053,(+/- 3028 ),18570,(+/- 2125 ),12215,(+/- 1730 ),14440,(+/- 1974 ),18133,(+/- 2713 ),23523,(+/- 2730 ),18286,(+/- 2306 ),19009,(+/- 2172 ),24507,(+/- 2928 ),14721,(+/- 2157 ),5013,(+/- 1183 ),6379,(+/- 1305 )
People,Ancestry,Slovak,1384,(+/- 496 ),1779,(+/- 626 ),1732,(+/- 1008 ),2148,(+/- 569 ),1095,(+/- 503 ),1470,(+/- 532 ),1215,(+/- 521 ),1924,(+/- 672 ),2179,(+/- 702 ),1656,(+/- 698 ),2932,(+/- 822 ),1768,(+/- 654 ),783,(+/- 431 ),920,(+/- 425 )
People,Ancestry,Subsaharan African,723,(+/- 404 ),2777,(+/- 1137 ),3108,(+/- 1139 ),1620,(+/- 532 ),3513,(+/- 1402 ),4514,(+/- 1944 ),1370,(+/- 599 ),4862,(+/- 1882 ),3440,(+/- 1743 ),2825,(+/- 1973 ),2446,(+/- 1198 ),3739,(+/- 992 ),13665,(+/- 3233 ),9655,(+/- 1951 )
People,Ancestry,Swedish,28079,(+/- 2742 ),16045,(+/- 2240 ),14592,(+/- 2868 ),10430,(+/- 1424 ),7107,(+/- 1539 ),10120,(+/- 1534 ),8105,(+/- 1699 ),10162,(+/- 1966 ),5550,(+/- 1182 ),6075,(+/- 1370 ),10061,(+/- 2001 ),6412,(+/- 1510 ),3458,(+/- 1094 ),3801,(+/- 1667 )
People,Ancestry,Swiss,2466,(+/- 933 ),1813,(+/- 677 ),3605,(+/- 1298 ),2735,(+/- 876 ),489,(+/- 274 ),2240,(+/- 900 ),2043,(+/- 697 ),1534,(+/- 475 ),1484,(+/- 771 ),1185,(+/- 517 ),1549,(+/- 511 ),1090,(+/- 467 ),333,(+/- 295 ),775,(+/- 322 )
People,Ancestry,Ukrainian,3844,(+/- 2386 ),830,(+/- 445 ),1367,(+/- 614 ),1970,(+/- 847 ),1705,(+/- 849 ),1961,(+/- 1126 ),1010,(+/- 442 ),4005,(+/- 933 ),5691,(+/- 1904 ),2920,(+/- 752 ),5281,(+/- 991 ),2830,(+/- 860 ),1390,(+/- 478 ),2460,(+/- 765 )
People,Ancestry,Welsh,4026,(+/- 862 ),2639,(+/- 675 ),3575,(+/- 1332 ),3733,(+/- 876 ),1762,(+/- 562 ),4675,(+/- 1477 ),4048,(+/- 926 ),6949,(+/- 1757 ),3515,(+/- 967 ),3061,(+/- 975 ),6286,(+/- 1417 ),3394,(+/- 1119 ),1352,(+/- 827 ),1957,(+/- 572 )
