Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Ancestry,Russian,7548,(+/- 1856 ),5113,(+/- 1313 ),18608,(+/- 4866 ),6715,(+/- 1766 ),11752,(+/- 3545 )
People,Ancestry,Scotch-Irish,10861,(+/- 2163 ),10064,(+/- 1960 ),11109,(+/- 1913 ),10775,(+/- 1661 ),10866,(+/- 2012 )
People,Ancestry,Scottish,25008,(+/- 2974 ),25272,(+/- 3669 ),25918,(+/- 3044 ),24561,(+/- 2894 ),25471,(+/- 3465 )
People,Ancestry,Slovak,856,(+/- 450 ),288,(+/- 274 ),650,(+/- 398 ),364,(+/- 299 ),236,(+/- 172 )
People,Ancestry,Subsaharan African,5869,(+/- 2069 ),1144,(+/- 838 ),9325,(+/- 3003 ),2279,(+/- 950 ),4301,(+/- 1209 )
People,Ancestry,Swedish,25132,(+/- 3113 ),18729,(+/- 3321 ),23022,(+/- 2659 ),20343,(+/- 3116 ),22190,(+/- 3117 )
People,Ancestry,Swiss,5754,(+/- 1216 ),3472,(+/- 954 ),5321,(+/- 1485 ),4952,(+/- 1226 ),7602,(+/- 1967 )
People,Ancestry,Ukrainian,3694,(+/- 1881 ),1543,(+/- 688 ),12770,(+/- 3602 ),2822,(+/- 1017 ),7012,(+/- 2779 )
People,Ancestry,Welsh,10070,(+/- 2239 ),7626,(+/- 1663 ),9479,(+/- 1599 ),10890,(+/- 1840 ),7170,(+/- 1457 )
People,Ancestry,West Indian (excluding Hispanic origin groups),938,(+/- 512 ),157,(+/- 167 ),1219,(+/- 972 ),250,(+/- 269 ),850,(+/- 686 )
People,Veteran Status,Civilian population 18 years and over,643169,(+/- 3711 ),633183,(+/- 2890 ),666848,(+/- 6128 ),644940,(+/- 3341 ),634400,(+/- 4740 )
People,Veteran Status,Civilian veterans,53782,(+/- 3023 ),70739,(+/- 3567 ),44657,(+/- 2767 ),69435,(+/- 2689 ),57232,(+/- 3229 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,824364,(+/- 4089 ),795920,(+/- 3232 ),829993,(+/- 7388 ),791277,(+/- 3966 ),812799,(+/- 6133 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,95263,(+/- 4384 ),129503,(+/- 5449 ),110444,(+/- 5473 ),143869,(+/- 6253 ),116097,(+/- 5212 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,186675,(+/- 1669 ),175888,(+/- 1964 ),167436,(+/- 3034 ),149829,(+/- 2250 ),186757,(+/- 2705 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,8032,(+/- 1573 ),7215,(+/- 1392 ),7597,(+/- 1536 ),8449,(+/- 1932 ),7052,(+/- 1573 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,521245,(+/- 3806 ),460985,(+/- 3515 ),558038,(+/- 6092 ),481226,(+/- 3557 ),487566,(+/- 5082 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,46073,(+/- 3390 ),62406,(+/- 4253 ),62939,(+/- 4302 ),73583,(+/- 4404 ),58114,(+/- 4210 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,116444,(+/- 1678 ),159047,(+/- 2697 ),104519,(+/- 2618 ),160222,(+/- 2071 ),138476,(+/- 2540 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,41158,(+/- 2338 ),59882,(+/- 3072 ),39908,(+/- 2671 ),61837,(+/- 2919 ),50931,(+/- 3085 )
People,Residence 1 Year Ago,Population 1 year and over,822000,(+/- 4282 ),802462,(+/- 3294 ),826522,(+/- 6997 ),790138,(+/- 3515 ),811099,(+/- 5901 )
People,Residence 1 Year Ago,Same house,680212,(+/- 9948 ),656489,(+/- 9485 ),672316,(+/- 11908 ),622687,(+/- 10207 ),676101,(+/- 10713 )
People,Residence 1 Year Ago,Different house in the U.S.,134396,(+/- 8960 ),142825,(+/- 9183 ),144799,(+/- 9739 ),163842,(+/- 9612 ),131422,(+/- 8729 )
People,Residence 1 Year Ago,Same county,73441,(+/- 7187 ),83736,(+/- 8067 ),88765,(+/- 8664 ),105629,(+/- 8426 ),70247,(+/- 6604 )
People,Residence 1 Year Ago,Different county,60955,(+/- 5806 ),59089,(+/- 5934 ),56034,(+/- 5283 ),58213,(+/- 5304 ),61175,(+/- 6116 )
People,Residence 1 Year Ago,Same state,32358,(+/- 3822 ),29965,(+/- 4824 ),21144,(+/- 2963 ),27952,(+/- 3814 ),44713,(+/- 5491 )
People,Residence 1 Year Ago,Different state,28597,(+/- 4226 ),29124,(+/- 4413 ),34890,(+/- 4599 ),30261,(+/- 3838 ),16462,(+/- 2984 )
People,Residence 1 Year Ago,Abroad,7392,(+/- 2006 ),3148,(+/- 1103 ),9407,(+/- 3251 ),3609,(+/- 1490 ),3576,(+/- 1333 )
Workers,Employment Status,Population 16 years and over,665487,(+/- 3900 ),655257,(+/- 3268 ),685005,(+/- 6331 ),663832,(+/- 3391 ),658071,(+/- 5181 )
Workers,Employment Status,In labor force,444356,(+/- 5933 ),377084,(+/- 6728 ),468140,(+/- 8569 ),369277,(+/- 6246 ),402145,(+/- 6868 )
Workers,Employment Status,Civilian labor force,443566,(+/- 6102 ),376536,(+/- 6736 ),467605,(+/- 8643 ),368915,(+/- 6205 ),401701,(+/- 6840 )
Workers,Employment Status,Employed,424332,(+/- 5829 ),350216,(+/- 6739 ),443967,(+/- 8813 ),340191,(+/- 6310 ),381976,(+/- 7076 )
Workers,Employment Status,Unemployed,19234,(+/- 2587 ),26320,(+/- 3686 ),23638,(+/- 2687 ),28724,(+/- 3161 ),19725,(+/- 2597 )
Workers,Employment Status,Armed Forces,790,(+/- 456 ),548,(+/- 355 ),535,(+/- 352 ),362,(+/- 284 ),444,(+/- 323 )
Workers,Employment Status,Not in labor force,221131,(+/- 5221 ),278173,(+/- 7088 ),216865,(+/- 7489 ),294555,(+/- 6421 ),255926,(+/- 6375 )
Workers,Employment Status,Civilian labor force,443566,(+/- 6102 ),376536,(+/- 6736 ),467605,(+/- 8643 ),368915,(+/- 6205 ),401701,(+/- 6840 )
Workers,Employment Status,Unemployment Rate,4.3,(+/- 0.6 ),7.0,(+/- 1.0 ),5.1,(+/- 0.6 ),7.8,(+/- 0.8 ),4.9,(+/- 0.6 )
Workers,Commuting to Work,Workers 16 years and over,415571,(+/- 6007 ),343102,(+/- 6857 ),435819,(+/- 8573 ),332029,(+/- 6459 ),372835,(+/- 7220 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",305333,(+/- 6412 ),263505,(+/- 6725 ),273828,(+/- 7510 ),250119,(+/- 6553 ),281619,(+/- 7989 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",40744,(+/- 3910 ),33888,(+/- 3621 ),39948,(+/- 3437 ),29516,(+/- 3221 ),40536,(+/- 4231 )
Workers,Commuting to Work,Public transportation (excluding taxicab),20141,(+/- 2440 ),827,(+/- 514 ),47525,(+/- 3762 ),4901,(+/- 1174 ),9335,(+/- 1617 )
Workers,Commuting to Work,Walked,13740,(+/- 2160 ),10585,(+/- 1712 ),18427,(+/- 2077 ),14418,(+/- 1928 ),11512,(+/- 1870 )
Workers,Commuting to Work,Other means,8767,(+/- 1683 ),8472,(+/- 1631 ),24418,(+/- 2564 ),14759,(+/- 2712 ),6847,(+/- 1256 )
Workers,Commuting to Work,Worked at home,26846,(+/- 2627 ),25825,(+/- 3204 ),31673,(+/- 3140 ),18316,(+/- 2002 ),22986,(+/- 2740 )
Workers,Commuting to Work,Mean travel time to work (minutes),25.2,(+/- 0.5 ),18.0,(+/- 0.6 ),28.4,(+/- 0.7 ),20.0,(+/- 0.7 ),26.0,(+/- 0.8 )
Workers,Occupation,Civilian employed population 16 years and over,424332,(+/- 5829 ),350216,(+/- 6739 ),443967,(+/- 8813 ),340191,(+/- 6310 ),381976,(+/- 7076 )
Workers,Occupation,"Management, business, science, and arts occupations",187371,(+/- 6289 ),108156,(+/- 5869 ),198829,(+/- 6421 ),121901,(+/- 4811 ),136597,(+/- 5265 )
Workers,Occupation,Service occupations,65561,(+/- 4711 ),73350,(+/- 4793 ),72830,(+/- 4271 ),64821,(+/- 3741 ),67403,(+/- 3991 )
Workers,Occupation,Sales and office occupations,95677,(+/- 4777 ),81793,(+/- 4582 ),94592,(+/- 4429 ),83853,(+/- 4691 ),90265,(+/- 4330 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30993,(+/- 2850 ),40692,(+/- 4219 ),27817,(+/- 3129 ),28477,(+/- 2804 ),40514,(+/- 3403 )
Workers,Occupation,"Production, transportation, and material moving occupations",44730,(+/- 3700 ),46225,(+/- 4428 ),49899,(+/- 3591 ),41139,(+/- 3042 ),47197,(+/- 3733 )
Workers,Industry,Civilian employed population 16 years and over,424332,(+/- 5829 ),350216,(+/- 6739 ),443967,(+/- 8813 ),340191,(+/- 6310 ),381976,(+/- 7076 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9897,(+/- 1987 ),21176,(+/- 2748 ),5305,(+/- 1515 ),11144,(+/- 1917 ),16084,(+/- 2637 )
Workers,Industry,Construction,24786,(+/- 2845 ),22634,(+/- 2629 ),22198,(+/- 2890 ),19454,(+/- 2401 ),26804,(+/- 2958 )
Workers,Industry,Manufacturing,69445,(+/- 4382 ),33192,(+/- 3288 ),41820,(+/- 3090 ),34449,(+/- 2797 ),38949,(+/- 3414 )
Workers,Industry,Wholesale trade,12041,(+/- 1791 ),9770,(+/- 1939 ),15025,(+/- 2131 ),9160,(+/- 1799 ),11565,(+/- 2118 )
Workers,Industry,Retail trade,49515,(+/- 3639 ),47478,(+/- 4227 ),47440,(+/- 3205 ),44477,(+/- 3859 ),44112,(+/- 3854 )
Workers,Industry,"Transportation and warehousing, and utilities",15841,(+/- 2320 ),15580,(+/- 2653 ),25325,(+/- 2791 ),12443,(+/- 1792 ),18064,(+/- 2172 )
Workers,Industry,Information,9576,(+/- 1489 ),6230,(+/- 1641 ),10443,(+/- 1770 ),4971,(+/- 1334 ),5957,(+/- 1338 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26483,(+/- 2672 ),16922,(+/- 2632 ),28026,(+/- 2766 ),15522,(+/- 1968 ),22077,(+/- 2350 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",55548,(+/- 4320 ),27926,(+/- 2554 ),58901,(+/- 3947 ),28897,(+/- 3091 ),39035,(+/- 3376 )
Workers,Industry,"Educational services, and health care and social assistance",83854,(+/- 4211 ),73551,(+/- 4297 ),105542,(+/- 5196 ),94149,(+/- 4594 ),82807,(+/- 4809 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",34407,(+/- 3061 ),41862,(+/- 3669 ),47954,(+/- 4371 ),33031,(+/- 2819 ),34768,(+/- 3782 )
Workers,Industry,"Other services, except public administration",18308,(+/- 2604 ),16609,(+/- 2193 ),19353,(+/- 2161 ),16926,(+/- 2239 ),18492,(+/- 2128 )
Workers,Industry,Public administration,14631,(+/- 1975 ),17286,(+/- 2512 ),16635,(+/- 2059 ),15568,(+/- 1739 ),23262,(+/- 2670 )
Workers,Class of Worker,Civilian employed population 16 years and over,424332,(+/- 5829 ),350216,(+/- 6739 ),443967,(+/- 8813 ),340191,(+/- 6310 ),381976,(+/- 7076 )
Workers,Class of Worker,Private wage and salary workers,355292,(+/- 6787 ),268217,(+/- 6680 ),362484,(+/- 9280 ),256428,(+/- 6234 ),296981,(+/- 7538 )
Workers,Class of Worker,Government workers,42497,(+/- 3295 ),49154,(+/- 3620 ),52617,(+/- 4035 ),58886,(+/- 4089 ),58492,(+/- 3534 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,26061,(+/- 2620 ),32128,(+/- 2813 ),27569,(+/- 2928 ),24524,(+/- 2313 ),25983,(+/- 2910 )
Workers,Class of Worker,Unpaid family workers,482,(+/- 304 ),717,(+/- 298 ),1297,(+/- 578 ),353,(+/- 215 ),520,(+/- 326 )
Housing,Housing Occupancy,Total housing units,338365,(+/- 1909 ),363249,(+/- 1856 ),343772,(+/- 3122 ),349873,(+/- 2241 ),337628,(+/- 2423 )
Housing,Housing Occupancy,Occupied housing units,311524,(+/- 3805 ),315374,(+/- 4200 ),324260,(+/- 4089 ),318197,(+/- 3213 ),302323,(+/- 3639 )
Housing,Housing Occupancy,Vacant housing units,26841,(+/- 3422 ),47875,(+/- 3939 ),19512,(+/- 2801 ),31676,(+/- 2874 ),35305,(+/- 3217 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.1,(+/- 0.5 ),1.6,(+/- 0.6 ),1.0,(+/- 0.5 ),1.9,(+/- 0.7 ),2.6,(+/- 0.9 )
Housing,Housing Occupancy,Rental vacancy rate,2.7,(+/- 1.0 ),3.0,(+/- 0.9 ),2.4,(+/- 0.8 ),3.6,(+/- 0.9 ),4.4,(+/- 1.1 )
Housing,Housing Tenure,Occupied housing units,311524,(+/- 3805 ),315374,(+/- 4200 ),324260,(+/- 4089 ),318197,(+/- 3213 ),302323,(+/- 3639 )
Housing,Housing Tenure,Owner-occupied,192983,(+/- 4526 ),204731,(+/- 4396 ),181551,(+/- 5024 ),197080,(+/- 4112 ),193234,(+/- 4149 )
Housing,Housing Tenure,Renter-occupied,118541,(+/- 4521 ),110643,(+/- 4562 ),142709,(+/- 5120 ),121117,(+/- 4571 ),109089,(+/- 4155 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.74,(+/- 0.04 ),2.53,(+/- 0.05 ),2.68,(+/- 0.05 ),2.46,(+/- 0.05 ),2.74,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.43,(+/- 0.06 ),2.44,(+/- 0.08 ),2.32,(+/- 0.06 ),2.41,(+/- 0.06 ),2.52,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,311524,(+/- 3805 ),315374,(+/- 4200 ),324260,(+/- 4089 ),318197,(+/- 3213 ),302323,(+/- 3639 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,71305,(+/- 3801 ),70832,(+/- 4191 ),71552,(+/- 4036 ),73170,(+/- 3676 ),61452,(+/- 3848 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,94964,(+/- 3566 ),92283,(+/- 3577 ),107876,(+/- 4932 ),87320,(+/- 4767 ),89704,(+/- 4153 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,84477,(+/- 3972 ),82182,(+/- 3158 ),79360,(+/- 3960 ),80659,(+/- 3735 ),81497,(+/- 4165 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,34843,(+/- 2582 ),36025,(+/- 2754 ),36071,(+/- 2241 ),38431,(+/- 2534 ),40527,(+/- 2869 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,13469,(+/- 1653 ),16025,(+/- 2085 ),15049,(+/- 1859 ),19955,(+/- 1976 ),15081,(+/- 1765 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,12466,(+/- 1437 ),18027,(+/- 1630 ),14352,(+/- 1452 ),18662,(+/- 1792 ),14062,(+/- 1614 )
Housing,Value,Owner-occupied units,192983,(+/- 4526 ),204731,(+/- 4396 ),181551,(+/- 5024 ),197080,(+/- 4112 ),193234,(+/- 4149 )
Housing,Value,"Less than $50,000",6409,(+/- 1126 ),19020,(+/- 2542 ),5478,(+/- 1008 ),14302,(+/- 1979 ),9784,(+/- 1447 )
Housing,Value,"$50,000 to $99,999",2764,(+/- 668 ),16353,(+/- 2281 ),1451,(+/- 521 ),10166,(+/- 1462 ),5975,(+/- 1142 )
Housing,Value,"$100,000 to $149,999",5320,(+/- 1005 ),20887,(+/- 2222 ),3502,(+/- 890 ),22778,(+/- 2206 ),12365,(+/- 1443 )
Housing,Value,"$150,000 to $199,999",13332,(+/- 1504 ),28146,(+/- 2019 ),10271,(+/- 1430 ),34186,(+/- 2325 ),24150,(+/- 2224 )
Housing,Value,"$200,000 to $299,999",47490,(+/- 2907 ),50868,(+/- 2550 ),45968,(+/- 2947 ),56602,(+/- 3194 ),49748,(+/- 3222 )
Housing,Value,"$300,000 to $499,999",77482,(+/- 3432 ),44086,(+/- 2811 ),71061,(+/- 3318 ),44796,(+/- 2676 ),61705,(+/- 3317 )
Housing,Value,"$500,000 to $999,999",35410,(+/- 2008 ),20681,(+/- 1826 ),40033,(+/- 2258 ),12871,(+/- 1495 ),24746,(+/- 1773 )
Housing,Value,"$1,000,000 or more",4776,(+/- 1024 ),4690,(+/- 935 ),3787,(+/- 724 ),1379,(+/- 504 ),4761,(+/- 860 )
Housing,Value,Median (dollars),346300,(+/- 5348 ),233800,(+/- 5665 ),359700,(+/- 5730 ),227800,(+/- 5044 ),288700,(+/- 6613 )
Housing,Mortgage Status,Owner-occupied units,192983,(+/- 4526 ),204731,(+/- 4396 ),181551,(+/- 5024 ),197080,(+/- 4112 ),193234,(+/- 4149 )
Housing,Mortgage Status,Housing units with a mortgage,139967,(+/- 4301 ),121686,(+/- 4041 ),134773,(+/- 4495 ),118855,(+/- 3604 ),127573,(+/- 3954 )
Housing,Mortgage Status,Housing units without a mortgage,53016,(+/- 2948 ),83045,(+/- 3481 ),46778,(+/- 2770 ),78225,(+/- 3112 ),65661,(+/- 2773 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,139967,(+/- 4301 ),121686,(+/- 4041 ),134773,(+/- 4495 ),118855,(+/- 3604 ),127573,(+/- 3954 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,913,(+/- 486 ),1912,(+/- 593 ),669,(+/- 285 ),2412,(+/- 733 ),764,(+/- 322 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,10119,(+/- 1453 ),27868,(+/- 2613 ),8770,(+/- 1482 ),25461,(+/- 2275 ),14741,(+/- 1628 )
