Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE
People,Sex and Age,45 to 54 years,92209,(+/- 1836 ),91114,(+/- 3057 ),94189,(+/- 2766 ),94337,(+/- 2434 ),100717,(+/- 1843 ),94293,(+/- 2959 ),78764,(+/- 2792 )
People,Sex and Age,55 to 59 years,48797,(+/- 2950 ),48075,(+/- 2642 ),47693,(+/- 2830 ),49034,(+/- 2848 ),52732,(+/- 3052 ),48043,(+/- 3248 ),46519,(+/- 2589 )
People,Sex and Age,60 to 64 years,47119,(+/- 2935 ),39596,(+/- 2454 ),44444,(+/- 2708 ),42699,(+/- 2688 ),42646,(+/- 2862 ),44016,(+/- 2674 ),41891,(+/- 2364 )
People,Sex and Age,65 to 74 years,72162,(+/- 1163 ),65346,(+/- 1509 ),66045,(+/- 1404 ),74007,(+/- 1691 ),65892,(+/- 1200 ),63703,(+/- 2116 ),58514,(+/- 2318 )
People,Sex and Age,75 to 84 years,35254,(+/- 1811 ),33477,(+/- 1650 ),32196,(+/- 1971 ),36729,(+/- 1565 ),32988,(+/- 1857 ),32272,(+/- 1862 ),28978,(+/- 1747 )
People,Sex and Age,85 years and over,13583,(+/- 1645 ),11134,(+/- 1368 ),11491,(+/- 1550 ),11218,(+/- 1362 ),13539,(+/- 1742 ),13096,(+/- 1380 ),12328,(+/- 1285 )
People,Sex and Age,Median age (years),39.6,(+/- 0.4 ),38.2,(+/- 0.6 ),38.3,(+/- 0.5 ),40.7,(+/- 0.4 ),40.1,(+/- 0.4 ),39.0,(+/- 0.5 ),36.5,(+/- 0.6 )
People,Sex and Age,18 years and over,543418,(+/- 2428 ),527544,(+/- 4650 ),551491,(+/- 3872 ),528503,(+/- 3956 ),555343,(+/- 1124 ),539706,(+/- 4623 ),517778,(+/- 5843 )
People,Sex and Age,65 years and over,120999,(+/- 1259 ),109957,(+/- 1718 ),109732,(+/- 1601 ),121954,(+/- 1824 ),112419,(+/- 1327 ),109071,(+/- 2588 ),99820,(+/- 2709 )
People,Race,Total population,704457,(+/- 3112 ),681621,(+/- 6239 ),709482,(+/- 4694 ),683273,(+/- 5034 ),712529,(+/- 877 ),706308,(+/- 5741 ),665630,(+/- 7888 )
People,Race,One race,690895,(+/- 3764 ),668898,(+/- 6169 ),700017,(+/- 5415 ),673386,(+/- 5304 ),696146,(+/- 2580 ),691560,(+/- 6354 ),658540,(+/- 7974 )
People,Race,White,474871,(+/- 2454 ),429562,(+/- 3821 ),492798,(+/- 3305 ),603756,(+/- 6187 ),541334,(+/- 2860 ),554343,(+/- 6222 ),219720,(+/- 6195 )
People,Race,Black or African American,192647,(+/- 3257 ),219450,(+/- 5960 ),186240,(+/- 4789 ),48274,(+/- 3357 ),127192,(+/- 2077 ),104942,(+/- 6630 ),422357,(+/- 8839 )
People,Race,American Indian and Alaska Native,7670,(+/- 1620 ),2283,(+/- 644 ),2027,(+/- 1322 ),5380,(+/- 1253 ),4720,(+/- 1308 ),1387,(+/- 726 ),1042,(+/- 733 )
People,Race,Asian,9224,(+/- 835 ),7813,(+/- 1518 ),13838,(+/- 2225 ),6139,(+/- 1889 ),10823,(+/- 1481 ),11142,(+/- 1922 ),6632,(+/- 1998 )
People,Race,Native Hawaiian and Other Pacific Islander,192,(+/- 278 ),101,(+/- 159 ),86,(+/- 115 ),87,(+/- 140 ),440,(+/- 239 ),276,(+/- 248 ),321,(+/- 324 )
People,Race,Some other race,6291,(+/- 2262 ),9689,(+/- 2090 ),5028,(+/- 1724 ),9750,(+/- 3125 ),11637,(+/- 2310 ),19470,(+/- 3959 ),8468,(+/- 2569 )
People,Race,Two or more races,13562,(+/- 2310 ),12723,(+/- 2566 ),9465,(+/- 2109 ),9887,(+/- 1786 ),16383,(+/- 2502 ),14748,(+/- 3646 ),7090,(+/- 2200 )
People,Hispanic or Latino and Race,Total population,704457,(+/- 3112 ),681621,(+/- 6239 ),709482,(+/- 4694 ),683273,(+/- 5034 ),712529,(+/- 877 ),706308,(+/- 5741 ),665630,(+/- 7888 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),21318,(+/- 584 ),23757,(+/- 859 ),21499,(+/- 1041 ),45555,(+/- 2049 ),36075,(+/- 2 ),34100,(+/- 2882 ),17382,(+/- 2770 )
People,Hispanic or Latino and Race,Mexican,11045,(+/- 2325 ),13435,(+/- 1802 ),12551,(+/- 2288 ),29292,(+/- 4404 ),22960,(+/- 2673 ),26234,(+/- 2949 ),11060,(+/- 2386 )
People,Hispanic or Latino and Race,Puerto Rican,5315,(+/- 2070 ),2963,(+/- 958 ),3940,(+/- 1765 ),1747,(+/- 1168 ),3673,(+/- 1710 ),1437,(+/- 843 ),855,(+/- 533 )
People,Hispanic or Latino and Race,Cuban,511,(+/- 426 ),594,(+/- 578 ),866,(+/- 575 ),1414,(+/- 1294 ),538,(+/- 392 ),780,(+/- 721 ),177,(+/- 226 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,4447,(+/- 2025 ),6765,(+/- 1566 ),4142,(+/- 1573 ),13102,(+/- 3598 ),8904,(+/- 2468 ),5649,(+/- 1682 ),5290,(+/- 1590 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,683139,(+/- 3199 ),657864,(+/- 6227 ),687983,(+/- 4744 ),637718,(+/- 4615 ),676454,(+/- 876 ),672208,(+/- 6390 ),648248,(+/- 8193 )
People,Place of Birth,Total population,704457,(+/- 3112 ),681621,(+/- 6239 ),709482,(+/- 4694 ),683273,(+/- 5034 ),712529,(+/- 877 ),706308,(+/- 5741 ),665630,(+/- 7888 )
People,Place of Birth,Native,685456,(+/- 4655 ),664085,(+/- 6804 ),689782,(+/- 5079 ),659916,(+/- 5168 ),681561,(+/- 3521 ),672702,(+/- 6399 ),646169,(+/- 8663 )
People,Place of Birth,Born in United States,680541,(+/- 4948 ),655315,(+/- 7110 ),683748,(+/- 5357 ),655816,(+/- 5460 ),670884,(+/- 3896 ),666067,(+/- 6339 ),642235,(+/- 8567 )
People,Place of Birth,State of residence,481200,(+/- 10162 ),475240,(+/- 9191 ),460581,(+/- 7971 ),507968,(+/- 8321 ),434828,(+/- 8889 ),493273,(+/- 9566 ),527627,(+/- 9465 )
People,Place of Birth,Different state,199341,(+/- 8914 ),180075,(+/- 6623 ),223167,(+/- 6822 ),147848,(+/- 7635 ),236056,(+/- 8571 ),172794,(+/- 7625 ),114608,(+/- 6288 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4915,(+/- 1371 ),8770,(+/- 1668 ),6034,(+/- 1340 ),4100,(+/- 1257 ),10677,(+/- 2470 ),6635,(+/- 1657 ),3934,(+/- 1343 )
People,Place of Birth,Foreign born,19001,(+/- 3257 ),17536,(+/- 2028 ),19700,(+/- 2113 ),23357,(+/- 2482 ),30968,(+/- 3230 ),33606,(+/- 3490 ),19461,(+/- 2866 )
People,Ancestry,Total population,704457,(+/- 3112 ),681621,(+/- 6239 ),709482,(+/- 4694 ),683273,(+/- 5034 ),712529,(+/- 877 ),706308,(+/- 5741 ),665630,(+/- 7888 )
People,Ancestry,American,111234,(+/- 8405 ),118682,(+/- 7300 ),100822,(+/- 6939 ),135135,(+/- 6636 ),94522,(+/- 6438 ),96163,(+/- 8350 ),72678,(+/- 6579 )
People,Ancestry,Arab,4406,(+/- 2855 ),1518,(+/- 1384 ),624,(+/- 410 ),674,(+/- 633 ),412,(+/- 236 ),4931,(+/- 1993 ),2291,(+/- 1664 )
People,Ancestry,Czech,1666,(+/- 1110 ),741,(+/- 374 ),1292,(+/- 781 ),408,(+/- 383 ),601,(+/- 408 ),1058,(+/- 718 ),391,(+/- 409 )
People,Ancestry,Danish,435,(+/- 311 ),261,(+/- 198 ),261,(+/- 257 ),718,(+/- 567 ),822,(+/- 421 ),1170,(+/- 520 ),203,(+/- 172 )
People,Ancestry,Dutch,4436,(+/- 1432 ),4001,(+/- 1075 ),4793,(+/- 1600 ),5156,(+/- 1215 ),6921,(+/- 1818 ),6177,(+/- 1333 ),2196,(+/- 853 )
People,Ancestry,English,49650,(+/- 4825 ),43365,(+/- 3252 ),48280,(+/- 4870 ),44776,(+/- 3917 ),62837,(+/- 5032 ),73558,(+/- 5462 ),22320,(+/- 3325 )
People,Ancestry,French (except Basque),21111,(+/- 3825 ),7340,(+/- 1594 ),8251,(+/- 2129 ),5913,(+/- 1588 ),14123,(+/- 2922 ),14039,(+/- 2701 ),3358,(+/- 961 )
People,Ancestry,French Canadian,1596,(+/- 702 ),1209,(+/- 538 ),1072,(+/- 504 ),615,(+/- 368 ),1669,(+/- 827 ),972,(+/- 562 ),653,(+/- 453 )
People,Ancestry,German,51300,(+/- 5519 ),34646,(+/- 3606 ),45280,(+/- 4521 ),43901,(+/- 4007 ),53904,(+/- 4722 ),54876,(+/- 4832 ),22997,(+/- 4250 )
People,Ancestry,Greek,1817,(+/- 939 ),789,(+/- 584 ),1262,(+/- 808 ),830,(+/- 559 ),1121,(+/- 580 ),2585,(+/- 1216 ),1031,(+/- 785 )
People,Ancestry,Hungarian,744,(+/- 482 ),1064,(+/- 808 ),1468,(+/- 927 ),518,(+/- 264 ),2422,(+/- 1820 ),883,(+/- 499 ),449,(+/- 455 )
People,Ancestry,Irish,57096,(+/- 5318 ),40349,(+/- 3046 ),57718,(+/- 5796 ),70234,(+/- 5603 ),74390,(+/- 6904 ),80102,(+/- 6555 ),27428,(+/- 4153 )
People,Ancestry,Italian,13882,(+/- 2913 ),8665,(+/- 1561 ),11288,(+/- 2893 ),8929,(+/- 2392 ),15869,(+/- 3987 ),22422,(+/- 4454 ),7527,(+/- 1560 )
People,Ancestry,Lithuanian,243,(+/- 227 ),298,(+/- 361 ),363,(+/- 273 ),479,(+/- 643 ),366,(+/- 302 ),517,(+/- 544 ),469,(+/- 323 )
People,Ancestry,Norwegian,2103,(+/- 749 ),1651,(+/- 547 ),3210,(+/- 1150 ),969,(+/- 652 ),3908,(+/- 1362 ),2201,(+/- 865 ),645,(+/- 334 )
People,Ancestry,Polish,4074,(+/- 1304 ),2918,(+/- 774 ),3830,(+/- 1304 ),4022,(+/- 1739 ),5518,(+/- 1589 ),6856,(+/- 1447 ),2552,(+/- 898 )
People,Ancestry,Portuguese,181,(+/- 247 ),328,(+/- 190 ),188,(+/- 206 ),296,(+/- 297 ),378,(+/- 305 ),250,(+/- 216 ),229,(+/- 177 )
People,Ancestry,Russian,1299,(+/- 867 ),1201,(+/- 767 ),1246,(+/- 782 ),622,(+/- 586 ),1756,(+/- 788 ),2939,(+/- 1222 ),423,(+/- 251 )
People,Ancestry,Scotch-Irish,8844,(+/- 1928 ),9251,(+/- 1639 ),12721,(+/- 2406 ),9632,(+/- 1870 ),13316,(+/- 2361 ),18516,(+/- 2972 ),7480,(+/- 1892 )
People,Ancestry,Scottish,14868,(+/- 2241 ),10613,(+/- 2028 ),11675,(+/- 2406 ),11710,(+/- 2278 ),14882,(+/- 2905 ),19851,(+/- 3058 ),6287,(+/- 1422 )
People,Ancestry,Slovak,173,(+/- 155 ),93,(+/- 73 ),0,(+/- 195 ),242,(+/- 236 ),402,(+/- 294 ),457,(+/- 378 ),211,(+/- 158 )
People,Ancestry,Subsaharan African,2362,(+/- 940 ),13598,(+/- 3119 ),4110,(+/- 1642 ),2256,(+/- 1253 ),3473,(+/- 1550 ),4681,(+/- 2226 ),9850,(+/- 2389 )
People,Ancestry,Swedish,2643,(+/- 843 ),1702,(+/- 735 ),1929,(+/- 938 ),2441,(+/- 1247 ),2920,(+/- 1381 ),2149,(+/- 699 ),1313,(+/- 629 )
People,Ancestry,Swiss,707,(+/- 485 ),389,(+/- 328 ),288,(+/- 251 ),97,(+/- 112 ),355,(+/- 246 ),1034,(+/- 755 ),204,(+/- 207 )
People,Ancestry,Ukrainian,824,(+/- 576 ),369,(+/- 354 ),515,(+/- 508 ),5,(+/- 9 ),400,(+/- 444 ),637,(+/- 475 ),211,(+/- 209 )
People,Ancestry,Welsh,2849,(+/- 1001 ),3158,(+/- 1031 ),4202,(+/- 1390 ),2700,(+/- 1233 ),4241,(+/- 1391 ),4337,(+/- 1434 ),1318,(+/- 669 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1169,(+/- 682 ),1137,(+/- 690 ),1444,(+/- 1071 ),1015,(+/- 582 ),4240,(+/- 2461 ),1203,(+/- 789 ),1232,(+/- 916 )
People,Veteran Status,Civilian population 18 years and over,542568,(+/- 2494 ),521223,(+/- 4643 ),548316,(+/- 4210 ),528084,(+/- 3929 ),553655,(+/- 1421 ),539382,(+/- 4656 ),517180,(+/- 5847 )
People,Veteran Status,Civilian veterans,51066,(+/- 3602 ),52790,(+/- 3002 ),48831,(+/- 3214 ),42977,(+/- 2986 ),56322,(+/- 3611 ),40704,(+/- 3328 ),38386,(+/- 3443 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,691182,(+/- 3378 ),661346,(+/- 6246 ),696843,(+/- 5474 ),677025,(+/- 5136 ),701156,(+/- 1948 ),698153,(+/- 5948 ),656824,(+/- 7705 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,105339,(+/- 4440 ),121765,(+/- 4805 ),117076,(+/- 6363 ),122661,(+/- 4929 ),104044,(+/- 5167 ),91505,(+/- 4633 ),124742,(+/- 5158 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,160912,(+/- 1758 ),153921,(+/- 3244 ),157590,(+/- 2487 ),154593,(+/- 2792 ),156949,(+/- 1138 ),166474,(+/- 3540 ),147613,(+/- 5081 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7641,(+/- 2000 ),9613,(+/- 1437 ),6584,(+/- 1411 ),7839,(+/- 1342 ),8663,(+/- 1971 ),5222,(+/- 1179 ),10080,(+/- 1753 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,411939,(+/- 2936 ),400628,(+/- 5105 ),432348,(+/- 4559 ),403884,(+/- 3939 ),434628,(+/- 2284 ),425168,(+/- 4960 ),412908,(+/- 5999 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,55069,(+/- 3714 ),65118,(+/- 4042 ),63992,(+/- 4832 ),66562,(+/- 4453 ),54073,(+/- 4380 ),46547,(+/- 3986 ),69774,(+/- 4362 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,118331,(+/- 1199 ),106797,(+/- 1987 ),106905,(+/- 1786 ),118548,(+/- 1825 ),109579,(+/- 1542 ),106511,(+/- 2571 ),96303,(+/- 2685 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,42629,(+/- 2545 ),47034,(+/- 1948 ),46500,(+/- 2894 ),48260,(+/- 2550 ),41308,(+/- 2572 ),39736,(+/- 2351 ),44888,(+/- 2531 )
People,Residence 1 Year Ago,Population 1 year and over,696508,(+/- 3266 ),674547,(+/- 6267 ),700459,(+/- 4859 ),677484,(+/- 4897 ),704363,(+/- 1636 ),699454,(+/- 6247 ),657311,(+/- 8018 )
People,Residence 1 Year Ago,Same house,620816,(+/- 6851 ),569883,(+/- 7929 ),596479,(+/- 9304 ),595920,(+/- 7768 ),592389,(+/- 8832 ),607739,(+/- 8674 ),558624,(+/- 10642 )
People,Residence 1 Year Ago,Different house in the U.S.,73548,(+/- 6466 ),101775,(+/- 6158 ),100993,(+/- 7748 ),80455,(+/- 7167 ),110101,(+/- 8780 ),90442,(+/- 7553 ),94900,(+/- 7603 )
People,Residence 1 Year Ago,Same county,46076,(+/- 5333 ),52158,(+/- 4799 ),51333,(+/- 5543 ),52029,(+/- 6004 ),65040,(+/- 7180 ),55834,(+/- 7065 ),61112,(+/- 6875 )
People,Residence 1 Year Ago,Different county,27472,(+/- 4404 ),49617,(+/- 5091 ),49660,(+/- 5972 ),28426,(+/- 4489 ),45061,(+/- 5508 ),34608,(+/- 3997 ),33788,(+/- 3419 )
People,Residence 1 Year Ago,Same state,9457,(+/- 2045 ),28788,(+/- 4012 ),23136,(+/- 3691 ),19879,(+/- 3641 ),24779,(+/- 4307 ),22364,(+/- 3386 ),18009,(+/- 2909 )
People,Residence 1 Year Ago,Different state,18015,(+/- 3658 ),20829,(+/- 2776 ),26524,(+/- 4374 ),8547,(+/- 2343 ),20282,(+/- 3537 ),12244,(+/- 2526 ),15779,(+/- 3078 )
People,Residence 1 Year Ago,Abroad,2144,(+/- 913 ),2889,(+/- 1132 ),2987,(+/- 960 ),1109,(+/- 593 ),1873,(+/- 890 ),1273,(+/- 562 ),3787,(+/- 1590 )
Workers,Employment Status,Population 16 years and over,563657,(+/- 2713 ),544728,(+/- 4709 ),569203,(+/- 4051 ),548762,(+/- 3952 ),575462,(+/- 2355 ),560355,(+/- 4790 ),535574,(+/- 6317 )
Workers,Employment Status,In labor force,311012,(+/- 6833 ),310556,(+/- 6238 ),326149,(+/- 6284 ),294980,(+/- 6328 ),344794,(+/- 5375 ),347223,(+/- 6765 ),297949,(+/- 7131 )
Workers,Employment Status,Civilian labor force,310162,(+/- 6865 ),304235,(+/- 6010 ),322974,(+/- 6307 ),294561,(+/- 6304 ),343106,(+/- 5372 ),346899,(+/- 6796 ),297351,(+/- 7071 )
Workers,Employment Status,Employed,292595,(+/- 7250 ),285803,(+/- 6542 ),301627,(+/- 6798 ),276595,(+/- 6335 ),325288,(+/- 4940 ),331531,(+/- 6648 ),264886,(+/- 6680 )
Workers,Employment Status,Unemployed,17567,(+/- 2705 ),18432,(+/- 2367 ),21347,(+/- 2331 ),17966,(+/- 2352 ),17818,(+/- 2394 ),15368,(+/- 1835 ),32465,(+/- 2880 )
Workers,Employment Status,Armed Forces,850,(+/- 442 ),6321,(+/- 1027 ),3175,(+/- 1154 ),419,(+/- 312 ),1688,(+/- 705 ),324,(+/- 290 ),598,(+/- 417 )
Workers,Employment Status,Not in labor force,252645,(+/- 7101 ),234172,(+/- 5947 ),243054,(+/- 5721 ),253782,(+/- 6209 ),230668,(+/- 5657 ),213132,(+/- 6626 ),237625,(+/- 6247 )
Workers,Employment Status,Civilian labor force,310162,(+/- 6865 ),304235,(+/- 6010 ),322974,(+/- 6307 ),294561,(+/- 6304 ),343106,(+/- 5372 ),346899,(+/- 6796 ),297351,(+/- 7071 )
Workers,Employment Status,Unemployment Rate,5.7,(+/- 0.9 ),6.1,(+/- 0.8 ),6.6,(+/- 0.7 ),6.1,(+/- 0.8 ),5.2,(+/- 0.7 ),4.4,(+/- 0.5 ),10.9,(+/- 0.9 )
Workers,Commuting to Work,Workers 16 years and over,288036,(+/- 7314 ),286482,(+/- 6852 ),298475,(+/- 6542 ),272158,(+/- 6364 ),321172,(+/- 5001 ),327649,(+/- 6404 ),259219,(+/- 6756 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",245834,(+/- 6774 ),246931,(+/- 6732 ),253999,(+/- 7055 ),237131,(+/- 6931 ),285272,(+/- 5799 ),285080,(+/- 6468 ),213933,(+/- 6617 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",18275,(+/- 3068 ),22140,(+/- 2432 ),25794,(+/- 2970 ),22547,(+/- 2921 ),21422,(+/- 3101 ),26072,(+/- 2853 ),28796,(+/- 3086 )
Workers,Commuting to Work,Public transportation (excluding taxicab),1557,(+/- 697 ),455,(+/- 347 ),717,(+/- 407 ),556,(+/- 425 ),60,(+/- 101 ),362,(+/- 327 ),2627,(+/- 745 )
Workers,Commuting to Work,Walked,3088,(+/- 998 ),5301,(+/- 1393 ),3747,(+/- 1026 ),2626,(+/- 805 ),1820,(+/- 539 ),2385,(+/- 927 ),4908,(+/- 1233 )
Workers,Commuting to Work,Other means,3913,(+/- 1186 ),3825,(+/- 1041 ),3101,(+/- 1037 ),1419,(+/- 526 ),3161,(+/- 1117 ),2725,(+/- 1304 ),3031,(+/- 1045 )
Workers,Commuting to Work,Worked at home,15369,(+/- 2548 ),7830,(+/- 1342 ),11117,(+/- 2517 ),7879,(+/- 1746 ),9437,(+/- 1597 ),11025,(+/- 1684 ),5924,(+/- 1379 )
Workers,Commuting to Work,Mean travel time to work (minutes),25.8,(+/- 0.8 ),22.4,(+/- 0.6 ),25.5,(+/- 0.7 ),25.7,(+/- 0.8 ),23.0,(+/- 0.7 ),26.3,(+/- 0.6 ),23.5,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,292595,(+/- 7250 ),285803,(+/- 6542 ),301627,(+/- 6798 ),276595,(+/- 6335 ),325288,(+/- 4940 ),331531,(+/- 6648 ),264886,(+/- 6680 )
Workers,Occupation,"Management, business, science, and arts occupations",98572,(+/- 5393 ),91541,(+/- 4316 ),100852,(+/- 5196 ),77324,(+/- 4519 ),127237,(+/- 4920 ),141316,(+/- 5173 ),74641,(+/- 4579 )
Workers,Occupation,Service occupations,48320,(+/- 3997 ),46395,(+/- 3680 ),50164,(+/- 3532 ),47010,(+/- 3670 ),53600,(+/- 4236 ),44806,(+/- 3916 ),56179,(+/- 3554 )
Workers,Occupation,Sales and office occupations,76117,(+/- 4142 ),69968,(+/- 3876 ),67809,(+/- 4138 ),60843,(+/- 4211 ),71989,(+/- 4154 ),84480,(+/- 4613 ),65270,(+/- 4525 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31518,(+/- 3532 ),27017,(+/- 2309 ),28341,(+/- 3046 ),33121,(+/- 3455 ),26065,(+/- 2574 ),28895,(+/- 3151 ),20114,(+/- 2482 )
Workers,Occupation,"Production, transportation, and material moving occupations",38068,(+/- 3268 ),50882,(+/- 3599 ),54461,(+/- 4141 ),58297,(+/- 4197 ),46397,(+/- 3509 ),32034,(+/- 3023 ),48682,(+/- 4153 )
Workers,Industry,Civilian employed population 16 years and over,292595,(+/- 7250 ),285803,(+/- 6542 ),301627,(+/- 6798 ),276595,(+/- 6335 ),325288,(+/- 4940 ),331531,(+/- 6648 ),264886,(+/- 6680 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2881,(+/- 828 ),5762,(+/- 1075 ),4227,(+/- 1029 ),6123,(+/- 1513 ),2361,(+/- 726 ),3093,(+/- 846 ),3075,(+/- 804 )
Workers,Industry,Construction,21178,(+/- 2970 ),15151,(+/- 1731 ),18507,(+/- 2251 ),20130,(+/- 2800 ),20619,(+/- 2594 ),21708,(+/- 2550 ),13112,(+/- 1973 )
Workers,Industry,Manufacturing,35033,(+/- 3468 ),40761,(+/- 3881 ),51144,(+/- 4159 ),56257,(+/- 3903 ),46613,(+/- 3956 ),28513,(+/- 2670 ),35266,(+/- 3408 )
Workers,Industry,Wholesale trade,10225,(+/- 1796 ),7648,(+/- 1169 ),6734,(+/- 1930 ),7417,(+/- 1411 ),6888,(+/- 1337 ),11815,(+/- 2115 ),3840,(+/- 1040 )
Workers,Industry,Retail trade,36159,(+/- 3685 ),37187,(+/- 2983 ),32066,(+/- 3837 ),33738,(+/- 3189 ),37921,(+/- 3853 ),37536,(+/- 3719 ),32513,(+/- 3272 )
Workers,Industry,"Transportation and warehousing, and utilities",16652,(+/- 2410 ),17297,(+/- 2077 ),13520,(+/- 2072 ),14354,(+/- 1906 ),14481,(+/- 1901 ),19148,(+/- 2365 ),15234,(+/- 1976 )
Workers,Industry,Information,3072,(+/- 1064 ),3546,(+/- 960 ),4284,(+/- 1135 ),3628,(+/- 1256 ),5680,(+/- 1551 ),7665,(+/- 1731 ),5672,(+/- 1277 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",17871,(+/- 2441 ),13056,(+/- 1911 ),18760,(+/- 2115 ),12339,(+/- 1754 ),11030,(+/- 1730 ),31479,(+/- 2586 ),15118,(+/- 1990 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27676,(+/- 3035 ),24808,(+/- 2207 ),24888,(+/- 2863 ),17114,(+/- 2069 ),47609,(+/- 4103 ),36305,(+/- 3140 ),21582,(+/- 2984 )
Workers,Industry,"Educational services, and health care and social assistance",65580,(+/- 5018 ),58843,(+/- 3526 ),71809,(+/- 5035 ),58468,(+/- 3252 ),67343,(+/- 4807 ),75238,(+/- 4381 ),68256,(+/- 3787 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",27030,(+/- 2819 ),25283,(+/- 2970 ),26533,(+/- 3548 ),20069,(+/- 2484 ),27373,(+/- 3054 ),26754,(+/- 2752 ),28216,(+/- 2954 )
Workers,Industry,"Other services, except public administration",16318,(+/- 2457 ),13632,(+/- 1616 ),13947,(+/- 1753 ),15378,(+/- 2708 ),13683,(+/- 2099 ),19234,(+/- 2259 ),12743,(+/- 1625 )
Workers,Industry,Public administration,12920,(+/- 1980 ),22829,(+/- 2592 ),15208,(+/- 2233 ),11580,(+/- 1802 ),23687,(+/- 2458 ),13043,(+/- 1873 ),10259,(+/- 1668 )
Workers,Class of Worker,Civilian employed population 16 years and over,292595,(+/- 7250 ),285803,(+/- 6542 ),301627,(+/- 6798 ),276595,(+/- 6335 ),325288,(+/- 4940 ),331531,(+/- 6648 ),264886,(+/- 6680 )
Workers,Class of Worker,Private wage and salary workers,238083,(+/- 7129 ),221196,(+/- 5806 ),233930,(+/- 6923 ),218617,(+/- 6357 ),250332,(+/- 5554 ),273438,(+/- 7034 ),211356,(+/- 7035 )
