Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
People,Race,Black or African American,112625,(+/- 7407 ),490790,(+/- 10714 ),197216,(+/- 3399 ),262993,(+/- 3752 ),258834,(+/- 4911 ),192297,(+/- 9716 )
People,Race,American Indian and Alaska Native,9679,(+/- 1234 ),2337,(+/- 932 ),2611,(+/- 898 ),4765,(+/- 1030 ),2383,(+/- 765 ),3733,(+/- 2104 )
People,Race,Asian,16868,(+/- 2516 ),21789,(+/- 2741 ),10771,(+/- 1085 ),7202,(+/- 1148 ),5387,(+/- 794 ),15904,(+/- 1357 )
People,Race,Native Hawaiian and Other Pacific Islander,414,(+/- 369 ),97,(+/- 120 ),35,(+/- 60 ),351,(+/- 289 ),0,(+/- 208 ),133,(+/- 153 )
People,Race,Some other race,16503,(+/- 4160 ),17542,(+/- 3737 ),8204,(+/- 2559 ),8451,(+/- 2451 ),5449,(+/- 1222 ),12059,(+/- 3191 )
People,Race,Two or more races,19227,(+/- 3461 ),14587,(+/- 3453 ),16250,(+/- 3404 ),15522,(+/- 2367 ),10375,(+/- 2314 ),16788,(+/- 4074 )
People,Hispanic or Latino and Race,Total population,803427,(+/- 12630 ),792390,(+/- 13604 ),785686,(+/- 2338 ),753181,(+/- 3394 ),748306,(+/- 7216 ),798676,(+/- 10720 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),70804,(+/- 4896 ),50466,(+/- 4615 ),27438,(+/- 1159 ),28255,(+/- 1313 ),17668,(+/- 1698 ),36537,(+/- 2903 )
People,Hispanic or Latino and Race,Mexican,17927,(+/- 3610 ),10330,(+/- 2681 ),17704,(+/- 2880 ),19486,(+/- 1726 ),11043,(+/- 2140 ),17855,(+/- 3595 )
People,Hispanic or Latino and Race,Puerto Rican,4100,(+/- 1664 ),3591,(+/- 1369 ),1802,(+/- 1125 ),2994,(+/- 846 ),1242,(+/- 896 ),1139,(+/- 1010 )
People,Hispanic or Latino and Race,Cuban,5274,(+/- 2305 ),1632,(+/- 718 ),672,(+/- 521 ),442,(+/- 455 ),929,(+/- 802 ),609,(+/- 522 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,43503,(+/- 4974 ),34913,(+/- 4517 ),7260,(+/- 2523 ),5333,(+/- 1407 ),4454,(+/- 1514 ),16934,(+/- 3444 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,732623,(+/- 11771 ),741924,(+/- 12409 ),758248,(+/- 2599 ),724926,(+/- 3599 ),730638,(+/- 7047 ),762139,(+/- 10483 )
People,Place of Birth,Total population,803427,(+/- 12630 ),792390,(+/- 13604 ),785686,(+/- 2338 ),753181,(+/- 3394 ),748306,(+/- 7216 ),798676,(+/- 10720 )
People,Place of Birth,Native,753003,(+/- 11254 ),740573,(+/- 13269 ),763647,(+/- 3487 ),734736,(+/- 4086 ),736243,(+/- 7363 ),763543,(+/- 11330 )
People,Place of Birth,Born in United States,746677,(+/- 11388 ),735777,(+/- 13366 ),758527,(+/- 3639 ),728866,(+/- 4038 ),732929,(+/- 7607 ),760861,(+/- 11119 )
People,Place of Birth,State of residence,601747,(+/- 11538 ),616427,(+/- 12586 ),656345,(+/- 6309 ),560272,(+/- 8067 ),600971,(+/- 9054 ),626195,(+/- 12506 )
People,Place of Birth,Different state,144930,(+/- 6382 ),119350,(+/- 5793 ),102182,(+/- 6528 ),168594,(+/- 7786 ),131958,(+/- 7836 ),134666,(+/- 6968 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6326,(+/- 1403 ),4796,(+/- 1339 ),5120,(+/- 1478 ),5870,(+/- 1428 ),3314,(+/- 1022 ),2682,(+/- 1010 )
People,Place of Birth,Foreign born,50424,(+/- 4324 ),51817,(+/- 5185 ),22039,(+/- 2779 ),18445,(+/- 2389 ),12063,(+/- 1472 ),35133,(+/- 3699 )
People,Ancestry,Total population,803427,(+/- 12630 ),792390,(+/- 13604 ),785686,(+/- 2338 ),753181,(+/- 3394 ),748306,(+/- 7216 ),798676,(+/- 10720 )
People,Ancestry,American,45222,(+/- 5055 ),24285,(+/- 3062 ),75346,(+/- 8229 ),78459,(+/- 6346 ),93515,(+/- 8771 ),65962,(+/- 6990 )
People,Ancestry,Arab,3633,(+/- 2129 ),6596,(+/- 3297 ),3192,(+/- 1434 ),805,(+/- 544 ),1647,(+/- 1072 ),5990,(+/- 4074 )
People,Ancestry,Czech,283,(+/- 216 ),396,(+/- 227 ),1117,(+/- 713 ),918,(+/- 629 ),263,(+/- 265 ),502,(+/- 468 )
People,Ancestry,Danish,1905,(+/- 1096 ),233,(+/- 238 ),453,(+/- 306 ),276,(+/- 219 ),985,(+/- 692 ),1382,(+/- 825 )
People,Ancestry,Dutch,4642,(+/- 1487 ),2911,(+/- 949 ),2785,(+/- 1094 ),3704,(+/- 1034 ),4167,(+/- 1606 ),2632,(+/- 1187 )
People,Ancestry,English,49042,(+/- 4669 ),17386,(+/- 2098 ),33818,(+/- 4418 ),40590,(+/- 5005 ),54755,(+/- 5876 ),42821,(+/- 5353 )
People,Ancestry,French (except Basque),133186,(+/- 8511 ),72555,(+/- 7436 ),145838,(+/- 9594 ),47736,(+/- 4996 ),48550,(+/- 4082 ),132541,(+/- 9219 )
People,Ancestry,French Canadian,19887,(+/- 3574 ),6369,(+/- 1529 ),56891,(+/- 6611 ),11198,(+/- 2202 ),19078,(+/- 3722 ),16968,(+/- 2566 )
People,Ancestry,German,99986,(+/- 7676 ),36114,(+/- 3094 ),51305,(+/- 5987 ),44940,(+/- 4623 ),37326,(+/- 4410 ),60261,(+/- 5541 )
People,Ancestry,Greek,1482,(+/- 735 ),893,(+/- 457 ),272,(+/- 258 ),667,(+/- 409 ),732,(+/- 487 ),1272,(+/- 775 )
People,Ancestry,Hungarian,2093,(+/- 926 ),811,(+/- 346 ),1241,(+/- 1399 ),986,(+/- 642 ),268,(+/- 251 ),874,(+/- 523 )
People,Ancestry,Irish,78025,(+/- 6228 ),29290,(+/- 3058 ),42774,(+/- 4660 ),52643,(+/- 4826 ),59964,(+/- 5508 ),65338,(+/- 6609 )
People,Ancestry,Italian,87889,(+/- 6981 ),27802,(+/- 3250 ),20813,(+/- 3107 ),14169,(+/- 2322 ),16755,(+/- 3594 ),46104,(+/- 4867 )
People,Ancestry,Lithuanian,381,(+/- 285 ),195,(+/- 157 ),0,(+/- 208 ),152,(+/- 185 ),45,(+/- 76 ),267,(+/- 223 )
People,Ancestry,Norwegian,2189,(+/- 742 ),820,(+/- 273 ),2200,(+/- 1109 ),1470,(+/- 591 ),1580,(+/- 946 ),1716,(+/- 752 )
People,Ancestry,Polish,6629,(+/- 2097 ),5257,(+/- 1511 ),2106,(+/- 867 ),3180,(+/- 1124 ),2109,(+/- 1101 ),4232,(+/- 1739 )
People,Ancestry,Portuguese,1298,(+/- 743 ),932,(+/- 425 ),602,(+/- 523 ),220,(+/- 330 ),360,(+/- 304 ),543,(+/- 476 )
People,Ancestry,Russian,2194,(+/- 752 ),1778,(+/- 585 ),1366,(+/- 816 ),956,(+/- 553 ),571,(+/- 402 ),1617,(+/- 1806 )
People,Ancestry,Scotch-Irish,6466,(+/- 1922 ),2324,(+/- 776 ),4772,(+/- 1456 ),8429,(+/- 2073 ),6220,(+/- 1519 ),6884,(+/- 1551 )
People,Ancestry,Scottish,9023,(+/- 1757 ),4648,(+/- 970 ),6698,(+/- 1628 ),7072,(+/- 1549 ),8843,(+/- 1720 ),9211,(+/- 2362 )
People,Ancestry,Slovak,384,(+/- 279 ),124,(+/- 125 ),47,(+/- 80 ),106,(+/- 144 ),47,(+/- 81 ),377,(+/- 397 )
People,Ancestry,Subsaharan African,4120,(+/- 1694 ),41432,(+/- 4675 ),3311,(+/- 1963 ),25531,(+/- 5008 ),4442,(+/- 1197 ),11943,(+/- 3817 )
People,Ancestry,Swedish,2968,(+/- 1478 ),1520,(+/- 579 ),1847,(+/- 1425 ),2305,(+/- 922 ),853,(+/- 501 ),3804,(+/- 1464 )
People,Ancestry,Swiss,612,(+/- 347 ),625,(+/- 537 ),620,(+/- 494 ),177,(+/- 142 ),1111,(+/- 913 ),441,(+/- 275 )
People,Ancestry,Ukrainian,482,(+/- 365 ),452,(+/- 317 ),309,(+/- 232 ),479,(+/- 484 ),68,(+/- 124 ),109,(+/- 149 )
People,Ancestry,Welsh,4682,(+/- 2020 ),1239,(+/- 464 ),1226,(+/- 652 ),1956,(+/- 647 ),1223,(+/- 446 ),2844,(+/- 1087 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1234,(+/- 1174 ),4767,(+/- 1842 ),585,(+/- 467 ),1040,(+/- 812 ),441,(+/- 308 ),1065,(+/- 637 )
People,Veteran Status,Civilian population 18 years and over,613827,(+/- 8847 ),610849,(+/- 9365 ),588861,(+/- 2174 ),556436,(+/- 2773 ),569508,(+/- 5673 ),608659,(+/- 7283 )
People,Veteran Status,Civilian veterans,41312,(+/- 3085 ),35125,(+/- 2843 ),34726,(+/- 2280 ),54306,(+/- 3283 ),41775,(+/- 2756 ),33958,(+/- 2942 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,796265,(+/- 12598 ),776000,(+/- 14135 ),777852,(+/- 3069 ),725164,(+/- 4220 ),708540,(+/- 7431 ),793361,(+/- 10573 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,112627,(+/- 6297 ),133800,(+/- 6838 ),118380,(+/- 6090 ),116230,(+/- 5605 ),120734,(+/- 5120 ),107062,(+/- 7051 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,187666,(+/- 6164 ),179813,(+/- 6696 ),196373,(+/- 1921 ),185099,(+/- 2076 ),176999,(+/- 3609 ),189507,(+/- 5964 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9364,(+/- 2063 ),12734,(+/- 2323 ),9844,(+/- 1672 ),10659,(+/- 1832 ),11550,(+/- 2154 ),11702,(+/- 2857 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,487978,(+/- 8295 ),492562,(+/- 9198 ),477844,(+/- 3075 ),427782,(+/- 3473 ),418841,(+/- 5276 ),502692,(+/- 6562 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,57869,(+/- 4320 ),77209,(+/- 4941 ),68846,(+/- 5266 ),61569,(+/- 3835 ),61813,(+/- 4029 ),57071,(+/- 5608 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,120621,(+/- 3286 ),103625,(+/- 2662 ),103635,(+/- 1621 ),112283,(+/- 1769 ),112700,(+/- 2332 ),101162,(+/- 3364 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,45394,(+/- 3227 ),43857,(+/- 2921 ),39690,(+/- 2530 ),44002,(+/- 2709 ),47371,(+/- 2496 ),38289,(+/- 3226 )
People,Residence 1 Year Ago,Population 1 year and over,792865,(+/- 12901 ),782486,(+/- 13490 ),774786,(+/- 2840 ),742926,(+/- 3740 ),739809,(+/- 7471 ),789170,(+/- 10798 )
People,Residence 1 Year Ago,Same house,689693,(+/- 12279 ),674534,(+/- 14674 ),666620,(+/- 10681 ),649359,(+/- 8595 ),642144,(+/- 8839 ),671971,(+/- 14430 )
People,Residence 1 Year Ago,Different house in the U.S.,100438,(+/- 7653 ),103441,(+/- 6362 ),106727,(+/- 10453 ),90843,(+/- 7574 ),96136,(+/- 7475 ),114166,(+/- 13547 )
People,Residence 1 Year Ago,Same county,57674,(+/- 6276 ),64148,(+/- 6457 ),72808,(+/- 9020 ),56221,(+/- 6999 ),56208,(+/- 6538 ),69586,(+/- 10839 )
People,Residence 1 Year Ago,Different county,42764,(+/- 4918 ),39293,(+/- 4618 ),33919,(+/- 5101 ),34622,(+/- 3144 ),39928,(+/- 5978 ),44580,(+/- 5867 )
People,Residence 1 Year Ago,Same state,27818,(+/- 3959 ),22045,(+/- 3603 ),22979,(+/- 4644 ),18914,(+/- 2804 ),26641,(+/- 4379 ),31338,(+/- 4825 )
People,Residence 1 Year Ago,Different state,14946,(+/- 3542 ),17248,(+/- 3019 ),10940,(+/- 2923 ),15708,(+/- 2179 ),13287,(+/- 3323 ),13242,(+/- 2870 )
People,Residence 1 Year Ago,Abroad,2734,(+/- 1474 ),4511,(+/- 1790 ),1439,(+/- 655 ),2724,(+/- 1151 ),1529,(+/- 936 ),3033,(+/- 1653 )
Workers,Employment Status,Population 16 years and over,635809,(+/- 9086 ),631939,(+/- 9621 ),613496,(+/- 2747 ),590473,(+/- 3063 ),589446,(+/- 6039 ),629637,(+/- 7857 )
Workers,Employment Status,In labor force,397817,(+/- 7341 ),383400,(+/- 8954 ),367028,(+/- 5874 ),331251,(+/- 6782 ),307256,(+/- 7388 ),401655,(+/- 7716 )
Workers,Employment Status,Civilian labor force,396096,(+/- 7350 ),382184,(+/- 8973 ),366854,(+/- 5876 ),319738,(+/- 6941 ),306026,(+/- 7465 ),401264,(+/- 7740 )
Workers,Employment Status,Employed,374679,(+/- 7613 ),346530,(+/- 8576 ),338969,(+/- 6412 ),295010,(+/- 7284 ),284933,(+/- 7696 ),380830,(+/- 8031 )
Workers,Employment Status,Unemployed,21417,(+/- 2659 ),35654,(+/- 3092 ),27885,(+/- 3554 ),24728,(+/- 2913 ),21093,(+/- 2909 ),20434,(+/- 3247 )
Workers,Employment Status,Armed Forces,1721,(+/- 689 ),1216,(+/- 514 ),174,(+/- 257 ),11513,(+/- 1511 ),1230,(+/- 822 ),391,(+/- 325 )
Workers,Employment Status,Not in labor force,237992,(+/- 7075 ),248539,(+/- 7117 ),246468,(+/- 6578 ),259222,(+/- 7156 ),282190,(+/- 7330 ),227982,(+/- 7919 )
Workers,Employment Status,Civilian labor force,396096,(+/- 7350 ),382184,(+/- 8973 ),366854,(+/- 5876 ),319738,(+/- 6941 ),306026,(+/- 7465 ),401264,(+/- 7740 )
Workers,Employment Status,Unemployment Rate,5.4,(+/- 0.7 ),9.3,(+/- 0.8 ),7.6,(+/- 1.0 ),7.7,(+/- 0.9 ),6.9,(+/- 0.9 ),5.1,(+/- 0.8 )
Workers,Commuting to Work,Workers 16 years and over,370421,(+/- 7776 ),339839,(+/- 8603 ),333772,(+/- 6285 ),300245,(+/- 7011 ),281016,(+/- 7870 ),374406,(+/- 8286 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",300470,(+/- 7975 ),257209,(+/- 7166 ),284425,(+/- 6713 ),261148,(+/- 7494 ),236679,(+/- 8513 ),317239,(+/- 9836 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",37458,(+/- 3452 ),35021,(+/- 3823 ),27665,(+/- 3291 ),23567,(+/- 3240 ),27953,(+/- 3574 ),33395,(+/- 4206 )
Workers,Commuting to Work,Public transportation (excluding taxicab),906,(+/- 421 ),16225,(+/- 2507 ),1934,(+/- 838 ),1916,(+/- 740 ),2317,(+/- 818 ),2191,(+/- 964 )
Workers,Commuting to Work,Walked,5658,(+/- 1501 ),9705,(+/- 1754 ),5277,(+/- 1529 ),4047,(+/- 864 ),4291,(+/- 1031 ),4189,(+/- 1266 )
Workers,Commuting to Work,Other means,7772,(+/- 1706 ),11258,(+/- 1864 ),6276,(+/- 1549 ),2469,(+/- 756 ),4222,(+/- 1196 ),5009,(+/- 1357 )
Workers,Commuting to Work,Worked at home,18157,(+/- 2404 ),10421,(+/- 1425 ),8195,(+/- 1930 ),7098,(+/- 1335 ),5554,(+/- 1283 ),12383,(+/- 2813 )
Workers,Commuting to Work,Mean travel time to work (minutes),26.0,(+/- 0.6 ),25.4,(+/- 0.8 ),23.6,(+/- 0.9 ),23.5,(+/- 0.8 ),25.0,(+/- 0.9 ),26.2,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,374679,(+/- 7613 ),346530,(+/- 8576 ),338969,(+/- 6412 ),295010,(+/- 7284 ),284933,(+/- 7696 ),380830,(+/- 8031 )
Workers,Occupation,"Management, business, science, and arts occupations",143323,(+/- 5708 ),107452,(+/- 4842 ),97389,(+/- 4979 ),96793,(+/- 4719 ),87448,(+/- 4553 ),141890,(+/- 6103 )
Workers,Occupation,Service occupations,62298,(+/- 5032 ),77814,(+/- 5390 ),68340,(+/- 4966 ),60222,(+/- 4239 ),60768,(+/- 4392 ),64761,(+/- 5183 )
Workers,Occupation,Sales and office occupations,89652,(+/- 5697 ),82322,(+/- 4364 ),82644,(+/- 5380 ),69080,(+/- 4426 ),68039,(+/- 4931 ),88900,(+/- 5385 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",42540,(+/- 3216 ),32015,(+/- 3167 ),46910,(+/- 3293 ),34211,(+/- 3118 ),33132,(+/- 2911 ),40692,(+/- 4159 )
Workers,Occupation,"Production, transportation, and material moving occupations",36866,(+/- 3344 ),46927,(+/- 4068 ),43686,(+/- 3712 ),34704,(+/- 3473 ),35546,(+/- 3415 ),44587,(+/- 4163 )
Workers,Industry,Civilian employed population 16 years and over,374679,(+/- 7613 ),346530,(+/- 8576 ),338969,(+/- 6412 ),295010,(+/- 7284 ),284933,(+/- 7696 ),380830,(+/- 8031 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",11619,(+/- 1882 ),4405,(+/- 1171 ),27960,(+/- 3004 ),11736,(+/- 1631 ),14432,(+/- 2076 ),7226,(+/- 1373 )
Workers,Industry,Construction,32379,(+/- 3272 ),24337,(+/- 3195 ),30452,(+/- 3145 ),23420,(+/- 2372 ),16981,(+/- 2116 ),37338,(+/- 3880 )
Workers,Industry,Manufacturing,22137,(+/- 2906 ),23160,(+/- 2981 ),26816,(+/- 2826 ),22483,(+/- 2599 ),21057,(+/- 3007 ),34584,(+/- 3816 )
Workers,Industry,Wholesale trade,13355,(+/- 2207 ),7650,(+/- 1684 ),9760,(+/- 1926 ),5549,(+/- 1320 ),8053,(+/- 1542 ),9098,(+/- 1747 )
Workers,Industry,Retail trade,42392,(+/- 3255 ),40997,(+/- 3329 ),39802,(+/- 3635 ),35899,(+/- 3086 ),33699,(+/- 3356 ),40807,(+/- 3871 )
Workers,Industry,"Transportation and warehousing, and utilities",21547,(+/- 2552 ),24588,(+/- 2363 ),13906,(+/- 1931 ),14012,(+/- 1634 ),13648,(+/- 2075 ),19567,(+/- 3334 )
Workers,Industry,Information,5594,(+/- 1248 ),6583,(+/- 1530 ),5708,(+/- 1614 ),3920,(+/- 1212 ),4397,(+/- 1401 ),7262,(+/- 1850 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21726,(+/- 2398 ),16676,(+/- 2341 ),14389,(+/- 2183 ),12639,(+/- 2209 ),14031,(+/- 2376 ),24124,(+/- 2945 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",42599,(+/- 3503 ),32530,(+/- 3139 ),27260,(+/- 2835 ),21765,(+/- 2393 ),20435,(+/- 2516 ),37154,(+/- 3629 )
Workers,Industry,"Educational services, and health care and social assistance",88833,(+/- 4500 ),78858,(+/- 4302 ),72637,(+/- 4448 ),76746,(+/- 4946 ),79143,(+/- 4787 ),90993,(+/- 5371 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",37747,(+/- 3646 ),49603,(+/- 3483 ),39432,(+/- 4265 ),32784,(+/- 3439 ),23744,(+/- 2903 ),39190,(+/- 4315 )
Workers,Industry,"Other services, except public administration",17930,(+/- 2570 ),18899,(+/- 2407 ),16504,(+/- 2230 ),16231,(+/- 2297 ),15747,(+/- 2334 ),16457,(+/- 2289 )
Workers,Industry,Public administration,16821,(+/- 2112 ),18244,(+/- 2465 ),14343,(+/- 2145 ),17826,(+/- 2172 ),19566,(+/- 2357 ),17030,(+/- 2264 )
Workers,Class of Worker,Civilian employed population 16 years and over,374679,(+/- 7613 ),346530,(+/- 8576 ),338969,(+/- 6412 ),295010,(+/- 7284 ),284933,(+/- 7696 ),380830,(+/- 8031 )
Workers,Class of Worker,Private wage and salary workers,305519,(+/- 7789 ),278388,(+/- 8067 ),271646,(+/- 6301 ),232141,(+/- 6056 ),217183,(+/- 7607 ),306191,(+/- 8523 )
Workers,Class of Worker,Government workers,44251,(+/- 3651 ),51429,(+/- 4363 ),43892,(+/- 3588 ),48030,(+/- 3779 ),53297,(+/- 3425 ),53875,(+/- 3950 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,24296,(+/- 2854 ),16406,(+/- 1706 ),22865,(+/- 2708 ),14127,(+/- 1919 ),13848,(+/- 1796 ),20077,(+/- 2998 )
Workers,Class of Worker,Unpaid family workers,613,(+/- 306 ),307,(+/- 232 ),566,(+/- 473 ),712,(+/- 560 ),605,(+/- 414 ),687,(+/- 439 )
Housing,Housing Occupancy,Total housing units,335344,(+/- 3510 ),353897,(+/- 4327 ),335929,(+/- 1298 ),344482,(+/- 1739 ),332282,(+/- 3034 ),335133,(+/- 3757 )
Housing,Housing Occupancy,Occupied housing units,301862,(+/- 4765 ),295726,(+/- 4790 ),289330,(+/- 4445 ),279395,(+/- 4295 ),265342,(+/- 4881 ),289146,(+/- 5312 )
Housing,Housing Occupancy,Vacant housing units,33482,(+/- 3576 ),58171,(+/- 3658 ),46599,(+/- 4484 ),65087,(+/- 4322 ),66940,(+/- 4408 ),45987,(+/- 4224 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.4,(+/- 0.4 ),2.2,(+/- 0.7 ),2.0,(+/- 0.6 ),3.0,(+/- 0.7 ),1.9,(+/- 0.5 ),1.7,(+/- 0.6 )
Housing,Housing Occupancy,Rental vacancy rate,7.7,(+/- 1.9 ),8.3,(+/- 1.2 ),8.4,(+/- 1.8 ),9.2,(+/- 1.6 ),8.9,(+/- 1.7 ),8.0,(+/- 1.9 )
Housing,Housing Tenure,Occupied housing units,301862,(+/- 4765 ),295726,(+/- 4790 ),289330,(+/- 4445 ),279395,(+/- 4295 ),265342,(+/- 4881 ),289146,(+/- 5312 )
Housing,Housing Tenure,Owner-occupied,207803,(+/- 4880 ),154858,(+/- 4539 ),195021,(+/- 4901 ),176744,(+/- 4884 ),168713,(+/- 4068 ),202571,(+/- 5110 )
Housing,Housing Tenure,Renter-occupied,94059,(+/- 4982 ),140868,(+/- 4947 ),94309,(+/- 4549 ),102651,(+/- 4679 ),96629,(+/- 4536 ),86575,(+/- 4886 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.73,(+/- 0.05 ),2.73,(+/- 0.06 ),2.76,(+/- 0.06 ),2.65,(+/- 0.05 ),2.70,(+/- 0.06 ),2.79,(+/- 0.06 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.36,(+/- 0.08 ),2.46,(+/- 0.06 ),2.49,(+/- 0.09 ),2.56,(+/- 0.09 ),2.55,(+/- 0.10 ),2.58,(+/- 0.10 )
Housing,Year Householder Moved into Unit,Occupied housing units,301862,(+/- 4765 ),295726,(+/- 4790 ),289330,(+/- 4445 ),279395,(+/- 4295 ),265342,(+/- 4881 ),289146,(+/- 5312 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,54027,(+/- 4046 ),58388,(+/- 3421 ),46818,(+/- 3876 ),51987,(+/- 3526 ),45705,(+/- 4174 ),57342,(+/- 4452 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,81460,(+/- 4207 ),88907,(+/- 4088 ),77977,(+/- 4442 ),76639,(+/- 3712 ),67522,(+/- 4251 ),78944,(+/- 4215 )
