Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
People,Race,American Indian and Alaska Native,2239,(+/- 610 ),2662,(+/- 822 ),2362,(+/- 1093 ),3676,(+/- 961 ),8678,(+/- 1617 ),2944,(+/- 858 ),21783,(+/- 1174 ),18885,(+/- 1524 )
People,Race,Asian,17854,(+/- 1573 ),31735,(+/- 1932 ),49907,(+/- 4856 ),85771,(+/- 2806 ),42871,(+/- 3729 ),19060,(+/- 1713 ),6305,(+/- 796 ),5396,(+/- 698 )
People,Race,Native Hawaiian and Other Pacific Islander,107,(+/- 128 ),102,(+/- 172 ),399,(+/- 268 ),275,(+/- 260 ),257,(+/- 259 ),22,(+/- 40 ),190,(+/- 41 ),100,(+/- 107 )
People,Race,Some other race,12946,(+/- 2188 ),19707,(+/- 3118 ),12347,(+/- 3598 ),17970,(+/- 3146 ),31237,(+/- 4140 ),7115,(+/- 2405 ),8529,(+/- 1729 ),2001,(+/- 733 )
People,Race,Two or more races,11949,(+/- 2186 ),23097,(+/- 2642 ),18366,(+/- 3519 ),32625,(+/- 4387 ),30065,(+/- 3617 ),14838,(+/- 2558 ),12152,(+/- 1854 ),13554,(+/- 1604 )
People,Hispanic or Latino and Race,Total population,672415,(+/- 2611 ),700264,(+/- 2715 ),709906,(+/- 4300 ),702162,(+/- 3130 ),708082,(+/- 5908 ),696720,(+/- 5345 ),668049,(+/- 3043 ),662354,(+/- 1369 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),42782,(+/- 1425 ),42117,(+/- 1303 ),34355,(+/- 4279 ),47212,(+/- 993 ),62381,(+/- 4450 ),18588,(+/- 2512 ),29839,(+/- 1111 ),11186,(+/- 210 )
People,Hispanic or Latino and Race,Mexican,31146,(+/- 2355 ),25524,(+/- 3611 ),23090,(+/- 4147 ),34282,(+/- 2501 ),43191,(+/- 4151 ),11921,(+/- 2115 ),22187,(+/- 2252 ),6981,(+/- 802 )
People,Hispanic or Latino and Race,Puerto Rican,1037,(+/- 688 ),2813,(+/- 1336 ),574,(+/- 419 ),2080,(+/- 707 ),3174,(+/- 1355 ),942,(+/- 513 ),1488,(+/- 740 ),1149,(+/- 566 )
People,Hispanic or Latino and Race,Cuban,778,(+/- 600 ),322,(+/- 316 ),45,(+/- 74 ),335,(+/- 229 ),693,(+/- 414 ),1096,(+/- 798 ),370,(+/- 315 ),650,(+/- 422 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,9821,(+/- 1668 ),13458,(+/- 3487 ),10646,(+/- 2757 ),10515,(+/- 2603 ),15323,(+/- 3114 ),4629,(+/- 1759 ),5794,(+/- 1837 ),2406,(+/- 653 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,629633,(+/- 2539 ),658147,(+/- 2781 ),675551,(+/- 5882 ),654950,(+/- 3368 ),645701,(+/- 6790 ),678132,(+/- 5246 ),638210,(+/- 2924 ),651168,(+/- 1364 )
People,Place of Birth,Total population,672415,(+/- 2611 ),700264,(+/- 2715 ),709906,(+/- 4300 ),702162,(+/- 3130 ),708082,(+/- 5908 ),696720,(+/- 5345 ),668049,(+/- 3043 ),662354,(+/- 1369 )
People,Place of Birth,Native,631799,(+/- 3586 ),642695,(+/- 4972 ),622471,(+/- 6930 ),601909,(+/- 6745 ),602590,(+/- 6930 ),666434,(+/- 5459 ),649405,(+/- 3271 ),650213,(+/- 1963 )
People,Place of Birth,Born in United States,628616,(+/- 3629 ),636986,(+/- 5004 ),617819,(+/- 6845 ),594592,(+/- 7074 ),594609,(+/- 7126 ),661531,(+/- 5352 ),646747,(+/- 3182 ),647094,(+/- 1980 )
People,Place of Birth,State of residence,463686,(+/- 5603 ),475884,(+/- 6476 ),444505,(+/- 6813 ),432381,(+/- 8003 ),397244,(+/- 6554 ),533906,(+/- 7450 ),483898,(+/- 5503 ),519838,(+/- 4733 )
People,Place of Birth,Different state,164930,(+/- 5522 ),161102,(+/- 6631 ),173314,(+/- 5286 ),162211,(+/- 6650 ),197365,(+/- 7369 ),127625,(+/- 6101 ),162849,(+/- 4508 ),127256,(+/- 4585 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3183,(+/- 823 ),5709,(+/- 1265 ),4652,(+/- 938 ),7317,(+/- 1653 ),7981,(+/- 1346 ),4903,(+/- 1268 ),2658,(+/- 700 ),3119,(+/- 593 )
People,Place of Birth,Foreign born,40616,(+/- 2730 ),57569,(+/- 3997 ),87435,(+/- 6496 ),100253,(+/- 6282 ),105492,(+/- 6385 ),30286,(+/- 3314 ),18644,(+/- 2081 ),12141,(+/- 1346 )
People,Ancestry,Total population,672415,(+/- 2611 ),700264,(+/- 2715 ),709906,(+/- 4300 ),702162,(+/- 3130 ),708082,(+/- 5908 ),696720,(+/- 5345 ),668049,(+/- 3043 ),662354,(+/- 1369 )
People,Ancestry,American,23856,(+/- 2756 ),20505,(+/- 3054 ),22252,(+/- 3506 ),15550,(+/- 2758 ),13765,(+/- 2205 ),26727,(+/- 3434 ),19178,(+/- 2069 ),24590,(+/- 2344 )
People,Ancestry,Arab,999,(+/- 488 ),2218,(+/- 948 ),3949,(+/- 1758 ),3955,(+/- 1477 ),3336,(+/- 968 ),2428,(+/- 1313 ),2210,(+/- 1335 ),513,(+/- 260 )
People,Ancestry,Czech,18468,(+/- 2453 ),15783,(+/- 2164 ),11002,(+/- 3009 ),7854,(+/- 1254 ),8998,(+/- 1437 ),10587,(+/- 2156 ),11974,(+/- 1341 ),9425,(+/- 2078 )
People,Ancestry,Danish,10951,(+/- 1253 ),9334,(+/- 1391 ),10638,(+/- 2391 ),9078,(+/- 1646 ),8013,(+/- 1475 ),8479,(+/- 2222 ),11028,(+/- 1368 ),7879,(+/- 1415 )
People,Ancestry,Dutch,15040,(+/- 1560 ),10782,(+/- 1942 ),11139,(+/- 1741 ),11794,(+/- 2089 ),9324,(+/- 1720 ),9741,(+/- 1527 ),15807,(+/- 1563 ),10448,(+/- 1580 )
People,Ancestry,English,33125,(+/- 2626 ),42170,(+/- 4041 ),49253,(+/- 3732 ),38038,(+/- 3856 ),44401,(+/- 3576 ),32978,(+/- 4175 ),26608,(+/- 2217 ),35279,(+/- 2207 )
People,Ancestry,French (except Basque),17725,(+/- 1949 ),21637,(+/- 2753 ),25620,(+/- 3387 ),25528,(+/- 2773 ),20555,(+/- 2229 ),28779,(+/- 3411 ),19098,(+/- 1980 ),24428,(+/- 2040 )
People,Ancestry,French Canadian,4038,(+/- 842 ),8345,(+/- 2395 ),6746,(+/- 1696 ),7546,(+/- 1627 ),5195,(+/- 1167 ),9946,(+/- 2354 ),6291,(+/- 1484 ),12171,(+/- 1604 )
People,Ancestry,German,275990,(+/- 5841 ),246796,(+/- 7768 ),204549,(+/- 8678 ),180164,(+/- 8082 ),166490,(+/- 6255 ),278141,(+/- 8371 ),264298,(+/- 6046 ),203371,(+/- 6340 )
People,Ancestry,Greek,772,(+/- 377 ),2107,(+/- 1070 ),2206,(+/- 923 ),2256,(+/- 1189 ),1305,(+/- 544 ),1181,(+/- 844 ),651,(+/- 404 ),1087,(+/- 376 )
People,Ancestry,Hungarian,548,(+/- 290 ),1477,(+/- 641 ),2906,(+/- 984 ),2652,(+/- 718 ),3047,(+/- 1030 ),1224,(+/- 491 ),793,(+/- 334 ),1296,(+/- 487 )
People,Ancestry,Irish,71346,(+/- 4388 ),84277,(+/- 5619 ),78808,(+/- 6679 ),77277,(+/- 5371 ),71324,(+/- 3796 ),75184,(+/- 6464 ),49264,(+/- 3131 ),63602,(+/- 4150 )
People,Ancestry,Italian,9663,(+/- 1988 ),18386,(+/- 2941 ),15702,(+/- 2710 ),19653,(+/- 2476 ),17826,(+/- 2384 ),15999,(+/- 2679 ),6513,(+/- 1129 ),21381,(+/- 2378 )
People,Ancestry,Lithuanian,689,(+/- 335 ),990,(+/- 478 ),1170,(+/- 600 ),645,(+/- 276 ),870,(+/- 448 ),616,(+/- 421 ),39,(+/- 35 ),787,(+/- 433 )
People,Ancestry,Norwegian,122057,(+/- 5559 ),103349,(+/- 5724 ),97389,(+/- 5554 ),69559,(+/- 4902 ),80854,(+/- 5071 ),92305,(+/- 6622 ),159783,(+/- 5127 ),98288,(+/- 4511 )
People,Ancestry,Polish,23336,(+/- 2131 ),27614,(+/- 3007 ),29588,(+/- 3536 ),27576,(+/- 3077 ),28946,(+/- 3089 ),52291,(+/- 5201 ),23194,(+/- 2571 ),40428,(+/- 2684 )
People,Ancestry,Portuguese,229,(+/- 187 ),1555,(+/- 1542 ),257,(+/- 194 ),295,(+/- 196 ),1003,(+/- 409 ),384,(+/- 377 ),390,(+/- 270 ),197,(+/- 138 )
People,Ancestry,Russian,3664,(+/- 1450 ),6919,(+/- 2330 ),8564,(+/- 2094 ),4426,(+/- 1370 ),7668,(+/- 1228 ),3642,(+/- 1199 ),4746,(+/- 1696 ),2587,(+/- 680 )
People,Ancestry,Scotch-Irish,3419,(+/- 862 ),4443,(+/- 1034 ),4276,(+/- 1128 ),4235,(+/- 933 ),4724,(+/- 1021 ),3894,(+/- 1432 ),2185,(+/- 679 ),4354,(+/- 821 )
People,Ancestry,Scottish,7494,(+/- 1253 ),9425,(+/- 1692 ),9701,(+/- 1610 ),9034,(+/- 1760 ),9645,(+/- 1820 ),8275,(+/- 1751 ),6029,(+/- 1135 ),8016,(+/- 1370 )
People,Ancestry,Slovak,328,(+/- 221 ),573,(+/- 473 ),1021,(+/- 488 ),700,(+/- 335 ),1049,(+/- 418 ),684,(+/- 492 ),251,(+/- 174 ),964,(+/- 331 )
People,Ancestry,Subsaharan African,11847,(+/- 1903 ),11941,(+/- 2930 ),31810,(+/- 6127 ),31414,(+/- 5177 ),50743,(+/- 6855 ),9695,(+/- 1951 ),3308,(+/- 1251 ),2179,(+/- 718 )
People,Ancestry,Swedish,27956,(+/- 2517 ),51003,(+/- 3969 ),59238,(+/- 4752 ),57561,(+/- 4082 ),48541,(+/- 3725 ),60717,(+/- 5176 ),52228,(+/- 3129 ),76834,(+/- 3816 )
People,Ancestry,Swiss,3476,(+/- 837 ),3301,(+/- 1121 ),1611,(+/- 713 ),3844,(+/- 900 ),2805,(+/- 748 ),1992,(+/- 711 ),2108,(+/- 590 ),1883,(+/- 694 )
People,Ancestry,Ukrainian,735,(+/- 454 ),2797,(+/- 1138 ),3922,(+/- 1576 ),1504,(+/- 480 ),3198,(+/- 977 ),1332,(+/- 673 ),1877,(+/- 708 ),2156,(+/- 877 )
People,Ancestry,Welsh,3565,(+/- 1081 ),3525,(+/- 1033 ),4168,(+/- 1476 ),2860,(+/- 908 ),3396,(+/- 816 ),2735,(+/- 992 ),1257,(+/- 371 ),2486,(+/- 705 )
People,Ancestry,West Indian (excluding Hispanic origin groups),765,(+/- 472 ),233,(+/- 303 ),972,(+/- 595 ),2278,(+/- 1281 ),3957,(+/- 2004 ),649,(+/- 539 ),362,(+/- 255 ),413,(+/- 477 )
People,Veteran Status,Civilian population 18 years and over,517240,(+/- 1902 ),524069,(+/- 2170 ),536996,(+/- 6164 ),535072,(+/- 2277 ),563613,(+/- 6503 ),520670,(+/- 4684 ),510166,(+/- 2161 ),521143,(+/- 1239 )
People,Veteran Status,Civilian veterans,41270,(+/- 2066 ),37883,(+/- 2335 ),36017,(+/- 2679 ),30043,(+/- 2119 ),29021,(+/- 2534 ),40429,(+/- 2395 ),44576,(+/- 2017 ),51547,(+/- 2328 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,662051,(+/- 2841 ),695245,(+/- 2810 ),707033,(+/- 4374 ),694855,(+/- 3042 ),701837,(+/- 5936 ),690457,(+/- 5960 ),659685,(+/- 3198 ),651275,(+/- 1870 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,74189,(+/- 3070 ),61282,(+/- 3343 ),61182,(+/- 3273 ),76281,(+/- 3860 ),82661,(+/- 4978 ),64893,(+/- 3928 ),84838,(+/- 2880 ),96688,(+/- 4021 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,154553,(+/- 1710 ),175516,(+/- 2244 ),172641,(+/- 5434 ),166525,(+/- 2008 ),144180,(+/- 5151 ),175590,(+/- 3475 ),157466,(+/- 2347 ),139852,(+/- 1054 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,4939,(+/- 804 ),5371,(+/- 1106 ),5928,(+/- 1200 ),5813,(+/- 1085 ),5601,(+/- 1216 ),6648,(+/- 1197 ),6476,(+/- 926 ),8301,(+/- 1197 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,400459,(+/- 1993 ),430966,(+/- 2304 ),431660,(+/- 5546 ),434689,(+/- 2825 ),477560,(+/- 6298 ),431814,(+/- 5105 ),381928,(+/- 2161 ),386588,(+/- 1887 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,35755,(+/- 2240 ),30348,(+/- 2608 ),26799,(+/- 2789 ),39854,(+/- 2917 ),49624,(+/- 4330 ),34055,(+/- 3216 ),38594,(+/- 2172 ),47245,(+/- 2793 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,107039,(+/- 1378 ),88763,(+/- 1768 ),102732,(+/- 3329 ),93641,(+/- 1734 ),80097,(+/- 3497 ),83053,(+/- 2242 ),120291,(+/- 1301 ),124835,(+/- 1002 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,33495,(+/- 1598 ),25563,(+/- 1760 ),28455,(+/- 2082 ),30614,(+/- 2038 ),27436,(+/- 2172 ),24190,(+/- 1760 ),39768,(+/- 1613 ),41142,(+/- 2046 )
People,Residence 1 Year Ago,Population 1 year and over,664783,(+/- 2819 ),693392,(+/- 3071 ),701248,(+/- 4610 ),692930,(+/- 3278 ),697506,(+/- 6132 ),689768,(+/- 5292 ),659876,(+/- 3184 ),656401,(+/- 1531 )
People,Residence 1 Year Ago,Same house,566569,(+/- 6138 ),603874,(+/- 7796 ),610619,(+/- 7589 ),578776,(+/- 8677 ),555743,(+/- 8251 ),600788,(+/- 7539 ),579852,(+/- 4891 ),573006,(+/- 5425 )
People,Residence 1 Year Ago,Different house in the U.S.,94716,(+/- 5552 ),84125,(+/- 6987 ),83861,(+/- 6433 ),109676,(+/- 8075 ),136885,(+/- 6883 ),86561,(+/- 6379 ),78218,(+/- 4117 ),82429,(+/- 5168 )
People,Residence 1 Year Ago,Same county,47477,(+/- 4091 ),41261,(+/- 5594 ),47165,(+/- 4309 ),51823,(+/- 5395 ),78978,(+/- 5563 ),38836,(+/- 4543 ),38992,(+/- 3218 ),45357,(+/- 4328 )
People,Residence 1 Year Ago,Different county,47239,(+/- 3749 ),42864,(+/- 4146 ),36696,(+/- 4630 ),57853,(+/- 6367 ),57907,(+/- 4341 ),47725,(+/- 4709 ),39226,(+/- 2706 ),37072,(+/- 3213 )
People,Residence 1 Year Ago,Same state,32116,(+/- 3252 ),33027,(+/- 3998 ),23234,(+/- 3439 ),39850,(+/- 4591 ),36355,(+/- 3310 ),38924,(+/- 4386 ),24491,(+/- 2303 ),27278,(+/- 2749 )
People,Residence 1 Year Ago,Different state,15123,(+/- 2071 ),9837,(+/- 2345 ),13462,(+/- 2918 ),18003,(+/- 4120 ),21552,(+/- 2794 ),8801,(+/- 2100 ),14735,(+/- 2166 ),9794,(+/- 1662 )
People,Residence 1 Year Ago,Abroad,3498,(+/- 1288 ),5393,(+/- 2156 ),6768,(+/- 2176 ),4478,(+/- 1601 ),4878,(+/- 1512 ),2419,(+/- 1430 ),1806,(+/- 566 ),966,(+/- 394 )
Workers,Employment Status,Population 16 years and over,533996,(+/- 2266 ),545429,(+/- 2545 ),557500,(+/- 6268 ),554088,(+/- 2564 ),576699,(+/- 6781 ),540943,(+/- 5038 ),527657,(+/- 2407 ),539211,(+/- 1398 )
Workers,Employment Status,In labor force,370752,(+/- 4139 ),404212,(+/- 4365 ),393027,(+/- 6657 ),381268,(+/- 4579 ),421964,(+/- 6708 ),393182,(+/- 5380 ),349648,(+/- 3475 ),326471,(+/- 3825 )
Workers,Employment Status,Civilian labor force,370348,(+/- 4172 ),403748,(+/- 4377 ),392961,(+/- 6638 ),380877,(+/- 4597 ),421845,(+/- 6678 ),393049,(+/- 5338 ),349557,(+/- 3478 ),325779,(+/- 3785 )
Workers,Employment Status,Employed,355966,(+/- 4331 ),389829,(+/- 5001 ),382427,(+/- 6581 ),364667,(+/- 4828 ),400502,(+/- 6388 ),381138,(+/- 5312 ),335843,(+/- 3773 ),311274,(+/- 3733 )
Workers,Employment Status,Unemployed,14382,(+/- 1811 ),13919,(+/- 1979 ),10534,(+/- 1636 ),16210,(+/- 2015 ),21343,(+/- 2424 ),11911,(+/- 1536 ),13714,(+/- 1578 ),14505,(+/- 1557 )
Workers,Employment Status,Armed Forces,404,(+/- 302 ),464,(+/- 286 ),66,(+/- 110 ),391,(+/- 417 ),119,(+/- 148 ),133,(+/- 135 ),91,(+/- 87 ),692,(+/- 313 )
Workers,Employment Status,Not in labor force,163244,(+/- 4302 ),141217,(+/- 4266 ),164473,(+/- 5636 ),172820,(+/- 4322 ),154735,(+/- 5235 ),147761,(+/- 4629 ),178009,(+/- 3355 ),212740,(+/- 3639 )
Workers,Employment Status,Civilian labor force,370348,(+/- 4172 ),403748,(+/- 4377 ),392961,(+/- 6638 ),380877,(+/- 4597 ),421845,(+/- 6678 ),393049,(+/- 5338 ),349557,(+/- 3478 ),325779,(+/- 3785 )
Workers,Employment Status,Unemployment Rate,3.9,(+/- 0.5 ),3.4,(+/- 0.5 ),2.7,(+/- 0.4 ),4.3,(+/- 0.5 ),5.1,(+/- 0.6 ),3.0,(+/- 0.4 ),3.9,(+/- 0.5 ),4.5,(+/- 0.5 )
Workers,Commuting to Work,Workers 16 years and over,348654,(+/- 4411 ),383485,(+/- 5020 ),376720,(+/- 6645 ),358496,(+/- 4694 ),391923,(+/- 6333 ),372981,(+/- 5356 ),330698,(+/- 3652 ),305624,(+/- 3768 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",273301,(+/- 4501 ),305761,(+/- 5841 ),300470,(+/- 6235 ),273082,(+/- 5029 ),264552,(+/- 6808 ),309968,(+/- 5930 ),262148,(+/- 3789 ),243323,(+/- 4190 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",35498,(+/- 2933 ),32637,(+/- 2824 ),29762,(+/- 3098 ),32429,(+/- 2593 ),32739,(+/- 2549 ),25519,(+/- 2480 ),29063,(+/- 2228 ),28698,(+/- 2402 )
Workers,Commuting to Work,Public transportation (excluding taxicab),6586,(+/- 1405 ),9894,(+/- 1373 ),12779,(+/- 1704 ),19595,(+/- 2059 ),41682,(+/- 3442 ),6975,(+/- 966 ),3208,(+/- 883 ),3247,(+/- 849 )
Workers,Commuting to Work,Walked,11462,(+/- 1177 ),5801,(+/- 1289 ),4216,(+/- 1065 ),7576,(+/- 1326 ),19016,(+/- 2369 ),6020,(+/- 1047 ),11651,(+/- 1105 ),9403,(+/- 1464 )
Workers,Commuting to Work,Other means,4263,(+/- 1028 ),3378,(+/- 760 ),4200,(+/- 1064 ),5668,(+/- 1017 ),14219,(+/- 1966 ),3955,(+/- 992 ),3280,(+/- 689 ),4126,(+/- 770 )
Workers,Commuting to Work,Worked at home,17544,(+/- 1507 ),26014,(+/- 2366 ),25293,(+/- 2328 ),20146,(+/- 2002 ),19715,(+/- 2328 ),20544,(+/- 2227 ),21348,(+/- 1451 ),16827,(+/- 1518 )
Workers,Commuting to Work,Mean travel time to work (minutes),19.1,(+/- 0.5 ),24.3,(+/- 0.5 ),24.9,(+/- 0.5 ),24.1,(+/- 0.5 ),22.8,(+/- 0.5 ),27.5,(+/- 0.6 ),20.2,(+/- 0.5 ),24.3,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,355966,(+/- 4331 ),389829,(+/- 5001 ),382427,(+/- 6581 ),364667,(+/- 4828 ),400502,(+/- 6388 ),381138,(+/- 5312 ),335843,(+/- 3773 ),311274,(+/- 3733 )
Workers,Occupation,"Management, business, science, and arts occupations",129694,(+/- 4239 ),160854,(+/- 5187 ),186585,(+/- 5950 ),164086,(+/- 5346 ),181874,(+/- 5036 ),139473,(+/- 4741 ),104643,(+/- 3136 ),102605,(+/- 4075 )
Workers,Occupation,Service occupations,59911,(+/- 3385 ),59180,(+/- 3366 ),48332,(+/- 4010 ),57878,(+/- 3758 ),73800,(+/- 4525 ),61593,(+/- 3621 ),58114,(+/- 2814 ),61626,(+/- 2927 )
Workers,Occupation,Sales and office occupations,73303,(+/- 2983 ),96416,(+/- 4300 ),93603,(+/- 5702 ),85396,(+/- 3925 ),83027,(+/- 4491 ),89610,(+/- 4626 ),72387,(+/- 2883 ),67676,(+/- 2697 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",38608,(+/- 2191 ),28421,(+/- 2541 ),19100,(+/- 2044 ),17451,(+/- 1785 ),19989,(+/- 1971 ),35075,(+/- 2550 ),41152,(+/- 2065 ),36965,(+/- 1944 )
Workers,Occupation,"Production, transportation, and material moving occupations",54450,(+/- 3132 ),44958,(+/- 3493 ),34807,(+/- 3193 ),39856,(+/- 3330 ),41812,(+/- 3549 ),55387,(+/- 3865 ),59547,(+/- 2930 ),42402,(+/- 2315 )
Workers,Industry,Civilian employed population 16 years and over,355966,(+/- 4331 ),389829,(+/- 5001 ),382427,(+/- 6581 ),364667,(+/- 4828 ),400502,(+/- 6388 ),381138,(+/- 5312 ),335843,(+/- 3773 ),311274,(+/- 3733 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",16839,(+/- 1314 ),5676,(+/- 1180 ),1991,(+/- 793 ),1122,(+/- 523 ),1985,(+/- 1053 ),4187,(+/- 970 ),20806,(+/- 1665 ),9089,(+/- 1026 )
