Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
People,Sex and Age,60 to 64 years,52521,(+/- 2865 ),46438,(+/- 3555 ),47579,(+/- 3339 ),48778,(+/- 3168 ),46348,(+/- 2706 ),51497,(+/- 3278 ),35480,(+/- 2728 ),49147,(+/- 2760 ),56338,(+/- 2868 )
People,Sex and Age,65 to 74 years,73992,(+/- 1835 ),62988,(+/- 2428 ),63346,(+/- 3456 ),67783,(+/- 3283 ),62621,(+/- 3418 ),73897,(+/- 2623 ),49046,(+/- 2673 ),67803,(+/- 3407 ),91446,(+/- 2903 )
People,Sex and Age,75 to 84 years,35654,(+/- 1749 ),32584,(+/- 2217 ),27784,(+/- 2604 ),33394,(+/- 2794 ),37156,(+/- 2181 ),36390,(+/- 2192 ),21804,(+/- 1652 ),37612,(+/- 2488 ),45033,(+/- 2498 )
People,Sex and Age,85 years and over,18463,(+/- 1954 ),15477,(+/- 1570 ),12564,(+/- 1465 ),17333,(+/- 1744 ),17828,(+/- 1681 ),21955,(+/- 2200 ),11007,(+/- 1458 ),19312,(+/- 1575 ),20153,(+/- 2035 )
People,Sex and Age,Median age (years),40.9,(+/- 0.5 ),39.0,(+/- 0.6 ),39.3,(+/- 1.0 ),41.4,(+/- 0.7 ),39.4,(+/- 0.6 ),42.8,(+/- 0.6 ),31.8,(+/- 0.4 ),39.3,(+/- 0.7 ),45.5,(+/- 0.6 )
People,Sex and Age,18 years and over,580558,(+/- 4981 ),595632,(+/- 5768 ),590781,(+/- 8033 ),583547,(+/- 6240 ),610236,(+/- 6175 ),604451,(+/- 5137 ),646592,(+/- 8227 ),623546,(+/- 8659 ),597489,(+/- 5821 )
People,Sex and Age,65 years and over,128109,(+/- 2282 ),111049,(+/- 2973 ),103694,(+/- 4423 ),118510,(+/- 4477 ),117605,(+/- 4484 ),132242,(+/- 3714 ),81857,(+/- 3398 ),124727,(+/- 4373 ),156632,(+/- 3755 )
People,Race,Total population,729294,(+/- 6127 ),749202,(+/- 8272 ),761611,(+/- 9896 ),753156,(+/- 6905 ),759165,(+/- 7694 ),766310,(+/- 5214 ),779173,(+/- 9589 ),773806,(+/- 10653 ),740062,(+/- 6449 )
People,Race,One race,710349,(+/- 6419 ),727471,(+/- 8791 ),743980,(+/- 9880 ),736533,(+/- 7248 ),733353,(+/- 8323 ),748892,(+/- 6275 ),723064,(+/- 10984 ),755937,(+/- 10239 ),719835,(+/- 6479 )
People,Race,White,628922,(+/- 7956 ),619606,(+/- 9300 ),603805,(+/- 12811 ),646441,(+/- 9980 ),583376,(+/- 9990 ),648461,(+/- 8809 ),383951,(+/- 11598 ),584673,(+/- 11581 ),650940,(+/- 7237 )
People,Race,Black or African American,45618,(+/- 2309 ),38992,(+/- 2530 ),28000,(+/- 4952 ),26123,(+/- 3778 ),38795,(+/- 4899 ),29223,(+/- 4025 ),206206,(+/- 8591 ),75120,(+/- 5535 ),18600,(+/- 3350 )
People,Race,American Indian and Alaska Native,1292,(+/- 543 ),1481,(+/- 615 ),1577,(+/- 1042 ),324,(+/- 262 ),1006,(+/- 734 ),896,(+/- 570 ),3023,(+/- 1186 ),1392,(+/- 809 ),1556,(+/- 640 )
People,Race,Asian,15073,(+/- 1749 ),41343,(+/- 2046 ),63946,(+/- 5760 ),46575,(+/- 5428 ),85456,(+/- 6156 ),30638,(+/- 3956 ),83433,(+/- 7426 ),63576,(+/- 5023 ),10805,(+/- 2049 )
People,Race,Native Hawaiian and Other Pacific Islander,92,(+/- 101 ),764,(+/- 495 ),576,(+/- 396 ),350,(+/- 192 ),54,(+/- 89 ),259,(+/- 295 ),280,(+/- 252 ),133,(+/- 122 ),1250,(+/- 1246 )
People,Race,Some other race,19352,(+/- 3976 ),25285,(+/- 4251 ),46076,(+/- 6761 ),16720,(+/- 4335 ),24666,(+/- 5769 ),39415,(+/- 5035 ),46171,(+/- 5829 ),31043,(+/- 5451 ),36684,(+/- 4533 )
People,Race,Two or more races,18945,(+/- 3504 ),21731,(+/- 2903 ),17631,(+/- 2552 ),16623,(+/- 2997 ),25812,(+/- 4222 ),17418,(+/- 3305 ),56109,(+/- 7213 ),17869,(+/- 3108 ),20227,(+/- 2836 )
People,Hispanic or Latino and Race,Total population,729294,(+/- 6127 ),749202,(+/- 8272 ),761611,(+/- 9896 ),753156,(+/- 6905 ),759165,(+/- 7694 ),766310,(+/- 5214 ),779173,(+/- 9589 ),773806,(+/- 10653 ),740062,(+/- 6449 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),129065,(+/- 2093 ),74832,(+/- 3655 ),142917,(+/- 7704 ),37705,(+/- 4382 ),69523,(+/- 7249 ),71637,(+/- 4990 ),167874,(+/- 6476 ),47559,(+/- 4504 ),38584,(+/- 3073 )
People,Hispanic or Latino and Race,Mexican,5111,(+/- 2064 ),6134,(+/- 2958 ),5932,(+/- 2382 ),4044,(+/- 1616 ),8019,(+/- 2538 ),5104,(+/- 1622 ),8617,(+/- 2052 ),5476,(+/- 1755 ),2681,(+/- 1516 )
People,Hispanic or Latino and Race,Puerto Rican,108347,(+/- 3900 ),43847,(+/- 4789 ),50898,(+/- 5207 ),13582,(+/- 3985 ),13242,(+/- 3291 ),13998,(+/- 3719 ),39558,(+/- 5055 ),14439,(+/- 2863 ),21131,(+/- 2962 )
People,Hispanic or Latino and Race,Cuban,786,(+/- 551 ),910,(+/- 481 ),949,(+/- 532 ),1363,(+/- 633 ),1797,(+/- 751 ),1252,(+/- 719 ),2435,(+/- 1213 ),1490,(+/- 643 ),227,(+/- 224 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,14821,(+/- 3158 ),23941,(+/- 4390 ),85138,(+/- 6566 ),18716,(+/- 3383 ),46465,(+/- 6102 ),51283,(+/- 5210 ),117264,(+/- 6846 ),26154,(+/- 3702 ),14545,(+/- 2906 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,600229,(+/- 6248 ),674370,(+/- 8322 ),618694,(+/- 10157 ),715451,(+/- 7907 ),689642,(+/- 9836 ),694673,(+/- 7519 ),611299,(+/- 9764 ),726247,(+/- 10733 ),701478,(+/- 7146 )
People,Place of Birth,Total population,729294,(+/- 6127 ),749202,(+/- 8272 ),761611,(+/- 9896 ),753156,(+/- 6905 ),759165,(+/- 7694 ),766310,(+/- 5214 ),779173,(+/- 9589 ),773806,(+/- 10653 ),740062,(+/- 6449 )
People,Place of Birth,Native,678270,(+/- 8221 ),661572,(+/- 8944 ),622568,(+/- 11855 ),655982,(+/- 8504 ),576055,(+/- 10904 ),665479,(+/- 7716 ),523462,(+/- 11194 ),630446,(+/- 13074 ),674063,(+/- 7705 )
People,Place of Birth,Born in United States,632264,(+/- 9177 ),641378,(+/- 8748 ),593892,(+/- 11730 ),643580,(+/- 8496 ),559629,(+/- 10883 ),653810,(+/- 7432 ),492309,(+/- 9993 ),615730,(+/- 12920 ),660547,(+/- 7837 )
People,Place of Birth,State of residence,489004,(+/- 9360 ),495060,(+/- 8027 ),464981,(+/- 10450 ),454347,(+/- 9020 ),398858,(+/- 9781 ),526047,(+/- 7652 ),316173,(+/- 9215 ),489106,(+/- 12102 ),516797,(+/- 8598 )
People,Place of Birth,Different state,143260,(+/- 6748 ),146318,(+/- 7507 ),128911,(+/- 6201 ),189233,(+/- 6730 ),160771,(+/- 6733 ),127763,(+/- 5201 ),176136,(+/- 5609 ),126624,(+/- 6936 ),143750,(+/- 6480 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",46006,(+/- 4514 ),20194,(+/- 2958 ),28676,(+/- 3692 ),12402,(+/- 2326 ),16426,(+/- 2755 ),11669,(+/- 2183 ),31153,(+/- 3945 ),14716,(+/- 2669 ),13516,(+/- 2241 )
People,Place of Birth,Foreign born,51024,(+/- 4841 ),87630,(+/- 6747 ),139043,(+/- 7358 ),97174,(+/- 5622 ),183110,(+/- 8203 ),100831,(+/- 6658 ),255711,(+/- 9805 ),143360,(+/- 7854 ),65999,(+/- 5385 )
People,Ancestry,Total population,729294,(+/- 6127 ),749202,(+/- 8272 ),761611,(+/- 9896 ),753156,(+/- 6905 ),759165,(+/- 7694 ),766310,(+/- 5214 ),779173,(+/- 9589 ),773806,(+/- 10653 ),740062,(+/- 6449 )
People,Ancestry,American,35811,(+/- 5497 ),33371,(+/- 5732 ),26355,(+/- 3894 ),27817,(+/- 3614 ),27551,(+/- 4354 ),29208,(+/- 3501 ),16203,(+/- 2606 ),33535,(+/- 4569 ),28571,(+/- 3278 )
People,Ancestry,Arab,4464,(+/- 1879 ),7027,(+/- 3184 ),6271,(+/- 1648 ),9045,(+/- 2955 ),14666,(+/- 4008 ),5923,(+/- 3243 ),7137,(+/- 2368 ),11121,(+/- 2683 ),5447,(+/- 2683 )
People,Ancestry,Czech,1997,(+/- 1320 ),1451,(+/- 769 ),2516,(+/- 1603 ),1545,(+/- 678 ),2281,(+/- 852 ),568,(+/- 374 ),1187,(+/- 533 ),2115,(+/- 986 ),686,(+/- 391 )
People,Ancestry,Danish,896,(+/- 440 ),2435,(+/- 1221 ),1103,(+/- 637 ),1702,(+/- 862 ),1974,(+/- 899 ),1924,(+/- 823 ),1988,(+/- 790 ),1465,(+/- 763 ),2801,(+/- 951 )
People,Ancestry,Dutch,3922,(+/- 1096 ),6736,(+/- 1547 ),4160,(+/- 1144 ),4038,(+/- 1314 ),4367,(+/- 1164 ),6498,(+/- 1758 ),4160,(+/- 1178 ),4467,(+/- 1276 ),4611,(+/- 1091 )
People,Ancestry,English,64881,(+/- 4778 ),76576,(+/- 5305 ),72016,(+/- 5730 ),82315,(+/- 5596 ),59684,(+/- 4742 ),84774,(+/- 5256 ),29680,(+/- 3120 ),60691,(+/- 5060 ),105116,(+/- 6977 )
People,Ancestry,French (except Basque),84891,(+/- 5194 ),78427,(+/- 6550 ),53687,(+/- 4950 ),52358,(+/- 5137 ),24721,(+/- 3664 ),39564,(+/- 4004 ),14273,(+/- 2329 ),24673,(+/- 3117 ),50861,(+/- 4623 )
People,Ancestry,French Canadian,38402,(+/- 3666 ),47782,(+/- 4550 ),42237,(+/- 3825 ),30166,(+/- 4072 ),18475,(+/- 2738 ),33464,(+/- 3577 ),7180,(+/- 981 ),16897,(+/- 2808 ),30119,(+/- 3421 )
People,Ancestry,German,46733,(+/- 4161 ),47800,(+/- 4175 ),39113,(+/- 4004 ),46369,(+/- 3592 ),45426,(+/- 4456 ),41483,(+/- 4041 ),29744,(+/- 2925 ),43534,(+/- 4429 ),47295,(+/- 4608 )
People,Ancestry,Greek,4958,(+/- 1203 ),5658,(+/- 1237 ),13352,(+/- 2475 ),7169,(+/- 2346 ),6653,(+/- 1526 ),13975,(+/- 2522 ),5241,(+/- 1432 ),9829,(+/- 2279 ),4838,(+/- 1447 )
People,Ancestry,Hungarian,2671,(+/- 1234 ),2569,(+/- 944 ),1557,(+/- 588 ),2425,(+/- 1144 ),1739,(+/- 651 ),2058,(+/- 865 ),2470,(+/- 735 ),1822,(+/- 850 ),1626,(+/- 563 )
People,Ancestry,Irish,121417,(+/- 6850 ),144711,(+/- 7479 ),140490,(+/- 6901 ),160550,(+/- 7955 ),137468,(+/- 7202 ),200223,(+/- 9272 ),86290,(+/- 6002 ),223602,(+/- 10925 ),185634,(+/- 8809 )
People,Ancestry,Italian,81677,(+/- 5516 ),89651,(+/- 5573 ),88526,(+/- 5423 ),98417,(+/- 7255 ),111629,(+/- 7005 ),142270,(+/- 7494 ),60655,(+/- 4733 ),104873,(+/- 7769 ),84694,(+/- 6344 )
People,Ancestry,Lithuanian,4463,(+/- 1387 ),7511,(+/- 1996 ),4720,(+/- 1423 ),5604,(+/- 1688 ),5376,(+/- 1121 ),4415,(+/- 1300 ),3095,(+/- 1263 ),9310,(+/- 2973 ),4836,(+/- 1309 )
People,Ancestry,Norwegian,1813,(+/- 624 ),5594,(+/- 1518 ),3975,(+/- 2030 ),2896,(+/- 821 ),5524,(+/- 1420 ),4135,(+/- 1188 ),2669,(+/- 695 ),3582,(+/- 1071 ),5601,(+/- 1856 )
People,Ancestry,Polish,70464,(+/- 6425 ),51834,(+/- 4437 ),28723,(+/- 2907 ),35857,(+/- 3696 ),25475,(+/- 2352 ),31314,(+/- 3676 ),15196,(+/- 2277 ),26240,(+/- 3926 ),25479,(+/- 3394 )
People,Ancestry,Portuguese,13762,(+/- 3205 ),9779,(+/- 2348 ),16751,(+/- 3163 ),75199,(+/- 5643 ),14604,(+/- 3191 ),18136,(+/- 3028 ),9805,(+/- 1549 ),13760,(+/- 2626 ),105810,(+/- 6906 )
People,Ancestry,Russian,6321,(+/- 1170 ),8556,(+/- 1963 ),9329,(+/- 1943 ),21592,(+/- 3278 ),18846,(+/- 3238 ),12611,(+/- 2709 ),8899,(+/- 1572 ),11422,(+/- 2156 ),6710,(+/- 1949 )
People,Ancestry,Scotch-Irish,3650,(+/- 997 ),3998,(+/- 1091 ),4669,(+/- 1175 ),4321,(+/- 1069 ),4661,(+/- 1182 ),4841,(+/- 1185 ),3124,(+/- 1004 ),6564,(+/- 1466 ),6185,(+/- 1317 )
People,Ancestry,Scottish,15067,(+/- 2184 ),17536,(+/- 2704 ),19063,(+/- 3208 ),16912,(+/- 3044 ),16654,(+/- 2322 ),18467,(+/- 2549 ),8295,(+/- 1364 ),17152,(+/- 2776 ),21437,(+/- 2707 )
People,Ancestry,Slovak,843,(+/- 427 ),1022,(+/- 780 ),681,(+/- 367 ),847,(+/- 372 ),1204,(+/- 619 ),675,(+/- 526 ),769,(+/- 433 ),1217,(+/- 827 ),710,(+/- 441 )
People,Ancestry,Subsaharan African,5466,(+/- 2050 ),15097,(+/- 2596 ),8521,(+/- 2515 ),11333,(+/- 3413 ),9685,(+/- 1956 ),7939,(+/- 3328 ),35672,(+/- 5586 ),33622,(+/- 5417 ),22883,(+/- 4225 )
People,Ancestry,Swedish,7070,(+/- 1278 ),20455,(+/- 3402 ),11099,(+/- 2170 ),11437,(+/- 1798 ),11562,(+/- 2200 ),17004,(+/- 2322 ),4898,(+/- 1031 ),14061,(+/- 2276 ),12338,(+/- 1937 )
People,Ancestry,Swiss,961,(+/- 611 ),871,(+/- 519 ),1752,(+/- 1321 ),1285,(+/- 657 ),1655,(+/- 603 ),780,(+/- 474 ),609,(+/- 313 ),1068,(+/- 525 ),932,(+/- 494 )
People,Ancestry,Ukrainian,4296,(+/- 1240 ),2763,(+/- 951 ),1922,(+/- 766 ),4700,(+/- 1728 ),3533,(+/- 1035 ),3494,(+/- 1022 ),3539,(+/- 874 ),4787,(+/- 2519 ),1382,(+/- 547 )
People,Ancestry,Welsh,1894,(+/- 566 ),2617,(+/- 754 ),4246,(+/- 1682 ),1980,(+/- 824 ),3853,(+/- 1174 ),3652,(+/- 999 ),2674,(+/- 835 ),3411,(+/- 1248 ),4774,(+/- 1557 )
People,Ancestry,West Indian (excluding Hispanic origin groups),5381,(+/- 1857 ),6329,(+/- 2045 ),4051,(+/- 1664 ),9653,(+/- 3230 ),12461,(+/- 3657 ),8964,(+/- 2928 ),66608,(+/- 6723 ),21930,(+/- 4395 ),5848,(+/- 2314 )
People,Veteran Status,Civilian population 18 years and over,579895,(+/- 4989 ),595037,(+/- 5780 ),589940,(+/- 7991 ),583211,(+/- 6219 ),609270,(+/- 6140 ),603980,(+/- 5058 ),646194,(+/- 8182 ),622753,(+/- 8685 ),597033,(+/- 5772 )
People,Veteran Status,Civilian veterans,43873,(+/- 2670 ),38855,(+/- 2587 ),32724,(+/- 2494 ),34681,(+/- 2612 ),27461,(+/- 2165 ),36167,(+/- 2294 ),13385,(+/- 1770 ),35173,(+/- 2838 ),48831,(+/- 3062 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,721034,(+/- 6297 ),738297,(+/- 8650 ),750027,(+/- 9611 ),744627,(+/- 6699 ),753464,(+/- 7896 ),757857,(+/- 5552 ),774217,(+/- 9595 ),764303,(+/- 10502 ),732191,(+/- 6638 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,109073,(+/- 4871 ),88053,(+/- 5214 ),85552,(+/- 5422 ),77030,(+/- 5040 ),71057,(+/- 4854 ),88630,(+/- 4453 ),87173,(+/- 4276 ),84170,(+/- 4828 ),95857,(+/- 6001 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,148093,(+/- 2765 ),152885,(+/- 4546 ),170346,(+/- 6542 ),169158,(+/- 4798 ),148529,(+/- 5762 ),161627,(+/- 5245 ),132293,(+/- 5286 ),149963,(+/- 5591 ),142350,(+/- 4333 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,10054,(+/- 2157 ),7831,(+/- 1361 ),8760,(+/- 1821 ),6804,(+/- 1467 ),4472,(+/- 1114 ),6999,(+/- 1486 ),6515,(+/- 1424 ),5972,(+/- 1517 ),7244,(+/- 1617 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,449118,(+/- 4784 ),479268,(+/- 6099 ),480064,(+/- 8267 ),461543,(+/- 6251 ),491117,(+/- 7059 ),468380,(+/- 5642 ),562692,(+/- 8072 ),495195,(+/- 7591 ),437325,(+/- 5807 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,55136,(+/- 3814 ),45302,(+/- 3913 ),45918,(+/- 4131 ),36079,(+/- 3474 ),31697,(+/- 3257 ),41098,(+/- 3607 ),50289,(+/- 3876 ),39266,(+/- 3813 ),45944,(+/- 4082 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,123823,(+/- 2377 ),106144,(+/- 3095 ),99617,(+/- 4516 ),113926,(+/- 4560 ),113818,(+/- 4524 ),127850,(+/- 3765 ),79232,(+/- 3260 ),119145,(+/- 4255 ),152516,(+/- 3770 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,43883,(+/- 2573 ),34920,(+/- 2368 ),30874,(+/- 2275 ),34147,(+/- 2466 ),34888,(+/- 2601 ),40533,(+/- 2249 ),30369,(+/- 1869 ),38932,(+/- 2840 ),42669,(+/- 2893 )
People,Residence 1 Year Ago,Population 1 year and over,722772,(+/- 6205 ),742001,(+/- 8453 ),754115,(+/- 9887 ),747989,(+/- 6906 ),751132,(+/- 7642 ),759527,(+/- 5466 ),768924,(+/- 9774 ),765202,(+/- 10428 ),733779,(+/- 6496 )
People,Residence 1 Year Ago,Same house,636232,(+/- 9103 ),636643,(+/- 9711 ),668843,(+/- 11581 ),664641,(+/- 9216 ),646715,(+/- 9853 ),681768,(+/- 8589 ),609436,(+/- 11531 ),658293,(+/- 12010 ),663445,(+/- 8216 )
People,Residence 1 Year Ago,Different house in the U.S.,82684,(+/- 6984 ),98829,(+/- 6904 ),79244,(+/- 6939 ),75759,(+/- 7067 ),87114,(+/- 6930 ),74003,(+/- 6615 ),141229,(+/- 7959 ),98393,(+/- 7610 ),69175,(+/- 6480 )
People,Residence 1 Year Ago,Same county,57520,(+/- 5814 ),59191,(+/- 5972 ),56027,(+/- 6248 ),34636,(+/- 4579 ),45904,(+/- 4960 ),49009,(+/- 5868 ),77674,(+/- 6751 ),53996,(+/- 5424 ),47552,(+/- 5737 )
People,Residence 1 Year Ago,Different county,25164,(+/- 3819 ),39638,(+/- 4127 ),23217,(+/- 3631 ),41123,(+/- 4434 ),41210,(+/- 4728 ),24994,(+/- 3414 ),63555,(+/- 4502 ),44397,(+/- 5057 ),21623,(+/- 3261 )
People,Residence 1 Year Ago,Same state,11395,(+/- 2806 ),24006,(+/- 3266 ),12220,(+/- 1984 ),23501,(+/- 3543 ),19167,(+/- 2870 ),13722,(+/- 2444 ),31535,(+/- 3334 ),27537,(+/- 4167 ),12430,(+/- 2674 )
People,Residence 1 Year Ago,Different state,13769,(+/- 3142 ),15632,(+/- 2879 ),10997,(+/- 2921 ),17622,(+/- 2862 ),22043,(+/- 3457 ),11272,(+/- 2360 ),32020,(+/- 3069 ),16860,(+/- 3093 ),9193,(+/- 2034 )
People,Residence 1 Year Ago,Abroad,3856,(+/- 1713 ),6529,(+/- 2018 ),6028,(+/- 1907 ),7589,(+/- 2204 ),17303,(+/- 3941 ),3756,(+/- 1355 ),18259,(+/- 2625 ),8516,(+/- 2265 ),1159,(+/- 533 )
Workers,Employment Status,Population 16 years and over,600230,(+/- 5524 ),614841,(+/- 6284 ),613225,(+/- 8202 ),606046,(+/- 6164 ),625483,(+/- 6408 ),624608,(+/- 5386 ),661809,(+/- 8346 ),641246,(+/- 8877 ),614503,(+/- 5838 )
Workers,Employment Status,In labor force,379276,(+/- 6552 ),405435,(+/- 8012 ),420606,(+/- 9009 ),412115,(+/- 7841 ),439252,(+/- 8286 ),422352,(+/- 6041 ),460297,(+/- 8834 ),445419,(+/- 8331 ),390617,(+/- 6880 )
Workers,Employment Status,Civilian labor force,378613,(+/- 6524 ),404840,(+/- 8034 ),419765,(+/- 9087 ),411779,(+/- 7802 ),438286,(+/- 8361 ),421881,(+/- 6038 ),459899,(+/- 8776 ),444626,(+/- 8317 ),390161,(+/- 6810 )
Workers,Employment Status,Employed,354907,(+/- 6199 ),383572,(+/- 8107 ),397726,(+/- 9469 ),395403,(+/- 7890 ),421203,(+/- 8178 ),403265,(+/- 6539 ),426624,(+/- 8730 ),419830,(+/- 8381 ),368480,(+/- 6669 )
Workers,Employment Status,Unemployed,23706,(+/- 2636 ),21268,(+/- 2667 ),22039,(+/- 2867 ),16376,(+/- 2047 ),17083,(+/- 2257 ),18616,(+/- 2585 ),33275,(+/- 3448 ),24796,(+/- 2885 ),21681,(+/- 2444 )
Workers,Employment Status,Armed Forces,663,(+/- 380 ),595,(+/- 440 ),841,(+/- 887 ),336,(+/- 272 ),966,(+/- 625 ),471,(+/- 303 ),398,(+/- 248 ),793,(+/- 335 ),456,(+/- 321 )
Workers,Employment Status,Not in labor force,220954,(+/- 5988 ),209406,(+/- 7447 ),192619,(+/- 6461 ),193931,(+/- 6436 ),186231,(+/- 6315 ),202256,(+/- 5848 ),201512,(+/- 6517 ),195827,(+/- 6575 ),223886,(+/- 6740 )
Workers,Employment Status,Civilian labor force,378613,(+/- 6524 ),404840,(+/- 8034 ),419765,(+/- 9087 ),411779,(+/- 7802 ),438286,(+/- 8361 ),421881,(+/- 6038 ),459899,(+/- 8776 ),444626,(+/- 8317 ),390161,(+/- 6810 )
Workers,Employment Status,Unemployment Rate,6.3,(+/- 0.7 ),5.3,(+/- 0.7 ),5.3,(+/- 0.7 ),4.0,(+/- 0.5 ),3.9,(+/- 0.5 ),4.4,(+/- 0.6 ),7.2,(+/- 0.7 ),5.6,(+/- 0.6 ),5.6,(+/- 0.6 )
Workers,Commuting to Work,Workers 16 years and over,348072,(+/- 6381 ),375950,(+/- 7831 ),390533,(+/- 9527 ),388291,(+/- 8165 ),414939,(+/- 8067 ),397020,(+/- 6638 ),417008,(+/- 8222 ),412905,(+/- 8403 ),360219,(+/- 7087 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",280820,(+/- 6722 ),288360,(+/- 7576 ),304324,(+/- 8418 ),290625,(+/- 6605 ),269331,(+/- 6918 ),299292,(+/- 8489 ),169390,(+/- 6139 ),265374,(+/- 7472 ),289591,(+/- 7836 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",26370,(+/- 3423 ),30922,(+/- 3200 ),34889,(+/- 3489 ),25476,(+/- 2615 ),29446,(+/- 2784 ),32187,(+/- 3316 ),29368,(+/- 3529 ),31786,(+/- 3561 ),26712,(+/- 2851 )
Workers,Commuting to Work,Public transportation (excluding taxicab),5428,(+/- 1226 ),8413,(+/- 1417 ),12197,(+/- 1733 ),29832,(+/- 2421 ),62371,(+/- 4038 ),24157,(+/- 2667 ),135987,(+/- 6718 ),67307,(+/- 4974 ),8919,(+/- 1354 )
Workers,Commuting to Work,Walked,13056,(+/- 2674 ),17414,(+/- 2172 ),9456,(+/- 1693 ),15147,(+/- 2100 ),19727,(+/- 2278 ),11447,(+/- 1977 ),50074,(+/- 2997 ),22979,(+/- 2555 ),9280,(+/- 1779 )
