Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE
People,Sex and Age,45 to 54 years,99145,(+/- 2118 ),99884,(+/- 3793 ),90958,(+/- 2699 ),106314,(+/- 3310 ),84432,(+/- 3886 ),99110,(+/- 3090 ),101874,(+/- 3376 ),100531,(+/- 2138 ),105861,(+/- 5008 ),110513,(+/- 3799 ),82047,(+/- 3800 ),105509,(+/- 3283 ),103220,(+/- 3201 ),106981,(+/- 4188 ),99202,(+/- 5052 ),103359,(+/- 3619 ),93557,(+/- 4165 ),99715,(+/- 3530 ),90075,(+/- 2790 ),105540,(+/- 5778 ),98754,(+/- 4505 ),110330,(+/- 5576 ),112710,(+/- 5408 ),102370,(+/- 4836 ),116326,(+/- 5423 ),116195,(+/- 5712 ),110983,(+/- 4596 )
People,Sex and Age,55 to 59 years,56688,(+/- 2941 ),56150,(+/- 2934 ),48257,(+/- 3493 ),54776,(+/- 3710 ),41846,(+/- 2760 ),59420,(+/- 2936 ),46867,(+/- 3260 ),58319,(+/- 3127 ),51628,(+/- 4635 ),50048,(+/- 3658 ),57532,(+/- 3362 ),52608,(+/- 3041 ),57534,(+/- 2872 ),48450,(+/- 3021 ),49114,(+/- 3968 ),54698,(+/- 3330 ),55727,(+/- 4234 ),56887,(+/- 3992 ),52522,(+/- 3207 ),49617,(+/- 3930 ),48508,(+/- 3233 ),57841,(+/- 3893 ),52854,(+/- 3635 ),50673,(+/- 3907 ),47970,(+/- 4361 ),51484,(+/- 3533 ),51444,(+/- 3836 )
People,Sex and Age,60 to 64 years,46844,(+/- 2752 ),48655,(+/- 3141 ),44166,(+/- 2881 ),52050,(+/- 3461 ),40010,(+/- 3078 ),56180,(+/- 2770 ),45658,(+/- 2822 ),58360,(+/- 3052 ),42854,(+/- 3665 ),42323,(+/- 3395 ),52971,(+/- 3163 ),55352,(+/- 3494 ),56156,(+/- 2859 ),41709,(+/- 3043 ),46719,(+/- 3710 ),56881,(+/- 3169 ),55788,(+/- 4170 ),51365,(+/- 3548 ),62726,(+/- 3224 ),43632,(+/- 3890 ),45672,(+/- 3157 ),49782,(+/- 3797 ),44880,(+/- 3487 ),43294,(+/- 3785 ),43271,(+/- 3511 ),41384,(+/- 3768 ),41272,(+/- 3296 )
People,Sex and Age,65 to 74 years,74236,(+/- 1319 ),82974,(+/- 2648 ),68274,(+/- 2217 ),78014,(+/- 2493 ),53312,(+/- 2809 ),107089,(+/- 2519 ),60142,(+/- 2764 ),100027,(+/- 1460 ),78411,(+/- 3965 ),55733,(+/- 2849 ),156131,(+/- 3147 ),101298,(+/- 2787 ),89659,(+/- 2227 ),58591,(+/- 2812 ),70395,(+/- 3882 ),112370,(+/- 3287 ),129817,(+/- 4077 ),99126,(+/- 2698 ),128931,(+/- 3351 ),58462,(+/- 3983 ),90536,(+/- 3585 ),80155,(+/- 4133 ),71657,(+/- 3602 ),59254,(+/- 3463 ),78556,(+/- 4179 ),65703,(+/- 3894 ),69387,(+/- 4188 )
People,Sex and Age,75 to 84 years,37519,(+/- 1855 ),42235,(+/- 2131 ),33978,(+/- 2074 ),30576,(+/- 2404 ),25245,(+/- 1939 ),61054,(+/- 2721 ),30994,(+/- 2125 ),61429,(+/- 2279 ),37890,(+/- 3116 ),23095,(+/- 2187 ),91727,(+/- 3829 ),61373,(+/- 2784 ),47724,(+/- 2991 ),28493,(+/- 1988 ),39900,(+/- 3069 ),66199,(+/- 3032 ),75409,(+/- 3610 ),62221,(+/- 3419 ),76973,(+/- 3790 ),29616,(+/- 3363 ),63792,(+/- 3414 ),45711,(+/- 3350 ),38502,(+/- 3361 ),32763,(+/- 2918 ),47141,(+/- 3459 ),34014,(+/- 3185 ),43453,(+/- 3382 )
People,Sex and Age,85 years and over,12290,(+/- 1702 ),13013,(+/- 1640 ),15934,(+/- 2212 ),16032,(+/- 2147 ),10882,(+/- 1684 ),23665,(+/- 2120 ),13448,(+/- 1770 ),23278,(+/- 2412 ),12040,(+/- 1749 ),10536,(+/- 1693 ),28963,(+/- 3043 ),23784,(+/- 2317 ),24565,(+/- 2368 ),11238,(+/- 1684 ),12419,(+/- 1729 ),29925,(+/- 2622 ),30884,(+/- 3119 ),28324,(+/- 2947 ),32464,(+/- 3166 ),15761,(+/- 1914 ),36381,(+/- 2901 ),27406,(+/- 2846 ),20016,(+/- 1949 ),11302,(+/- 1807 ),20712,(+/- 2843 ),14674,(+/- 2016 ),23562,(+/- 2810 )
People,Sex and Age,Median age (years),38.7,(+/- 0.4 ),43.2,(+/- 0.6 ),37.8,(+/- 0.6 ),39.8,(+/- 0.8 ),33.0,(+/- 0.6 ),47.5,(+/- 0.5 ),36.5,(+/- 0.6 ),48.1,(+/- 0.3 ),37.4,(+/- 0.6 ),35.5,(+/- 0.5 ),55.6,(+/- 0.5 ),46.6,(+/- 0.4 ),46.5,(+/- 0.4 ),36.2,(+/- 0.6 ),38.4,(+/- 0.7 ),47.0,(+/- 0.6 ),51.3,(+/- 0.8 ),47.1,(+/- 0.6 ),50.2,(+/- 0.6 ),36.4,(+/- 0.8 ),45.4,(+/- 0.6 ),45.2,(+/- 0.7 ),41.6,(+/- 0.9 ),37.1,(+/- 0.7 ),42.5,(+/- 0.7 ),38.4,(+/- 0.8 ),41.9,(+/- 0.8 )
People,Sex and Age,18 years and over,599151,(+/- 1363 ),578823,(+/- 7379 ),580297,(+/- 5029 ),616277,(+/- 9365 ),558302,(+/- 10014 ),627037,(+/- 7582 ),610020,(+/- 10536 ),609384,(+/- 3689 ),630259,(+/- 11790 ),607894,(+/- 12133 ),641747,(+/- 7665 ),615943,(+/- 6842 ),603671,(+/- 6517 ),601484,(+/- 8759 ),588239,(+/- 13848 ),649422,(+/- 8751 ),635291,(+/- 9976 ),611460,(+/- 7731 ),659312,(+/- 8156 ),604322,(+/- 12660 ),612814,(+/- 10729 ),599809,(+/- 9039 ),597651,(+/- 8518 ),587108,(+/- 14299 ),612943,(+/- 12532 ),614363,(+/- 13678 ),614276,(+/- 11345 )
People,Sex and Age,65 years and over,124045,(+/- 1425 ),138222,(+/- 2890 ),118186,(+/- 3018 ),124622,(+/- 3386 ),89439,(+/- 3481 ),191808,(+/- 3192 ),104584,(+/- 3096 ),184734,(+/- 1594 ),128341,(+/- 5104 ),89364,(+/- 3963 ),276821,(+/- 3678 ),186455,(+/- 3991 ),161948,(+/- 3689 ),98322,(+/- 3392 ),122714,(+/- 5395 ),208494,(+/- 3890 ),236110,(+/- 5587 ),189671,(+/- 4115 ),238368,(+/- 4798 ),103839,(+/- 4901 ),190709,(+/- 5892 ),153272,(+/- 5755 ),130175,(+/- 4556 ),103319,(+/- 4545 ),146409,(+/- 6387 ),114391,(+/- 5576 ),136402,(+/- 5763 )
People,Race,Total population,762506,(+/- 1571 ),720418,(+/- 9374 ),732088,(+/- 6986 ),778620,(+/- 11856 ),728346,(+/- 12994 ),765005,(+/- 9769 ),762326,(+/- 13747 ),744430,(+/- 3535 ),832753,(+/- 15714 ),791447,(+/- 16014 ),758331,(+/- 11136 ),760472,(+/- 8232 ),728996,(+/- 7696 ),769968,(+/- 11969 ),762822,(+/- 18653 ),803454,(+/- 11632 ),768138,(+/- 11789 ),754652,(+/- 10080 ),799332,(+/- 10769 ),794621,(+/- 16410 ),758201,(+/- 13284 ),737019,(+/- 10420 ),749377,(+/- 8009 ),749624,(+/- 18637 ),763628,(+/- 14209 ),788816,(+/- 17401 ),747049,(+/- 15095 )
People,Race,One race,730460,(+/- 3585 ),703746,(+/- 9380 ),708930,(+/- 6502 ),754515,(+/- 11828 ),705084,(+/- 13179 ),748393,(+/- 10250 ),736263,(+/- 14719 ),722255,(+/- 5160 ),803629,(+/- 15910 ),764083,(+/- 15333 ),740067,(+/- 10923 ),742013,(+/- 8679 ),708425,(+/- 8537 ),741977,(+/- 12243 ),743184,(+/- 19343 ),786204,(+/- 11688 ),754619,(+/- 11911 ),740780,(+/- 10254 ),787295,(+/- 10329 ),772587,(+/- 16502 ),742244,(+/- 13726 ),716516,(+/- 10979 ),725075,(+/- 8626 ),738031,(+/- 18459 ),755693,(+/- 14599 ),775180,(+/- 17143 ),732440,(+/- 15345 )
People,Race,White,585415,(+/- 3468 ),588570,(+/- 8046 ),558389,(+/- 6514 ),638296,(+/- 10166 ),327600,(+/- 11414 ),643603,(+/- 8844 ),593834,(+/- 12245 ),619383,(+/- 5316 ),620837,(+/- 17586 ),451551,(+/- 15066 ),659339,(+/- 9882 ),673398,(+/- 8241 ),575932,(+/- 8336 ),530438,(+/- 11684 ),580409,(+/- 17812 ),672814,(+/- 10666 ),666637,(+/- 12302 ),613642,(+/- 10696 ),687450,(+/- 11477 ),314070,(+/- 15151 ),582382,(+/- 12297 ),553571,(+/- 12402 ),556073,(+/- 12432 ),316828,(+/- 15542 ),683958,(+/- 14695 ),640954,(+/- 17922 ),638792,(+/- 14979 )
People,Race,Black or African American,105270,(+/- 3034 ),91756,(+/- 5680 ),113730,(+/- 5309 ),68651,(+/- 6736 ),347373,(+/- 8402 ),78484,(+/- 4539 ),81270,(+/- 8085 ),69137,(+/- 3566 ),117306,(+/- 10732 ),223260,(+/- 10270 ),64055,(+/- 6952 ),37040,(+/- 3377 ),89432,(+/- 4288 ),150976,(+/- 8084 ),106063,(+/- 9028 ),62183,(+/- 4507 ),57744,(+/- 5091 ),93925,(+/- 5879 ),63887,(+/- 4431 ),421052,(+/- 14233 ),122644,(+/- 8543 ),116739,(+/- 9481 ),100461,(+/- 10245 ),365096,(+/- 10401 ),35268,(+/- 5564 ),88692,(+/- 8363 ),38934,(+/- 5872 )
People,Race,American Indian and Alaska Native,4032,(+/- 1279 ),2451,(+/- 763 ),1651,(+/- 515 ),1893,(+/- 1107 ),2234,(+/- 967 ),2660,(+/- 904 ),1194,(+/- 681 ),1713,(+/- 1038 ),1817,(+/- 792 ),825,(+/- 675 ),1492,(+/- 947 ),2394,(+/- 922 ),2060,(+/- 682 ),2846,(+/- 1515 ),1913,(+/- 851 ),2568,(+/- 974 ),1871,(+/- 700 ),2340,(+/- 1261 ),983,(+/- 702 ),2902,(+/- 2292 ),911,(+/- 498 ),2015,(+/- 922 ),2082,(+/- 765 ),2423,(+/- 1040 ),1339,(+/- 632 ),442,(+/- 250 ),1687,(+/- 1785 )
People,Race,Asian,19547,(+/- 2031 ),15169,(+/- 1559 ),25779,(+/- 1962 ),35649,(+/- 3601 ),14616,(+/- 2866 ),12967,(+/- 1002 ),32704,(+/- 3295 ),16962,(+/- 1190 ),28687,(+/- 4907 ),42176,(+/- 5164 ),7852,(+/- 1338 ),21384,(+/- 3976 ),26457,(+/- 2334 ),35584,(+/- 3472 ),24592,(+/- 3571 ),15330,(+/- 1742 ),8398,(+/- 1546 ),16513,(+/- 2579 ),12829,(+/- 1570 ),22250,(+/- 4296 ),17996,(+/- 2713 ),24482,(+/- 3469 ),33776,(+/- 3869 ),9072,(+/- 2424 ),7940,(+/- 2204 ),13374,(+/- 2560 ),17308,(+/- 3330 )
People,Race,Native Hawaiian and Other Pacific Islander,972,(+/- 611 ),617,(+/- 617 ),921,(+/- 637 ),938,(+/- 956 ),602,(+/- 489 ),64,(+/- 77 ),343,(+/- 209 ),170,(+/- 165 ),142,(+/- 233 ),50,(+/- 80 ),265,(+/- 391 ),325,(+/- 238 ),685,(+/- 287 ),893,(+/- 474 ),492,(+/- 382 ),278,(+/- 225 ),948,(+/- 863 ),273,(+/- 346 ),129,(+/- 210 ),606,(+/- 390 ),305,(+/- 297 ),175,(+/- 175 ),866,(+/- 622 ),608,(+/- 463 ),310,(+/- 367 ),74,(+/- 122 ),489,(+/- 591 )
People,Race,Some other race,15224,(+/- 3201 ),5183,(+/- 1832 ),8460,(+/- 2999 ),9088,(+/- 2484 ),12659,(+/- 3699 ),10615,(+/- 2544 ),26918,(+/- 4543 ),14890,(+/- 4916 ),34840,(+/- 8234 ),46221,(+/- 8959 ),7064,(+/- 2527 ),7472,(+/- 1971 ),13859,(+/- 3533 ),21240,(+/- 3988 ),29715,(+/- 6427 ),33031,(+/- 6306 ),19021,(+/- 3938 ),14087,(+/- 3947 ),22017,(+/- 5592 ),11707,(+/- 2732 ),18006,(+/- 3837 ),19534,(+/- 4265 ),31817,(+/- 7082 ),44004,(+/- 8016 ),26878,(+/- 6215 ),31644,(+/- 8163 ),35230,(+/- 5393 )
People,Race,Two or more races,32046,(+/- 3512 ),16672,(+/- 3640 ),23158,(+/- 4120 ),24105,(+/- 4176 ),23262,(+/- 4738 ),16612,(+/- 3450 ),26063,(+/- 4505 ),22175,(+/- 3463 ),29124,(+/- 5769 ),27364,(+/- 4869 ),18264,(+/- 3159 ),18459,(+/- 2665 ),20571,(+/- 4169 ),27991,(+/- 4958 ),19638,(+/- 4025 ),17250,(+/- 3221 ),13519,(+/- 2666 ),13872,(+/- 4063 ),12037,(+/- 2992 ),22034,(+/- 5231 ),15957,(+/- 3508 ),20503,(+/- 4556 ),24302,(+/- 4408 ),11593,(+/- 2788 ),7935,(+/- 1740 ),13636,(+/- 3263 ),14609,(+/- 3536 )
People,Hispanic or Latino and Race,Total population,762506,(+/- 1571 ),720418,(+/- 9374 ),732088,(+/- 6986 ),778620,(+/- 11856 ),728346,(+/- 12994 ),765005,(+/- 9769 ),762326,(+/- 13747 ),744430,(+/- 3535 ),832753,(+/- 15714 ),791447,(+/- 16014 ),758331,(+/- 11136 ),760472,(+/- 8232 ),728996,(+/- 7696 ),769968,(+/- 11969 ),762822,(+/- 18653 ),803454,(+/- 11632 ),768138,(+/- 11789 ),754652,(+/- 10080 ),799332,(+/- 10769 ),794621,(+/- 16410 ),758201,(+/- 13284 ),737019,(+/- 10420 ),749377,(+/- 8009 ),749624,(+/- 18637 ),763628,(+/- 14209 ),788816,(+/- 17401 ),747049,(+/- 15095 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),48518,(+/- 37 ),46027,(+/- 3211 ),70202,(+/- 2819 ),63867,(+/- 5055 ),57979,(+/- 5017 ),96280,(+/- 4331 ),192914,(+/- 10660 ),77786,(+/- 1577 ),324977,(+/- 12926 ),213844,(+/- 10585 ),74447,(+/- 5254 ),93030,(+/- 2517 ),71684,(+/- 2398 ),223634,(+/- 9977 ),175127,(+/- 13852 ),142084,(+/- 7180 ),117927,(+/- 8572 ),121586,(+/- 7486 ),155349,(+/- 6820 ),191652,(+/- 11584 ),177488,(+/- 8931 ),150340,(+/- 10667 ),278102,(+/- 10725 ),294916,(+/- 16033 ),580988,(+/- 12541 ),551752,(+/- 17984 ),534078,(+/- 14490 )
People,Hispanic or Latino and Race,Mexican,19510,(+/- 3741 ),15580,(+/- 3561 ),16601,(+/- 3850 ),14688,(+/- 3673 ),14231,(+/- 3371 ),22500,(+/- 4658 ),16088,(+/- 4608 ),22636,(+/- 4316 ),42035,(+/- 9667 ),33553,(+/- 7531 ),15487,(+/- 4547 ),16077,(+/- 3062 ),17803,(+/- 3484 ),19927,(+/- 4282 ),47599,(+/- 8202 ),60727,(+/- 6924 ),54784,(+/- 6543 ),40053,(+/- 6437 ),50146,(+/- 8697 ),27023,(+/- 5893 ),29695,(+/- 5931 ),11964,(+/- 3526 ),8420,(+/- 2109 ),11275,(+/- 3329 ),51100,(+/- 5459 ),36296,(+/- 6893 ),13248,(+/- 2971 )
People,Hispanic or Latino and Race,Puerto Rican,11238,(+/- 2759 ),12634,(+/- 2789 ),20772,(+/- 4164 ),20004,(+/- 4415 ),16893,(+/- 3118 ),45208,(+/- 5019 ),97512,(+/- 9603 ),21348,(+/- 3840 ),186492,(+/- 11095 ),83548,(+/- 8686 ),34175,(+/- 5069 ),40521,(+/- 3942 ),22562,(+/- 3780 ),61782,(+/- 5810 ),65536,(+/- 8896 ),26981,(+/- 4977 ),23507,(+/- 5071 ),27892,(+/- 4470 ),30428,(+/- 6101 ),29696,(+/- 5648 ),26480,(+/- 4781 ),26241,(+/- 4204 ),38639,(+/- 6180 ),26287,(+/- 4245 ),16505,(+/- 3685 ),30302,(+/- 5415 ),24564,(+/- 5221 )
People,Hispanic or Latino and Race,Cuban,2331,(+/- 865 ),7127,(+/- 2034 ),14280,(+/- 4635 ),7645,(+/- 3123 ),6406,(+/- 2343 ),6481,(+/- 2493 ),19057,(+/- 3961 ),8412,(+/- 3088 ),15058,(+/- 4884 ),18296,(+/- 5634 ),7165,(+/- 2624 ),12475,(+/- 2611 ),10460,(+/- 2543 ),74458,(+/- 7919 ),19589,(+/- 4363 ),18745,(+/- 4746 ),16216,(+/- 4492 ),10462,(+/- 2413 ),30938,(+/- 5960 ),38021,(+/- 5906 ),32001,(+/- 4969 ),22094,(+/- 4189 ),66167,(+/- 7276 ),110871,(+/- 11361 ),338081,(+/- 13998 ),298723,(+/- 16949 ),280775,(+/- 12110 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,15439,(+/- 3327 ),10686,(+/- 3050 ),18549,(+/- 2965 ),21530,(+/- 4490 ),20449,(+/- 3852 ),22091,(+/- 4521 ),60257,(+/- 7986 ),25390,(+/- 5240 ),81392,(+/- 11279 ),78447,(+/- 9694 ),17620,(+/- 3849 ),23957,(+/- 3198 ),20859,(+/- 3456 ),67467,(+/- 6578 ),42403,(+/- 6204 ),35631,(+/- 5540 ),23420,(+/- 4513 ),43179,(+/- 6462 ),43837,(+/- 6558 ),96912,(+/- 11062 ),89312,(+/- 8467 ),90041,(+/- 8332 ),164876,(+/- 11542 ),146483,(+/- 11541 ),175302,(+/- 12481 ),186431,(+/- 12914 ),215491,(+/- 11756 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,713988,(+/- 1567 ),674391,(+/- 8481 ),661886,(+/- 6786 ),714753,(+/- 10963 ),670367,(+/- 12465 ),668725,(+/- 9159 ),569412,(+/- 10453 ),666644,(+/- 3205 ),507776,(+/- 13608 ),577603,(+/- 14256 ),683884,(+/- 10562 ),667442,(+/- 8267 ),657312,(+/- 7453 ),546334,(+/- 10836 ),587695,(+/- 15906 ),661370,(+/- 10416 ),650211,(+/- 10862 ),633066,(+/- 8245 ),643983,(+/- 8423 ),602969,(+/- 13838 ),580713,(+/- 10686 ),586679,(+/- 11882 ),471275,(+/- 11406 ),454708,(+/- 11729 ),182640,(+/- 9531 ),237064,(+/- 10391 ),212971,(+/- 9623 )
