Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE
People,Sex and Age,45 to 54 years,111025,(+/- 4211 ),114771,(+/- 4390 ),105447,(+/- 4526 ),104225,(+/- 3981 ),116527,(+/- 4688 ),103322,(+/- 4574 ),93643,(+/- 4524 ),99787,(+/- 4522 ),92985,(+/- 3950 ),81576,(+/- 4986 ),101174,(+/- 2594 ),86502,(+/- 5742 ),103699,(+/- 4635 ),93970,(+/- 5090 ),95129,(+/- 4262 ),104640,(+/- 3887 ),106425,(+/- 3297 ),109498,(+/- 2526 ),105281,(+/- 2815 ),98200,(+/- 2705 ),100203,(+/- 2112 ),96617,(+/- 2053 ),90353,(+/- 1825 ),98244,(+/- 1523 ),95984,(+/- 1122 ),89599,(+/- 2961 ),109882,(+/- 3202 )
People,Sex and Age,55 to 59 years,51246,(+/- 2966 ),52865,(+/- 3224 ),56941,(+/- 3327 ),51565,(+/- 3557 ),54868,(+/- 3283 ),57483,(+/- 3409 ),39072,(+/- 3341 ),48682,(+/- 3238 ),47158,(+/- 3291 ),41769,(+/- 3855 ),49470,(+/- 2708 ),33362,(+/- 3670 ),44932,(+/- 3134 ),39385,(+/- 3280 ),40474,(+/- 3083 ),48644,(+/- 3834 ),52430,(+/- 2699 ),51301,(+/- 2647 ),58580,(+/- 3040 ),52185,(+/- 2702 ),51435,(+/- 2251 ),53584,(+/- 2189 ),54103,(+/- 2358 ),54515,(+/- 2334 ),52434,(+/- 2588 ),50642,(+/- 2781 ),53658,(+/- 2659 )
People,Sex and Age,60 to 64 years,45772,(+/- 2934 ),48025,(+/- 3450 ),54504,(+/- 3575 ),43052,(+/- 3091 ),49430,(+/- 3308 ),51977,(+/- 3831 ),36991,(+/- 3158 ),45042,(+/- 2882 ),43892,(+/- 3078 ),40128,(+/- 3921 ),46461,(+/- 2627 ),38048,(+/- 3811 ),41526,(+/- 3656 ),36797,(+/- 3393 ),34711,(+/- 2894 ),42652,(+/- 2938 ),44086,(+/- 3151 ),46973,(+/- 2680 ),49526,(+/- 2883 ),44230,(+/- 2686 ),49493,(+/- 2354 ),46983,(+/- 1957 ),48926,(+/- 2096 ),46272,(+/- 2560 ),45037,(+/- 2617 ),49446,(+/- 2776 ),54268,(+/- 3069 )
People,Sex and Age,65 to 74 years,73243,(+/- 2826 ),56941,(+/- 3414 ),74430,(+/- 3531 ),65421,(+/- 2510 ),59529,(+/- 2512 ),66820,(+/- 3089 ),45056,(+/- 3249 ),57311,(+/- 2906 ),60246,(+/- 2585 ),61072,(+/- 3703 ),66527,(+/- 1983 ),57422,(+/- 3435 ),54198,(+/- 2788 ),52692,(+/- 3786 ),43551,(+/- 2553 ),65533,(+/- 3274 ),63210,(+/- 2403 ),62300,(+/- 2032 ),78790,(+/- 1518 ),67213,(+/- 1771 ),71277,(+/- 1483 ),69613,(+/- 1210 ),70471,(+/- 1306 ),66004,(+/- 968 ),66293,(+/- 987 ),64778,(+/- 2316 ),75096,(+/- 2744 )
People,Sex and Age,75 to 84 years,35780,(+/- 2631 ),29812,(+/- 2374 ),43308,(+/- 3607 ),32295,(+/- 2426 ),29494,(+/- 2202 ),33897,(+/- 2246 ),23015,(+/- 2477 ),34768,(+/- 2971 ),25027,(+/- 2042 ),27446,(+/- 2719 ),32518,(+/- 1899 ),28925,(+/- 2864 ),29916,(+/- 3075 ),29111,(+/- 2494 ),19818,(+/- 1798 ),41332,(+/- 2935 ),32790,(+/- 2060 ),29385,(+/- 1756 ),39063,(+/- 1910 ),29057,(+/- 1774 ),35892,(+/- 1766 ),37204,(+/- 1587 ),36445,(+/- 1196 ),32185,(+/- 1557 ),34341,(+/- 1717 ),34186,(+/- 2502 ),37188,(+/- 2384 )
People,Sex and Age,85 years and over,15853,(+/- 1726 ),13696,(+/- 1529 ),27160,(+/- 2287 ),21189,(+/- 2073 ),14355,(+/- 1608 ),17128,(+/- 1958 ),10790,(+/- 1613 ),15759,(+/- 1864 ),13173,(+/- 1496 ),17060,(+/- 2546 ),15355,(+/- 1631 ),17856,(+/- 2926 ),12791,(+/- 1926 ),13957,(+/- 1718 ),7563,(+/- 1282 ),19231,(+/- 2143 ),18113,(+/- 1989 ),13962,(+/- 1332 ),15367,(+/- 1565 ),19812,(+/- 1752 ),15302,(+/- 1677 ),18323,(+/- 1340 ),16555,(+/- 1240 ),17664,(+/- 1544 ),17868,(+/- 1614 ),18984,(+/- 1493 ),16680,(+/- 1592 )
People,Sex and Age,Median age (years),41.7,(+/- 0.9 ),40.3,(+/- 0.7 ),44.5,(+/- 0.9 ),40.3,(+/- 0.5 ),37.3,(+/- 0.5 ),40.4,(+/- 0.6 ),33.2,(+/- 0.5 ),36.2,(+/- 0.7 ),36.4,(+/- 0.6 ),37.1,(+/- 0.6 ),39.0,(+/- 0.5 ),35.7,(+/- 0.5 ),34.4,(+/- 0.5 ),37.6,(+/- 0.6 ),30.7,(+/- 0.4 ),40.0,(+/- 0.7 ),39.1,(+/- 0.6 ),39.6,(+/- 0.4 ),44.6,(+/- 0.5 ),38.9,(+/- 0.5 ),40.6,(+/- 0.5 ),41.0,(+/- 0.4 ),40.2,(+/- 0.5 ),39.6,(+/- 0.4 ),38.5,(+/- 0.3 ),38.4,(+/- 0.7 ),43.6,(+/- 0.6 )
People,Sex and Age,18 years and over,566160,(+/- 6713 ),557995,(+/- 8585 ),578936,(+/- 10394 ),560498,(+/- 9487 ),615893,(+/- 13089 ),608710,(+/- 12761 ),586199,(+/- 13005 ),612288,(+/- 14642 ),565827,(+/- 13649 ),572704,(+/- 13221 ),573621,(+/- 8176 ),629469,(+/- 15499 ),645831,(+/- 13523 ),549514,(+/- 15219 ),551814,(+/- 13872 ),576078,(+/- 10669 ),560460,(+/- 5477 ),554341,(+/- 5265 ),567039,(+/- 5379 ),580579,(+/- 4427 ),567428,(+/- 3028 ),558447,(+/- 2859 ),560920,(+/- 2792 ),557539,(+/- 1974 ),568709,(+/- 2272 ),564448,(+/- 4465 ),574456,(+/- 5608 )
People,Sex and Age,65 years and over,124876,(+/- 3419 ),100449,(+/- 4327 ),144898,(+/- 5731 ),118905,(+/- 3267 ),103378,(+/- 3331 ),117845,(+/- 3869 ),78861,(+/- 4123 ),107838,(+/- 4483 ),98446,(+/- 3506 ),105578,(+/- 5207 ),114400,(+/- 2920 ),104203,(+/- 5339 ),96905,(+/- 3961 ),95760,(+/- 4741 ),70932,(+/- 3178 ),126096,(+/- 4653 ),114113,(+/- 3445 ),105647,(+/- 2361 ),133220,(+/- 2188 ),116082,(+/- 2125 ),122471,(+/- 1735 ),125140,(+/- 1679 ),123471,(+/- 1464 ),115853,(+/- 1154 ),118502,(+/- 1022 ),117948,(+/- 3721 ),128964,(+/- 3891 )
People,Race,Total population,718175,(+/- 4908 ),714040,(+/- 8215 ),732591,(+/- 12035 ),723377,(+/- 13136 ),794154,(+/- 15868 ),753744,(+/- 16877 ),763468,(+/- 18454 ),771711,(+/- 19644 ),738674,(+/- 19050 ),708960,(+/- 18585 ),735452,(+/- 11681 ),715471,(+/- 19247 ),812752,(+/- 17642 ),691715,(+/- 20462 ),768801,(+/- 19325 ),736806,(+/- 13874 ),744406,(+/- 5999 ),722617,(+/- 6833 ),698185,(+/- 6241 ),723416,(+/- 5531 ),711798,(+/- 3688 ),703464,(+/- 3765 ),703717,(+/- 3717 ),707479,(+/- 2961 ),720963,(+/- 2696 ),709220,(+/- 4462 ),720133,(+/- 6294 )
People,Race,One race,706215,(+/- 5391 ),698400,(+/- 8734 ),717757,(+/- 11957 ),693297,(+/- 13769 ),763603,(+/- 16321 ),729363,(+/- 16859 ),734846,(+/- 18254 ),746506,(+/- 19218 ),714896,(+/- 19032 ),693881,(+/- 18389 ),717080,(+/- 11311 ),694694,(+/- 18379 ),756192,(+/- 19395 ),666071,(+/- 20975 ),738355,(+/- 19867 ),710317,(+/- 14717 ),726358,(+/- 7090 ),695569,(+/- 8288 ),680646,(+/- 7157 ),695103,(+/- 6433 ),697410,(+/- 4066 ),684012,(+/- 3913 ),687654,(+/- 4066 ),685442,(+/- 3563 ),699588,(+/- 4464 ),688570,(+/- 5478 ),706603,(+/- 6288 )
People,Race,White,623731,(+/- 8004 ),528448,(+/- 14732 ),549318,(+/- 13280 ),468263,(+/- 11636 ),140669,(+/- 9189 ),329853,(+/- 10604 ),361054,(+/- 12789 ),229400,(+/- 11412 ),256461,(+/- 9756 ),497928,(+/- 13925 ),515460,(+/- 10260 ),525079,(+/- 16280 ),232672,(+/- 14770 ),314005,(+/- 13544 ),118476,(+/- 9877 ),342847,(+/- 11963 ),510069,(+/- 10009 ),552745,(+/- 8167 ),619777,(+/- 7608 ),573867,(+/- 6522 ),654596,(+/- 4171 ),629055,(+/- 4285 ),636916,(+/- 3986 ),596076,(+/- 3655 ),544995,(+/- 3885 ),508727,(+/- 5530 ),669976,(+/- 6219 )
People,Race,Black or African American,39657,(+/- 6129 ),69655,(+/- 6995 ),20258,(+/- 3839 ),105446,(+/- 6695 ),387596,(+/- 9535 ),30535,(+/- 4371 ),85111,(+/- 8086 ),412351,(+/- 13017 ),365421,(+/- 12237 ),25223,(+/- 4276 ),54851,(+/- 2743 ),33880,(+/- 4511 ),241085,(+/- 10611 ),78757,(+/- 7623 ),244516,(+/- 12934 ),251405,(+/- 12384 ),79765,(+/- 5459 ),67372,(+/- 3837 ),31425,(+/- 3316 ),65567,(+/- 3794 ),21246,(+/- 1675 ),30036,(+/- 2575 ),22094,(+/- 1670 ),59776,(+/- 2003 ),113474,(+/- 2724 ),125935,(+/- 3226 ),18097,(+/- 2465 )
People,Race,American Indian and Alaska Native,549,(+/- 353 ),3436,(+/- 1455 ),1771,(+/- 1106 ),1163,(+/- 864 ),4694,(+/- 1691 ),2002,(+/- 986 ),3680,(+/- 1778 ),2147,(+/- 1051 ),1203,(+/- 660 ),2175,(+/- 1364 ),778,(+/- 800 ),2228,(+/- 1315 ),2866,(+/- 1220 ),3095,(+/- 1190 ),5201,(+/- 1916 ),2644,(+/- 1364 ),1831,(+/- 697 ),3951,(+/- 920 ),1660,(+/- 1196 ),1521,(+/- 695 ),5818,(+/- 1458 ),878,(+/- 418 ),3886,(+/- 541 ),2138,(+/- 675 ),2688,(+/- 871 ),3434,(+/- 857 ),5615,(+/- 1433 )
People,Race,Asian,28468,(+/- 3841 ),24086,(+/- 3627 ),114475,(+/- 8947 ),49056,(+/- 5068 ),115142,(+/- 9185 ),299928,(+/- 13657 ),145543,(+/- 10123 ),45385,(+/- 5146 ),51299,(+/- 6511 ),136876,(+/- 8235 ),103796,(+/- 6099 ),100733,(+/- 8836 ),37534,(+/- 5207 ),112368,(+/- 8040 ),16114,(+/- 3134 ),44671,(+/- 4845 ),42092,(+/- 3288 ),23401,(+/- 1933 ),12199,(+/- 1509 ),36311,(+/- 1634 ),8523,(+/- 1387 ),18619,(+/- 1255 ),16962,(+/- 1341 ),19240,(+/- 1188 ),26056,(+/- 1831 ),32037,(+/- 1986 ),7122,(+/- 1403 )
People,Race,Native Hawaiian and Other Pacific Islander,341,(+/- 457 ),403,(+/- 349 ),187,(+/- 199 ),161,(+/- 181 ),546,(+/- 448 ),344,(+/- 292 ),186,(+/- 205 ),676,(+/- 617 ),111,(+/- 191 ),176,(+/- 168 ),1230,(+/- 1021 ),234,(+/- 288 ),853,(+/- 827 ),363,(+/- 384 ),247,(+/- 397 ),140,(+/- 135 ),101,(+/- 102 ),627,(+/- 577 ),96,(+/- 116 ),310,(+/- 383 ),292,(+/- 212 ),332,(+/- 251 ),86,(+/- 106 ),149,(+/- 151 ),309,(+/- 323 ),435,(+/- 207 ),301,(+/- 261 )
People,Race,Some other race,13469,(+/- 3886 ),72372,(+/- 10375 ),31748,(+/- 8441 ),69208,(+/- 7881 ),114956,(+/- 10628 ),66701,(+/- 9382 ),139272,(+/- 11591 ),56547,(+/- 6963 ),40401,(+/- 7355 ),31503,(+/- 6289 ),40965,(+/- 7428 ),32540,(+/- 6725 ),241182,(+/- 17987 ),157483,(+/- 12047 ),353801,(+/- 16444 ),68610,(+/- 6736 ),92500,(+/- 8404 ),47473,(+/- 5861 ),15489,(+/- 3687 ),17527,(+/- 3472 ),6935,(+/- 1312 ),5092,(+/- 1522 ),7710,(+/- 1707 ),8063,(+/- 2070 ),12066,(+/- 2509 ),18002,(+/- 3308 ),5492,(+/- 1169 )
People,Race,Two or more races,11960,(+/- 2460 ),15640,(+/- 2851 ),14834,(+/- 3451 ),30080,(+/- 5328 ),30551,(+/- 4774 ),24381,(+/- 4422 ),28622,(+/- 4512 ),25205,(+/- 4024 ),23778,(+/- 4179 ),15079,(+/- 2442 ),18372,(+/- 3529 ),20777,(+/- 3543 ),56560,(+/- 9182 ),25644,(+/- 4375 ),30446,(+/- 4913 ),26489,(+/- 4560 ),18048,(+/- 3272 ),27048,(+/- 4430 ),17539,(+/- 2847 ),28313,(+/- 3522 ),14388,(+/- 1663 ),19452,(+/- 2294 ),16063,(+/- 1914 ),22037,(+/- 2506 ),21375,(+/- 3294 ),20650,(+/- 3374 ),13530,(+/- 1877 )
People,Hispanic or Latino and Race,Total population,718175,(+/- 4908 ),714040,(+/- 8215 ),732591,(+/- 12035 ),723377,(+/- 13136 ),794154,(+/- 15868 ),753744,(+/- 16877 ),763468,(+/- 18454 ),771711,(+/- 19644 ),738674,(+/- 19050 ),708960,(+/- 18585 ),735452,(+/- 11681 ),715471,(+/- 19247 ),812752,(+/- 17642 ),691715,(+/- 20462 ),768801,(+/- 19325 ),736806,(+/- 13874 ),744406,(+/- 5999 ),722617,(+/- 6833 ),698185,(+/- 6241 ),723416,(+/- 5531 ),711798,(+/- 3688 ),703464,(+/- 3765 ),703717,(+/- 3717 ),707479,(+/- 2961 ),720963,(+/- 2696 ),709220,(+/- 4462 ),720133,(+/- 6294 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),105603,(+/- 8413 ),174043,(+/- 9556 ),79024,(+/- 8700 ),150844,(+/- 8072 ),157587,(+/- 10783 ),145205,(+/- 10780 ),300044,(+/- 14277 ),131155,(+/- 10863 ),88799,(+/- 8952 ),87634,(+/- 9550 ),126727,(+/- 5548 ),100453,(+/- 10930 ),441941,(+/- 14409 ),344481,(+/- 16387 ),514886,(+/- 14999 ),175713,(+/- 9165 ),166650,(+/- 7186 ),117574,(+/- 4014 ),56623,(+/- 3156 ),45410,(+/- 1613 ),24257,(+/- 999 ),26560,(+/- 546 ),27758,(+/- 710 ),31101,(+/- 449 ),63514,(+/- 308 ),43621,(+/- 2392 ),20407,(+/- 2445 )
People,Hispanic or Latino and Race,Mexican,9148,(+/- 3901 ),7520,(+/- 2723 ),5094,(+/- 2358 ),5970,(+/- 2777 ),9938,(+/- 4011 ),15678,(+/- 4976 ),50361,(+/- 8151 ),13510,(+/- 3442 ),19728,(+/- 5405 ),23892,(+/- 4184 ),35956,(+/- 5748 ),14641,(+/- 4134 ),64717,(+/- 11861 ),64761,(+/- 10250 ),52404,(+/- 8707 ),29225,(+/- 5433 ),19808,(+/- 3915 ),23603,(+/- 4068 ),10296,(+/- 2685 ),3956,(+/- 1499 ),4792,(+/- 1181 ),1989,(+/- 762 ),4946,(+/- 1629 ),5373,(+/- 1775 ),2682,(+/- 1270 ),3353,(+/- 1319 ),6091,(+/- 1352 )
People,Hispanic or Latino and Race,Puerto Rican,31350,(+/- 6537 ),31046,(+/- 4926 ),17619,(+/- 4826 ),22701,(+/- 4093 ),41099,(+/- 6090 ),30625,(+/- 4660 ),97905,(+/- 8947 ),50093,(+/- 6026 ),21537,(+/- 3440 ),21897,(+/- 5050 ),47931,(+/- 4780 ),29773,(+/- 4609 ),89186,(+/- 9761 ),71531,(+/- 7738 ),158207,(+/- 11323 ),56665,(+/- 7236 ),27866,(+/- 3584 ),45189,(+/- 4466 ),25769,(+/- 3021 ),26919,(+/- 2598 ),10867,(+/- 1285 ),13613,(+/- 1981 ),13038,(+/- 1718 ),12307,(+/- 1747 ),44723,(+/- 3062 ),33120,(+/- 2815 ),8534,(+/- 1985 )
People,Hispanic or Latino and Race,Cuban,1217,(+/- 613 ),4402,(+/- 3305 ),3293,(+/- 1315 ),2827,(+/- 1055 ),2191,(+/- 1149 ),2074,(+/- 666 ),3601,(+/- 1464 ),2244,(+/- 953 ),1670,(+/- 695 ),2650,(+/- 1016 ),2561,(+/- 983 ),3432,(+/- 1226 ),6963,(+/- 2204 ),6513,(+/- 1853 ),3170,(+/- 1410 ),3534,(+/- 1398 ),3177,(+/- 1209 ),1753,(+/- 1088 ),1560,(+/- 603 ),1638,(+/- 1048 ),851,(+/- 480 ),1329,(+/- 783 ),477,(+/- 372 ),3400,(+/- 1084 ),2899,(+/- 1441 ),1348,(+/- 724 ),173,(+/- 247 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,63888,(+/- 8495 ),131075,(+/- 9384 ),53018,(+/- 8134 ),119346,(+/- 8458 ),104359,(+/- 9019 ),96828,(+/- 9212 ),148177,(+/- 11000 ),65308,(+/- 6998 ),45864,(+/- 6882 ),39195,(+/- 5745 ),40279,(+/- 4285 ),52607,(+/- 9407 ),281075,(+/- 15351 ),201676,(+/- 13633 ),301105,(+/- 14370 ),86289,(+/- 7079 ),115799,(+/- 7173 ),47029,(+/- 5749 ),18998,(+/- 2816 ),12897,(+/- 2562 ),7747,(+/- 1215 ),9629,(+/- 1907 ),9297,(+/- 1221 ),10021,(+/- 1588 ),13210,(+/- 2711 ),5800,(+/- 1560 ),5609,(+/- 1844 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,612572,(+/- 9654 ),539997,(+/- 10669 ),653567,(+/- 11893 ),572533,(+/- 11839 ),636567,(+/- 14455 ),608539,(+/- 14951 ),463424,(+/- 15314 ),640556,(+/- 16017 ),649875,(+/- 18322 ),621326,(+/- 15653 ),608725,(+/- 10822 ),615018,(+/- 16250 ),370811,(+/- 10855 ),347234,(+/- 12786 ),253915,(+/- 13340 ),561093,(+/- 12529 ),577756,(+/- 7386 ),605043,(+/- 5771 ),641562,(+/- 5530 ),678006,(+/- 5353 ),687541,(+/- 3709 ),676904,(+/- 3788 ),675959,(+/- 3670 ),676378,(+/- 2969 ),657449,(+/- 2661 ),665599,(+/- 4917 ),699726,(+/- 6521 )
